#scan;iMeasureCycle=1;iMux=0;time=0.125;N=142;LocalTime=21/12/2023 13:01:11;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;1.26E-08;0.27915;-0.500001;-4.07E-09;0.27915;;;19.99999;4.07193E-09;1.25615E-08
19.5;1.02E-08;0.429282;-0.5;-3.13E-09;0.429282;;;19.5;3.13347E-09;1.02223E-08
18.99999;8.88E-09;0.599381;-0.500001;-2.59E-09;0.599381;;;18.99999;2.59263E-09;8.876E-09
18.49999;8.06E-09;0.77546;-0.5;-2.27E-09;0.77546;;;18.49999;2.26822E-09;8.06239E-09
17.99999;7.54E-09;0.951595;-0.5;-2.06E-09;0.951595;;;17.99999;2.06376E-09;7.53505E-09
17.49999;7.16E-09;1.127589;-0.500001;-1.92E-09;1.127589;;;17.49999;1.9228E-09;7.15629E-09
17;6.85E-09;1.328006;-0.500001;-1.81E-09;1.328006;;;17;1.81428E-09;6.84945E-09
16.5;6.58E-09;1.504144;-0.499999;-1.73E-09;1.504144;;;16.5;1.73101E-09;6.57691E-09
15.99999;6.35E-09;1.68025;-0.499999;-1.67E-09;1.68025;;;15.99999;1.67267E-09;6.34651E-09
15.49999;6.13E-09;1.893696;-0.5;-1.62E-09;1.893696;;;15.49999;1.62216E-09;6.13103E-09
14.99999;5.80E-09;2.06978;-0.5;-1.55E-09;2.06978;;;14.99999;1.54737E-09;5.80421E-09
14.5;5.35E-09;2.246028;-0.5;-1.45E-09;2.246028;;;14.5;1.44595E-09;5.35041E-09
13.99999;4.56E-09;2.42206;-0.499999;-1.21E-09;2.42206;;;13.99999;1.21121E-09;4.56136E-09
13.5;3.42E-09;2.598258;-0.499999;-8.57E-10;2.598258;;;13.5;8.5719E-10;3.42385E-09
12.99999;2.76E-09;2.774319;-0.5;-9.44E-10;2.774319;;;12.99999;9.4439E-10;2.76045E-09
12.5;3.62E-09;2.950391;-0.5;-2.23E-09;2.950391;;;12.5;2.22573E-09;3.6175E-09
11.99999;4.33E-09;3.126358;-0.499999;-3.75E-09;3.126358;;;11.99999;3.74881E-09;4.32782E-09
11.5;4.52E-09;3.302601;-0.500001;-5.40E-09;3.302601;;;11.5;5.39676E-09;4.52165E-09
10.99999;4.55E-09;3.490306;-0.5;-7.52E-09;3.490306;;;10.99999;7.52428E-09;4.55158E-09
10.5;4.53E-09;3.66035;-0.500001;-1.07E-08;3.66035;;;10.5;1.06535E-08;4.52566E-09
10;4.66E-09;3.835022;-0.500001;-1.55E-08;3.835022;;;10;1.55434E-08;4.66273E-09
9.49999;4.65E-09;4.005192;-0.500001;-2.33E-08;4.005192;;;9.49999;2.33012E-08;4.6455E-09
9;4.56E-09;4.175261;-0.5;-3.58E-08;4.175261;;;9;3.58035E-08;4.5613E-09
8.49999;4.45E-09;4.351149;-0.5;-5.52E-08;4.351149;;;8.49999;5.51814E-08;4.44521E-09
7.99999;4.14E-09;4.501034;-0.500001;-8.33E-08;4.501034;;;7.99999;8.3315E-08;4.13608E-09
7.49999;3.98E-09;4.65672;-0.5;-1.21E-07;4.65672;;;7.49999;1.21211E-07;3.97533E-09
7;3.85E-09;4.806574;-0.5;-1.71E-07;4.806574;;;7;1.7051E-07;3.84587E-09
6.49999;3.74E-09;4.967019;-0.5;-2.32E-07;4.967019;;;6.49999;2.31705E-07;3.73757E-09
5.99999;3.53E-09;5.116859;-0.5;-3.07E-07;5.116859;;;5.99999;3.06695E-07;3.52979E-09
5.5;3.28E-09;5.266734;-0.5;-3.96E-07;5.266734;;;5.5;3.96111E-07;3.27908E-09
4.99999;2.99E-09;5.416565;-0.5;-5.01E-07;5.416565;;;4.99999;5.00988E-07;2.99486E-09
4.49999;2.69E-09;5.567117;-0.5;-6.20E-07;5.567117;;;4.49999;6.20496E-07;2.68858E-09
4;2.34E-09;5.716943;-0.5;-7.54E-07;5.716943;;;4;7.54145E-07;2.34487E-09
3.5;2.01E-09;5.876621;-0.5;-9.00E-07;5.876621;;;3.5;8.99549E-07;2.01237E-09
2.99999;1.61E-09;6.02983;-0.5;-1.05E-06;6.02983;;;2.99999;1.05402E-06;1.60566E-09
2.49999;1.18E-09;6.179619;-0.5;-1.21E-06;6.179619;;;2.49999;1.21205E-06;1.17609E-09
1.99999;7.98E-10;6.35202;-0.5;-1.37E-06;6.35202;;;1.99999;1.36821E-06;7.9794E-10
1.5;2.77E-10;6.501904;-0.5;-1.52E-06;6.501904;;;1.5;1.51956E-06;2.7737E-10
1.00001;-2.34E-10;6.651679;-0.5;-1.66E-06;6.651679;;;1.00001;1.66085E-06;2.3443E-10
0.49999;-7.64E-10;6.801457;-0.5;-1.79E-06;6.801457;;;0.49999;1.78705E-06;7.6367E-10
0;-1.28E-09;6.971839;-0.5;-1.89E-06;6.971839;;;0;1.89277E-06;1.28252E-09
-0.50001;-1.85E-09;7.12167;-0.5;-1.98E-06;7.12167;;;-0.50001;1.97959E-06;1.84538E-09
-1.00001;-2.43E-09;7.271549;-0.5;-2.05E-06;7.271549;;;-1.00001;2.05285E-06;2.42746E-09
-1.50001;-3.02E-09;7.421427;-0.5;-2.12E-06;7.421427;;;-1.50001;2.11575E-06;3.0199E-09
-2.00001;-3.61E-09;7.57194;-0.5;-2.17E-06;7.57194;;;-2.00001;2.1707E-06;3.60774E-09
