#scan;iMeasureCycle=1;iMux=0;time=0.131;N=492;LocalTime=21/12/2023 12:56:20;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;7.32E-09;0.291328;-1.00E-05;-1.69E-09;0.291328;;;-1.00E-05;1.69303E-09
10;7.04E-09;0.467735;-0.50001;-5.53E-09;0.467735;;;-0.50001;5.52504E-09
9.99999;6.88E-09;0.643814;-1.00001;-8.80E-09;0.643814;;;-1.00001;8.79604E-09
9.99999;6.87E-09;0.813821;-1.50001;-1.16E-08;0.813821;;;-1.50001;1.15754E-08
9.99999;6.81E-09;0.989382;-2;-1.38E-08;0.989382;;;-2;1.38295E-08
10;6.77E-09;1.159426;-2.5;-1.57E-08;1.159426;;;-2.5;1.57063E-08
9.99999;6.56E-09;1.364269;-3.00001;-1.72E-08;1.364269;;;-3.00001;1.7227E-08
9.99999;6.54E-09;1.534428;-3.5;-1.86E-08;1.534428;;;-3.5;1.85682E-08
10;6.46E-09;1.704542;-4;-1.97E-08;1.704542;;;-4;1.9656E-08
9.99999;6.30E-09;1.899042;-4.50001;-2.06E-08;1.899042;;;-4.50001;2.05735E-08
9.99999;6.25E-09;2.069215;-5;-2.14E-08;2.069215;;;-5;2.13806E-08
10;6.16E-09;2.239444;-5.5;-2.21E-08;2.239444;;;-5.5;2.20707E-08
10;6.09E-09;2.40962;-6;-2.27E-08;2.40962;;;-6;2.26923E-08
9.99999;6.02E-09;2.579805;-6.5;-2.33E-08;2.579805;;;-6.5;2.32527E-08
9.99999;5.97E-09;2.749883;-7;-2.37E-08;2.749883;;;-7;2.37398E-08
10;5.90E-09;2.920082;-7.50001;-2.43E-08;2.920082;;;-7.50001;2.42581E-08
10;5.86E-09;3.092474;-8;-2.47E-08;3.092474;;;-8;2.4712E-08
10;5.80E-09;3.262604;-8.5;-2.51E-08;3.262604;;;-8.5;2.51422E-08
10;5.76E-09;3.432845;-9;-2.56E-08;3.432845;;;-9;2.55603E-08
10;5.73E-09;3.602996;-9.5;-2.59E-08;3.602996;;;-9.5;2.59371E-08
9.99999;5.68E-09;3.77296;-10;-2.63E-08;3.77296;;;-10;2.63088E-08
10;5.65E-09;3.943319;-10.5;-2.67E-08;3.943319;;;-10.5;2.67035E-08
10;5.62E-09;4.113442;-11;-2.71E-08;4.113442;;;-11;2.7071E-08
10;5.62E-09;4.283427;-11.5;-2.75E-08;4.283427;;;-11.5;2.74594E-08
10;5.56E-09;4.455793;-12;-2.78E-08;4.455793;;;-12;2.77656E-08
10;5.53E-09;4.625904;-12.5;-2.81E-08;4.625904;;;-12.5;2.81172E-08
9.99999;5.50E-09;4.795885;-13;-2.85E-08;4.795885;;;-13;2.84502E-08
9.99999;5.49E-09;4.968016;-13.5;-2.88E-08;4.968016;;;-13.5;2.87758E-08
9.99999;5.46E-09;5.138144;-14;-2.91E-08;5.138144;;;-14;2.90841E-08
9.99999;5.43E-09;5.308154;-14.49999;-2.94E-08;5.308154;;;-14.49999;2.93959E-08
9.99999;5.41E-09;5.501478;-15;-2.97E-08;5.501478;;;-15;2.96939E-08
10;5.38E-09;5.671505;-15.5;-3.00E-08;5.671505;;;-15.5;2.99988E-08
9.99999;5.36E-09;5.876352;-16;-3.03E-08;5.876352;;;-16;3.03464E-08
9.99999;5.35E-09;6.046538;-16.50001;-3.06E-08;6.046538;;;-16.50001;3.06174E-08
10;5.33E-09;6.21661;-17;-3.09E-08;6.21661;;;-17;3.09375E-08
9.99999;5.31E-09;6.411479;-17.5;-3.12E-08;6.411479;;;-17.5;3.12492E-08
9.99999;5.28E-09;6.581668;-18;-3.15E-08;6.581668;;;-18;3.15455E-08
10;5.27E-09;6.751874;-18.5;-3.18E-08;6.751874;;;-18.5;3.17983E-08
10;5.26E-09;6.921983;-19;-3.21E-08;6.921983;;;-19;3.2119E-08
10;5.24E-09;7.092193;-19.5;-3.24E-08;7.092193;;;-19.5;3.23603E-08
10;5.24E-09;7.262271;-20;-3.27E-08;7.262271;;;-20;3.26592E-08
10;5.21E-09;7.384659;-20;-3.29E-08;7.384659;;;-20;3.28657E-08
10;5.17E-09;7.534532;-19.50001;-3.30E-08;7.534532;;;-19.50001;3.30169E-08
10;5.16E-09;7.684377;-19.00001;-3.32E-08;7.684377;;;-19.00001;3.3181E-08
9.99999;5.15E-09;7.867361;-18.50001;-3.34E-08;7.867361;;;-18.50001;3.33788E-08
9.99999;5.12E-09;8.017224;-18.00001;-3.35E-08;8.017224;;;-18.00001;3.35239E-08
10;5.11E-09;8.167068;-17.50001;-3.36E-08;8.167068;;;-17.50001;3.36274E-08
9.99999;5.10E-09;8.316883;-17.00001;-3.38E-08;8.316883;;;-17.00001;3.38222E-08
9.99999;5.08E-09;8.489855;-16.50001;-3.40E-08;8.489855;;;-16.50001;3.39899E-08
10;5.06E-09;8.639631;-16.00001;-3.41E-08;8.639631;;;-16.00001;3.40752E-08
9.99999;5.06E-09;8.789421;-15.50001;-3.42E-08;8.789421;;;-15.50001;3.41827E-08
10;5.05E-09;8.9393;-15.00001;-3.43E-08;8.9393;;;-15.00001;3.43076E-08
9.99999;5.03E-09;9.089192;-14.50001;-3.45E-08;9.089192;;;-14.50001;3.44626E-08
9.99999;5.02E-09;9.238919;-14.00001;-3.45E-08;9.238919;;;-14.00001;3.45409E-08
9.99999;4.99E-09;9.398681;-13.50001;-3.46E-08;9.398681;;;-13.50001;3.46488E-08
9.99999;5.00E-09;9.548605;-13.00001;-3.48E-08;9.548605;;;-13.00001;3.47996E-08
10;4.98E-09;9.698468;-12.50001;-3.49E-08;9.698468;;;-12.50001;3.492E-08
10;4.98E-09;9.8771;-12.00001;-3.50E-08;9.8771;;;-12.00001;3.49807E-08
10;4.96E-09;10.026947;-11.50001;-3.51E-08;10.026947;;;-11.50001;3.50771E-08
10;4.95E-09;10.176737;-11.00001;-3.51E-08;10.176737;;;-11.00001;3.51022E-08
9.99999;4.93E-09;10.326549;-10.50001;-3.52E-08;10.326549;;;-10.50001;3.51667E-08
10;4.93E-09;10.493694;-10.00001;-3.52E-08;10.493694;;;-10.00001;3.52445E-08
9.99999;4.91E-09;10.643453;-9.50001;-3.53E-08;10.643453;;;-9.50001;3.52849E-08
10;4.90E-09;10.793242;-9.00001;-3.53E-08;10.793242;;;-9.00001;3.52877E-08
10;4.87E-09;10.943103;-8.50001;-3.53E-08;10.943103;;;-8.50001;3.53206E-08
10;4.87E-09;11.092923;-8.00001;-3.54E-08;11.092923;;;-8.00001;3.53757E-08
10;4.85E-09;11.242656;-7.50001;-3.53E-08;11.242656;;;-7.50001;3.53352E-08
9.99999;4.83E-09;11.403579;-7.00001;-3.53E-08;11.403579;;;-7.00001;3.52769E-08
9.99999;4.80E-09;11.553505;-6.50001;-3.52E-08;11.553505;;;-6.50001;3.51614E-08
10;4.78E-09;11.703334;-6.00001;-3.51E-08;11.703334;;;-6.00001;3.50503E-08
10;4.75E-09;11.877692;-5.50001;-3.48E-08;11.877692;;;-5.50001;3.48249E-08
