Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
100.0	2.8781e-05	2.1709e-11	-10.0	-2.5	-2.6066307291664273e-07
100.5	2.8779e-05	2.2368e-11	-10.0	-2.5	-2.6284108072914395e-07
101.0	2.8786e-05	2.1644e-11	-10.0	-2.5	-2.560181249999807e-07
101.5	2.8787e-05	2.1197e-11	-10.0	-2.5	-2.551942057291452e-07
102.0	2.8787e-05	2.1606e-11	-10.0	-2.5	-2.553693229166434e-07
102.5	2.8788e-05	2.1741e-11	-10.0	-2.5	-2.5454347656247775e-07
103.0	2.8787e-05	2.1595e-11	-10.0	-2.5	-2.557166666666446e-07
103.5	2.8786e-05	2.1579e-11	-10.0	-2.5	-2.568888932291464e-07
104.0	2.8788e-05	2.1157e-11	-10.0	-2.5	-2.5506015624997996e-07
104.5	2.8792e-05	2.1223e-11	-10.0	-2.5	-2.5123045572914403e-07
105.0	2.8792e-05	2.1045e-11	-10.0	-2.5	-2.5139979166664163e-07
105.5	2.8797e-05	2.1117e-11	-10.0	-2.5	-2.4656816406248014e-07
106.0	2.8797e-05	2.1877e-11	-10.0	-2.5	-2.467355729166442e-07
106.5	2.88e-05	2.1615e-11	-10.0	-2.5	-2.439020182291468e-07
107.0	2.88e-05	2.169e-11	-10.0	-2.5	-2.440674999999807e-07
107.5	2.8797e-05	2.1814e-11	-10.0	-2.5	-2.4723201822914596e-07
108.0	2.8798e-05	2.1007e-11	-10.0	-2.5	-2.4639557291664414e-07
108.5	2.8803e-05	2.1408e-11	-10.0	-2.5	-2.4155816406247864e-07
109.0	2.8805e-05	2.2001e-11	-10.0	-2.5	-2.397197916666445e-07
109.5	2.8804e-05	2.1286e-11	-10.0	-2.5	-2.4088045572914505e-07
110.0	2.8809e-05	2.1098e-11	-10.0	-2.5	-2.3604015624997755e-07
110.5	2.8809e-05	2.1253e-11	-10.0	-2.5	-2.361988932291424e-07
111.0	2.8803e-05	2.0939e-11	-10.0	-2.5	-2.4235666666664514e-07
111.5	2.881e-05	2.1547e-11	-10.0	-2.5	-2.3551347656247803e-07
112.0	2.8812e-05	2.1176e-11	-10.0	-2.5	-2.3366932291664326e-07
112.5	2.8812e-05	2.1268e-11	-10.0	-2.5	-2.338242057291444e-07
113.0	2.8815e-05	2.1193e-11	-10.0	-2.5	-2.3097812499997728e-07
113.5	2.8816e-05	2.1415e-11	-10.0	-2.5	-2.301310807291461e-07
114.0	2.8821e-05	2.1089e-11	-10.0	-2.5	-2.2528307291664443e-07
114.5	2.882e-05	2.1173e-11	-10.0	-2.5	-2.264341015624807e-07
115.0	2.8817e-05	2.1621e-11	-10.0	-2.5	-2.295841666666461e-07
115.5	2.8817e-05	2.1737e-11	-10.0	-2.5	-2.2973326822914663e-07
116.0	2.8815e-05	2.1998e-11	-10.0	-2.5	-2.318814062499763e-07
116.5	2.8822e-05	2.1268e-11	-10.0	-2.5	-2.250285807291449e-07
117.0	2.8828e-05	2.1657e-11	-10.0	-2.5	-2.191747916666472e-07
117.5	2.8828e-05	2.1472e-11	-10.0	-2.5	-2.1932003906248066e-07
118.0	2.8831e-05	2.1387e-11	-10.0	-2.5	-2.1646432291664585e-07
118.5	2.8829e-05	2.1365e-11	-10.0	-2.5	-2.1860764322914337e-07
119.0	2.8833e-05	2.1988e-11	-10.0	-2.5	-2.147499999999796e-07
119.5	2.884e-05	1.2025e-10	-10.0	-2.5	-2.0789139322914757e-07
120.0	2.8845e-05	1.3089e-10	-10.0	-2.5	-2.0303182291664807e-07
120.5	2.8852e-05	1.2845e-10	-10.0	-2.5	-1.9617128906247912e-07
121.0	2.8864e-05	1.2426e-10	-10.0	-2.5	-1.8430979166664428e-07
121.5	2.8875e-05	1.2176e-10	-10.0	-2.5	-1.7344733072914656e-07
122.0	2.8886e-05	1.2023e-10	-10.0	-2.5	-1.62583906249977e-07
122.5	2.8892e-05	1.1905e-10	-10.0	-2.5	-1.5671951822914654e-07
123.0	2.8902e-05	1.1716e-10	-10.0	-2.5	-1.4685416666664563e-07
123.5	2.891e-05	1.1656e-10	-10.0	-2.5	-1.3898785156248064e-07
124.0	2.8921e-05	1.1531e-10	-10.0	-2.5	-1.2812057291664738e-07
124.5	2.8927e-05	1.1496e-10	-10.0	-2.5	-1.2225233072914646e-07
125.0	2.8936e-05	1.1476e-10	-10.0	-2.5	-1.1338312499998066e-07
125.5	2.8943e-05	1.1406e-10	-10.0	-2.5	-1.06512955729144e-07
126.0	2.8951e-05	1.1282e-10	-10.0	-2.5	-9.864182291664347e-08
