Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	2.7797e-05	5.5087e-11	-10.0	-2.5
1.0	2.7807e-05	2.3879e-11	-10.0	-2.5
1.5	2.7811e-05	1.9822e-11	-10.0	-2.5
2.0	2.7812e-05	1.6835e-11	-10.0	-2.5
2.5	2.7817e-05	1.5646e-11	-10.0	-2.5
3.0	2.7825e-05	1.4942e-11	-10.0	-2.5
3.5	2.7828e-05	1.3703e-11	-10.0	-2.5
4.0	2.783e-05	1.3809e-11	-10.0	-2.5
4.5	2.7838e-05	1.3621e-11	-10.0	-2.5
5.0	2.7836e-05	1.2784e-11	-10.0	-2.5
5.5	2.784e-05	1.3853e-11	-10.0	-2.5
6.0	2.7843e-05	1.2965e-11	-10.0	-2.5
6.5	2.7846e-05	1.26e-11	-10.0	-2.5
7.0	2.7852e-05	1.1946e-11	-10.0	-2.5
7.5	2.7853e-05	1.2399e-11	-10.0	-2.5
8.0	2.7864e-05	1.276e-11	-10.0	-2.5
8.5	2.7859e-05	1.2312e-11	-10.0	-2.5
9.0	2.7864e-05	1.2209e-11	-10.0	-2.5
9.5	2.7865e-05	1.1298e-11	-10.0	-2.5
10.0	2.7869e-05	1.1827e-11	-10.0	-2.5
10.5	2.7879e-05	1.243e-11	-10.0	-2.5
11.0	2.7885e-05	1.2618e-11	-10.0	-2.5
11.5	2.7884e-05	1.0863e-11	-10.0	-2.5
12.0	2.7891e-05	1.2008e-11	-10.0	-2.5
12.5	2.7893e-05	1.2131e-11	-10.0	-2.5
13.0	2.7896e-05	1.1756e-11	-10.0	-2.5
13.5	2.7901e-05	1.0796e-11	-10.0	-2.5
14.0	2.7901e-05	1.1666e-11	-10.0	-2.5
14.5	2.7907e-05	1.1877e-11	-10.0	-2.5
15.0	2.7911e-05	1.143e-11	-10.0	-2.5
15.5	2.7916e-05	1.1685e-11	-10.0	-2.5
16.0	2.7917e-05	1.1947e-11	-10.0	-2.5
16.5	2.7921e-05	1.1543e-11	-10.0	-2.5
17.0	2.7929e-05	1.1415e-11	-10.0	-2.5
17.5	2.7937e-05	1.1728e-11	-10.0	-2.5
18.0	2.7941e-05	1.1411e-11	-10.0	-2.5
18.5	2.7951e-05	1.1891e-11	-10.0	-2.5
19.0	2.7952e-05	1.153e-11	-10.0	-2.5
19.5	2.7951e-05	1.1718e-11	-10.0	-2.5
20.0	2.7957e-05	1.1135e-11	-10.0	-2.5
20.5	2.7954e-05	1.1184e-11	-10.0	-2.5
21.0	2.7962e-05	1.1603e-11	-10.0	-2.5
21.5	2.7962e-05	1.1816e-11	-10.0	-2.5
22.0	2.7966e-05	1.2009e-11	-10.0	-2.5
22.5	2.7963e-05	1.1939e-11	-10.0	-2.5
23.0	2.7967e-05	1.1414e-11	-10.0	-2.5
23.5	2.7969e-05	1.1296e-11	-10.0	-2.5
24.0	2.7973e-05	1.1225e-11	-10.0	-2.5
24.5	2.7975e-05	1.1927e-11	-10.0	-2.5
25.0	2.7979e-05	1.0793e-11	-10.0	-2.5
25.5	2.7987e-05	1.1854e-11	-10.0	-2.5
26.0	2.799e-05	1.0939e-11	-10.0	-2.5
26.5	2.7995e-05	1.1617e-11	-10.0	-2.5
27.0	2.7995e-05	1.1362e-11	-10.0	-2.5
27.5	2.7999e-05	1.134e-11	-10.0	-2.5
28.0	2.8002e-05	1.1251e-11	-10.0	-2.5
28.5	2.8005e-05	1.1618e-11	-10.0	-2.5
29.0	2.8009e-05	1.0985e-11	-10.0	-2.5
29.5	2.8007e-05	1.1538e-11	-10.0	-2.5
30.0	2.8015e-05	1.0811e-11	-10.0	-2.5
30.5	2.8018e-05	1.1965e-11	-10.0	-2.5
31.0	2.8022e-05	1.0997e-11	-10.0	-2.5
31.5	2.8023e-05	1.1262e-11	-10.0	-2.5
32.0	2.8023e-05	1.1522e-11	-10.0	-2.5
32.5	2.8032e-05	1.1412e-11	-10.0	-2.5
33.0	2.8038e-05	1.1693e-11	-10.0	-2.5
33.5	2.8043e-05	1.1715e-11	-10.0	-2.5
34.0	2.8041e-05	1.1822e-11	-10.0	-2.5
34.5	2.8044e-05	1.1671e-11	-10.0	-2.5
35.0	2.8043e-05	1.1693e-11	-10.0	-2.5
35.5	2.8044e-05	1.0653e-11	-10.0	-2.5
36.0	2.8048e-05	1.1748e-11	-10.0	-2.5
36.5	2.8053e-05	1.1996e-11	-10.0	-2.5
37.0	2.8052e-05	1.2128e-11	-10.0	-2.5
37.5	2.8056e-05	1.1735e-11	-10.0	-2.5
38.0	2.8061e-05	1.1755e-11	-10.0	-2.5
38.5	2.8061e-05	1.1162e-11	-10.0	-2.5
39.0	2.8058e-05	1.2426e-11	-10.0	-2.5
39.5	2.8063e-05	1.1305e-11	-10.0	-2.5
40.0	2.8066e-05	1.1737e-11	-10.0	-2.5
40.5	2.8072e-05	1.1524e-11	-10.0	-2.5
41.0	2.8072e-05	1.1804e-11	-10.0	-2.5
41.5	2.8079e-05	1.1292e-11	-10.0	-2.5
42.0	2.8079e-05	1.183e-11	-10.0	-2.5
42.5	2.8081e-05	1.1512e-11	-10.0	-2.5
43.0	2.809e-05	1.1609e-11	-10.0	-2.5
43.5	2.8091e-05	1.175e-11	-10.0	-2.5
44.0	2.8091e-05	1.1669e-11	-10.0	-2.5
44.5	2.8094e-05	1.1319e-11	-10.0	-2.5
45.0	2.8096e-05	1.1679e-11	-10.0	-2.5
45.5	2.8098e-05	1.0907e-11	-10.0	-2.5
46.0	2.8105e-05	1.1442e-11	-10.0	-2.5
