Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.5412e-10	7.8191e-10	-10.0	20.0
1.0	5.7911e-11	1.5947e-10	-10.0	19.9
1.5	3.7198e-11	1.2018e-11	-10.0	19.8
2.0	2.9936e-11	8.7726e-12	-10.0	19.7
2.5	2.5499e-11	2.1052e-11	-10.0	19.6
3.0	2.2599e-11	2.9222e-11	-10.0	19.5
3.5	2.0278e-11	3.476e-11	-10.0	19.4
4.0	1.8587e-11	3.8865e-11	-10.0	19.3
4.5	1.7158e-11	4.2393e-11	-10.0	19.2
5.0	1.6004e-11	4.4736e-11	-10.0	19.1
5.5	1.5194e-11	4.6945e-11	-10.0	19.0
6.0	1.4663e-11	4.8581e-11	-10.0	18.9
6.5	1.4164e-11	5.0218e-11	-10.0	18.8
7.0	1.3273e-11	5.1615e-11	-10.0	18.7
7.5	1.2916e-11	5.2791e-11	-10.0	18.6
8.0	1.2525e-11	5.3623e-11	-10.0	18.5
8.5	1.2244e-11	5.4508e-11	-10.0	18.4
9.0	1.1878e-11	5.5319e-11	-10.0	18.3
9.5	1.1576e-11	5.5679e-11	-10.0	18.2
10.0	1.1303e-11	5.6436e-11	-10.0	18.1
10.5	1.1048e-11	5.6574e-11	-10.0	18.0
11.0	1.1038e-11	5.725e-11	-10.0	17.9
11.5	1.067e-11	5.7581e-11	-10.0	17.8
12.0	1.0651e-11	5.8125e-11	-10.0	17.7
12.5	1.0475e-11	5.8408e-11	-10.0	17.6
13.0	1.0269e-11	5.8759e-11	-10.0	17.5
13.5	9.9587e-12	5.9069e-11	-10.0	17.4
14.0	9.8944e-12	5.9266e-11	-10.0	17.3
14.5	9.8419e-12	5.9758e-11	-10.0	17.2
15.0	1.0883e-11	5.366e-11	-10.0	17.1
15.5	6.2537e-12	1.3931e-10	-10.0	17.0
16.0	9.7942e-12	6.0556e-11	-10.0	16.9
16.5	9.6321e-12	6.0742e-11	-10.0	16.8
17.0	9.5093e-12	6.0775e-11	-10.0	16.7
17.5	9.29e-12	6.1202e-11	-10.0	16.6
18.0	9.284e-12	6.1247e-11	-10.0	16.5
18.5	9.402e-12	6.1527e-11	-10.0	16.4
19.0	9.4795e-12	6.2007e-11	-10.0	16.3
19.5	9.3234e-12	6.1725e-11	-10.0	16.2
20.0	9.2065e-12	6.1773e-11	-10.0	16.1
20.5	9.1362e-12	6.2185e-11	-10.0	16.0
