Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	2.7577e-05	9.3232e-11	-10.0	-2.5
1.0	2.7589e-05	2.4934e-11	-10.0	-2.5
1.5	2.7597e-05	1.9567e-11	-10.0	-2.5
2.0	2.7596e-05	1.5691e-11	-10.0	-2.5
2.5	2.7595e-05	1.5396e-11	-10.0	-2.5
3.0	2.7596e-05	1.4126e-11	-10.0	-2.5
3.5	2.7594e-05	1.3264e-11	-10.0	-2.5
4.0	2.7599e-05	1.2622e-11	-10.0	-2.5
4.5	2.7602e-05	1.2175e-11	-10.0	-2.5
5.0	2.7608e-05	1.1909e-11	-10.0	-2.5
5.5	2.7611e-05	1.1675e-11	-10.0	-2.5
6.0	2.7608e-05	1.0781e-11	-10.0	-2.5
6.5	2.7612e-05	1.1574e-11	-10.0	-2.5
7.0	2.7618e-05	1.089e-11	-10.0	-2.5
7.5	2.7614e-05	1.0177e-11	-10.0	-2.5
8.0	2.7621e-05	1.1239e-11	-10.0	-2.5
8.5	2.762e-05	1.1028e-11	-10.0	-2.5
9.0	2.7626e-05	1.0855e-11	-10.0	-2.5
9.5	2.7633e-05	1.0456e-11	-10.0	-2.5
10.0	2.7634e-05	1.0154e-11	-10.0	-2.5
10.5	2.7637e-05	1.109e-11	-10.0	-2.5
11.0	2.7638e-05	1.0459e-11	-10.0	-2.5
11.5	2.7646e-05	1.0034e-11	-10.0	-2.5
12.0	2.7651e-05	1.0111e-11	-10.0	-2.5
12.5	2.7652e-05	1.0041e-11	-10.0	-2.5
13.0	2.7655e-05	1.0691e-11	-10.0	-2.5
13.5	2.7657e-05	1.0599e-11	-10.0	-2.5
14.0	2.7655e-05	1.0806e-11	-10.0	-2.5
14.5	2.7656e-05	1.0686e-11	-10.0	-2.5
15.0	2.7658e-05	1.0598e-11	-10.0	-2.5
15.5	2.7664e-05	1.0854e-11	-10.0	-2.5
16.0	2.7668e-05	1.0842e-11	-10.0	-2.5
16.5	2.7666e-05	9.6571e-12	-10.0	-2.5
17.0	2.7669e-05	1.033e-11	-10.0	-2.5
17.5	2.7672e-05	1.0129e-11	-10.0	-2.5
18.0	2.7676e-05	9.6416e-12	-10.0	-2.5
18.5	2.7682e-05	1.0946e-11	-10.0	-2.5
19.0	2.7685e-05	1.0121e-11	-10.0	-2.5
19.5	2.7688e-05	9.7728e-12	-10.0	-2.5
20.0	2.7689e-05	1.0124e-11	-10.0	-2.5
20.5	2.769e-05	1.0537e-11	-10.0	-2.5
21.0	2.7696e-05	1.0134e-11	-10.0	-2.5
