Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.1922e-06	3.4656e-10	-10.0	-2.5
1.0	1.1853e-06	5.8147e-10	-10.0	-2.5
1.5	1.1823e-06	5.4335e-10	-10.0	-2.5
2.0	1.1797e-06	5.1711e-10	-10.0	-2.5
2.5	1.1753e-06	5.0727e-10	-10.0	-2.5
3.0	1.1723e-06	4.924e-10	-10.0	-2.5
3.5	1.1688e-06	4.8892e-10	-10.0	-2.5
4.0	1.1678e-06	4.8182e-10	-10.0	-2.5
4.5	1.1677e-06	4.8508e-10	-10.0	-2.5
5.0	1.1644e-06	4.8113e-10	-10.0	-2.5
5.5	1.1652e-06	4.7185e-10	-10.0	-2.5
6.0	1.1634e-06	4.7414e-10	-10.0	-2.5
6.5	1.1643e-06	4.7351e-10	-10.0	-2.5
7.0	1.1646e-06	4.7378e-10	-10.0	-2.5
7.5	1.164e-06	4.7383e-10	-10.0	-2.5
8.0	1.1633e-06	4.6942e-10	-10.0	-2.5
8.5	1.1594e-06	4.7072e-10	-10.0	-2.5
9.0	1.1638e-06	4.646e-10	-10.0	-2.5
9.5	1.1596e-06	4.8151e-10	-10.0	-2.5
10.0	1.1563e-06	4.6905e-10	-10.0	-2.5
10.5	1.1586e-06	4.6393e-10	-10.0	-2.5
11.0	1.1571e-06	4.6454e-10	-10.0	-2.5
11.5	1.1563e-06	4.6169e-10	-10.0	-2.5
12.0	1.1575e-06	4.5764e-10	-10.0	-2.5
12.5	1.158e-06	4.607e-10	-10.0	-2.5
13.0	1.1523e-06	4.6756e-10	-10.0	-2.5
13.5	1.1533e-06	4.5915e-10	-10.0	-2.5
14.0	1.1522e-06	4.6375e-10	-10.0	-2.5
14.5	1.1508e-06	4.5728e-10	-10.0	-2.5
15.0	1.1479e-06	4.6302e-10	-10.0	-2.5
15.5	1.1525e-06	4.5399e-10	-10.0	-2.5
16.0	1.1506e-06	4.5609e-10	-10.0	-2.5
16.5	1.1497e-06	4.6078e-10	-10.0	-2.5
17.0	1.1488e-06	4.5216e-10	-10.0	-2.5
17.5	1.1502e-06	4.5197e-10	-10.0	-2.5
18.0	1.1487e-06	4.5617e-10	-10.0	-2.5
18.5	1.1488e-06	4.4732e-10	-10.0	-2.5
19.0	1.1485e-06	4.504e-10	-10.0	-2.5
19.5	1.1482e-06	4.537e-10	-10.0	-2.5
20.0	1.1446e-06	4.5367e-10	-10.0	-2.5
20.5	1.1458e-06	4.428e-10	-10.0	-2.5
21.0	1.1462e-06	4.5077e-10	-10.0	-2.5
21.5	1.1462e-06	4.5818e-10	-10.0	-2.5
22.0	1.1475e-06	4.4646e-10	-10.0	-2.5
22.5	1.1454e-06	4.5642e-10	-10.0	-2.5
23.0	1.146e-06	4.4923e-10	-10.0	-2.5
23.5	1.1455e-06	4.4563e-10	-10.0	-2.5
24.0	1.1458e-06	4.4897e-10	-10.0	-2.5
24.5	1.1443e-06	4.5155e-10	-10.0	-2.5
25.0	1.1452e-06	4.4561e-10	-10.0	-2.5
25.5	1.1445e-06	4.4946e-10	-10.0	-2.5
26.0	1.1444e-06	4.4152e-10	-10.0	-2.5
26.5	1.1431e-06	4.4612e-10	-10.0	-2.5
27.0	1.1404e-06	4.4993e-10	-10.0	-2.5
27.5	1.1407e-06	4.4333e-10	-10.0	-2.5
28.0	1.1385e-06	4.4507e-10	-10.0	-2.5
28.5	1.1382e-06	4.4576e-10	-10.0	-2.5
