#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 17:02:36;;;;;;|IDrain|, |IGate| (A);;;ON/OFF;;IDrain_max;1.57E-06
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;;;7.85E+07;;IDrain_off_avg;2.44E-09
-60.0001;-9.51E-10;0.303543;1;3.32E-10;0.303543;;;1.82E-05;;;3.32E-10;9.51E-10;;;;ON/OFF_new;6.43E+02
-59.5;-9.32E-10;0.480448;0.999999;3.97E-10;0.480448;;;1.99E-05;;;3.97E-10;9.32E-10;;;;;
-59.0001;-2.05E-09;0.657031;1.000001;1.58E-09;0.657031;;;3.97E-05;;;1.58E-09;2.05E-09;;;;;
-58.5;-1.69E-09;0.851199;0.999999;1.30E-09;0.851199;;;3.61E-05;;;1.30E-09;1.69E-09;;;;;
-58;-2.69E-09;1.028667;0.999999;2.31E-09;1.028667;;;4.81E-05;;;2.31E-09;2.69E-09;;;;;
-57.5001;-3.11E-09;1.205125;0.999999;2.76E-09;1.205125;;;5.25E-05;;;2.76E-09;3.11E-09;;;;;
-57;-4.39E-09;1.419739;1;4.07E-09;1.419739;;;6.38E-05;;;4.07E-09;4.39E-09;;;;;
-56.5;-4.00E-09;1.596255;1;3.68E-09;1.596255;;;6.07E-05;;;3.68E-09;0.000000004;;;;;
-56.0001;-6.43E-09;1.77272;1.000003;6.13E-09;1.77272;;;7.83E-05;;;6.13E-09;6.43E-09;;;;;
-55.5;-8.13E-09;1.949286;0.999997;7.86E-09;1.949286;;;8.87E-05;;;7.86E-09;8.13E-09;;;;;
-55;-7.41E-09;2.125862;0.999997;7.17E-09;2.125862;;;8.47E-05;;;7.17E-09;7.41E-09;;;;;
-54.5001;-6.96E-09;2.302495;1;6.72E-09;2.302495;;;8.20E-05;;;6.72E-09;6.96E-09;;;;;
-54;-9.04E-09;2.48166;0.999997;8.79E-09;2.48166;;;9.38E-05;;;8.79E-09;9.04E-09;;;;;
-53.5001;-8.29E-09;2.658193;1;8.07E-09;2.658193;;;8.98E-05;;;8.07E-09;8.29E-09;;;;;
-53;-8.01E-09;2.857982;1;7.80E-09;2.857982;;;8.83E-05;;;7.80E-09;8.01E-09;;;;;
-52.5;-7.45E-09;3.034885;1.000001;7.25E-09;3.034885;;;8.51E-05;;;7.25E-09;7.45E-09;;;;;
-52;-7.03E-09;3.211381;0.999999;6.84E-09;3.211381;;;8.27E-05;;;6.84E-09;7.03E-09;;;;;
