#scan;iMeasureCycle=1;iMux=0;time=0.07;N=142;LocalTime=21/12/2023 12:51:14;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;8.64E-09;0.224117;-10;-5.63E-09;0.224117;;;19.99999;5.63E-09;8.64E-09;7.51E-05;;;3.08E-09
19.5;6.36E-09;0.389103;-10.00001;-4.15E-09;0.389103;;;19.5;4.15E-09;6.36E-09;6.44E-05;;;
18.99999;5.17E-09;0.565313;-10.00001;-3.38E-09;0.565313;;;18.99999;3.38E-09;5.17E-09;5.81E-05;;;IDS_max
18.5;4.48E-09;0.74125;-10.00001;-2.93E-09;0.74125;;;18.5;2.93E-09;4.48E-09;5.42E-05;;;6.83E-05
17.99999;3.98E-09;0.927118;-10.00001;-2.63E-09;0.927118;;;17.99999;2.63E-09;3.98E-09;5.13E-05;;;
17.5;3.62E-09;1.103149;-10;-2.44E-09;1.103149;;;17.5;2.44E-09;3.62E-09;4.93E-05;;;ON/OFF
16.99999;3.28E-09;1.312228;-10.00001;-2.27E-09;1.312228;;;16.99999;2.27E-09;3.28E-09;4.76E-05;;;2.22E+04
16.49999;2.88E-09;1.488375;-10;-2.17E-09;1.488375;;;16.49999;2.17E-09;2.88E-09;4.66E-05;;;
16;2.48E-09;1.664396;-10.00001;-2.11E-09;1.664396;;;16;2.11E-09;2.48E-09;4.59E-05;;;
15.49999;2.02E-09;1.841642;-10;-2.23E-09;1.841642;;;15.49999;2.23E-09;2.02E-09;4.72E-05;;;
14.99999;1.71E-09;2.017755;-10.00001;-2.89E-09;2.017755;;;14.99999;2.89E-09;1.71E-09;5.37E-05;;;
14.5;1.80E-09;2.193765;-9.99999;-4.58E-09;2.193765;;;14.5;4.58E-09;1.80E-09;6.77E-05;;;
13.99999;2.11E-09;2.370008;-10.00001;-7.45E-09;2.370008;;;13.99999;7.45E-09;2.11E-09;8.63E-05;;;
13.49999;2.26E-09;2.540149;-10;-1.17E-08;2.540149;;;13.49999;1.17E-08;2.26E-09;0.000108253;;;
13;2.23E-09;2.689906;-10;-1.79E-08;2.689906;;;13;1.79E-08;2.23E-09;0.000133814;;;
12.5;2.20E-09;2.839722;-10;-2.66E-08;2.839722;;;12.5;2.66E-08;2.20E-09;0.000163232;;;
12;2.22E-09;2.989596;-10;-3.86E-08;2.989596;;;12;3.86E-08;2.22E-09;0.000196458;;;
11.49999;2.30E-09;3.139419;-10;-5.47E-08;3.139419;;;11.49999;5.47E-08;2.30E-09;0.000233947;;;
11;2.40E-09;3.314658;-10;-7.59E-08;3.314658;;;11;7.59E-08;2.40E-09;0.00027554;;;
10.5;2.35E-09;3.464527;-10;-1.04E-07;3.464527;;;10.5;1.04E-07;2.35E-09;0.000322072;;;
9.99999;2.34E-09;3.620253;-10;-1.41E-07;3.620253;;;9.99999;1.41E-07;2.34E-09;0.000374844;;;
9.49999;2.33E-09;3.79292;-10;-1.90E-07;3.79292;;;9.49999;1.90E-07;2.33E-09;0.00043606;;;
8.99999;2.26E-09;3.942741;-10;-2.60E-07;3.942741;;;8.99999;2.60E-07;2.26E-09;0.000510074;;;
8.49999;2.21E-09;4.092578;-10;-3.61E-07;4.092578;;;8.49999;3.61E-07;2.21E-09;0.000600793;;;
7.99999;2.12E-09;4.242441;-10;-5.09E-07;4.242441;;;7.99999;5.09E-07;2.12E-09;0.000713194;;;
7.5;2.02E-09;4.409997;-10;-7.24E-07;4.409997;;;7.5;7.24E-07;2.02E-09;0.000850831;;;
7;1.82E-09;4.563187;-10;-1.03E-06;4.563187;;;7;1.03E-06;1.82E-09;0.001015411;;;
6.49999;1.51E-09;4.712943;-10;-1.45E-06;4.712943;;;6.49999;1.45E-06;1.51E-09;0.001205587;;;
5.99999;1.34E-09;4.862788;-10;-2.02E-06;4.862788;;;5.99999;2.02E-06;1.34E-09;0.001420753;;;
5.49999;1.44E-09;5.01272;-10;-2.75E-06;5.01272;;;5.49999;2.75E-06;1.44E-09;0.001658493;;;
5;1.56E-09;5.162524;-10;-3.67E-06;5.162524;;;5;3.67E-06;1.56E-09;0.001916163;;;
4.5;1.57E-09;5.320658;-10;-4.79E-06;5.320658;;;4.5;4.79E-06;1.57E-09;0.002189107;;;
3.99999;1.50E-09;5.470493;-10;-6.12E-06;5.470493;;;3.99999;6.12E-06;1.50E-09;0.002474617;;;
3.5;1.57E-09;5.620297;-10;-7.66E-06;5.620297;;;3.5;7.66E-06;1.57E-09;0.002767546;;;
3;1.62E-09;5.794959;-10;-9.37E-06;5.794959;;;3;9.37E-06;1.62E-09;0.003061529;;;
2.49999;1.51E-09;5.948158;-10;-1.13E-05;5.948158;;;2.49999;1.13E-05;1.51E-09;0.003358348;;;
1.99999;1.40E-09;6.097985;-10;-1.33E-05;6.097985;;;1.99999;1.33E-05;1.40E-09;0.003650288;;;
1.49999;1.26E-09;6.247838;-10;-1.55E-05;6.247838;;;1.49999;1.55E-05;1.26E-09;0.003935924;;;
0.99999;1.14E-09;6.41591;-10;-1.77E-05;6.41591;;;0.99999;1.77E-05;1.14E-09;0.004212292;;;
0.5;9.78E-10;6.565761;-10;-2.01E-05;6.565761;;;0.5;2.01E-05;9.78E-10;0.004482934;;;
-1.00E-05;8.27E-10;6.715545;-10;-2.25E-05;6.715545;;;-1.00E-05;0.000022513;8.27E-10;0.004744787;;;
-0.50001;6.69E-10;6.865363;-10;-2.50E-05;6.865363;;;-0.50001;2.50E-05;6.69E-10;0.004995908;;;
-1.00001;5.10E-10;7.015286;-10;-2.74E-05;7.015286;;;-1.00001;2.74E-05;5.10E-10;0.005235628;;;
-1.5;3.14E-10;7.165064;-10;-2.99E-05;7.165064;;;-1.5;2.99E-05;3.14E-10;0.005465309;;;
-2.00001;1.86E-10;7.324578;-10;-3.23E-05;7.324578;;;-2.00001;3.23E-05;1.86E-10;0.005684883;;;
-2.5;7.30E-12;7.474516;-10;-3.48E-05;7.474516;;;-2.5;3.48E-05;7.30E-12;0.005895838;;;
-3;-1.83E-10;7.624438;-10;-3.72E-05;7.624438;;;-3;3.72E-05;1.83E-10;0.006096524;;;
-3.5;-3.27E-10;7.798583;-10;-3.95E-05;7.798583;;;-3.5;3.95E-05;3.27E-10;0.006286326;;;
-4;-5.61E-10;7.948412;-10;-4.18E-05;7.948412;;;-4;4.18E-05;5.61E-10;0.006469034;;;
-4.50001;-7.77E-10;8.098161;-10;-4.41E-05;8.098161;;;-4.50001;4.41E-05;7.77E-10;0.006642477;;;
-5.00001;-1.02E-09;8.248076;-10;-4.63E-05;8.248076;;;-5.00001;4.63E-05;1.02E-09;0.006805593;;;
-5.50001;-1.22E-09;8.419574;-10;-4.84E-05;8.419574;;;-5.50001;4.84E-05;1.22E-09;0.006959116;;;
-6;-1.46E-09;8.569425;-10;-5.05E-05;8.569425;;;-6;5.05E-05;1.46E-09;0.007103548;;;
-6.50001;-1.69E-09;8.71928;-10;-5.24E-05;8.71928;;;-6.50001;5.24E-05;1.69E-09;0.007237037;;;
-7;-1.94E-09;8.869122;-10;-5.42E-05;8.869122;;;-7;5.42E-05;1.94E-09;0.007359742;;;
-7.5;-2.18E-09;9.019755;-10;-5.58E-05;9.019755;;;-7.5;5.58E-05;2.18E-09;0.007471225;;;
-8;-2.43E-09;9.169538;-10;-5.73E-05;9.169538;;;-8;5.73E-05;2.43E-09;0.007571664;;;
-8.5;-2.64E-09;9.329839;-10;-5.87E-05;9.329839;;;-8.5;5.87E-05;2.64E-09;0.007661436;;;
-9;-2.91E-09;9.479823;-10;-6.00E-05;9.479823;;;-9;6.00E-05;2.91E-09;0.007743584;;;
-9.50001;-3.17E-09;9.629803;-10;-6.11E-05;9.629803;;;-9.50001;0.0000611;3.17E-09;0.007816649;;;
-10.00001;-3.36E-09;9.804494;-10;-6.21E-05;9.804494;;;-10.00001;6.21E-05;3.36E-09;0.007881358;;;
-10.5;-3.69E-09;9.95435;-10;-6.31E-05;9.95435;;;-10.5;6.31E-05;3.69E-09;0.007941839;;;
-11.00001;-3.97E-09;10.104154;-10;-6.39E-05;10.104154;;;-11.00001;6.39E-05;3.97E-09;0.007996105;;;
-11.5;-4.25E-09;10.254045;-10;-6.47E-05;10.254045;;;-11.5;0.000064715;4.25E-09;0.008044563;;;
-12.00001;-4.49E-09;10.424457;-10;-6.54E-05;10.424457;;;-12.00001;6.54E-05;4.49E-09;0.008086619;;;
-12.50001;-4.80E-09;10.574316;-10;-6.60E-05;10.574316;;;-12.50001;6.60E-05;4.80E-09;0.008125398;;;
-13.00001;-5.08E-09;10.724094;-10;-6.66E-05;10.724094;;;-13.00001;6.66E-05;5.08E-09;0.008160607;;;
-13.5;-5.36E-09;10.873939;-10;-6.71E-05;10.873939;;;-13.5;6.71E-05;5.36E-09;0.00819116;;;
-14;-5.65E-09;11.024567;-10;-6.75E-05;11.024567;;;-14;6.75E-05;5.65E-09;0.008218558;;;
-14.50001;-5.97E-09;11.174359;-10;-6.79E-05;11.174359;;;-14.50001;6.79E-05;5.97E-09;0.008242487;;;
-15.00001;-6.21E-09;11.334149;-10;-6.83E-05;11.334149;;;-15.00001;6.83E-05;6.21E-09;0.00826181;;;
-15.00001;-5.95E-09;11.456533;-10;-6.82E-05;11.456533;;;-15.00001;6.82E-05;5.95E-09;0.008255332;;;
-14.50001;-5.10E-09;11.606403;-10;-6.75E-05;11.606403;;;-14.50001;6.75E-05;5.10E-09;0.008218479;;;
-14.00001;-4.54E-09;11.756237;-10;-6.69E-05;11.756237;;;-14.00001;6.69E-05;4.54E-09;0.008180165;;;
-13.50001;-4.07E-09;11.928905;-10;-6.62E-05;11.928905;;;-13.50001;6.62E-05;4.07E-09;0.008138931;;;
-13.00001;-3.65E-09;12.078712;-10;-6.55E-05;12.078712;;;-13.00001;6.55E-05;3.65E-09;0.008094004;;;
-12.50001;-3.25E-09;12.228562;-10;-6.47E-05;12.228562;;;-12.50001;6.47E-05;3.25E-09;0.008045732;;;
-12.00001;-2.92E-09;12.378446;-10;-6.39E-05;12.378446;;;-12.00001;6.39E-05;2.92E-09;0.007993072;;;
-11.5;-2.59E-09;12.528343;-10;-6.30E-05;12.528343;;;-11.5;0.00006298;2.59E-09;0.007935994;;;
-11;-2.25E-09;12.678258;-10;-6.20E-05;12.678258;;;-11;0.000061998;2.25E-09;0.007873881;;;
-10.5;-1.94E-09;12.837526;-10;-6.09E-05;12.837526;;;-10.5;6.09E-05;1.94E-09;0.007806939;;;
-10;-1.63E-09;12.987511;-10;-5.98E-05;12.987511;;;-10;5.98E-05;1.63E-09;0.007733136;;;
-9.50001;-1.34E-09;13.137286;-10;-5.86E-05;13.137286;;;-9.50001;5.86E-05;1.34E-09;0.007652823;;;
-9;-1.13E-09;13.311583;-10;-5.73E-05;13.311583;;;-9;5.73E-05;1.13E-09;0.007566651;;;
-8.50001;-8.22E-10;13.461445;-10;-5.58E-05;13.461445;;;-8.50001;5.58E-05;8.22E-10;0.007470991;;;
-8;-5.64E-10;13.611317;-10;-5.43E-05;13.611317;;;-8;5.43E-05;5.64E-10;0.007366051;;;
-7.5;-2.90E-10;13.761155;-10;-5.26E-05;13.761155;;;-7.5;5.26E-05;2.90E-10;0.00725109;;;
