#scan;iMeasureCycle=1;iMux=0;time=0.14;N=492;LocalTime=21/12/2023 12:49:13;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;3.78E-09;0.300314;0;-2.42E-09;0.300314;;;0;2.41563E-09
9.99999;3.48E-09;0.470677;-0.5;-1.65E-08;0.470677;;;-0.5;1.64564E-08
10;3.31E-09;0.640714;-1;-2.87E-08;0.640714;;;-1;2.86772E-08
9.99999;3.22E-09;0.810736;-1.5;-3.91E-08;0.810736;;;-1.5;3.91234E-08
9.99999;3.17E-09;0.999946;-2;-4.80E-08;0.999946;;;-2;4.80103E-08
9.99999;3.14E-09;1.169962;-2.49999;-5.55E-08;1.169962;;;-2.49999;5.5461E-08
9.99999;3.06E-09;1.377507;-3;-6.18E-08;1.377507;;;-3;6.17809E-08
10;3.17E-09;1.550161;-3.50001;-6.71E-08;1.550161;;;-3.50001;6.70902E-08
9.99999;3.25E-09;1.722612;-4.00001;-7.15E-08;1.722612;;;-4.00001;7.15383E-08
10;3.25E-09;1.911081;-4.5;-7.52E-08;1.911081;;;-4.5;7.52257E-08
10;3.35E-09;2.08368;-5.00001;-7.83E-08;2.08368;;;-5.00001;7.83387E-08
9.99999;3.34E-09;2.256229;-5.50001;-8.09E-08;2.256229;;;-5.50001;8.08694E-08
9.99999;3.32E-09;2.412017;-6;-8.29E-08;2.412017;;;-6;8.2924E-08
9.99999;3.27E-09;2.561798;-6.5;-8.46E-08;2.561798;;;-6.5;8.4618E-08
10;3.20E-09;2.711622;-7;-8.60E-08;2.711622;;;-7;8.6009E-08
10;3.06E-09;2.898386;-7.5;-8.73E-08;2.898386;;;-7.5;8.732E-08
9.99999;3.01E-09;3.04826;-8;-8.84E-08;3.04826;;;-8;8.8403E-08
9.99999;2.93E-09;3.197998;-8.5;-8.93E-08;3.197998;;;-8.5;8.9343E-08
9.99999;2.86E-09;3.385149;-9;-9.04E-08;3.385149;;;-9;9.0377E-08
10;2.82E-09;3.534953;-9.5;-9.12E-08;3.534953;;;-9.5;9.1204E-08
10;2.79E-09;3.684837;-10;-9.20E-08;3.684837;;;-10;9.1996E-08
10;2.74E-09;3.8702;-10.5;-9.29E-08;3.8702;;;-10.5;9.2912E-08
10;2.72E-09;4.020088;-11;-9.36E-08;4.020088;;;-11;9.3648E-08
9.99999;2.69E-09;4.175792;-11.5;-9.43E-08;4.175792;;;-11.5;9.4328E-08
10;2.67E-09;4.325563;-12;-9.51E-08;4.325563;;;-12;9.5082E-08
9.99999;2.64E-09;4.493738;-12.5;-9.58E-08;4.493738;;;-12.5;9.5783E-08
9.99999;2.60E-09;4.64353;-13;-9.65E-08;4.64353;;;-13;9.6452E-08
