#scan;iMeasureCycle=1;iMux=0;time=0.131;N=210;LocalTime=20/12/2023 14:31:18;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
4.99999;3.60E-09;0.291086;-1.00E-05;-2.17E-09;0.291086;;;-1.00E-05;2.17224E-09
5;3.24E-09;0.467662;-0.5;-1.97E-09;0.467662;;;-0.5;1.97216E-09
4.99999;3.03E-09;0.643655;-1;-1.86E-09;0.643655;;;-1;1.85662E-09
4.99999;2.86E-09;0.83917;-1.5;-1.77E-09;0.83917;;;-1.5;1.76547E-09
5;2.73E-09;1.015414;-2.00001;-1.70E-09;1.015414;;;-2.00001;1.70215E-09
5;2.63E-09;1.191663;-2.50001;-1.65E-09;1.191663;;;-2.50001;1.64922E-09
5;2.51E-09;1.404403;-3;-1.59E-09;1.404403;;;-3;1.59277E-09
4.99999;2.43E-09;1.580413;-3.5;-1.55E-09;1.580413;;;-3.5;1.55067E-09
5;2.35E-09;1.756444;-4;-1.52E-09;1.756444;;;-4;1.51679E-09
4.99999;2.28E-09;1.932672;-4.50001;-1.48E-09;1.932672;;;-4.50001;1.48195E-09
4.99999;2.22E-09;2.108752;-5;-1.45E-09;2.108752;;;-5;1.45209E-09
5;2.16E-09;2.284782;-5.5;-1.42E-09;2.284782;;;-5.5;1.42419E-09
5;2.10E-09;2.462803;-6.00001;-1.40E-09;2.462803;;;-6.00001;1.39501E-09
4.99999;2.04E-09;2.638856;-6.50001;-1.37E-09;2.638856;;;-6.50001;1.37091E-09
5;1.99E-09;2.814998;-7.00001;-1.35E-09;2.814998;;;-7.00001;1.34593E-09
5;1.94E-09;3.000702;-7.50001;-1.32E-09;3.000702;;;-7.50001;1.32229E-09
5;1.90E-09;3.176658;-8.00001;-1.30E-09;3.176658;;;-8.00001;1.3026E-09
4.99999;1.85E-09;3.385225;-8.49999;-1.28E-09;3.385225;;;-8.49999;1.27721E-09
5;1.82E-09;3.561435;-9.00001;-1.26E-09;3.561435;;;-9.00001;1.25698E-09
5;1.78E-09;3.737555;-9.50001;-1.24E-09;3.737555;;;-9.50001;1.23915E-09
5;1.74E-09;3.913686;-10.00001;-1.22E-09;3.913686;;;-10.00001;1.22196E-09
5;1.72E-09;4.034897;-10.00001;-1.21E-09;4.034897;;;-10.00001;1.20831E-09
5;1.68E-09;4.210984;-9.50001;-1.19E-09;4.210984;;;-9.50001;1.18576E-09
4.99999;1.65E-09;4.40688;-9.00001;-1.17E-09;4.40688;;;-9.00001;1.16569E-09
5;1.62E-09;4.582974;-8.5;-1.15E-09;4.582974;;;-8.5;1.14945E-09
4.99999;1.59E-09;4.759116;-8;-1.13E-09;4.759116;;;-8;1.13392E-09
4.99999;1.56E-09;4.935168;-7.50001;-1.12E-09;4.935168;;;-7.50001;1.11656E-09
5;1.54E-09;5.11127;-7;-1.10E-09;5.11127;;;-7;1.10268E-09
5;1.52E-09;5.28727;-6.5;-1.09E-09;5.28727;;;-6.5;1.08863E-09
4.99999;1.49E-09;5.465118;-6.00001;-1.07E-09;5.465118;;;-6.00001;1.07229E-09
5;1.46E-09;5.641136;-5.50001;-1.06E-09;5.641136;;;-5.50001;1.05839E-09
4.99999;1.44E-09;5.81722;-5.00001;-1.05E-09;5.81722;;;-5.00001;1.04585E-09
4.99999;1.42E-09;6.008659;-4.50001;-1.03E-09;6.008659;;;-4.50001;1.03084E-09
4.99999;1.40E-09;6.184642;-4.00001;-1.02E-09;6.184642;;;-4.00001;1.01966E-09
4.99999;1.38E-09;6.393352;-3.5;-1.00E-09;6.393352;;;-3.5;1.00391E-09
4.99999;1.36E-09;6.569455;-3;-9.94E-10;6.569455;;;-3;9.9379E-10
5;1.34E-09;6.745494;-2.5;-9.79E-10;6.745494;;;-2.5;9.7914E-10
4.99999;1.32E-09;6.922989;-2;-9.67E-10;6.922989;;;-2;9.6736E-10
5;1.30E-09;7.099098;-1.5;-9.54E-10;7.099098;;;-1.5;9.5424E-10
5;1.28E-09;7.275086;-1.00001;-9.41E-10;7.275086;;;-1.00001;9.4136E-10
4.99999;1.26E-09;7.451167;-0.5;-9.29E-10;7.451167;;;-0.5;9.2863E-10
5;1.25E-09;7.627199;-1.00E-05;-9.16E-10;7.627199;;;-1.00E-05;9.157E-10
2.5;1.02E-09;7.803189;-1.00E-05;-7.55E-10;7.803189;;;-1.00E-05;7.5512E-10
2.5;1.19E-09;7.981314;-0.50001;-9.15E-10;7.981314;;;-0.50001;9.1482E-10
2.5;1.21E-09;8.157358;-1.00001;-9.45E-10;8.157358;;;-1.00001;9.4502E-10
2.5;1.21E-09;8.333373;-1.5;-9.53E-10;8.333373;;;-1.5;9.5324E-10
2.49999;1.20E-09;8.515295;-2.00001;-9.54E-10;8.515295;;;-2.00001;9.5438E-10
2.49999;1.18E-09;8.691331;-2.50001;-9.53E-10;8.691331;;;-2.50001;9.5293E-10
2.49999;1.17E-09;8.900456;-3;-9.49E-10;8.900456;;;-3;9.4906E-10
2.5;1.16E-09;9.076534;-3.50001;-9.49E-10;9.076534;;;-3.50001;9.4863E-10
2.49999;1.15E-09;9.278214;-4.00001;-9.48E-10;9.278214;;;-4.00001;9.4798E-10
2.49999;1.13E-09;9.454373;-4.50001;-9.49E-10;9.454373;;;-4.50001;9.4876E-10
2.5;1.12E-09;9.630478;-5;-9.48E-10;9.630478;;;-5;9.4809E-10
2.49999;1.11E-09;9.806548;-5.5;-9.49E-10;9.806548;;;-5.5;9.4931E-10
2.5;1.10E-09;9.985246;-6.00001;-9.48E-10;9.985246;;;-6.00001;9.4798E-10
2.49999;1.09E-09;10.161392;-6.50001;-9.49E-10;10.161392;;;-6.50001;9.4918E-10
2.5;1.08E-09;10.337396;-7;-9.51E-10;10.337396;;;-7;9.5128E-10
2.5;1.07E-09;10.521496;-7.50001;-9.50E-10;10.521496;;;-7.50001;9.5001E-10
2.5;1.06E-09;10.697607;-8;-9.52E-10;10.697607;;;-8;9.518E-10
2.49999;1.05E-09;10.906452;-8.5;-9.51E-10;10.906452;;;-8.5;9.5118E-10
2.5;1.04E-09;11.082484;-9.00001;-9.52E-10;11.082484;;;-9.00001;9.5248E-10
2.49999;1.03E-09;11.258504;-9.50001;-9.55E-10;11.258504;;;-9.50001;9.5463E-10
2.49999;1.02E-09;11.436225;-10.00001;-9.53E-10;11.436225;;;-10.00001;9.5345E-10
2.49999;1.01E-09;11.557421;-10.00001;-9.48E-10;11.557421;;;-10.00001;9.4805E-10
2.49999;9.96E-10;11.733598;-9.50001;-9.31E-10;11.733598;;;-9.50001;9.3075E-10
2.5;9.88E-10;11.927684;-9.00001;-9.16E-10;11.927684;;;-9.00001;9.158E-10
2.49999;9.79E-10;12.103942;-8.5;-9.01E-10;12.103942;;;-8.5;9.0087E-10
2.5;9.71E-10;12.27999;-8;-8.87E-10;12.27999;;;-8;8.8713E-10
2.5;9.62E-10;12.456252;-7.50001;-8.73E-10;12.456252;;;-7.50001;8.7266E-10
2.49999;9.55E-10;12.632411;-7.00001;-8.60E-10;12.632411;;;-7.00001;8.5981E-10
2.49999;9.44E-10;12.808422;-6.5;-8.45E-10;12.808422;;;-6.5;8.4484E-10
2.49999;9.37E-10;12.986836;-6.00001;-8.31E-10;12.986836;;;-6.00001;8.3117E-10
2.5;9.28E-10;13.162958;-5.50001;-8.16E-10;13.162958;;;-5.50001;8.1575E-10
2.5;9.20E-10;13.338941;-5.00001;-8.02E-10;13.338941;;;-5.00001;8.0198E-10
2.5;9.09E-10;13.529312;-4.50001;-7.84E-10;13.529312;;;-4.50001;7.8391E-10
2.5;9.00E-10;13.705336;-4.00001;-7.68E-10;13.705336;;;-4.00001;7.6777E-10
2.5;8.91E-10;13.909791;-3.5;-7.52E-10;13.909791;;;-3.5;7.5245E-10
2.49999;8.79E-10;14.086128;-3;-7.34E-10;14.086128;;;-3;7.3443E-10
2.49999;8.69E-10;14.262132;-2.5;-7.19E-10;14.262132;;;-2.5;7.1853E-10
2.5;8.59E-10;14.44423;-2;-7.01E-10;14.44423;;;-2;7.0099E-10
2.49999;8.43E-10;14.620384;-1.50001;-6.77E-10;14.620384;;;-1.50001;6.7737E-10
2.5;8.22E-10;14.796443;-1;-6.47E-10;14.796443;;;-1;6.4658E-10
2.49999;7.92E-10;14.972634;-0.5;-6.06E-10;14.972634;;;-0.5;6.0637E-10
2.5;7.21E-10;15.148715;-1.00E-05;-5.29E-10;15.148715;;;-1.00E-05;5.2861E-10
-8.00E-07;-3.16E-09;15.324679;-1.00E-05;3.17E-09;15.324679;;;-1.00E-05;3.16519E-09
3.00E-07;-1.50E-09;15.482125;-0.5;-8.32E-07;15.482125;;;-0.5;8.32081E-07
5.00E-07;-4.85E-10;15.635275;-1;-1.17E-06;15.635275;;;-1;1.17451E-06
2.00E-07;-4.98E-11;15.785141;-1.5;-1.28E-06;15.785141;;;-1.5;1.2798E-06
