#scan;iMeasureCycle=1;iMux=0;time=0.131;N=202;LocalTime=20/12/2023 14:36:01;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
-0.3;-2.03E-09;9.402101;-0.5;-1.11E-06;9.402101;;;-0.3;1.11459E-06;2.02802E-09
-0.40001;-2.39E-09;9.5521;-0.5;-1.19E-06;9.5521;;;-0.40001;1.19469E-06;2.39121E-09
-0.5;-2.74E-09;9.70195;-0.5;-1.27E-06;9.70195;;;-0.5;1.26974E-06;2.74106E-09
-0.6;-3.08E-09;9.874279;-0.5;-1.34E-06;9.874279;;;-0.6;1.34056E-06;3.07734E-09
-0.70001;-3.46E-09;10.024195;-0.5;-1.41E-06;10.024195;;;-0.70001;1.40788E-06;3.4639E-09
-0.80001;-3.84E-09;10.174111;-0.5;-1.47E-06;10.174111;;;-0.80001;1.47141E-06;3.83669E-09
-0.9;-4.23E-09;10.323974;-0.5;-1.53E-06;10.323974;;;-0.9;1.53209E-06;4.2296E-09
-1;-4.59E-09;10.494163;-0.5;-1.59E-06;10.494163;;;-1;1.58999E-06;4.59257E-09
-1.10001;-4.98E-09;10.643977;-0.5;-1.65E-06;10.643977;;;-1.10001;1.64565E-06;4.97636E-09
-1.2;-5.36E-09;10.793964;-0.5;-1.70E-06;10.793964;;;-1.2;1.69911E-06;5.36116E-09
-1.3;-5.75E-09;10.943849;-0.5;-1.75E-06;10.943849;;;-1.3;1.74974E-06;5.75155E-09
-1.4;-6.15E-09;11.094137;-0.5;-1.80E-06;11.094137;;;-1.4;1.79869E-06;6.14623E-09
-1.50001;-6.55E-09;11.244093;-0.5;-1.85E-06;11.244093;;;-1.50001;1.84517E-06;6.55184E-09
-1.6;-6.92E-09;11.404136;-0.5;-1.89E-06;11.404136;;;-1.6;1.89094E-06;6.92125E-09
-1.7;-7.34E-09;11.554018;-0.5;-1.93E-06;11.554018;;;-1.7;1.93465E-06;7.33659E-09
-1.80001;-7.74E-09;11.703877;-0.5;-1.98E-06;11.703877;;;-1.80001;1.97595E-06;7.74418E-09
-1.9;-8.12E-09;11.877862;-0.5;-2.02E-06;11.877862;;;-1.9;2.0164E-06;8.11754E-09
-2;-8.55E-09;12.027743;-0.5;-2.06E-06;12.027743;;;-2;2.05533E-06;8.55172E-09
-2.1;-9.01E-09;12.17163;-0.5;-2.09E-06;12.17163;;;-2.1;2.09261E-06;9.0098E-09
-2.19999;-9.47E-09;12.315551;-0.5;-2.13E-06;12.315551;;;-2.19999;2.12905E-06;9.4746E-09
-2.3;-9.94E-09;12.459429;-0.5;-2.16E-06;12.459429;;;-2.3;2.16421E-06;9.9405E-09
-2.4;-1.04E-08;12.603432;-0.5;-2.20E-06;12.603432;;;-2.4;2.19782E-06;1.04246E-08
-2.5;-1.09E-08;12.747257;-0.5;-2.23E-06;12.747257;;;-2.5;2.23089E-06;1.09107E-08
-2.60001;-1.14E-08;12.901403;-0.5;-2.26E-06;12.901403;;;-2.60001;2.26275E-06;1.13877E-08
-2.7;-1.19E-08;13.045303;-0.5;-2.29E-06;13.045303;;;-2.7;2.29297E-06;1.19227E-08
-2.8;-1.25E-08;13.18914;-0.5;-2.32E-06;13.18914;;;-2.8;2.32199E-06;1.24558E-08
-2.90001;-1.30E-08;13.333043;-0.5;-2.35E-06;13.333043;;;-2.90001;2.35064E-06;1.30038E-08
-3;-1.35E-08;13.495505;-0.5;-2.38E-06;13.495505;;;-3;2.37798E-06;1.3538E-08
-3.1;-1.41E-08;13.63938;-0.5;-2.40E-06;13.63938;;;-3.1;2.40498E-06;1.41176E-08
-3.2;-1.47E-08;13.783241;-0.5;-2.43E-06;13.783241;;;-3.2;2.43062E-06;1.47114E-08
-3.3;-1.53E-08;13.927124;-0.5;-2.46E-06;13.927124;;;-3.3;2.45595E-06;1.53115E-08
-3.40001;-1.59E-08;14.071015;-0.5;-2.48E-06;14.071015;;;-3.40001;2.47989E-06;1.59217E-08
-3.5;-1.65E-08;14.214843;-0.5;-2.50E-06;14.214843;;;-3.5;2.50298E-06;1.65371E-08
-3.6;-1.71E-08;14.383216;-0.5;-2.53E-06;14.383216;;;-3.6;2.52666E-06;1.71069E-08
-3.7;-1.78E-08;14.527123;-0.5;-2.55E-06;14.527123;;;-3.7;2.54833E-06;1.77598E-08
-3.8;-1.84E-08;14.670982;-0.5;-2.57E-06;14.670982;;;-3.8;2.5695E-06;1.84057E-08
-3.9;-1.91E-08;14.814881;-0.5;-2.59E-06;14.814881;;;-3.9;2.59078E-06;1.9062E-08
-4;-1.97E-08;14.958751;-0.5;-2.61E-06;14.958751;;;-4;2.60998E-06;1.96991E-08
-4.1;-2.04E-08;15.102663;-0.5;-2.63E-06;15.102663;;;-4.1;2.62948E-06;2.03747E-08
-4.2;-2.10E-08;15.246621;-0.5;-2.65E-06;15.246621;;;-4.2;2.64845E-06;2.10491E-08
-4.3;-2.17E-08;15.407587;-0.5;-2.67E-06;15.407587;;;-4.3;2.66636E-06;2.17041E-08
-4.4;-2.24E-08;15.551476;-0.5;-2.68E-06;15.551476;;;-4.4;2.68434E-06;2.2394E-08
-4.5;-2.31E-08;15.695355;-0.5;-2.70E-06;15.695355;;;-4.5;2.70105E-06;2.30808E-08
-4.6;-2.38E-08;15.839222;-0.5;-2.72E-06;15.839222;;;-4.6;2.71761E-06;2.37792E-08
-4.7;-2.45E-08;16.001492;-0.5;-2.73E-06;16.001492;;;-4.7;2.73336E-06;2.4474E-08
-4.8;-2.52E-08;16.145343;-0.5;-2.75E-06;16.145343;;;-4.8;2.74861E-06;2.52045E-08
-4.9;-2.59E-08;16.289258;-0.5;-2.76E-06;16.289258;;;-4.9;2.76404E-06;2.59108E-08
-5;-2.66E-08;16.433261;-0.5;-2.78E-06;16.433261;;;-5;2.77879E-06;2.66489E-08
-5;-2.65E-08;16.556821;-0.5;-2.78E-06;16.556821;;;-5;2.77893E-06;2.64672E-08
-4.9;-2.54E-08;16.700712;-0.5;-2.76E-06;16.700712;;;-4.9;2.76389E-06;2.5379E-08
-4.79999;-2.44E-08;16.844581;-0.5;-2.75E-06;16.844581;;;-4.79999;2.74878E-06;2.4352E-08
-4.7;-2.34E-08;17.003785;-0.5;-2.73E-06;17.003785;;;-4.7;2.73341E-06;2.3388E-08
-4.6;-2.24E-08;17.147627;-0.5;-2.72E-06;17.147627;;;-4.6;2.7168E-06;2.2445E-08
-4.5;-2.15E-08;17.291524;-0.5;-2.70E-06;17.291524;;;-4.5;2.69992E-06;2.15251E-08
-4.4;-2.06E-08;17.4355;-0.5;-2.68E-06;17.4355;;;-4.4;2.68184E-06;2.06362E-08
-4.3;-1.98E-08;17.579453;-0.5;-2.66E-06;17.579453;;;-4.3;2.66391E-06;1.97718E-08
-4.2;-1.89E-08;17.723303;-0.5;-2.65E-06;17.723303;;;-4.2;2.64512E-06;1.8916E-08
-4.1;-1.81E-08;17.89176;-0.5;-2.63E-06;17.89176;;;-4.1;2.62655E-06;1.80966E-08
-4;-1.73E-08;18.035726;-0.5;-2.61E-06;18.035726;;;-4;2.60684E-06;1.72699E-08
-3.90001;-1.65E-08;18.179569;-0.5;-2.59E-06;18.179569;;;-3.90001;2.5864E-06;1.64654E-08
-3.8;-1.57E-08;18.323447;-0.5;-2.56E-06;18.323447;;;-3.8;2.56499E-06;1.56553E-08
-3.7;-1.49E-08;18.467382;-0.5;-2.54E-06;18.467382;;;-3.7;2.54329E-06;1.48744E-08
-3.6;-1.41E-08;18.611331;-0.5;-2.52E-06;18.611331;;;-3.6;2.52095E-06;1.4114E-08
-3.5;-1.34E-08;18.755186;-0.5;-2.50E-06;18.755186;;;-3.5;2.4983E-06;1.3369E-08
-3.39999;-1.26E-08;18.915669;-0.5;-2.47E-06;18.915669;;;-3.39999;2.47445E-06;1.26427E-08
-3.3;-1.19E-08;19.059635;-0.5;-2.45E-06;19.059635;;;-3.3;2.44971E-06;1.19127E-08
-3.2;-1.12E-08;19.203457;-0.5;-2.42E-06;19.203457;;;-3.2;2.4246E-06;1.11993E-08
-3.1;-1.05E-08;19.347372;-0.5;-2.40E-06;19.347372;;;-3.1;2.39874E-06;1.04989E-08
-3;-9.82E-09;19.509589;-0.5;-2.37E-06;19.509589;;;-3;2.37196E-06;9.8194E-09
-2.9;-9.16E-09;19.65348;-0.5;-2.34E-06;19.65348;;;-2.9;2.34338E-06;9.1602E-09
-2.79999;-8.48E-09;19.803281;-0.5;-2.31E-06;19.803281;;;-2.79999;2.31446E-06;8.48279E-09
-2.70001;-7.85E-09;19.953156;-0.5;-2.29E-06;19.953156;;;-2.70001;2.28511E-06;7.85218E-09
-2.6;-7.21E-09;20.103015;-0.5;-2.25E-06;20.103015;;;-2.6;2.25434E-06;7.21021E-09
-2.5;-6.58E-09;20.252991;-0.5;-2.22E-06;20.252991;;;-2.5;2.22257E-06;6.58058E-09
-2.40001;-6.02E-09;20.425836;-0.5;-2.19E-06;20.425836;;;-2.40001;2.18971E-06;6.01979E-09
-2.30001;-5.42E-09;20.575698;-0.5;-2.16E-06;20.575698;;;-2.30001;2.15508E-06;5.41759E-09
-2.20001;-4.83E-09;20.725611;-0.5;-2.12E-06;20.725611;;;-2.20001;2.12025E-06;4.82812E-09
-2.10001;-4.29E-09;20.900545;-0.5;-2.08E-06;20.900545;;;-2.10001;2.08425E-06;4.29219E-09
-2.00001;-3.72E-09;21.05048;-0.5;-2.05E-06;21.05048;;;-2.00001;2.04609E-06;3.71978E-09
-1.90001;-3.18E-09;21.200307;-0.5;-2.01E-06;21.200307;;;-1.90001;2.00724E-06;3.18314E-09
-1.8;-2.64E-09;21.35018;-0.5;-1.97E-06;21.35018;;;-1.8;1.96719E-06;2.64394E-09
-1.70001;-2.14E-09;21.520275;-0.5;-1.93E-06;21.520275;;;-1.70001;1.92511E-06;2.14002E-09
-1.60001;-1.64E-09;21.670071;-0.5;-1.88E-06;21.670071;;;-1.60001;1.88105E-06;1.64109E-09
-1.5;-1.16E-09;21.819948;-0.5;-1.84E-06;21.819948;;;-1.5;1.83613E-06;1.16058E-09
-1.40001;-6.88E-10;21.969807;-0.5;-1.79E-06;21.969807;;;-1.40001;1.78918E-06;6.8824E-10
-1.30001;-2.30E-10;22.120153;-0.5;-1.74E-06;22.120153;;;-1.30001;1.73993E-06;2.3005E-10
-1.2;2.12E-10;22.27015;-0.5;-1.69E-06;22.27015;;;-1.2;1.68899E-06;2.1212E-10
-1.10001;6.22E-10;22.430526;-0.5;-1.64E-06;22.430526;;;-1.10001;1.63522E-06;6.2219E-10
-1.00001;1.05E-09;22.58036;-0.5;-1.58E-06;22.58036;;;-1.00001;1.57972E-06;1.04637E-09
-0.90001;1.44E-09;22.730231;-0.5;-1.52E-06;22.730231;;;-0.90001;1.52141E-06;1.44116E-09
-0.80001;1.77E-09;22.905649;-0.5;-1.46E-06;22.905649;;;-0.80001;1.46108E-06;1.77471E-09
-0.7;2.15E-09;23.055614;-0.5;-1.40E-06;23.055614;;;-0.7;1.39686E-06;2.14925E-09
-0.60001;2.49E-09;23.205491;-0.5;-1.33E-06;23.205491;;;-0.60001;1.33001E-06;2.48741E-09
-0.5;2.81E-09;23.355364;-0.5;-1.26E-06;23.355364;;;-0.5;1.25901E-06;2.80513E-09
-0.40001;3.09E-09;23.525137;-0.5;-1.18E-06;23.525137;;;-0.40001;1.18401E-06;3.08818E-09
-0.30001;3.37E-09;23.674958;-0.5;-1.10E-06;23.674958;;;-0.30001;1.10435E-06;3.36609E-09
-0.20001;3.62E-09;23.824858;-0.5;-1.02E-06;23.824858;;;-0.20001;1.01876E-06;3.6154E-09
-0.10001;3.82E-09;23.974749;-0.5;-9.26E-07;23.974749;;;-0.10001;9.2646E-07;3.82344E-09
-1.00E-05;4.03E-09;24.127571;-0.5;-8.27E-07;24.127571;;;-1.00E-05;8.26564E-07;4.02655E-09
0.1;4.16E-09;24.277574;-0.5;-7.20E-07;24.277574;;;0.1;7.19543E-07;4.16223E-09
0.2;4.28E-09;24.43582;-0.5;-6.06E-07;24.43582;;;0.2;6.06099E-07;4.28064E-09
0.3;4.38E-09;24.58569;-0.5;-4.92E-07;24.58569;;;0.3;4.91723E-07;4.38297E-09
0.39999;4.45E-09;24.735949;-0.5;-3.83E-07;24.735949;;;0.39999;3.83181E-07;4.44827E-09
0.5;4.44E-09;24.910479;-0.5;-2.85E-07;24.910479;;;0.5;2.85462E-07;4.43641E-09
0.6;4.48E-09;25.060347;-0.5;-2.02E-07;25.060347;;;0.6;2.02444E-07;4.47889E-09
0.7;4.48E-09;25.210238;-0.5;-1.37E-07;25.210238;;;0.7;1.37081E-07;4.47981E-09
0.8;4.47E-09;25.360099;-0.5;-8.98E-08;25.360099;;;0.8;8.9832E-08;4.47136E-09
0.89999;4.39E-09;25.547196;-0.5;-5.78E-08;25.547196;;;0.89999;5.77957E-08;4.38571E-09
0.99999;4.39E-09;25.697014;-0.5;-3.70E-08;25.697014;;;0.99999;3.69725E-08;4.38968E-09
1.1;4.34E-09;25.846937;-0.5;-2.38E-08;25.846937;;;1.1;2.37632E-08;4.34355E-09
1.19999;4.29E-09;25.996736;-0.5;-1.55E-08;25.996736;;;1.19999;1.55289E-08;4.28932E-09
1.3;4.22E-09;26.146652;-0.5;-1.04E-08;26.146652;;;1.3;1.04024E-08;4.21916E-09
1.4;4.11E-09;26.311433;-0.5;-7.22E-09;26.311433;;;1.4;7.21656E-09;4.11475E-09
1.5;4.01E-09;26.487495;-0.500001;-5.27E-09;26.487495;;;1.5;5.27412E-09;4.01152E-09
1.59999;3.92E-09;26.663606;-0.5;-4.09E-09;26.663606;;;1.59999;4.08803E-09;3.91637E-09
1.7;3.82E-09;26.839648;-0.500001;-3.38E-09;26.839648;;;1.7;3.38164E-09;3.81976E-09
1.8;3.73E-09;27.017852;-0.5;-2.96E-09;27.017852;;;1.8;2.96147E-09;3.73291E-09
1.89999;3.65E-09;27.193876;-0.500001;-2.69E-09;27.193876;;;1.89999;2.69418E-09;3.65224E-09
1.99999;3.57E-09;27.369873;-0.500001;-2.52E-09;27.369873;;;1.99999;2.51869E-09;3.56552E-09
2.1;3.49E-09;27.561258;-0.500001;-2.40E-09;27.561258;;;2.1;2.40379E-09;3.48703E-09
2.19999;3.41E-09;27.737304;-0.5;-2.32E-09;27.737304;;;2.19999;2.31792E-09;3.40884E-09
2.3;3.32E-09;27.947007;-0.500001;-2.25E-09;27.947007;;;2.3;2.2513E-09;3.32433E-09
2.39999;3.26E-09;28.123085;-0.5;-2.20E-09;28.123085;;;2.39999;2.2004E-09;3.25679E-09
2.5;3.19E-09;28.299231;-0.5;-2.16E-09;28.299231;;;2.5;2.15954E-09;3.19441E-09
2.59999;3.13E-09;28.475441;-0.5;-2.12E-09;28.475441;;;2.59999;2.12334E-09;3.13385E-09
2.69999;3.07E-09;28.651592;-0.500001;-2.09E-09;28.651592;;;2.69999;2.0897E-09;3.07492E-09
2.79999;3.02E-09;28.827637;-0.500001;-2.06E-09;28.827637;;;2.79999;2.05811E-09;3.01862E-09
2.9;2.96E-09;29.003705;-0.5;-2.03E-09;29.003705;;;2.9;2.02868E-09;2.96291E-09
3.00001;2.91E-09;29.179905;-0.500001;-2.00E-09;29.179905;;;3.00001;1.9982E-09;2.90854E-09
3.09999;2.86E-09;29.356017;-0.500001;-1.97E-09;29.356017;;;3.09999;1.96859E-09;2.85528E-09
3.19999;2.81E-09;29.532092;-0.500001;-1.95E-09;29.532092;;;3.19999;1.94558E-09;2.81102E-09
3.29999;2.76E-09;29.708162;-0.5;-1.92E-09;29.708162;;;3.29999;1.91726E-09;2.75865E-09
3.4;2.71E-09;29.884201;-0.5;-1.89E-09;29.884201;;;3.4;1.89048E-09;2.7116E-09
3.49999;2.67E-09;30.068081;-0.5;-1.86E-09;30.068081;;;3.49999;1.86498E-09;2.66787E-09
3.59999;2.62E-09;30.244102;-0.500001;-1.84E-09;30.244102;;;3.59999;1.84102E-09;2.62298E-09
3.69999;2.57E-09;30.454108;-0.500001;-1.81E-09;30.454108;;;3.69999;1.81415E-09;2.57243E-09
3.8;2.53E-09;30.63036;-0.500001;-1.79E-09;30.63036;;;3.8;1.79427E-09;2.53424E-09
3.89999;2.49E-09;30.806395;-0.500001;-1.77E-09;30.806395;;;3.89999;1.76959E-09;2.49008E-09
4;2.46E-09;30.982679;-0.500001;-1.75E-09;30.982679;;;4;1.74969E-09;2.45577E-09
4.1;2.42E-09;31.158756;-0.500001;-1.73E-09;31.158756;;;4.1;1.73005E-09;2.41986E-09
4.19999;2.38E-09;31.33513;-0.499999;-1.71E-09;31.33513;;;4.19999;1.70827E-09;2.38146E-09
4.29999;2.34E-09;31.511143;-0.500001;-1.68E-09;31.511143;;;4.29999;1.68429E-09;2.34398E-09
4.4;2.31E-09;31.687239;-0.500001;-1.67E-09;31.687239;;;4.4;1.6665E-09;2.31157E-09
4.5;2.28E-09;31.863256;-0.5;-1.65E-09;31.863256;;;4.5;1.64664E-09;2.27545E-09
4.59999;2.24E-09;32.03933;-0.500001;-1.63E-09;32.03933;;;4.59999;1.62834E-09;2.24213E-09
4.7;2.21E-09;32.215384;-0.500001;-1.61E-09;32.215384;;;4.7;1.60854E-09;2.21024E-09
4.8;2.18E-09;32.391459;-0.5;-1.59E-09;32.391459;;;4.8;1.59308E-09;2.18084E-09
4.9;2.15E-09;32.574934;-0.500001;-1.57E-09;32.574934;;;4.9;1.57333E-09;2.15049E-09
5;2.12E-09;32.751037;-0.500001;-1.56E-09;32.751037;;;5;1.55688E-09;2.123E-09
