#scan;iMeasureCycle=1;iMux=0;time=0.129;N=202;LocalTime=20/12/2023 14:32:51;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
4.99999;3.91E-09;0.289145;-10;-2.39E-09;0.289145;;;4.99999;2.39E-09;3.91E-09;4.89E-05;;;1.62E-09
4.89999;3.55E-09;0.465613;-10;-2.18E-09;0.465613;;;4.89999;2.18E-09;3.55E-09;4.66E-05;;;
4.79999;3.33E-09;0.641615;-10;-2.05E-09;0.641615;;;4.79999;2.05E-09;3.33E-09;4.53E-05;;;IDS_max
4.7;3.16E-09;0.836218;-10;-1.96E-09;0.836218;;;4.7;1.96E-09;3.16E-09;4.43E-05;;;2.62E-05
4.59999;3.02E-09;1.012463;-10.00001;-1.89E-09;1.012463;;;4.59999;1.89E-09;3.02E-09;4.35E-05;;;
4.5;2.91E-09;1.188656;-10;-1.83E-09;1.188656;;;4.5;1.83E-09;2.91E-09;4.28E-05;;;ON/OFF
4.4;2.79E-09;1.397129;-10;-1.77E-09;1.397129;;;4.4;1.77E-09;2.79E-09;4.21E-05;;;1.61E+04
4.29999;2.70E-09;1.573355;-10.00001;-1.73E-09;1.573355;;;4.29999;1.73E-09;2.70E-09;4.16E-05;;;
4.2;2.62E-09;1.749437;-10.00001;-1.69E-09;1.749437;;;4.2;1.69E-09;2.62E-09;4.11E-05;;;
4.1;2.54E-09;1.925674;-10.00001;-1.65E-09;1.925674;;;4.1;1.65E-09;2.54E-09;4.06E-05;;;
3.99999;2.47E-09;2.101781;-10.00001;-1.62E-09;2.101781;;;3.99999;1.62E-09;2.47E-09;4.02E-05;;;
3.9;2.40E-09;2.277936;-10.00001;-1.58E-09;2.277936;;;3.9;1.58E-09;2.40E-09;3.98E-05;;;
3.79999;2.34E-09;2.454172;-10.00001;-1.55E-09;2.454172;;;3.79999;1.55E-09;2.34E-09;3.94E-05;;;
3.69999;2.28E-09;2.630205;-10;-1.53E-09;2.630205;;;3.69999;1.53E-09;2.28E-09;3.91E-05;;;
3.59999;2.22E-09;2.806225;-10;-1.50E-09;2.806225;;;3.59999;1.50E-09;2.22E-09;3.87E-05;;;
3.5;2.16E-09;2.99772;-10;-1.47E-09;2.99772;;;3.5;1.47E-09;2.16E-09;3.83E-05;;;
3.4;2.12E-09;3.173751;-10;-1.45E-09;3.173751;;;3.4;1.45E-09;2.12E-09;3.81E-05;;;
3.3;2.06E-09;3.378015;-10;-1.42E-09;3.378015;;;3.3;1.42E-09;2.06E-09;3.77E-05;;;
3.19999;2.02E-09;3.554184;-10;-1.40E-09;3.554184;;;3.19999;1.40E-09;2.02E-09;3.75E-05;;;
3.09999;1.97E-09;3.730372;-10;-1.38E-09;3.730372;;;3.09999;1.38E-09;1.97E-09;3.72E-05;;;
3.00001;1.94E-09;3.907951;-10.00001;-1.37E-09;3.907951;;;3.00001;1.37E-09;1.94E-09;3.70E-05;;;
2.89999;1.89E-09;4.084131;-10.00001;-1.36E-09;4.084131;;;2.89999;1.36E-09;1.89E-09;3.69E-05;;;
2.8;1.86E-09;4.260296;-10;-1.36E-09;4.260296;;;2.8;1.36E-09;1.86E-09;3.69E-05;;;
2.69999;1.82E-09;4.436361;-10;-1.37E-09;4.436361;;;2.69999;1.37E-09;1.82E-09;3.70E-05;;;
2.59999;1.79E-09;4.612624;-10.00001;-1.39E-09;4.612624;;;2.59999;1.39E-09;1.79E-09;3.72E-05;;;
2.49999;1.76E-09;4.788671;-10;-1.42E-09;4.788671;;;2.49999;1.42E-09;1.76E-09;3.77E-05;;;
2.4;1.72E-09;4.965186;-10.00001;-1.47E-09;4.965186;;;2.4;1.47E-09;1.72E-09;3.84E-05;;;
2.29999;1.69E-09;5.141332;-10;-1.56E-09;5.141332;;;2.29999;1.56E-09;1.69E-09;3.95E-05;;;
2.2;1.66E-09;5.317448;-10.00001;-1.70E-09;5.317448;;;2.2;1.70E-09;1.66E-09;4.12E-05;;;
2.09999;1.62E-09;5.505808;-10.00001;-1.90E-09;5.505808;;;2.09999;1.90E-09;1.62E-09;4.36E-05;;;
1.99999;1.59E-09;5.681861;-10;-2.23E-09;5.681861;;;1.99999;2.23E-09;1.59E-09;4.72E-05;;;
1.89999;1.55E-09;5.889369;-10;-2.72E-09;5.889369;;;1.89999;2.72E-09;1.55E-09;5.22E-05;;;
1.79999;1.51E-09;6.065634;-10.00001;-3.52E-09;6.065634;;;1.79999;3.52E-09;1.51E-09;5.93E-05;;;
1.69999;1.47E-09;6.214246;-10.00001;-4.78E-09;6.214246;;;1.69999;4.78E-09;1.47E-09;6.91E-05;;;
1.6;1.42E-09;6.418589;-10;-6.73E-09;6.418589;;;1.6;6.73E-09;1.42E-09;8.20E-05;;;
1.49999;1.34E-09;6.58882;-10;-9.90E-09;6.58882;;;1.49999;9.90E-09;1.34E-09;9.95E-05;;;
1.4;1.26E-09;6.738723;-10;-1.48E-08;6.738723;;;1.4;1.48E-08;1.26E-09;0.000121528;;;
1.29999;1.18E-09;6.89392;-10;-2.21E-08;6.89392;;;1.29999;2.21E-08;1.18E-09;0.000148732;;;
1.2;1.07E-09;7.043959;-10;-3.31E-08;7.043959;;;1.2;3.31E-08;1.07E-09;0.00018203;;;
1.09999;9.44E-10;7.193881;-10;-4.97E-08;7.193881;;;1.09999;4.97E-08;9.44E-10;0.000222973;;;
1;8.79E-10;7.36472;-10;-7.50E-08;7.36472;;;1;7.50E-08;8.79E-10;0.000273936;;;
0.89999;8.40E-10;7.520462;-10;-1.14E-07;7.520462;;;0.89999;1.14E-07;8.40E-10;0.000336909;;;
0.79999;8.26E-10;7.670319;-10;-1.70E-07;7.670319;;;0.79999;1.70E-07;8.26E-10;0.00041286;;;
0.7;8.11E-10;7.820182;-10;-2.52E-07;7.820182;;;0.7;2.52E-07;8.11E-10;0.000502061;;;
0.6;7.74E-10;7.984654;-10;-3.63E-07;7.984654;;;0.6;3.63E-07;7.74E-10;0.000602652;;;
0.5;6.90E-10;8.134435;-10;-5.04E-07;8.134435;;;0.5;5.04E-07;6.90E-10;0.000710272;;;
0.40001;5.95E-10;8.284295;-10;-6.70E-07;8.284295;;;0.40001;6.70E-07;5.95E-10;0.00081874;;;
0.3;4.59E-10;8.434138;-10;-8.57E-07;8.434138;;;0.3;8.57E-07;4.59E-10;0.000925984;;;
0.2;3.19E-10;8.587978;-10;-1.06E-06;8.587978;;;0.2;1.06E-06;3.19E-10;0.001031756;;;
0.09999;1.70E-10;8.737761;-10;-1.29E-06;8.737761;;;0.09999;1.29E-06;1.70E-10;0.001136107;;;
-1.00E-05;6.70E-13;8.894797;-10;-1.54E-06;8.894797;;;-1.00E-05;1.54E-06;6.70E-13;0.00123956;;;
-0.1;-1.71E-10;9.04478;-10;-1.80E-06;9.04478;;;-0.1;1.80E-06;1.71E-10;0.00134208;;;
-0.20001;-3.48E-10;9.19469;-10;-2.08E-06;9.19469;;;-0.20001;2.08E-06;3.48E-10;0.001443194;;;
-0.30001;-5.10E-10;9.370606;-10;-2.38E-06;9.370606;;;-0.30001;2.38E-06;5.10E-10;0.001543;;;
-0.4;-7.06E-10;9.520535;-10;-2.70E-06;9.520535;;;-0.4;2.70E-06;7.06E-10;0.001641837;;;
-0.5;-8.97E-10;9.67035;-10;-3.03E-06;9.67035;;;-0.5;3.03E-06;8.97E-10;0.001739718;;;
-0.60001;-1.08E-09;9.820155;-10;-3.37E-06;9.820155;;;-0.60001;3.37E-06;1.08E-09;0.001836088;;;
-0.70001;-1.26E-09;9.990625;-10;-3.73E-06;9.990625;;;-0.70001;3.73E-06;1.26E-09;0.00193094;;;
-0.80001;-1.46E-09;10.1406;-10;-4.10E-06;10.1406;;;-0.80001;4.10E-06;1.46E-09;0.002024626;;;
-0.90001;-1.64E-09;10.290416;-10;-4.48E-06;10.290416;;;-0.90001;4.48E-06;1.64E-09;0.002117303;;;
-1;-1.84E-09;10.440279;-10;-4.88E-06;10.440279;;;-1;4.88E-06;1.84E-09;0.002208377;;;
-1.1;-2.03E-09;10.590308;-10;-5.28E-06;10.590308;;;-1.1;5.28E-06;2.03E-09;0.002298345;;;
-1.2;-2.21E-09;10.740158;-10;-5.70E-06;10.740158;;;-1.2;5.70E-06;2.21E-09;0.00238709;;;
-1.3;-2.38E-09;10.898847;-10;-6.12E-06;10.898847;;;-1.3;6.12E-06;2.38E-09;0.002474771;;;
-1.40001;-2.56E-09;11.048731;-10;-6.56E-06;11.048731;;;-1.40001;6.56E-06;2.56E-09;0.002561302;;;
-1.5;-2.73E-09;11.198599;-10;-7.00E-06;11.198599;;;-1.5;7.00E-06;2.73E-09;0.002646515;;;
-1.6;-2.86E-09;11.372775;-10;-7.46E-06;11.372775;;;-1.6;7.46E-06;2.86E-09;0.002730729;;;
-1.70001;-3.05E-09;11.522686;-10;-7.92E-06;11.522686;;;-1.70001;7.92E-06;3.05E-09;0.002814201;;;
-1.80001;-3.22E-09;11.672667;-10;-8.39E-06;11.672667;;;-1.80001;8.39E-06;3.22E-09;0.002896351;;;
-1.90001;-3.39E-09;11.822521;-10;-8.87E-06;11.822521;;;-1.90001;8.87E-06;3.39E-09;0.002977452;;;
-2;-3.54E-09;11.994268;-10;-9.35E-06;11.994268;;;-2;9.35E-06;3.54E-09;0.003057607;;;
-2.10001;-3.73E-09;12.144104;-10;-9.84E-06;12.144104;;;-2.10001;9.84E-06;3.73E-09;0.003136911;;;
-2.20001;-3.91E-09;12.293956;-10;-1.03E-05;12.293956;;;-2.20001;1.03E-05;3.91E-09;0.003215237;;;
-2.30001;-4.09E-09;12.447155;-10;-1.08E-05;12.447155;;;-2.30001;0.000010848;4.09E-09;0.00329363;;;
-2.40001;-4.29E-09;12.597189;-10;-1.14E-05;12.597189;;;-2.40001;1.14E-05;4.29E-09;0.003370193;;;
-2.5;-4.48E-09;12.747029;-10;-1.19E-05;12.747029;;;-2.5;1.19E-05;4.48E-09;0.003445751;;;
-2.60001;-4.68E-09;12.904359;-10;-1.24E-05;12.904359;;;-2.60001;1.24E-05;4.68E-09;0.003520994;;;
-2.7;-4.89E-09;13.054318;-10;-1.29E-05;13.054318;;;-2.7;1.29E-05;4.89E-09;0.003594691;;;
-2.80001;-5.12E-09;13.204323;-10;-1.35E-05;13.204323;;;-2.80001;0.000013454;5.12E-09;0.003667969;;;
-2.90001;-5.37E-09;13.379161;-10;-1.40E-05;13.379161;;;-2.90001;1.40E-05;5.37E-09;0.003740281;;;
-3.00001;-5.56E-09;13.52916;-10;-1.45E-05;13.52916;;;-3.00001;1.45E-05;5.56E-09;0.003812191;;;
-3.1;-5.83E-09;13.679013;-10;-1.51E-05;13.679013;;;-3.1;1.51E-05;5.83E-09;0.003883053;;;
-3.20001;-6.11E-09;13.828804;-10;-1.56E-05;13.828804;;;-3.20001;1.56E-05;6.11E-09;0.003953669;;;
-3.30001;-6.38E-09;13.99905;-10;-1.62E-05;13.99905;;;-3.30001;1.62E-05;6.38E-09;0.004023568;;;
-3.40001;-6.68E-09;14.148873;-10;-1.67E-05;14.148873;;;-3.40001;1.67E-05;6.68E-09;0.004092505;;;
-3.50001;-6.97E-09;14.298778;-10;-1.73E-05;14.298778;;;-3.50001;1.73E-05;6.97E-09;0.004161094;;;
-3.6;-7.28E-09;14.44865;-10;-1.79E-05;14.44865;;;-3.6;1.79E-05;7.28E-09;0.004228558;;;
-3.70001;-7.60E-09;14.599025;-10;-1.85E-05;14.599025;;;-3.70001;1.85E-05;7.60E-09;0.00429587;;;
-3.8;-7.90E-09;14.74897;-10;-1.90E-05;14.74897;;;-3.8;1.90E-05;7.90E-09;0.004362476;;;
-3.90001;-8.22E-09;14.908721;-10;-1.96E-05;14.908721;;;-3.90001;1.96E-05;8.22E-09;0.004428566;;;
-4.00001;-8.56E-09;15.058601;-10;-2.02E-05;15.058601;;;-4.00001;2.02E-05;8.56E-09;0.00449364;;;
-4.1;-8.91E-09;15.202501;-10;-2.08E-05;15.202501;;;-4.1;2.08E-05;8.91E-09;0.004558147;;;
-4.2;-9.25E-09;15.346549;-10;-2.14E-05;15.346549;;;-4.2;2.14E-05;9.25E-09;0.004622283;;;
-4.3;-9.59E-09;15.496711;-10;-2.20E-05;15.496711;;;-4.3;2.20E-05;9.59E-09;0.004685328;;;
-4.4;-9.95E-09;15.640604;-10;-2.25E-05;15.640604;;;-4.4;2.25E-05;9.95E-09;0.004748305;;;
-4.5;-1.03E-08;15.784454;-10;-2.31E-05;15.784454;;;-4.5;2.31E-05;1.03E-08;0.004810883;;;
-4.60001;-1.06E-08;15.928399;-10;-2.37E-05;15.928399;;;-4.60001;2.37E-05;1.06E-08;0.004872864;;;
-4.7;-1.10E-08;16.072376;-10;-2.43E-05;16.072376;;;-4.7;2.43E-05;1.10E-08;0.004933913;;;
-4.8;-1.14E-08;16.216227;-10;-2.49E-05;16.216227;;;-4.8;2.49E-05;1.14E-08;0.004994827;;;
-4.9;-1.17E-08;16.384622;-10;-2.56E-05;16.384622;;;-4.9;0.000025561;1.17E-08;0.005055789;;;
-5;-1.21E-08;16.52855;-10;-2.62E-05;16.52855;;;-5;2.62E-05;1.21E-08;0.005114919;;;
-5;-1.21E-08;16.652076;-10;-2.62E-05;16.652076;;;-5;2.62E-05;1.21E-08;0.005115164;;;
-4.9;-1.15E-08;16.79594;-10;-2.56E-05;16.79594;;;-4.9;2.56E-05;1.15E-08;0.005055255;;;
-4.8;-1.11E-08;16.939972;-10;-2.49E-05;16.939972;;;-4.8;2.49E-05;1.11E-08;0.004994647;;;
