#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
-24.5001;-1.10E-10;13.124085;1;1.71E-12;13.124085;;;1.30767E-06
-24;-1.00E-10;13.300377;0.999999;1.00E-12;13.300377;;;0.000001
-23.5;-8.71E-11;13.476659;1;5.60E-13;13.476659;;;7.48331E-07
-23.0001;-6.86E-11;13.652952;0.999999;9.80E-13;13.652952;;;9.89949E-07
-22.5;-5.20E-11;13.829283;1;1.09E-12;13.829283;;;1.04403E-06
-22;-3.89E-11;14.007604;0.999999;1.94E-12;14.007604;;;1.39284E-06
-21.5001;-1.70E-11;14.183742;0.999999;1.31E-12;14.183742;;;1.14455E-06
-21.0001;4.79E-12;14.384745;1;1.09E-12;14.384745;;;1.04403E-06
-20.5001;3.83E-11;14.560826;1.000001;2.22E-12;14.560826;;;1.48997E-06
-20;7.73E-11;14.737091;1;9.50E-13;14.737091;;;9.74679E-07
-19.5;1.17E-10;14.950612;1.000001;-1.13E-12;14.950612;;;0
-19;1.53E-10;15.126678;0.999999;1.30E-13;15.126678;;;3.60555E-07
-18.5001;2.18E-10;15.302891;0.999999;8.50E-13;15.302891;;;9.21954E-07
-18;2.72E-10;15.47894;1.000001;-9.00E-13;15.47894;;;0
-17.5;3.11E-10;15.655081;1;4.50E-13;15.655081;;;6.7082E-07
-17.0001;4.15E-10;15.831116;0.999999;-3.60E-13;15.831116;;;0
-16.5;4.65E-10;16.007352;1;2.19E-12;16.007352;;;1.47986E-06
-16;5.73E-10;16.183468;1;2.05E-12;16.183468;;;1.43178E-06
-15.5;6.37E-10;16.35958;0.999999;-1.12E-12;16.35958;;;0
-15;7.04E-10;16.546481;0.999999;-7.00E-13;16.546481;;;0
-14.4999;7.62E-10;16.722534;1;2.11E-12;16.722534;;;1.45258E-06
-14;7.54E-10;16.931822;0.999999;6.00E-13;16.931822;;;7.74597E-07
-13.5;7.75E-10;17.107875;1;1.76E-12;17.107875;;;1.32665E-06
-13.0001;7.39E-10;17.284045;0.999999;2.94E-12;17.284045;;;1.71464E-06
-12.5;7.95E-10;17.461287;0.999999;1.48E-12;17.461287;;;1.21655E-06
-12;7.21E-10;17.63743;1;3.00E-13;17.63743;;;5.47723E-07
-11.5;6.62E-10;17.813676;0.999999;1.22E-12;17.813676;;;1.10454E-06
-11;5.57E-10;17.989722;1;-4.60E-13;17.989722;;;0
-10.5001;5.43E-10;18.165787;1;-8.40E-13;18.165787;;;0
-10;5.38E-10;18.341796;0.999999;1.92E-12;18.341796;;;1.38564E-06
-9.5;5.10E-10;18.520372;1;5.80E-13;18.520372;;;7.61577E-07
-9;4.91E-10;18.696575;0.999999;7.30E-13;18.696575;;;8.544E-07
-8.5;4.10E-10;18.897671;0.999999;1.42E-12;18.897671;;;1.19164E-06
-8;4.14E-10;19.073884;0.999999;1.93E-12;19.073884;;;1.38924E-06
-7.5;4.24E-10;19.250067;0.999999;-1.90E-13;19.250067;;;0
-7;3.22E-10;19.459339;0.999999;-1.00E-13;19.459339;;;0
-6.5;3.42E-10;19.63546;1;2.25E-12;19.63546;;;0.0000015
-6;3.49E-10;19.811614;1;2.80E-12;19.811614;;;1.67332E-06
-5.5001;3.25E-10;19.987788;0.999999;1.99E-12;19.987788;;;1.41067E-06
-5;3.10E-10;20.163905;1;4.20E-13;20.163905;;;6.48074E-07
-4.5;2.98E-10;20.339984;1;-1.40E-12;20.339984;;;0
-4;2.51E-10;20.516811;0.999999;-2.00E-13;20.516811;;;0
-3.5;2.45E-10;20.692943;0.999999;6.40E-13;20.692943;;;0.0000008
-3;2.03E-10;20.868976;1;9.60E-13;20.868976;;;9.79796E-07
-2.5001;1.85E-10;21.059347;0.999999;1.06E-12;21.059347;;;1.02956E-06
-2;1.73E-10;21.235312;1.000001;2.69E-12;21.235312;;;1.64012E-06
-1.5001;1.54E-10;21.444678;0.999999;2.80E-13;21.444678;;;5.2915E-07
-1;1.59E-10;21.620841;1;6.30E-13;21.620841;;;7.93725E-07
-0.5;1.65E-10;21.797007;0.999999;-3.80E-13;21.797007;;;0
0;1.75E-10;21.974582;0.999999;-5.00E-13;21.974582;;;0
0.5;1.75E-10;22.150613;1;7.80E-13;22.150613;;;8.83176E-07
1;1.74E-10;22.326715;1;2.49E-12;22.326715;;;1.57797E-06
1.4999;1.83E-10;22.502801;0.999999;3.10E-13;22.502801;;;5.56776E-07
2;2.01E-10;22.678995;1;-4.14E-12;22.678995;;;0
2.5;1.87E-10;22.855121;1;5.40E-13;22.855121;;;7.34847E-07
3;1.96E-10;23.033362;1;2.40E-12;23.033362;;;1.54919E-06
3.4999;2.09E-10;23.209435;0.999999;1.15E-12;23.209435;;;1.07238E-06
3.9999;2.09E-10;23.410521;0.999999;8.00E-13;23.410521;;;8.94427E-07
4.4999;2.10E-10;23.5866;1;3.70E-13;23.5866;;;6.08276E-07
5;2.29E-10;23.762797;1;-1.92E-12;23.762797;;;0
5.4999;2.26E-10;23.976697;0.999999;6.70E-13;23.976697;;;8.18535E-07
6;2.19E-10;24.15282;0.999999;2.19E-12;24.15282;;;1.47986E-06
6.4999;2.39E-10;24.328939;1;-1.44E-12;24.328939;;;0
6.9999;2.39E-10;24.505059;0.999999;-2.40E-13;24.505059;;;0
7.4999;2.38E-10;24.681185;0.999999;2.50E-12;24.681185;;;1.58114E-06
8;2.50E-10;24.857242;1;1.86E-12;24.857242;;;1.36382E-06
8.4999;2.74E-10;25.033846;0.999999;-1.00E-13;25.033846;;;0
8.9999;2.81E-10;25.209825;0.999999;-1.49E-12;25.209825;;;0
9.5;2.69E-10;25.385874;0.999999;3.40E-13;25.385874;;;5.83095E-07
10;2.78E-10;25.572218;1;-5.60E-13;25.572218;;;0
10.5;2.97E-10;25.748259;1;-2.26E-12;25.748259;;;0
10.9999;3.01E-10;25.958121;0.999999;-1.15E-12;25.958121;;;0
11.5;3.04E-10;26.134147;0.999999;-2.00E-14;26.134147;;;0
12;3.02E-10;26.310346;0.999999;3.20E-13;26.310346;;;5.65685E-07
12.5001;2.93E-10;26.487741;0.999999;1.24E-12;26.487741;;;1.11355E-06
