#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
13.9999;-3.42E-10;60.291598;0.999999;4.25E-12;60.291598;;;2.06155E-06
13.4999;-3.31E-10;60.467712;0.999999;1.88E-12;60.467712;;;1.37113E-06
12.9999;-3.28E-10;60.643826;0.999999;8.40E-13;60.643826;;;9.16515E-07
12.4999;-3.33E-10;60.820089;1;2.25E-12;60.820089;;;0.0000015
11.9999;-3.43E-10;60.996184;0.999999;-2.40E-13;60.996184;;;0
11.4999;-3.37E-10;61.196679;0.999999;2.62E-12;61.196679;;;1.61864E-06
11;-3.36E-10;61.372689;0.999999;2.01E-12;61.372689;;;1.41774E-06
10.4999;-3.39E-10;61.579073;1;4.38E-12;61.579073;;;2.09284E-06
10;-3.30E-10;61.755383;1;2.22E-12;61.755383;;;1.48997E-06
9.4999;-3.37E-10;61.931606;0.999999;3.30E-12;61.931606;;;1.81659E-06
8.9999;-3.33E-10;62.107809;0.999999;2.99E-12;62.107809;;;1.72916E-06
8.5;-3.31E-10;62.283897;0.999999;2.93E-12;62.283897;;;1.71172E-06
7.9999;-3.32E-10;62.460049;1;3.68E-12;62.460049;;;1.91833E-06
7.4999;-3.21E-10;62.637407;1;3.80E-13;62.637407;;;6.16441E-07
6.9999;-3.38E-10;62.813534;1;3.10E-12;62.813534;;;1.76068E-06
6.4999;-3.40E-10;62.989546;1;1.79E-12;62.989546;;;1.33791E-06
6;-3.29E-10;63.184423;0.999999;2.86E-12;63.184423;;;1.69115E-06
5.5;-3.34E-10;63.360513;1;1.57E-12;63.360513;;;1.253E-06
4.9999;-3.15E-10;63.567341;1;-1.94E-12;63.567341;;;0
4.4999;-3.38E-10;63.743582;1;3.41E-12;63.743582;;;1.84662E-06
3.9999;-3.26E-10;63.919844;1;1.68E-12;63.919844;;;1.29615E-06
3.4999;-3.36E-10;64.096908;0.999999;2.28E-12;64.096908;;;1.50997E-06
2.9999;-3.43E-10;64.272997;1;7.40E-13;64.272997;;;8.60233E-07
2.4999;-3.56E-10;64.449199;1;3.59E-12;64.449199;;;1.89473E-06
2;-3.39E-10;64.625331;0.999999;1.13E-12;64.625331;;;1.06301E-06
1.5;-3.40E-10;64.801456;1;9.10E-13;64.801456;;;9.53939E-07
1;-3.41E-10;64.977612;0.999999;2.31E-12;64.977612;;;1.51987E-06
0.5;-3.54E-10;65.155288;0.999999;1.95E-12;65.155288;;;1.39642E-06
0;-3.57E-10;65.331305;1.000001;1.92E-12;65.331305;;;1.38564E-06
-0.5001;-3.55E-10;65.50749;1;1.13E-12;65.50749;;;1.06301E-06
-1;-3.64E-10;65.691568;1;2.50E-12;65.691568;;;1.58114E-06
-1.5;-3.52E-10;65.867583;0.999999;1.70E-13;65.867583;;;4.12311E-07
-2;-3.59E-10;66.078968;0.999999;1.91E-12;66.078968;;;1.38203E-06
-2.5001;-3.71E-10;66.255056;0.999999;3.45E-12;66.255056;;;1.85742E-06
-3;-3.82E-10;66.431245;1;3.10E-12;66.431245;;;1.76068E-06
-3.5001;-3.69E-10;66.608478;1;2.16E-12;66.608478;;;1.46969E-06
-4.0001;-3.76E-10;66.784747;0.999999;2.77E-12;66.784747;;;1.66433E-06
-4.5001;-3.79E-10;66.960901;0.999999;2.33E-12;66.960901;;;1.52643E-06
-5.0001;-3.82E-10;67.13725;0.999999;1.17E-12;67.13725;;;1.08167E-06
-5.5;-4.04E-10;67.313378;1;3.72E-12;67.313378;;;1.92873E-06
-6;-4.04E-10;67.489474;0.999999;1.25E-12;67.489474;;;1.11803E-06
-6.5001;-4.13E-10;67.665639;1;2.99E-12;67.665639;;;1.72916E-06
-7;-4.04E-10;67.841887;0.999999;1.11E-12;67.841887;;;1.05357E-06
-7.5;-4.14E-10;68.017946;0.999999;2.70E-12;68.017946;;;1.64317E-06
-8;-4.13E-10;68.200833;1;1.22E-12;68.200833;;;1.10454E-06
-8.5;-4.12E-10;68.376802;1;5.10E-13;68.376802;;;7.14143E-07
-9.0001;-4.33E-10;68.587954;1;2.79E-12;68.587954;;;1.67033E-06
-9.5;-4.48E-10;68.764185;0.999999;3.67E-12;68.764185;;;1.91572E-06
-10;-4.54E-10;68.940251;1;2.71E-12;68.940251;;;1.64621E-06
-10.5;-4.56E-10;69.116463;0.999999;3.22E-12;69.116463;;;1.79444E-06
-11;-4.46E-10;69.292575;0.999999;7.50E-13;69.292575;;;8.66025E-07
-11.5001;-4.52E-10;69.468686;1;1.18E-12;69.468686;;;1.08628E-06
-12.0001;-4.68E-10;69.644818;1;2.14E-12;69.644818;;;1.46287E-06
-12.5;-4.79E-10;69.821063;1;2.19E-12;69.821063;;;1.47986E-06
-13.0001;-4.95E-10;69.997093;1;2.38E-12;69.997093;;;1.54272E-06
-13.5001;-5.09E-10;70.173298;1;2.16E-12;70.173298;;;1.46969E-06
-14;-5.20E-10;70.34943;0.999999;4.84E-12;70.34943;;;0.0000022
-14.4999;-5.18E-10;70.525536;1;4.22E-12;70.525536;;;2.05426E-06
-15.0001;-5.28E-10;70.708085;1;2.46E-12;70.708085;;;1.56844E-06
-15.5;-5.27E-10;70.884128;0.999999;1.40E-12;70.884128;;;1.18322E-06
-16.0001;-5.28E-10;71.095011;0.999999;2.36E-12;71.095011;;;1.53623E-06
-16.5001;-5.39E-10;71.271159;0.999999;2.63E-12;71.271159;;;1.62173E-06
-17.0001;-5.49E-10;71.447428;1;2.30E-13;71.447428;;;4.79583E-07
-17.5001;-5.67E-10;71.624913;0.999999;4.08E-12;71.624913;;;2.0199E-06
-18;-5.62E-10;71.801143;1;2.65E-12;71.801143;;;1.62788E-06
-18.5001;-5.60E-10;71.977292;1;2.09E-12;71.977292;;;1.44568E-06
-19;-5.93E-10;72.153623;1.000001;3.00E-12;72.153623;;;1.73205E-06
-19.5001;-6.07E-10;72.329784;1;4.14E-12;72.329784;;;2.0347E-06
-20;-6.08E-10;72.50587;1;1.65E-12;72.50587;;;1.28452E-06
-20.5;-6.24E-10;72.682034;1;2.68E-12;72.682034;;;1.63707E-06
-21;-6.37E-10;72.858133;1;4.19E-12;72.858133;;;2.04695E-06
-21.5001;-6.45E-10;73.034466;1;3.64E-12;73.034466;;;1.90788E-06
-22.0001;-6.63E-10;73.217296;1;4.35E-12;73.217296;;;2.08567E-06
-22.5;-6.66E-10;73.393615;0.999999;5.83E-12;73.393615;;;2.41454E-06
-23.0001;-6.90E-10;73.60417;0.999999;4.91E-12;73.60417;;;2.21585E-06
-23.5001;-7.13E-10;73.780473;0.999999;1.34E-12;73.780473;;;1.15758E-06
-24;-7.62E-10;73.956675;1;5.68E-12;73.956675;;;2.38328E-06
-24.5001;-7.31E-10;74.134471;1;1.21E-12;74.134471;;;0.0000011
-25.0001;-7.37E-10;74.310768;1;2.71E-12;74.310768;;;1.64621E-06
-25.5;-7.52E-10;74.487047;1;1.23E-12;74.487047;;;1.10905E-06
-26.0001;-7.84E-10;74.663322;1;1.72E-12;74.663322;;;1.31149E-06
-26.5;-8.02E-10;74.839794;0.999999;3.65E-12;74.839794;;;1.9105E-06
-27.0001;-8.00E-10;75.015979;1;2.79E-12;75.015979;;;1.67033E-06
-27.5;-7.87E-10;75.194817;0.999999;1.65E-12;75.194817;;;1.28452E-06
-28;-8.10E-10;75.371117;1;3.04E-12;75.371117;;;1.74356E-06
-28.5;-7.95E-10;75.568205;1;2.61E-12;75.568205;;;1.61555E-06
-29;-8.10E-10;75.744573;0.999999;1.44E-12;75.744573;;;0.0000012
-29.5;-8.34E-10;75.920812;1;9.10E-13;75.920812;;;9.53939E-07
-30;-8.53E-10;76.131969;0.999999;5.48E-12;76.131969;;;2.34094E-06
-30.5001;-8.44E-10;76.308207;0.999999;3.60E-12;76.308207;;;1.89737E-06
-31.0001;-8.37E-10;76.48472;0.999999;2.49E-12;76.48472;;;1.57797E-06
-31.5;-8.53E-10;76.660965;1;3.81E-12;76.660965;;;1.95192E-06
-32;-8.74E-10;76.837418;1;2.43E-12;76.837418;;;1.55885E-06
-32.5001;-8.96E-10;77.013691;0.999999;2.56E-12;77.013691;;;0.0000016
-33.0001;-9.01E-10;77.190151;1;2.29E-12;77.190151;;;1.51327E-06
-33.5;-9.05E-10;77.366381;0.999999;4.29E-12;77.366381;;;2.07123E-06
-34.0001;-8.99E-10;77.542687;0.999999;1.49E-12;77.542687;;;1.22066E-06
-34.5;-9.41E-10;77.730291;0.999999;4.20E-12;77.730291;;;2.04939E-06
-35;-9.35E-10;77.906589;1;1.12E-12;77.906589;;;1.0583E-06
-35.5;-9.16E-10;78.117629;1;2.77E-12;78.117629;;;1.66433E-06
-36;-9.33E-10;78.294041;1;3.06E-12;78.294041;;;1.74929E-06
-36.5;-9.59E-10;78.470366;0.999999;2.71E-12;78.470366;;;1.64621E-06
-37.0001;-9.97E-10;78.647603;1;3.98E-12;78.647603;;;1.99499E-06
-37.5;-9.73E-10;78.824198;1;-1.02E-12;78.824198;;;0
-38;-1.00E-09;79.00043;0.999999;5.66E-12;79.00043;;;2.37908E-06
-38.5;-1.00E-09;79.176684;1.000001;3.64E-12;79.176684;;;1.90788E-06
-39.0001;-1.01E-09;79.353135;0.999999;3.17E-12;79.353135;;;1.78045E-06
-39.5001;-1.03E-09;79.529448;1.000001;2.85E-12;79.529448;;;1.68819E-06
-40.0001;-1.03E-09;79.708523;1;4.74E-12;79.708523;;;2.17715E-06
-40.5;-1.04E-09;79.885076;0.999999;5.82E-12;79.885076;;;2.41247E-06
-41.0001;-1.06E-09;80.081166;1;2.21E-12;80.081166;;;1.48661E-06
-41.4999;-1.07E-09;80.257711;1;6.38E-12;80.257711;;;2.52587E-06
-42;-1.03E-09;80.434556;0.999999;1.42E-12;80.434556;;;1.19164E-06
-42.5;-1.04E-09;80.646096;0.999999;4.51E-12;80.646096;;;2.12368E-06
-43.0001;-1.04E-09;80.82252;0.999999;1.48E-12;80.82252;;;1.21655E-06
-43.5;-1.06E-09;80.999019;1;3.75E-12;80.999019;;;1.93649E-06
-44;-1.05E-09;81.175499;1;4.26E-12;81.175499;;;2.06398E-06
-44.5001;-1.04E-09;81.351927;1;2.57E-12;81.351927;;;1.60312E-06
-45;-1.06E-09;81.528578;0.999999;1.30E-12;81.528578;;;1.14018E-06
-45.5;-1.09E-09;81.705572;0.999999;3.59E-12;81.705572;;;1.89473E-06
-46.0001;-1.10E-09;81.882091;1;5.41E-12;81.882091;;;2.32594E-06
-46.5001;-1.07E-09;82.058793;1;4.66E-12;82.058793;;;2.1587E-06
-47.0001;-1.08E-09;82.244409;1;4.26E-12;82.244409;;;2.06398E-06
-47.5;-1.10E-09;82.420831;0.999999;4.12E-12;82.420831;;;2.02978E-06
-48;-1.12E-09;82.630656;0.999999;3.86E-12;82.630656;;;1.96469E-06
-48.5001;-1.12E-09;82.807271;1;3.59E-12;82.807271;;;1.89473E-06
-49.0001;-1.13E-09;82.983783;1;3.65E-12;82.983783;;;1.9105E-06
-49.5001;-1.14E-09;83.160631;1;3.41E-12;83.160631;;;1.84662E-06
-50;-1.18E-09;83.33726;1;2.31E-12;83.33726;;;1.51987E-06
-50.5;-1.17E-09;83.513747;0.999999;3.67E-12;83.513747;;;1.91572E-06
-51;-1.15E-09;83.69196;1.000001;3.93E-12;83.69196;;;1.98242E-06
-51.5;-1.14E-09;83.8687;1;2.62E-12;83.8687;;;1.61864E-06
-52;-1.17E-09;84.045225;1;5.05E-12;84.045225;;;2.24722E-06
-52.5;-1.17E-09;84.224076;1;3.10E-12;84.224076;;;1.76068E-06
-53;-1.16E-09;84.400583;0.999999;4.39E-12;84.400583;;;2.09523E-06
-53.5;-1.18E-09;84.594208;1;3.67E-12;84.594208;;;1.91572E-06
-54.0001;-1.22E-09;84.770775;0.999999;8.30E-13;84.770775;;;9.11043E-07
-54.5;-1.26E-09;84.947557;0.999999;3.45E-12;84.947557;;;1.85742E-06
-55.0001;-1.22E-09;85.159257;1;4.17E-12;85.159257;;;2.04206E-06
-55.5;-1.24E-09;85.335781;1;2.32E-12;85.335781;;;1.52315E-06
-56.0001;-1.29E-09;85.512704;1;3.63E-12;85.512704;;;1.90526E-06
-56.5;-1.28E-09;85.689302;0.999999;-9.00E-14;85.689302;;;0
-57;-1.27E-09;85.865989;0.999999;2.37E-12;85.865989;;;1.53948E-06
-57.5001;-1.27E-09;86.042597;1;5.55E-12;86.042597;;;2.35584E-06
-58.0001;-1.30E-09;86.220591;1;3.23E-12;86.220591;;;1.79722E-06
-58.5001;-1.32E-09;86.397368;1;6.15E-12;86.397368;;;2.47992E-06
-59.0001;-1.31E-09;86.57405;0.999999;4.96E-12;86.57405;;;2.22711E-06
-59.5001;-1.30E-09;86.757504;0.999999;4.39E-12;86.757504;;;2.09523E-06
-60;-1.31E-09;86.934053;1;6.59E-12;86.934053;;;2.5671E-06
