#scan;iMeasureCycle=1;iMux=0;time=0.139;N=482;LocalTime=27/10/2023 16:11:35;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;;;
-60;-2.31E-09;0.299811;0.1999998;1.39E-11;0.299811;;;;;1.39E-11;2.31E-09
-59.5001;-1.99E-09;0.476891;0.2000001;7.41E-12;0.476891;;;;;7.41E-12;1.99E-09
-59.0001;-1.78E-09;0.653617;0.2;8.51E-12;0.653617;;;;;8.51E-12;1.78E-09
-58.5;-1.62E-09;0.847859;0.1999995;5.70E-12;0.847859;;;;;5.7E-12;1.62E-09
-58.0001;-1.50E-09;1.024482;0.2000005;2.23E-12;1.024482;;;;;2.23E-12;1.5E-09
-57.5;-1.40E-09;1.201031;0.1999997;3.47E-12;1.201031;;;;;3.47E-12;1.4E-09
-57.0001;-1.32E-09;1.416022;0.1999998;3.88E-12;1.416022;;;;;3.88E-12;1.32E-09
-56.5;-1.24E-09;1.592685;0.2;2.76E-12;1.592685;;;;;2.76E-12;1.24E-09
-56;-1.17E-09;1.769218;0.1999999;-5.80E-13;1.769218;;;;;5.8E-13;1.17E-09
-55.5;-1.11E-09;1.945768;0.1999997;2.10E-13;1.945768;;;;;2.1E-13;1.11E-09
-55.0001;-1.07E-09;2.122324;0.2000001;3.74E-12;2.122324;;;;;3.74E-12;1.07E-09
-54.5;-1.03E-09;2.298863;0.1999999;1.70E-13;2.298863;;;;;1.7E-13;1.03E-09
-54.0001;-9.77E-10;2.478019;0.2000001;4.70E-13;2.478019;;;;;4.7E-13;9.77E-10
-53.5001;-9.42E-10;2.654571;0.1999999;1.41E-12;2.654571;;;;;1.41E-12;9.42E-10
-53;-9.08E-10;2.853589;0.2000003;9.40E-13;2.853589;;;;;9.4E-13;9.08E-10
-52.5;-8.77E-10;3.030109;0.2;-1.50E-13;3.030109;;;;;1.5E-13;8.77E-10
-52.0001;-8.54E-10;3.206695;0.2000001;1.57E-12;3.206695;;;;;1.57E-12;8.54E-10
-51.5001;-8.21E-10;3.421755;0.2000001;7.50E-13;3.421755;;;;;7.5E-13;8.21E-10
-51;-7.95E-10;3.598414;0.2000003;5.90E-13;3.598414;;;;;5.9E-13;7.95E-10
-50.5001;-7.70E-10;3.774854;0.1999998;-1.00E-14;3.774854;;;;;1E-14;7.7E-10
-50;-7.42E-10;3.951355;0.2000002;9.90E-13;3.951355;;;;;9.9E-13;7.42E-10
-49.5001;-7.17E-10;4.127954;0.1999997;1.12E-12;4.127954;;;;;1.12E-12;7.17E-10
-49;-6.93E-10;4.304415;0.1999998;4.30E-13;4.304415;;;;;4.3E-13;6.93E-10
-48.5001;-6.71E-10;4.481252;0.1999998;-4.50E-13;4.481252;;;;;4.5E-13;6.71E-10
-48.0001;-6.48E-10;4.657799;0.2;-3.70E-12;4.657799;;;;;3.7E-12;6.48E-10
-47.5001;-6.33E-10;4.859357;0.2;-1.73E-12;4.859357;;;;;1.73E-12;6.33E-10
-47.0001;-6.13E-10;5.035945;0.1999998;7.60E-13;5.035945;;;;;7.6E-13;6.13E-10
-46.5;-5.91E-10;5.212441;0.2000001;-9.30E-13;5.212441;;;;;9.3E-13;5.91E-10
-46;-5.74E-10;5.427694;0.1999999;-1.90E-12;5.427694;;;;;1.9E-12;5.74E-10
-45.5;-5.56E-10;5.604233;0.1999997;-2.60E-13;5.604233;;;;;2.6E-13;5.56E-10
-45;-5.39E-10;5.780658;0.1999998;-1.86E-12;5.780658;;;;;1.86E-12;5.39E-10
-44.5001;-5.30E-10;5.957232;0.1999996;1.00E-12;5.957232;;;;;1E-12;5.3E-10
-44.0001;-5.13E-10;6.13377;0.2000002;2.90E-13;6.13377;;;;;2.9E-13;5.13E-10
-43.5;-4.96E-10;6.310211;0.1999998;0;6.310211;;;;;0;4.96E-10
-43;-4.75E-10;6.486904;0.1999999;-1.99E-12;6.486904;;;;;1.99E-12;4.75E-10
-42.5;-4.61E-10;6.663343;0.1999999;-1.80E-12;6.663343;;;;;1.8E-12;4.61E-10
-42.0001;-4.47E-10;6.839919;0.2;-2.27E-12;6.839919;;;;;2.27E-12;4.47E-10
-41.4999;-4.32E-10;7.02255;0.2;-2.45E-12;7.02255;;;;;2.45E-12;4.32E-10
-41.0001;-4.23E-10;7.199006;0.1999997;-1.09E-12;7.199006;;;;;1.09E-12;4.23E-10
-40.5;-4.17E-10;7.407928;0.2000001;4.50E-13;7.407928;;;;;4.5E-13;4.17E-10
-40.0001;-4.02E-10;7.584366;0.2000001;8.00E-13;7.584366;;;;;8E-13;4.02E-10
-39.5;-3.78E-10;7.760903;0.2000002;-2.36E-12;7.760903;;;;;2.36E-12;3.78E-10
-39;-3.75E-10;7.938001;0.1999999;1.55E-12;7.938001;;;;;1.55E-12;3.75E-10
-38.5001;-3.59E-10;8.114417;0.1999999;-2.10E-13;8.114417;;;;;2.1E-13;3.59E-10
-38.0001;-3.48E-10;8.290787;0.2000005;-7.30E-13;8.290787;;;;;7.3E-13;3.48E-10
-37.5;-3.34E-10;8.46717;0.2;-1.50E-12;8.46717;;;;;1.5E-12;3.34E-10
-37.0001;-3.19E-10;8.643489;0.1999999;-2.47E-12;8.643489;;;;;2.47E-12;3.19E-10
-36.5;-3.14E-10;8.81987;0.2;1.41E-12;8.81987;;;;;1.41E-12;3.14E-10
-36;-2.99E-10;8.998969;0.2000003;-1.68E-12;8.998969;;;;;1.68E-12;2.99E-10
