#scan;iMeasureCycle=1;iMux=0;time=0.146;N=492;LocalTime=21/12/2023 12:06:38;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;6.07E-09;0.306202;-1.00E-05;-3.04E-09;0.306202;;;-1.00E-05;3.03828E-09
9.99999;4.81E-09;0.482728;-0.50001;-2.46E-09;0.482728;;;-0.50001;2.46255E-09
10;4.14E-09;0.658704;-1;-2.16E-09;0.658704;;;-1;2.15939E-09
10;3.67E-09;0.855207;-1.5;-1.95E-09;0.855207;;;-1.5;1.94695E-09
10;3.43E-09;1.031437;-2.00001;-1.85E-09;1.031437;;;-2.00001;1.85066E-09
10;3.25E-09;1.207696;-2.50001;-1.78E-09;1.207696;;;-2.50001;1.77751E-09
9.99999;3.07E-09;1.416677;-3;-1.71E-09;1.416677;;;-3;1.70788E-09
10;2.98E-09;1.59272;-3.50001;-1.68E-09;1.59272;;;-3.50001;1.68341E-09
9.99999;2.90E-09;1.768701;-4.00001;-1.66E-09;1.768701;;;-4.00001;1.6629E-09
9.99999;2.83E-09;1.94492;-4.5;-1.65E-09;1.94492;;;-4.5;1.6495E-09
9.99999;2.78E-09;2.120984;-5;-1.64E-09;2.120984;;;-5;1.64078E-09
10;2.73E-09;2.297111;-5.5;-1.63E-09;2.297111;;;-5.5;1.63068E-09
10;2.69E-09;2.474557;-6.00001;-1.62E-09;2.474557;;;-6.00001;1.61889E-09
9.99999;2.65E-09;2.650704;-6.50001;-1.63E-09;2.650704;;;-6.50001;1.62708E-09
9.99999;2.62E-09;2.826667;-7.00001;-1.62E-09;2.826667;;;-7.00001;1.62194E-09
10;2.59E-09;3.017012;-7.5;-1.62E-09;3.017012;;;-7.5;1.62108E-09
9.99999;2.57E-09;3.192976;-8.00001;-1.63E-09;3.192976;;;-8.00001;1.62819E-09
10;2.54E-09;3.397946;-8.50001;-1.63E-09;3.397946;;;-8.50001;1.6279E-09
10;2.52E-09;3.574013;-9;-1.63E-09;3.574013;;;-9;1.63299E-09
10;2.51E-09;3.750037;-9.50001;-1.65E-09;3.750037;;;-9.50001;1.64508E-09
9.99999;2.49E-09;3.932387;-10;-1.65E-09;3.932387;;;-10;1.65051E-09
