#scan;iMeasureCycle=1;iMux=0;time=0.139;N=142;LocalTime=21/12/2023 12:09:11;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;6.97E-09;0.299362;-10.00001;-3.59E-09;0.299362;;;19.99999;3.59E-09;6.97E-09;5.99E-05;;;1.66E-09
19.5;5.11E-09;0.475859;-10.00001;-2.64E-09;0.475859;;;19.5;2.64E-09;5.11E-09;5.14E-05;;;
19;4.20E-09;0.651997;-10.00001;-2.18E-09;0.651997;;;19;2.18E-09;4.20E-09;4.67E-05;;;IDS_max
18.49999;3.63E-09;0.847407;-10;-1.89E-09;0.847407;;;18.49999;1.89E-09;3.63E-09;4.35E-05;;;7.31E-05
17.99999;3.31E-09;1.02342;-10;-1.73E-09;1.02342;;;17.99999;1.73E-09;3.31E-09;4.15E-05;;;
17.5;3.09E-09;1.19943;-10;-1.61E-09;1.19943;;;17.5;1.61E-09;3.09E-09;4.02E-05;;;ON/OFF
17.00001;2.94E-09;1.412606;-10.00001;-1.54E-09;1.412606;;;17.00001;1.54E-09;2.94E-09;3.92E-05;;;4.41E+04
16.5;2.81E-09;1.588701;-10.00001;-1.46E-09;1.588701;;;16.5;1.46E-09;2.81E-09;3.82E-05;;;
16;2.71E-09;1.764729;-10;-1.42E-09;1.764729;;;16;1.42E-09;2.71E-09;3.77E-05;;;
15.5;2.63E-09;1.940773;-10;-1.39E-09;1.940773;;;15.5;1.39E-09;2.63E-09;3.72E-05;;;
15;2.57E-09;2.116784;-10;-1.35E-09;2.116784;;;15;1.35E-09;2.57E-09;3.68E-05;;;
14.49999;2.52E-09;2.292773;-10;-1.33E-09;2.292773;;;14.49999;1.33E-09;2.52E-09;3.64E-05;;;
14;2.47E-09;2.469054;-10.00001;-1.30E-09;2.469054;;;14;1.30E-09;2.47E-09;3.61E-05;;;
13.5;2.44E-09;2.645259;-10.00001;-1.29E-09;2.645259;;;13.5;1.29E-09;2.44E-09;3.59E-05;;;
13;2.42E-09;2.821281;-10.00001;-1.28E-09;2.821281;;;13;1.28E-09;2.42E-09;3.58E-05;;;
12.49999;2.35E-09;3.009253;-10.00001;-1.26E-09;3.009253;;;12.49999;1.26E-09;2.35E-09;3.55E-05;;;
11.99999;2.30E-09;3.185397;-10.00001;-1.27E-09;3.185397;;;11.99999;1.27E-09;2.30E-09;3.56E-05;;;
11.5;2.28E-09;3.390024;-10.00001;-1.30E-09;3.390024;;;11.5;1.30E-09;2.28E-09;3.61E-05;;;
10.99999;2.26E-09;3.56618;-10;-1.43E-09;3.56618;;;10.99999;1.43E-09;2.26E-09;3.78E-05;;;
10.49999;2.22E-09;3.742205;-10;-1.77E-09;3.742205;;;10.49999;1.77E-09;2.22E-09;4.21E-05;;;
10;2.12E-09;3.9242;-10.00001;-2.61E-09;3.9242;;;10;2.61E-09;2.12E-09;5.11E-05;;;
9.5;2.04E-09;4.100208;-10.00001;-4.96E-09;4.100208;;;9.5;4.96E-09;2.04E-09;7.04E-05;;;
9;1.89E-09;4.270282;-10.00001;-1.00E-08;4.270282;;;9;1.00E-08;1.89E-09;0.000100038;;;
8.5;1.59E-09;4.42017;-10.00001;-2.00E-08;4.42017;;;8.5;2.00E-08;1.59E-09;0.000141587;;;
7.99999;1.32E-09;4.570036;-10.00001;-3.94E-08;4.570036;;;7.99999;3.94E-08;1.32E-09;0.000198453;;;
7.49999;9.51E-10;4.719851;-10.00001;-7.55E-08;4.719851;;;7.49999;7.55E-08;9.51E-10;0.000274774;;;
7;5.82E-10;4.901792;-10;-1.36E-07;4.901792;;;7;1.36E-07;5.82E-10;0.000368154;;;
6.49999;-2.36E-10;5.051635;-10;-2.29E-07;5.051635;;;6.49999;2.29E-07;2.36E-10;0.000478854;;;
6;-8.87E-10;5.201525;-10;-3.70E-07;5.201525;;;6;3.70E-07;8.87E-10;0.000608039;;;
5.5;-4.12E-10;5.378635;-10;-5.71E-07;5.378635;;;5.5;5.71E-07;4.12E-10;0.0007556;;;
5;1.80E-12;5.528484;-10;-8.52E-07;5.528484;;;5;8.52E-07;1.80E-12;0.000923056;;;
4.5;7.69E-10;5.681976;-10;-1.23E-06;5.681976;;;4.5;1.23E-06;7.69E-10;0.001109247;;;
4;1.14E-09;5.831817;-10;-1.73E-06;5.831817;;;4;1.73E-06;1.14E-09;0.00131648;;;
3.49999;1.35E-09;5.991428;-10;-2.38E-06;5.991428;;;3.49999;2.38E-06;1.35E-09;0.001544108;;;
3;1.44E-09;6.141186;-10;-3.22E-06;6.141186;;;3;3.22E-06;1.44E-09;0.001794241;;;
2.49999;1.43E-09;6.29106;-10;-4.27E-06;6.29106;;;2.49999;4.27E-06;1.43E-09;0.002067501;;;
1.99999;1.33E-09;6.440863;-10;-5.58E-06;6.440863;;;1.99999;5.58E-06;1.33E-09;0.002362793;;;
1.49999;1.22E-09;6.591517;-10;-7.18E-06;6.591517;;;1.49999;7.18E-06;1.22E-09;0.002679067;;;
0.99999;1.02E-09;6.741344;-10;-9.07E-06;6.741344;;;0.99999;9.07E-06;1.02E-09;0.003012225;;;
0.49999;8.41E-10;6.904559;-10;-1.13E-05;6.904559;;;0.49999;1.13E-05;8.41E-10;0.00335994;;;
-1.00E-05;5.70E-10;7.054376;-10;-1.38E-05;7.054376;;;-1.00E-05;1.38E-05;5.70E-10;0.003710445;;;
-0.50001;3.37E-10;7.204228;-10;-1.64E-05;7.204228;;;-0.50001;1.64E-05;3.37E-10;0.004051025;;;
-1;3.75E-11;7.376689;-10;-1.91E-05;7.376689;;;-1;1.91E-05;3.75E-11;0.004373991;;;
-1.50001;-3.47E-10;7.526585;-10;-2.19E-05;7.526585;;;-1.50001;2.19E-05;3.47E-10;0.004684795;;;
-2.00001;-7.04E-10;7.676483;-10;-2.48E-05;7.676483;;;-2.00001;2.48E-05;7.04E-10;0.004984827;;;
-2.5;-1.13E-09;7.826257;-10;-2.78E-05;7.826257;;;-2.5;2.78E-05;1.13E-09;0.00527422;;;
-3;-1.62E-09;7.996581;-10;-3.08E-05;7.996581;;;-3;0.000030828;1.62E-09;0.005552297;;;
-3.5;-2.16E-09;8.146343;-10;-3.39E-05;8.146343;;;-3.5;3.39E-05;2.16E-09;0.005820627;;;
-4;-2.76E-09;8.296243;-10;-3.69E-05;8.296243;;;-4;3.69E-05;2.76E-09;0.0060781;;;
-4.5;-3.43E-09;8.446053;-10;-4.00E-05;8.446053;;;-4.5;4.00E-05;3.43E-09;0.006324192;;;
-5.00001;-3.90E-09;8.596605;-10;-4.30E-05;8.596605;;;-5.00001;4.30E-05;3.90E-09;0.006559703;;;
-5.50001;-4.13E-09;8.746455;-10;-4.60E-05;8.746455;;;-5.50001;4.60E-05;4.13E-09;0.006783708;;;
-5.99999;-4.18E-09;8.906338;-10;-4.90E-05;8.906338;;;-5.99999;4.90E-05;4.18E-09;0.006996471;;;
-6.5;-4.55E-09;9.056164;-10;-5.18E-05;9.056164;;;-6.5;5.18E-05;4.55E-09;0.007196193;;;
-7;-4.89E-09;9.205977;-10;-5.45E-05;9.205977;;;-7;5.45E-05;4.89E-09;0.007383346;;;
-7.50001;-5.21E-09;9.380207;-10;-5.71E-05;9.380207;;;-7.50001;5.71E-05;5.21E-09;0.007553979;;;
-8;-5.78E-09;9.530139;-10;-5.94E-05;9.530139;;;-8;5.94E-05;5.78E-09;0.007709857;;;
-8.5;-6.40E-09;9.680132;-10;-6.16E-05;9.680132;;;-8.5;6.16E-05;6.40E-09;0.007847089;;;
-9;-7.03E-09;9.829941;-10;-6.34E-05;9.829941;;;-9;6.34E-05;7.03E-09;0.007964477;;;
-9.50001;-7.71E-09;10.001765;-10;-6.50E-05;10.001765;;;-9.50001;6.50E-05;7.71E-09;0.008063262;;;
-10;-8.46E-09;10.151534;-10;-6.64E-05;10.151534;;;-10;6.64E-05;8.46E-09;0.008149074;;;
-10.5;-9.28E-09;10.295444;-10;-6.76E-05;10.295444;;;-10.5;6.76E-05;9.28E-09;0.008222414;;;
-11.00001;-1.01E-08;10.439289;-10;-6.86E-05;10.439289;;;-11.00001;6.86E-05;1.01E-08;0.008284793;;;
-11.5;-1.11E-08;10.58315;-10;-6.95E-05;10.58315;;;-11.5;6.95E-05;1.11E-08;0.008338981;;;
-12;-1.18E-08;10.727144;-10;-7.03E-05;10.727144;;;-12;7.03E-05;1.18E-08;0.008386364;;;
-12.50002;-1.26E-08;10.903478;-10;-7.10E-05;10.903478;;;-12.50002;7.10E-05;1.26E-08;0.008425895;;;
-13.00001;-1.39E-08;11.047337;-10;-7.16E-05;11.047337;;;-13.00001;7.16E-05;1.39E-08;0.008460904;;;
-13.5;-1.47E-08;11.191281;-10;-7.21E-05;11.191281;;;-13.5;7.21E-05;1.47E-08;0.008490483;;;
-13.99999;-1.57E-08;11.335128;-10;-7.25E-05;11.335128;;;-13.99999;7.25E-05;1.57E-08;0.008515445;;;
-14.5;-1.67E-08;11.500855;-10;-7.29E-05;11.500855;;;-14.5;0.000072857;1.67E-08;0.008535631;;;
-14.99999;-1.78E-08;11.644833;-10;-7.31E-05;11.644833;;;-14.99999;7.31E-05;1.78E-08;0.008552713;;;
-15;-1.75E-08;11.768449;-10;-7.31E-05;11.768449;;;-15;7.31E-05;1.75E-08;0.008548661;;;
-14.5;-1.60E-08;11.912331;-10;-7.26E-05;11.912331;;;-14.5;7.26E-05;1.60E-08;0.008520892;;;
-13.99999;-1.46E-08;12.056229;-10;-7.21E-05;12.056229;;;-13.99999;7.21E-05;1.46E-08;0.008490165;;;
-13.49999;-1.35E-08;12.200092;-10;-7.15E-05;12.200092;;;-13.49999;7.15E-05;1.35E-08;0.008455874;;;
-13;-1.24E-08;12.343962;-10;-7.08E-05;12.343962;;;-13;7.08E-05;1.24E-08;0.008417096;;;
-12.5;-1.13E-08;12.504094;-10;-7.01E-05;12.504094;;;-12.5;7.01E-05;1.13E-08;0.008374031;;;
-12;-1.03E-08;12.647987;-10;-6.93E-05;12.647987;;;-12;6.93E-05;1.03E-08;0.008325479;;;
-11.5;-9.34E-09;12.791863;-10;-6.84E-05;12.791863;;;-11.5;6.84E-05;9.34E-09;0.008269619;;;
-11.00001;-8.44E-09;12.941929;-10;-6.74E-05;12.941929;;;-11.00001;6.74E-05;8.44E-09;0.008206869;;;
-10.50001;-7.54E-09;13.091799;-10;-6.62E-05;13.091799;;;-10.50001;6.62E-05;7.54E-09;0.008135767;;;
-10;-6.69E-09;13.241685;-10;-6.49E-05;13.241685;;;-10;6.49E-05;6.69E-09;0.008053223;;;
-9.50001;-5.94E-09;13.419254;-10;-6.34E-05;13.419254;;;-9.50001;0.000063361;5.94E-09;0.007959962;;;
-9.00001;-5.19E-09;13.569113;-10;-6.17E-05;13.569113;;;-9.00001;0.000061656;5.19E-09;0.007852133;;;
-8.5;-4.35E-09;13.718956;-10;-5.97E-05;13.718956;;;-8.5;5.97E-05;4.35E-09;0.007725587;;;
-8.00001;-3.95E-09;13.893778;-10;-5.75E-05;13.893778;;;-8.00001;5.75E-05;3.95E-09;0.007580396;;;
-7.50002;-3.35E-09;14.043605;-10;-5.50E-05;14.043605;;;-7.50002;5.50E-05;3.35E-09;0.007417331;;;
-7;-2.75E-09;14.193513;-10;-5.24E-05;14.193513;;;-7;5.24E-05;2.75E-09;0.007237272;;;
-6.50002;-2.04E-09;14.343352;-10;-4.96E-05;14.343352;;;-6.50002;4.96E-05;2.04E-09;0.007042599;;;
-6.00001;-1.52E-09;14.51449;-10;-4.67E-05;14.51449;;;-6.00001;4.67E-05;1.52E-09;0.006836315;;;
-5.5;-9.00E-10;14.66434;-10;-4.38E-05;14.66434;;;-5.5;4.38E-05;9.00E-10;0.006617061;;;
-5.00001;-3.44E-10;14.814117;-10;-4.08E-05;14.814117;;;-5.00001;4.08E-05;3.44E-10;0.006386212;;;
-4.50001;1.13E-10;14.963953;-10;-3.78E-05;14.963953;;;-4.50001;3.78E-05;1.13E-10;0.006144819;;;
-3.99999;5.22E-10;15.114099;-10;-3.47E-05;15.114099;;;-3.99999;3.47E-05;5.22E-10;0.005892716;;;
-3.5;7.85E-10;15.263971;-10;-3.17E-05;15.263971;;;-3.5;3.17E-05;7.85E-10;0.005629289;;;
-3;9.81E-10;15.424131;-10;-2.87E-05;15.424131;;;-3;2.87E-05;9.81E-10;0.005355455;;;
-2.50001;1.11E-09;15.574003;-10;-2.57E-05;15.574003;;;-2.50001;2.57E-05;1.11E-09;0.00507068;;;
-2;1.54E-09;15.723752;-10;-2.28E-05;15.723752;;;-2;2.28E-05;1.54E-09;0.004775186;;;
-1.5;1.59E-09;15.898412;-10;-2.00E-05;15.898412;;;-1.5;2.00E-05;1.59E-09;0.004470638;;;
-1.00001;1.82E-09;16.04829;-10;-1.73E-05;16.04829;;;-1.00001;1.73E-05;1.82E-09;0.004154925;;;
-0.5;2.01E-09;16.198182;-10;-1.46E-05;16.198182;;;-0.5;1.46E-05;2.01E-09;0.003826147;;;
-1.00E-05;2.18E-09;16.347913;-10;-1.21E-05;16.347913;;;-1.00E-05;1.21E-05;2.18E-09;0.003482126;;;
0.5;2.30E-09;16.519646;-10;-9.80E-06;16.519646;;;0.5;9.80E-06;2.30E-09;0.00312976;;;
0.99999;2.44E-09;16.672047;-10;-7.71E-06;16.672047;;;0.99999;7.71E-06;2.44E-09;0.002777472;;;
1.49999;2.54E-09;16.821887;-10;-5.94E-06;16.821887;;;1.49999;5.94E-06;2.54E-09;0.002436832;;;
1.99999;2.63E-09;16.971709;-10;-4.46E-06;16.971709;;;1.99999;4.46E-06;2.63E-09;0.002112567;;;
2.5;2.72E-09;17.121546;-10;-3.28E-06;17.121546;;;2.5;3.28E-06;2.72E-09;0.001811544;;;
2.99999;2.82E-09;17.271457;-10;-2.36E-06;17.271457;;;2.99999;2.36E-06;2.82E-09;0.001536242;;;
3.49999;2.89E-09;17.431084;-10;-1.66E-06;17.431084;;;3.49999;1.66E-06;2.89E-09;0.001288557;;;
3.99999;3.14E-09;17.580912;-10;-1.14E-06;17.580912;;;3.99999;1.14E-06;3.14E-09;0.001066002;;;
4.5;3.42E-09;17.733494;-10;-7.57E-07;17.733494;;;4.5;7.57E-07;3.42E-09;0.000869978;;;
5;3.52E-09;17.904816;-10;-4.90E-07;17.904816;;;5;4.90E-07;3.52E-09;0.00070004;;;
5.50001;4.10E-09;18.054797;-10;-3.04E-07;18.054797;;;5.50001;3.04E-07;4.10E-09;0.000551074;;;
5.99999;4.37E-09;18.204674;-10;-1.81E-07;18.204674;;;5.99999;1.81E-07;4.37E-09;0.000424933;;;
6.49999;4.46E-09;18.35449;-10;-1.03E-07;18.35449;;;6.49999;1.03E-07;4.46E-09;0.000320448;;;
7;4.18E-09;18.542947;-9.99999;-5.60E-08;18.542947;;;7;5.60E-08;4.18E-09;0.00023672;;;
7.49999;4.04E-09;18.713054;-9.99999;-2.96E-08;18.713054;;;7.49999;2.96E-08;4.04E-09;0.000172155;;;
7.99999;3.69E-09;18.922037;-10;-1.57E-08;18.922037;;;7.99999;1.57E-08;3.69E-09;0.000125373;;;
