#scan;iMeasureCycle=1;iMux=0;time=0.142;N=142;LocalTime=21/12/2023 12:10:33;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
-6.5;-1.03E-08;9.139542;-0.5;-3.00E-06;9.139542;;;-6.5;2.99978E-06;1.02689E-08
-7;-1.12E-08;9.283397;-0.5;-3.01E-06;9.283397;;;-7;3.00881E-06;1.12246E-08
-7.5;-1.22E-08;9.427318;-0.5;-3.01E-06;9.427318;;;-7.5;3.01326E-06;1.22286E-08
-8.00001;-1.33E-08;9.571286;-0.5;-3.02E-06;9.571286;;;-8.00001;3.01506E-06;1.32668E-08
-8.5;-1.43E-08;9.715165;-0.5;-3.01E-06;9.715165;;;-8.5;3.01498E-06;1.43107E-08
-9.00001;-1.53E-08;9.883663;-0.5;-3.01E-06;9.883663;;;-9.00001;3.01138E-06;1.53073E-08
-9.5;-1.63E-08;10.027561;-0.5;-3.01E-06;10.027561;;;-9.5;3.00579E-06;1.63421E-08
-9.99999;-1.75E-08;10.171428;-0.5;-3.00E-06;10.171428;;;-9.99999;2.99798E-06;1.74641E-08
-10.49999;-1.85E-08;10.315249;-0.5;-2.99E-06;10.315249;;;-10.49999;2.98897E-06;1.85231E-08
-11;-2.00E-08;10.459122;-0.5;-2.98E-06;10.459122;;;-11;2.97778E-06;2.00138E-08
-11.5;-2.09E-08;10.60312;-0.5;-2.97E-06;10.60312;;;-11.5;2.96551E-06;2.08676E-08
-12;-2.23E-08;10.746961;-0.5;-2.95E-06;10.746961;;;-12;2.95142E-06;2.23032E-08
-12.50001;-2.32E-08;10.908064;-0.5;-2.94E-06;10.908064;;;-12.50001;2.93577E-06;2.31657E-08
-13;-2.44E-08;11.052;-0.5;-2.92E-06;11.052;;;-13;2.91955E-06;2.44319E-08
-13.5;-2.57E-08;11.195849;-0.5;-2.90E-06;11.195849;;;-13.5;2.90193E-06;2.56638E-08
-14;-2.69E-08;11.339674;-0.5;-2.88E-06;11.339674;;;-14;2.88314E-06;2.6919E-08
-14.5;-2.82E-08;11.502007;-0.5;-2.87E-06;11.502007;;;-14.5;2.86513E-06;2.81615E-08
-15;-2.94E-08;11.645856;-0.5;-2.84E-06;11.645856;;;-15;2.84465E-06;2.94477E-08
-15;-2.91E-08;11.769344;-0.5;-2.84E-06;11.769344;;;-15;2.84245E-06;2.90902E-08
-14.5;-2.73E-08;11.913266;-0.5;-2.86E-06;11.913266;;;-14.5;2.85819E-06;2.72884E-08
-14;-2.57E-08;12.057237;-0.5;-2.87E-06;12.057237;;;-14;2.87388E-06;2.57153E-08
-13.5;-2.42E-08;12.201121;-0.5;-2.89E-06;12.201121;;;-13.5;2.8894E-06;2.4247E-08
-13;-2.28E-08;12.344989;-0.5;-2.90E-06;12.344989;;;-13;2.90199E-06;2.28073E-08
-12.5;-2.14E-08;12.505525;-0.5;-2.91E-06;12.505525;;;-12.5;2.9145E-06;2.14457E-08
-11.99999;-2.00E-08;12.649368;-0.5;-2.93E-06;12.649368;;;-11.99999;2.9261E-06;2.00186E-08
-11.5;-1.88E-08;12.793207;-0.5;-2.94E-06;12.793207;;;-11.5;2.93533E-06;1.8847E-08
-11.00001;-1.76E-08;12.937224;-0.5;-2.94E-06;12.937224;;;-11.00001;2.94362E-06;1.76219E-08
-10.5;-1.64E-08;13.081093;-0.5;-2.95E-06;13.081093;;;-10.5;2.95022E-06;1.64205E-08
-9.99999;-1.52E-08;13.224916;-0.5;-2.95E-06;13.224916;;;-9.99999;2.95474E-06;1.52085E-08
-9.5;-1.43E-08;13.393898;-0.5;-2.96E-06;13.393898;;;-9.5;2.95836E-06;1.42875E-08
-9;-1.29E-08;13.53784;-0.5;-2.96E-06;13.53784;;;-9;2.95915E-06;1.29404E-08
-8.49999;-1.19E-08;13.681698;-0.5;-2.96E-06;13.681698;;;-8.49999;2.95783E-06;1.18904E-08
-7.99999;-1.08E-08;13.825606;-0.5;-2.95E-06;13.825606;;;-7.99999;2.95272E-06;1.07738E-08
-7.5;-9.79E-09;13.96948;-0.5;-2.95E-06;13.96948;;;-7.5;2.94529E-06;9.7902E-09
-7;-8.82E-09;14.119345;-0.5;-2.93E-06;14.119345;;;-7;2.93475E-06;8.82067E-09
-6.5;-7.82E-09;14.269105;-0.5;-2.92E-06;14.269105;;;-6.5;2.92023E-06;7.81988E-09
-5.99999;-6.95E-09;14.423659;-0.5;-2.90E-06;14.423659;;;-5.99999;2.90222E-06;6.95364E-09
-5.50001;-6.02E-09;14.573602;-0.5;-2.88E-06;14.573602;;;-5.50001;2.87993E-06;6.02091E-09
-5.00001;-5.17E-09;14.723448;-0.5;-2.85E-06;14.723448;;;-5.00001;2.85266E-06;5.16865E-09
-4.50001;-4.42E-09;14.898244;-0.5;-2.82E-06;14.898244;;;-4.50001;2.8197E-06;4.42488E-09
-4.00001;-3.58E-09;15.048105;-0.5;-2.78E-06;15.048105;;;-4.00001;2.77957E-06;3.57723E-09
-3.50001;-2.83E-09;15.197915;-0.5;-2.73E-06;15.197915;;;-3.50001;0.000002732;2.82963E-09
-3.00001;-2.11E-09;15.347701;-0.5;-2.68E-06;15.347701;;;-3.00001;2.67515E-06;2.10747E-09
-2.50001;-1.48E-09;15.518437;-0.5;-2.61E-06;15.518437;;;-2.50001;2.6083E-06;1.47996E-09
-2.00001;-8.07E-10;15.6682;-0.5;-2.53E-06;15.6682;;;-2.00001;2.52805E-06;8.068E-10
-1.5;-2.09E-10;15.818089;-0.5;-2.43E-06;15.818089;;;-1.5;0.000002431;2.0854E-10
-1;3.41E-10;15.968054;-0.5;-2.31E-06;15.968054;;;-1;2.31024E-06;3.4143E-10
-0.50001;8.28E-10;16.118414;-0.5;-2.16E-06;16.118414;;;-0.50001;2.15778E-06;8.2752E-10
-1.00E-05;1.27E-09;16.268286;-0.5;-1.95E-06;16.268286;;;-1.00E-05;1.95368E-06;1.27177E-09
0.49999;1.65E-09;16.428186;-0.5;-1.66E-06;16.428186;;;0.49999;1.66229E-06;1.64744E-09
0.99999;1.98E-09;16.57806;-0.5;-1.32E-06;16.57806;;;0.99999;1.32115E-06;1.97621E-09
1.49999;2.27E-09;16.72785;-0.5;-1.01E-06;16.72785;;;1.49999;1.00741E-06;2.26663E-09
1.99999;2.42E-09;16.905096;-0.5;-7.50E-07;16.905096;;;1.99999;7.49876E-07;2.42312E-09
2.49999;2.69E-09;17.060782;-0.5;-5.49E-07;17.060782;;;2.49999;5.48557E-07;2.69235E-09
2.99999;2.96E-09;17.210619;-0.5;-3.94E-07;17.210619;;;2.99999;3.94298E-07;2.95589E-09
3.49999;3.26E-09;17.360392;-0.5;-2.78E-07;17.360392;;;3.49999;2.77996E-07;3.26489E-09
4;3.59E-09;17.523992;-0.5;-1.92E-07;17.523992;;;4;1.91836E-07;3.59168E-09
4.5;3.97E-09;17.673913;-0.5;-1.28E-07;17.673913;;;4.5;1.28134E-07;3.96521E-09
5;4.34E-09;17.823735;-0.5;-8.37E-08;17.823735;;;5;8.3715E-08;4.34044E-09
5.49999;4.37E-09;17.990899;-0.5;-5.34E-08;17.990899;;;5.49999;5.33644E-08;4.37376E-09
6;4.57E-09;18.161024;-0.5;-3.27E-08;18.161024;;;6;3.27462E-08;4.56771E-09
6.49999;4.71E-09;18.33104;-0.5;-1.94E-08;18.33104;;;6.49999;1.94477E-08;4.71107E-09
6.99999;4.72E-09;18.501252;-0.500001;-1.14E-08;18.501252;;;6.99999;1.14073E-08;4.72271E-09
7.50001;4.55E-09;18.677359;-0.500001;-6.72E-09;18.677359;;;7.50001;6.71797E-09;4.54959E-09
8;4.37E-09;18.853465;-0.5;-4.28E-09;18.853465;;;8;4.27646E-09;4.36924E-09
8.5;4.08E-09;19.053841;-0.499999;-3.03E-09;19.053841;;;8.5;3.02696E-09;4.08058E-09
9;3.91E-09;19.229862;-0.5;-2.42E-09;19.229862;;;9;2.41875E-09;3.9088E-09
9.49999;3.64E-09;19.435387;-0.500001;-2.06E-09;19.435387;;;9.49999;2.05706E-09;3.63653E-09
10;3.56E-09;19.611529;-0.5;-1.89E-09;19.611529;;;10;1.89494E-09;3.55568E-09
10.49999;3.44E-09;19.787515;-0.5;-1.77E-09;19.787515;;;10.49999;1.76745E-09;3.44268E-09
11;3.30E-09;19.965224;-0.500001;-1.68E-09;19.965224;;;11;1.68106E-09;3.29722E-09
11.5;3.23E-09;20.141278;-0.499999;-1.64E-09;20.141278;;;11.5;1.64136E-09;3.22755E-09
11.99999;3.09E-09;20.317348;-0.500001;-1.57E-09;20.317348;;;11.99999;1.57211E-09;3.08748E-09
12.5;3.04E-09;20.4934;-0.5;-1.55E-09;20.4934;;;12.5;1.54672E-09;3.03911E-09
12.99999;3.00E-09;20.669445;-0.500001;-1.53E-09;20.669445;;;12.99999;1.53232E-09;3.00427E-09
13.5;2.92E-09;20.845525;-0.499999;-1.49E-09;20.845525;;;13.5;1.48854E-09;2.91732E-09
14;2.86E-09;21.021794;-0.500001;-1.46E-09;21.021794;;;14;1.46256E-09;2.85663E-09
14.50001;2.81E-09;21.197965;-0.500001;-1.44E-09;21.197965;;;14.50001;1.44223E-09;2.81434E-09
14.99999;2.77E-09;21.373966;-0.5;-1.42E-09;21.373966;;;14.99999;1.42354E-09;2.77218E-09
15.5;2.74E-09;21.561433;-0.5;-1.41E-09;21.561433;;;15.5;1.40654E-09;2.73816E-09
16;2.71E-09;21.737434;-0.5;-1.39E-09;21.737434;;;16;1.39248E-09;2.71048E-09
16.5;2.66E-09;21.943314;-0.5;-1.37E-09;21.943314;;;16.5;1.37019E-09;2.66478E-09
16.99999;2.65E-09;22.119388;-0.5;-1.36E-09;22.119388;;;16.99999;1.3599E-09;2.64641E-09
17.5;2.62E-09;22.295467;-0.500001;-1.35E-09;22.295467;;;17.5;1.35137E-09;2.6219E-09
18;2.60E-09;22.477296;-0.500001;-1.34E-09;22.477296;;;18;1.34144E-09;2.60053E-09
18.49999;2.58E-09;22.65333;-0.500001;-1.33E-09;22.65333;;;18.49999;1.33168E-09;2.57995E-09
19;2.56E-09;22.829314;-0.500001;-1.32E-09;22.829314;;;19;1.31965E-09;2.5584E-09
19.49999;2.54E-09;23.005516;-0.500001;-1.31E-09;23.005516;;;19.49999;1.31289E-09;2.54077E-09
19.99999;2.52E-09;23.181942;-0.5;-1.30E-09;23.181942;;;19.99999;1.30293E-09;2.52053E-09
