#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:41:54;;;;;;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);;|IDrain|^1/2 (A^1/2);;;;|IDrain|_off_avg;;|IDrain|_max;ON/OFF
5;7.69E-10;0.301513;-10.00001;-3.13E-10;0.301513;;;5;3.13E-10;7.69E-10;;0.0000177;;;3.13E-10;1.57E-10;;2.99E-05;190254.52
4.9;5.87E-10;0.423053;-10.00001;-2.30E-10;0.423053;;;4.9;2.30E-10;5.87E-10;;1.52E-05;;;2.30E-10;;;;
4.8;5.23E-10;0.544255;-10.00001;-1.96E-10;0.544255;;;4.8;1.96E-10;5.23E-10;;1.40E-05;;;1.96E-10;;;;
4.7;4.88E-10;0.665481;-10.00001;-1.77E-10;0.665481;;;4.7;1.77E-10;4.88E-10;;1.33E-05;;;1.77E-10;;;;
4.6;4.58E-10;0.786645;-10.00001;-1.62E-10;0.786645;;;4.6;1.62E-10;4.58E-10;;1.27E-05;;;1.62E-10;;;;
4.5;4.44E-10;0.907834;-10.00001;-1.55E-10;0.907834;;;4.5;1.55E-10;4.44E-10;;1.24E-05;;;1.55E-10;;;;
4.4;4.29E-10;1.029055;-10.00001;-1.46E-10;1.029055;;;4.4;1.46E-10;4.29E-10;;1.21E-05;;;1.46E-10;;;;
4.3;4.21E-10;1.150275;-10.00001;-1.42E-10;1.150275;;;4.3;1.42E-10;4.21E-10;;1.19E-05;;;1.42E-10;;;;
4.2;4.11E-10;1.271444;-10.00001;-1.37E-10;1.271444;;;4.2;1.37E-10;4.11E-10;;1.17E-05;;;1.37E-10;;;;
4.1;4.05E-10;1.392635;-10.00001;-1.33E-10;1.392635;;;4.1;1.33E-10;4.05E-10;;1.16E-05;;;1.33E-10;;;;
4;3.98E-10;1.513848;-10.00001;-1.30E-10;1.513848;;;4;1.30E-10;3.98E-10;;1.14E-05;;;1.30E-10;;;;
3.9;3.95E-10;1.635017;-10.00001;-1.28E-10;1.635017;;;3.9;1.28E-10;3.95E-10;;1.13E-05;;;1.28E-10;;;;
3.8;3.91E-10;1.756222;-10.00001;-1.27E-10;1.756222;;;3.8;1.27E-10;3.91E-10;;1.13E-05;;;1.27E-10;;;;
3.7;3.87E-10;1.877424;-10.00001;-1.25E-10;1.877424;;;3.7;1.25E-10;3.87E-10;;1.12E-05;;;1.25E-10;;;;
3.6;3.84E-10;1.998638;-10.00001;-1.24E-10;1.998638;;;3.6;1.24E-10;3.84E-10;;1.12E-05;;;1.24E-10;;;;
3.5;3.80E-10;2.119814;-10.00001;-1.23E-10;2.119814;;;3.5;1.23E-10;3.80E-10;;1.11E-05;;;1.23E-10;;;;
