#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:48:43;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain| (A);|IGate| (A)
-0.4;-3.13E-09;6.996248;-0.500005;-3.11E-08;6.996248;;;-0.4;3.11435E-08;3.13451E-09
-0.5;-3.36E-09;7.118738;-0.499993;-3.05E-08;7.118738;;;-0.5;3.04501E-08;3.35971E-09
-0.6;-3.50E-09;7.241106;-0.500001;-4.12E-08;7.241106;;;-0.6;4.12107E-08;3.50158E-09
-0.7;-3.44E-09;7.375471;-0.499956;-4.59E-08;7.375471;;;-0.7;4.59068E-08;3.44166E-09
-0.8;-3.77E-09;7.497905;-0.499983;-5.14E-08;7.497905;;;-0.8;5.14012E-08;3.76583E-09
-0.9;-4.05E-09;7.620296;-0.50002;-3.74E-08;7.620296;;;-0.9;3.73626E-08;4.05192E-09
-1;-4.22E-09;7.742655;-0.500008;-3.93E-08;7.742655;;;-1;3.92638E-08;4.22062E-09
-1.1;-4.20E-09;7.876576;-0.499986;-3.72E-08;7.876576;;;-1.1;3.72478E-08;4.19712E-09
-1.2;-4.51E-09;7.998989;-0.499996;-3.90E-08;7.998989;;;-1.2;3.89839E-08;4.50821E-09
-1.3;-4.75E-09;8.121324;-0.500006;-3.69E-08;8.121324;;;-1.3;3.69309E-08;4.75016E-09
-1.4;-4.97E-09;8.24379;-0.499998;-3.66E-08;8.24379;;;-1.4;3.65546E-08;4.96611E-09
-1.5;-4.95E-09;8.377759;-0.499996;-3.64E-08;8.377759;;;-1.5;3.6408E-08;4.95186E-09
-1.6;-5.29E-09;8.50018;-0.499984;-3.78E-08;8.50018;;;-1.6;3.78313E-08;5.29153E-09
-1.7;-5.55E-09;8.62253;-0.5;-3.72E-08;8.62253;;;-1.7;3.71808E-08;5.55071E-09
-1.8;-5.76E-09;8.744833;-0.499992;-3.86E-08;8.744833;;;-1.8;3.85761E-08;5.75784E-09
-1.9;-5.76E-09;8.878648;-0.499995;-3.86E-08;8.878648;;;-1.9;3.85993E-08;5.76403E-09
-2;-6.12E-09;9.001079;-0.499997;-3.80E-08;9.001079;;;-2;3.79717E-08;6.12001E-09
-2.1;-6.44E-09;9.123514;-0.499995;-3.00E-08;9.123514;;;-2.1;3.0026E-08;6.43671E-09
-2.2;-6.67E-09;9.245868;-0.499995;-3.05E-08;9.245868;;;-2.2;3.05023E-08;6.67196E-09
-2.3;-6.25E-09;9.407311;-0.499999;-2.88E-08;9.407311;;;-2.3;2.87705E-08;6.24995E-09
-2.4;-6.89E-09;9.529697;-0.499994;-2.89E-08;9.529697;;;-2.4;2.89484E-08;6.89013E-09
-2.50001;-6.78E-09;9.679581;-0.500001;-3.72E-08;9.679581;;;-2.50001;3.71828E-08;6.78375E-09
-2.6;-6.93E-09;9.829386;-0.499983;-4.08E-08;9.829386;;;-2.6;4.08224E-08;6.93024E-09
-2.70001;-7.10E-09;9.996483;-0.500001;-4.86E-08;9.996483;;;-2.70001;4.86034E-08;7.10199E-09
-2.8;-7.36E-09;10.14634;-0.5;-4.15E-08;10.14634;;;-2.8;4.14959E-08;7.36455E-09
-2.90001;-7.62E-09;10.296234;-0.499992;-4.74E-08;10.296234;;;-2.90001;4.73508E-08;7.62067E-09
-3;-7.90E-09;10.446038;-0.499992;-3.97E-08;10.446038;;;-3;3.96528E-08;7.90255E-09
-3.10001;-8.20E-09;10.596531;-0.5;-3.78E-08;10.596531;;;-3.10001;3.77716E-08;8.19614E-09
-3.20001;-8.45E-09;10.746364;-0.499984;-4.01E-08;10.746364;;;-3.20001;4.00987E-08;8.4481E-09
-3.3;-8.52E-09;10.91078;-0.500038;-3.62E-08;10.91078;;;-3.3;3.61545E-08;8.51599E-09
-3.4;-9.02E-09;11.054665;-0.499988;-4.18E-08;11.054665;;;-3.4;4.18488E-08;9.0179E-09
-3.5;-9.71E-09;11.178152;-0.499993;-4.37E-08;11.178152;;;-3.5;4.37306E-08;9.7136E-09
-3.6;-1.01E-08;11.301689;-0.499995;-4.33E-08;11.301689;;;-3.6;4.32869E-08;1.01369E-08
-3.7;-1.05E-08;11.425191;-0.500012;-3.91E-08;11.425191;;;-3.7;3.91094E-08;1.05141E-08
-3.8;-1.08E-08;11.548733;-0.500013;-4.12E-08;11.548733;;;-3.8;4.1192E-08;1.08263E-08
-3.9;-1.12E-08;11.672287;-0.500006;-4.04E-08;11.672287;;;-3.9;4.04171E-08;1.11569E-08
-4;-1.14E-08;11.795784;-0.499984;-3.76E-08;11.795784;;;-4;3.75792E-08;1.13992E-08
-4.1;-1.17E-08;11.919375;-0.500016;-3.69E-08;11.919375;;;-4.1;3.69499E-08;1.17016E-08
-4.2;-1.20E-08;12.042965;-0.500014;-3.81E-08;12.042965;;;-4.2;3.81262E-08;1.19817E-08
-4.3;-1.24E-08;12.166463;-0.500003;-3.72E-08;12.166463;;;-4.3;3.7165E-08;1.23509E-08
-4.4;-1.27E-08;12.289969;-0.499994;-3.73E-08;12.289969;;;-4.4;3.73365E-08;1.26926E-08
-4.5;-1.30E-08;12.413489;-0.5;-3.84E-08;12.413489;;;-4.5;3.84191E-08;1.29609E-08
