#scan;iMeasureCycle=1;iMux=0;time=0.144;N=210;LocalTime=20/12/2023 11:33:05;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
2.49999;3.61E-10;10.003449;-9.5;-6.79E-10;10.003449;;;-9.5;6.7945E-10
2.49999;3.58E-10;10.15207;-9.00001;-6.79E-10;10.15207;;;-9.00001;6.7929E-10
2.49999;3.57E-10;10.300673;-8.50001;-6.75E-10;10.300673;;;-8.50001;6.7513E-10
2.49999;3.60E-10;10.449296;-8;-6.74E-10;10.449296;;;-8;6.7366E-10
2.49999;3.59E-10;10.598342;-7.5;-6.67E-10;10.598342;;;-7.5;6.6651E-10
2.49999;3.58E-10;10.746884;-7.00001;-6.65E-10;10.746884;;;-7.00001;6.652E-10
2.49999;3.71E-10;10.91295;-6.50001;-6.69E-10;10.91295;;;-6.50001;6.6944E-10
2.49999;3.57E-10;11.06154;-6.00001;-6.65E-10;11.06154;;;-6.00001;6.6454E-10
2.49999;3.57E-10;11.210155;-5.5;-6.65E-10;11.210155;;;-5.5;6.6515E-10
2.49999;3.73E-10;11.37848;-5.00001;-6.74E-10;11.37848;;;-5.00001;6.7414E-10
2.49999;3.56E-10;11.527129;-4.50001;-6.61E-10;11.527129;;;-4.50001;6.6097E-10
2.49999;3.56E-10;11.675708;-4;-6.56E-10;11.675708;;;-4;6.5563E-10
2.49999;3.57E-10;11.824298;-3.50001;-6.49E-10;11.824298;;;-3.50001;6.4904E-10
2.49999;3.55E-10;11.973283;-3.00001;-6.39E-10;11.973283;;;-3.00001;6.3906E-10
2.49999;3.56E-10;12.121922;-2.50001;-6.29E-10;12.121922;;;-2.50001;6.2947E-10
2.49999;3.54E-10;12.270502;-2;-6.20E-10;12.270502;;;-2;6.1984E-10
2.49999;3.54E-10;12.419209;-1.50001;-5.93E-10;12.419209;;;-1.50001;5.9293E-10
2.49999;3.52E-10;12.567893;-1;-5.46E-10;12.567893;;;-1;5.464E-10
2.49999;3.53E-10;12.716471;-0.50001;-4.63E-10;12.716471;;;-0.50001;4.6308E-10
2.49999;3.70E-10;12.882996;0;-1.09E-10;12.882996;;;0;1.0864E-10
-5.80E-06;-6.17E-09;13.053048;1.00E-05;4.46E-09;13.053048;;;1.00E-05;4.4572E-09
1.00E-06;1.01E-09;13.19731;-0.5;-6.59E-07;13.19731;;;-0.5;6.58517E-07
1.50E-06;1.21E-09;13.325507;-1;-7.89E-07;13.325507;;;-1;7.88646E-07
1.20E-06;9.20E-10;13.453783;-1.5;-8.07E-07;13.453783;;;-1.5;8.07352E-07
1.10E-06;8.24E-10;13.582047;-2;-8.19E-07;13.582047;;;-2;8.19443E-07
1.20E-06;7.88E-10;13.710275;-2.5;-8.29E-07;13.710275;;;-2.5;8.29446E-07
7.00E-07;7.73E-10;13.838465;-3;-8.38E-07;13.838465;;;-3;8.37897E-07
1.10E-06;7.63E-10;13.966908;-3.5;-8.45E-07;13.966908;;;-3.5;8.44547E-07
8.00E-07;7.62E-10;14.095151;-4;-8.50E-07;14.095151;;;-4;8.50325E-07
1.10E-06;7.57E-10;14.223365;-4.5;-8.56E-07;14.223365;;;-4.5;8.55513E-07
8.00E-07;7.55E-10;14.351763;-5;-8.60E-07;14.351763;;;-5;8.60272E-07
8.00E-07;7.39E-10;14.494646;-5.5;-8.64E-07;14.494646;;;-5.5;8.63908E-07
9.00E-07;7.81E-10;14.620262;-6;-8.71E-07;14.620262;;;-6;8.7056E-07
1.30E-06;8.14E-10;14.742666;-6.5;-8.76E-07;14.742666;;;-6.5;8.761E-07
6.00E-07;5.11E-10;14.901201;-7;-8.65E-07;14.901201;;;-7;8.6538E-07
1.00E-06;7.74E-10;15.023613;-7.5;-8.81E-07;15.023613;;;-7.5;8.8105E-07
1.00E-06;8.18E-10;15.145956;-8;-8.87E-07;15.145956;;;-8;8.8696E-07
1.20E-06;8.22E-10;15.268309;-8.5;-8.91E-07;15.268309;;;-8.5;8.9052E-07
8.00E-07;6.98E-10;15.403059;-9;-8.88E-07;15.403059;;;-9;8.8791E-07
1.00E-06;8.09E-10;15.525467;-9.5;-8.96E-07;15.525467;;;-9.5;8.9599E-07
1.10E-06;8.26E-10;15.647872;-10;-9.00E-07;15.647872;;;-10;8.9997E-07
3.00E-07;2.11E-10;15.773044;-10;-8.71E-07;15.773044;;;-10;8.70666E-07
-8.00E-07;-4.16E-10;15.903893;-9.5;-8.39E-07;15.903893;;;-9.5;8.38664E-07
-1.00E-06;-5.91E-10;16.026275;-9;-8.27E-07;16.026275;;;-9;8.27349E-07
-1.00E-06;-6.23E-10;16.14866;-8.5;-8.23E-07;16.14866;;;-8.5;8.22545E-07
-1.20E-06;-6.29E-10;16.270996;-8;-8.19E-07;16.270996;;;-8;8.18965E-07
-8.00E-07;-5.14E-10;16.404862;-7.5;-8.21E-07;16.404862;;;-7.5;8.20613E-07
-1.20E-06;-6.12E-10;16.527258;-7;-8.13E-07;16.527258;;;-7;8.12585E-07
-1.10E-06;-6.28E-10;16.649656;-6.5;-8.08E-07;16.649656;;;-6.5;8.0811E-07
-1.20E-06;-6.29E-10;16.771988;-6;-8.04E-07;16.771988;;;-6;8.03991E-07
-8.00E-07;-5.50E-10;16.902015;-5.5;-8.04E-07;16.902015;;;-5.5;8.03576E-07
-9.00E-07;-6.16E-10;17.024474;-5;-7.96E-07;17.024474;;;-5;7.96066E-07
-9.00E-07;-6.25E-10;17.146843;-4.5;-7.91E-07;17.146843;;;-4.5;7.90674E-07
-1.00E-06;-6.28E-10;17.269186;-4;-7.85E-07;17.269186;;;-4;7.85119E-07
-8.00E-07;-4.89E-10;17.406161;-3.5;-7.85E-07;17.406161;;;-3.5;7.85062E-07
-1.10E-06;-6.07E-10;17.52858;-3;-7.73E-07;17.52858;;;-3;7.72826E-07
-1.10E-06;-6.24E-10;17.650941;-2.5;-7.63E-07;17.650941;;;-2.5;7.63177E-07
-1.10E-06;-6.28E-10;17.773375;-2;-7.52E-07;17.773375;;;-2;7.51928E-07
-8.00E-07;-5.09E-10;17.907995;-1.5;-7.41E-07;17.907995;;;-1.5;7.40893E-07
-1.10E-06;-6.52E-10;18.030401;-1;-7.06E-07;18.030401;;;-1;7.06355E-07
-1.50E-06;-1.07E-09;18.15277;-0.5;-5.90E-07;18.15277;;;-0.5;5.90073E-07
-2.20E-06;-2.64E-09;18.301326;0;2.85E-09;18.301326;;;0;2.85093E-09
-2.50001;-1.88E-08;18.465486;0;1.44E-08;18.465486;;;0;1.44348E-08
-2.50001;-4.06E-09;18.607235;-0.5;-3.24E-06;18.607235;;;-0.5;3.23625E-06
-2.5;1.66E-10;18.729611;-1;-6.19E-06;18.729611;;;-1;6.1863E-06
-2.49999;-5.97E-10;18.914959;-1.5;-8.46E-06;18.914959;;;-1.5;8.46361E-06
-2.49999;1.48E-09;19.040684;-2;-1.04E-05;19.040684;;;-2;1.03512E-05
-2.5;9.66E-10;19.190544;-2.5;-1.15E-05;19.190544;;;-2.5;1.15172E-05
