File Name: 03_Sample12_device4_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;10:49:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);Idrain(A);;;Time_100uA (s);IDrain_dark (A);;;Time_100uA (s);IDrain_raw (A);Fit (A);dI_100uA (A);;;Time_200uA_dark (s);IDrain_dark(A);;Time_200_raw(s);IDrain_raw(A);;;;Time_400uA_raw (s);IDrain_raw(A);Fit (A);dI (A);;Time_400uA_dark (s);;;;Time_500uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_500uA_dark (s);;;;Time_300uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_300uA_dark (s);
1.68E+05;1.00E+00;9.25E-07;5.00E+01;8.57E-11;;;167.50;9.25E-07;;;466.5;5.65E-07;;;420.50;5.82E-07;6.04E-07;-2.14E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.68E+05;1.00E+00;9.19E-07;5.00E+01;8.45E-11;;;168.00;9.19E-07;;;467;5.61E-07;;;421.00;5.90E-07;6.03E-07;-1.32E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.69E+05;1.00E+00;9.16E-07;5.00E+01;6.63E-11;;;168.50;9.16E-07;;;467.5;5.59E-07;;;421.50;5.94E-07;6.03E-07;-8.47E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.69E+05;1.00E+00;9.14E-07;5.00E+01;8.70E-11;;;169.00;9.14E-07;;;468;5.59E-07;;;422.00;5.97E-07;6.02E-07;-5.53E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.85E+05;1.00E+00;8.90E-07;5.00E+01;7.28E-11;;;185.00;8.90E-07;;;484;5.62E-07;;;422.50;5.98E-07;6.02E-07;-3.60E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.86E+05;1.00E+00;8.89E-07;5.00E+01;7.67E-11;;;185.50;8.89E-07;;;484.5;5.64E-07;;;423.00;5.97E-07;6.01E-07;-4.29E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.86E+05;1.00E+00;8.94E-07;5.00E+01;1.06E-10;;;186.00;8.94E-07;;;485;5.63E-07;;;423.50;5.97E-07;6.01E-07;-4.37E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.87E+05;1.00E+00;8.93E-07;5.00E+01;9.73E-11;;;186.50;8.93E-07;;;485.5;5.60E-07;;;424.00;5.92E-07;6.00E-07;-8.63E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.87E+05;1.00E+00;8.86E-07;5.00E+01;8.81E-11;;;187.00;8.86E-07;;;486;5.62E-07;;;424.50;5.95E-07;6.00E-07;-4.79E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.88E+05;1.00E+00;8.87E-07;5.00E+01;8.82E-11;;;187.50;8.87E-07;;;486.5;5.58E-07;;;425.00;5.97E-07;6.00E-07;-2.72E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.88E+05;1.00E+00;8.86E-07;5.00E+01;6.66E-11;;;188.00;8.86E-07;;;487;5.56E-07;;;425.50;5.95E-07;5.99E-07;-4.70E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.89E+05;1.00E+00;8.89E-07;5.00E+01;9.22E-11;;;188.50;8.89E-07;;;487.5;5.57E-07;;;426.00;5.94E-07;5.99E-07;-4.46E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.89E+05;1.00E+00;8.84E-07;5.00E+01;6.66E-11;;;189.00;8.84E-07;;;488;5.53E-07;;;426.50;5.95E-07;5.98E-07;-3.37E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.90E+05;1.00E+00;8.81E-07;5.00E+01;6.81E-11;;;189.50;8.81E-07;;;488.5;5.54E-07;;;427.00;5.94E-07;5.98E-07;-4.26E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.90E+05;1.00E+00;8.83E-07;5.00E+01;8.16E-11;;;190.00;8.83E-07;;;489;5.54E-07;;;427.50;5.95E-07;5.97E-07;-2.61E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.91E+05;1.00E+00;8.83E-07;5.00E+01;7.48E-11;;;190.50;8.83E-07;;;489.5;5.54E-07;;;428.00;5.95E-07;5.97E-07;-2.18E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.91E+05;1.00E+00;8.84E-07;5.00E+01;1.02E-10;;;191.00;8.84E-07;;;490;5.51E-07;;;428.50;5.92E-07;5.97E-07;-4.97E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.92E+05;1.00E+00;8.81E-07;5.00E+01;6.83E-11;;;191.50;8.81E-07;;;490.5;5.53E-07;;;429.00;5.88E-07;5.96E-07;-8.40E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.92E+05;1.00E+00;8.80E-07;5.00E+01;6.54E-11;;;192.00;8.80E-07;;;491;5.50E-07;;;429.50;5.84E-07;5.96E-07;-1.18E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.93E+05;1.00E+00;8.77E-07;5.00E+01;7.04E-11;;;192.50;8.77E-07;;;491.5;5.48E-07;;;430.00;5.43E-07;5.95E-07;-5.28E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.93E+05;1.00E+00;8.80E-07;5.00E+01;7.76E-11;;;193.00;8.80E-07;;;492;5.51E-07;;;430.50;5.29E-07;5.95E-07;-6.63E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.94E+05;1.00E+00;8.81E-07;5.00E+01;8.56E-11;;;193.50;8.81E-07;;;492.5;5.52E-07;;;431.00;5.16E-07;5.94E-07;-7.82E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.94E+05;1.00E+00;8.82E-07;5.00E+01;7.46E-11;;;194.00;8.82E-07;;;493;5.50E-07;;;431.50;5.13E-07;5.94E-07;-8.14E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.95E+05;1.00E+00;8.76E-07;5.00E+01;7.56E-11;;;194.50;8.76E-07;;;493.5;5.50E-07;;;432.00;5.08E-07;5.94E-07;-8.52E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.95E+05;1.00E+00;8.74E-07;5.00E+01;7.80E-11;;;195.00;8.74E-07;;;494;5.50E-07;;;432.50;5.08E-07;5.93E-07;-8.51E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.96E+05;1.00E+00;8.78E-07;5.00E+01;7.84E-11;;;195.50;8.78E-07;;;494.5;5.48E-07;;;433.00;5.12E-07;5.93E-07;-8.04E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.96E+05;1.00E+00;8.76E-07;5.00E+01;7.97E-11;;;196.00;8.76E-07;;;495;5.50E-07;;;433.50;5.10E-07;5.92E-07;-8.19E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.97E+05;1.00E+00;8.74E-07;5.00E+01;7.61E-11;;;196.50;8.74E-07;;;495.5;5.46E-07;;;434.00;5.11E-07;5.92E-07;-8.05E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.97E+05;1.00E+00;8.73E-07;5.00E+01;9.43E-11;;;197.00;8.73E-07;;;496;5.40E-07;;;434.50;5.09E-07;5.91E-07;-8.24E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.98E+05;1.00E+00;8.71E-07;5.00E+01;8.04E-11;;;197.50;8.71E-07;;;496.5;5.44E-07;;;435.00;5.10E-07;5.91E-07;-8.15E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.98E+05;1.00E+00;8.71E-07;5.00E+01;7.32E-11;;;198.00;8.71E-07;;;497;5.46E-07;;;435.50;4.99E-07;5.91E-07;-9.12E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.99E+05;1.00E+00;8.66E-07;5.00E+01;7.72E-11;;;198.50;8.66E-07;;;497.5;5.47E-07;;;436.00;5.03E-07;5.90E-07;-8.69E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.99E+05;1.00E+00;8.61E-07;5.00E+01;7.85E-11;;;199.00;8.61E-07;;;498;5.45E-07;;;436.50;5.06E-07;5.90E-07;-8.35E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.00E+05;1.00E+00;8.62E-07;5.00E+01;7.89E-11;;;199.50;8.62E-07;;;498.5;5.47E-07;;;437.00;5.03E-07;5.89E-07;-8.65E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.00E+05;1.00E+00;8.65E-07;5.00E+01;7.86E-11;;;200.00;8.65E-07;;;499;5.44E-07;;;437.50;5.07E-07;5.89E-07;-8.15E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.01E+05;1.00E+00;8.60E-07;5.00E+01;7.55E-11;;;200.50;8.60E-07;;;499.5;5.41E-07;;;438.00;5.06E-07;5.88E-07;-8.20E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.01E+05;1.00E+00;8.64E-07;5.00E+01;7.84E-11;;;201.00;8.64E-07;;;500;5.40E-07;;;438.50;5.08E-07;5.88E-07;-7.97E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.02E+05;1.00E+00;8.65E-07;5.00E+01;7.86E-11;;;201.50;8.65E-07;;;500.5;5.39E-07;;;439.00;5.11E-07;5.88E-07;-7.71E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.02E+05;1.00E+00;8.63E-07;5.00E+01;9.89E-11;;;202.00;8.63E-07;;;501;5.38E-07;;;439.50;5.09E-07;5.87E-07;-7.82E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.03E+05;1.00E+00;8.68E-07;5.00E+01;9.10E-11;;;202.50;8.68E-07;;;501.5;5.41E-07;;;440.00;5.47E-07;5.87E-07;-4.01E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.03E+05;1.00E+00;8.68E-07;5.00E+01;7.31E-11;;;203.00;8.68E-07;;;502;5.36E-07;;;440.50;5.69E-07;5.86E-07;-1.70E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.04E+05;1.00E+00;8.66E-07;5.00E+01;9.56E-11;;;203.50;8.66E-07;;;502.5;5.35E-07;;;441.00;5.79E-07;5.86E-07;-6.89E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.04E+05;1.00E+00;8.62E-07;5.00E+01;7.62E-11;;;204.00;8.62E-07;;;503;5.37E-07;;;441.50;5.83E-07;5.85E-07;-2.57E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.05E+05;1.00E+00;8.62E-07;5.00E+01;7.38E-11;;;204.50;8.62E-07;;;503.5;5.37E-07;;;442.00;5.82E-07;5.85E-07;-3.43E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.05E+05;1.00E+00;8.57E-07;5.00E+01;6.98E-11;;;205.00;8.57E-07;;;504;5.32E-07;;;442.50;5.83E-07;5.85E-07;-2.01E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.06E+05;1.00E+00;8.60E-07;5.00E+01;7.91E-11;;;205.50;8.60E-07;;;504.5;5.33E-07;;;443.00;5.83E-07;5.84E-07;-1.33E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.06E+05;1.00E+00;8.61E-07;5.00E+01;1.05E-10;;;206.00;8.61E-07;;;505;5.36E-07;;;443.50;5.78E-07;5.84E-07;-5.98E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.07E+05;1.00E+00;8.58E-07;5.00E+01;6.85E-11;;;206.50;8.58E-07;;;505.5;5.37E-07;;;444.00;5.75E-07;5.83E-07;-8.12E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.07E+05;1.00E+00;8.55E-07;5.00E+01;7.27E-11;;;207.00;8.55E-07;;;506;5.39E-07;;;444.50;5.77E-07;5.83E-07;-6.27E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.08E+05;1.00E+00;8.54E-07;5.00E+01;9.69E-11;;;207.50;8.54E-07;;;506.5;5.36E-07;;;445.00;5.76E-07;5.82E-07;-6.73E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.08E+05;1.00E+00;8.58E-07;5.00E+01;9.17E-11;;;208.00;8.58E-07;;;507;5.35E-07;;;445.50;5.73E-07;5.82E-07;-8.88E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.09E+05;1.00E+00;8.54E-07;5.00E+01;8.72E-11;;;208.50;8.54E-07;;;507.5;5.32E-07;;;446.00;5.74E-07;5.82E-07;-7.33E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.09E+05;1.00E+00;8.54E-07;5.00E+01;7.58E-11;;;209.00;8.54E-07;;;508;5.30E-07;;;446.50;5.78E-07;5.81E-07;-3.25E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.10E+05;1.00E+00;8.52E-07;5.00E+01;6.68E-11;;;209.50;8.52E-07;;;508.5;5.32E-07;;;447.00;5.77E-07;5.81E-07;-3.39E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.10E+05;1.00E+00;8.55E-07;5.00E+01;6.97E-11;;;210.00;8.55E-07;;;509;5.30E-07;;;447.50;5.74E-07;5.80E-07;-6.28E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.11E+05;1.00E+00;8.59E-07;5.00E+01;9.53E-11;;;210.50;8.59E-07;;;509.5;5.31E-07;;;448.00;5.79E-07;5.80E-07;-7.62E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.11E+05;1.00E+00;8.56E-07;5.00E+01;8.83E-11;;;211.00;8.56E-07;;;510;5.29E-07;;;448.50;5.82E-07;5.80E-07;2.24E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.12E+05;1.00E+00;8.55E-07;5.00E+01;8.45E-11;;;211.50;8.55E-07;;;510.5;5.32E-07;;;449.00;5.78E-07;5.79E-07;-9.92E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.12E+05;1.00E+00;8.54E-07;5.00E+01;6.52E-11;;;212.00;8.54E-07;;;511;5.28E-07;;;449.50;5.68E-07;5.79E-07;-1.08E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.13E+05;1.00E+00;8.48E-07;5.00E+01;6.77E-11;;;212.50;8.48E-07;;;511.5;5.23E-07;;;450.00;5.25E-07;5.78E-07;-5.31E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.13E+05;1.00E+00;8.45E-07;5.00E+01;6.56E-11;;;213.00;8.45E-07;;;512;5.28E-07;;;450.50;5.10E-07;5.78E-07;-6.81E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.14E+05;1.00E+00;8.46E-07;5.00E+01;7.51E-11;;;213.50;8.46E-07;;;512.5;5.30E-07;;;451.00;5.02E-07;5.77E-07;-7.55E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.14E+05;1.00E+00;8.47E-07;5.00E+01;9.75E-11;;;214.00;8.47E-07;;;513;5.30E-07;;;451.50;5.00E-07;5.77E-07;-7.65E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.15E+05;1.00E+00;8.48E-07;5.00E+01;9.03E-11;;;214.50;8.48E-07;;;513.5;5.30E-07;;;452.00;4.98E-07;5.77E-07;-7.81E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.15E+05;1.00E+00;8.44E-07;5.00E+01;8.62E-11;;;215.00;8.44E-07;;;514;5.30E-07;;;452.50;4.99E-07;5.76E-07;-7.70E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16E+05;1.00E+00;8.42E-07;5.00E+01;8.43E-11;;;215.50;8.42E-07;;;514.5;5.24E-07;;;453.00;4.95E-07;5.76E-07;-8.10E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16E+05;1.00E+00;8.40E-07;5.00E+01;8.29E-11;;;216.00;8.40E-07;;;515;5.23E-07;;;453.50;4.94E-07;5.75E-07;-8.16E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.17E+05;1.00E+00;8.41E-07;5.00E+01;7.06E-11;;;216.50;8.41E-07;;;515.5;5.21E-07;;;454.00;4.89E-07;5.75E-07;-8.55E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.17E+05;1.00E+00;8.42E-07;5.00E+01;6.63E-11;;;217.00;8.42E-07;;;516;5.19E-07;;;454.50;4.91E-07;5.74E-07;-8.31E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.18E+05;1.00E+00;8.42E-07;5.00E+01;7.89E-11;;;217.50;8.42E-07;;;516.5;5.19E-07;;;455.00;4.93E-07;5.74E-07;-8.08E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.18E+05;1.00E+00;8.36E-07;5.00E+01;9.03E-11;;;218.00;8.36E-07;;;517;5.19E-07;;;455.50;4.94E-07;5.74E-07;-7.99E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.19E+05;1.00E+00;8.36E-07;5.00E+01;6.78E-11;;;218.50;8.36E-07;;;517.5;5.19E-07;;;456.00;4.97E-07;5.73E-07;-7.58E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.19E+05;1.00E+00;8.37E-07;5.00E+01;6.49E-11;;;219.00;8.37E-07;;;518;5.22E-07;;;456.50;4.94E-07;5.73E-07;-7.87E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.20E+05;1.00E+00;8.29E-07;5.00E+01;6.61E-11;;;219.50;8.29E-07;;;518.5;5.20E-07;;;457.00;4.95E-07;5.72E-07;-7.75E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.20E+05;1.00E+00;8.31E-07;5.00E+01;7.35E-11;;;220.00;8.31E-07;;;519;5.20E-07;;;457.50;4.97E-07;5.72E-07;-7.45E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.21E+05;1.00E+00;8.27E-07;5.00E+01;7.56E-11;;;220.50;8.27E-07;;;519.5;5.18E-07;;;458.00;4.96E-07;5.71E-07;-7.58E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.21E+05;1.00E+00;8.30E-07;5.00E+01;8.55E-11;;;221.00;8.30E-07;;;520;5.19E-07;;;458.50;4.95E-07;5.71E-07;-7.57E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.22E+05;1.00E+00;8.30E-07;5.00E+01;9.92E-11;;;221.50;8.30E-07;;;520.5;5.17E-07;;;459.00;4.97E-07;5.71E-07;-7.36E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.22E+05;1.00E+00;8.28E-07;5.00E+01;7.16E-11;;;222.00;8.28E-07;;;521;5.18E-07;;;459.50;4.97E-07;5.70E-07;-7.31E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.23E+05;1.00E+00;8.29E-07;5.00E+01;7.14E-11;;;222.50;8.29E-07;;;521.5;5.18E-07;;;460.00;5.36E-07;5.70E-07;-3.36E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.23E+05;1.00E+00;8.29E-07;5.00E+01;7.36E-11;;;223.00;8.29E-07;;;522;5.22E-07;;;460.50;5.58E-07;5.69E-07;-1.15E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.24E+05;1.00E+00;8.27E-07;5.00E+01;9.97E-11;;;223.50;8.27E-07;;;522.5;5.20E-07;;;461.00;5.65E-07;5.69E-07;-3.91E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.24E+05;1.00E+00;8.27E-07;5.00E+01;6.59E-11;;;224.00;8.27E-07;;;523;5.22E-07;;;461.50;5.73E-07;5.68E-07;4.01E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.25E+05;1.00E+00;8.22E-07;5.00E+01;6.89E-11;;;224.50;8.22E-07;;;523.5;5.19E-07;;;462.00;5.73E-07;5.68E-07;5.11E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.25E+05;1.00E+00;8.23E-07;5.00E+01;9.31E-11;;;225.00;8.23E-07;;;524;5.20E-07;;;462.50;5.69E-07;5.68E-07;1.75E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.26E+05;1.00E+00;8.23E-07;5.00E+01;7.09E-11;;;225.50;8.23E-07;;;524.5;5.23E-07;;;463.00;5.71E-07;5.67E-07;3.45E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.26E+05;1.00E+00;8.21E-07;5.00E+01;6.67E-11;;;226.00;8.21E-07;;;525;5.22E-07;;;463.50;5.71E-07;5.67E-07;3.82E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.27E+05;1.00E+00;8.24E-07;5.00E+01;7.40E-11;;;226.50;8.24E-07;;;525.5;5.22E-07;;;464.00;5.68E-07;5.66E-07;1.92E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.27E+05;1.00E+00;8.26E-07;5.00E+01;7.52E-11;;;227.00;8.26E-07;;;526;5.20E-07;;;464.50;5.69E-07;5.66E-07;3.03E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.28E+05;1.00E+00;8.28E-07;5.00E+01;7.58E-11;;;227.50;8.28E-07;;;526.5;5.21E-07;;;465.00;5.67E-07;5.66E-07;1.17E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.28E+05;1.00E+00;8.29E-07;5.00E+01;7.30E-11;;;228.00;8.29E-07;;;527;5.19E-07;;;465.50;5.65E-07;5.65E-07;-5.51E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.29E+05;1.00E+00;8.25E-07;5.00E+01;7.70E-11;;;228.50;8.25E-07;;;527.5;5.18E-07;;;466.00;5.67E-07;5.65E-07;2.43E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.29E+05;1.00E+00;8.22E-07;5.00E+01;7.77E-11;;;229.00;8.22E-07;;;528;5.14E-07;;;466.50;5.65E-07;5.64E-07;8.52E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.30E+05;1.00E+00;8.21E-07;5.00E+01;9.54E-11;;;229.50;8.21E-07;;;528.5;5.17E-07;;;467.00;5.61E-07;5.64E-07;-3.00E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.30E+05;1.00E+00;8.19E-07;5.00E+01;7.57E-11;;;230.00;8.19E-07;;;529;5.15E-07;;;467.50;5.59E-07;5.63E-07;-4.60E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.31E+05;1.00E+00;8.19E-07;5.00E+01;7.59E-11;;;230.50;8.19E-07;;;529.5;5.14E-07;;;468.00;5.59E-07;5.63E-07;-4.31E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.31E+05;1.00E+00;8.17E-07;5.00E+01;8.39E-11;;;231.00;8.17E-07;;;530;5.17E-07;;;468.50;5.57E-07;5.63E-07;-5.10E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.32E+05;1.00E+00;8.18E-07;5.00E+01;7.58E-11;;;231.50;8.18E-07;;;530.5;5.16E-07;;;469.00;5.57E-07;5.62E-07;-5.05E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.32E+05;1.00E+00;8.14E-07;5.00E+01;7.49E-11;;;232.00;8.14E-07;;;531;5.16E-07;;;469.50;5.50E-07;5.62E-07;-1.16E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.33E+05;1.00E+00;8.16E-07;5.00E+01;7.56E-11;;;232.50;8.16E-07;;;531.5;5.12E-07;;;470.00;5.06E-07;5.61E-07;-5.57E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.33E+05;1.00E+00;8.12E-07;5.00E+01;7.68E-11;;;233.00;8.12E-07;;;532;5.16E-07;;;470.50;4.95E-07;5.61E-07;-6.61E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.34E+05;1.00E+00;8.14E-07;5.00E+01;7.59E-11;;;233.50;8.14E-07;;;532.5;5.12E-07;;;471.00;4.89E-07;5.60E-07;-7.16E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.34E+05;1.00E+00;8.16E-07;5.00E+01;7.37E-11;;;234.00;8.16E-07;;;533;5.16E-07;;;471.50;4.86E-07;5.60E-07;-7.41E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.35E+05;1.00E+00;8.16E-07;5.00E+01;7.73E-11;;;234.50;8.16E-07;;;533.5;5.16E-07;;;472.00;4.86E-07;5.60E-07;-7.38E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.35E+05;1.00E+00;8.12E-07;5.00E+01;7.63E-11;;;235.00;8.12E-07;;;534;5.16E-07;;;472.50;4.83E-07;5.59E-07;-7.60E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.36E+05;1.00E+00;8.12E-07;5.00E+01;7.86E-11;;;235.50;8.12E-07;;;534.5;5.13E-07;;;473.00;4.87E-07;5.59E-07;-7.22E-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
