File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
2.70E+04;1.00E+00;1.67E-06;-2.35E+01;2.88E-10;;;;1.6689E-06;2.8755E-10
2.75E+04;1.00E+00;1.80E-06;-2.30E+01;2.88E-10;;;;0.000001801;2.8788E-10
2.80E+04;1.00E+00;1.92E-06;-2.25E+01;2.86E-10;;;;1.9166E-06;2.8579E-10
2.85E+04;1.00E+00;2.01E-06;-2.20E+01;2.94E-10;;;;2.0119E-06;2.935E-10
2.90E+04;1.00E+00;2.13E-06;-2.15E+01;2.87E-10;;;;2.1323E-06;2.8741E-10
2.95E+04;1.00E+00;2.25E-06;-2.10E+01;2.88E-10;;;;2.2538E-06;2.8804E-10
3.00E+04;1.00E+00;2.37E-06;-2.05E+01;2.91E-10;;;;2.3664E-06;2.9063E-10
3.05E+04;1.00E+00;2.49E-06;-2.00E+01;3.70E-10;;;;0.000002489;3.697E-10
3.10E+04;1.00E+00;2.63E-06;-1.95E+01;3.77E-10;;;;2.6253E-06;3.769E-10
3.15E+04;1.00E+00;2.77E-06;-1.90E+01;3.00E-10;;;;2.7657E-06;2.9982E-10
3.20E+04;1.00E+00;2.90E-06;-1.85E+01;2.96E-10;;;;2.8955E-06;2.9571E-10
3.25E+04;1.00E+00;3.05E-06;-1.80E+01;2.92E-10;;;;3.0476E-06;2.9232E-10
3.30E+04;1.00E+00;3.19E-06;-1.75E+01;2.86E-10;;;;3.1942E-06;2.8587E-10
3.35E+04;1.00E+00;3.38E-06;-1.70E+01;2.90E-10;;;;0.000003375;2.9028E-10
3.40E+04;1.00E+00;3.54E-06;-1.65E+01;2.96E-10;;;;3.5392E-06;2.961E-10
3.45E+04;1.00E+00;3.70E-06;-1.60E+01;2.99E-10;;;;3.7047E-06;2.9887E-10
3.50E+04;1.00E+00;3.87E-06;-1.55E+01;2.94E-10;;;;0.000003865;2.9375E-10
3.55E+04;1.00E+00;4.04E-06;-1.50E+01;2.96E-10;;;;4.0415E-06;2.9585E-10
3.60E+04;1.00E+00;4.24E-06;-1.45E+01;2.94E-10;;;;4.2402E-06;2.9413E-10
3.65E+04;1.00E+00;4.42E-06;-1.40E+01;2.93E-10;;;;4.4175E-06;2.9346E-10
