#scan;iMeasureCycle=1;iMux=0;time=0.143;N=202;LocalTime=20/12/2023 12:57:15;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
5;4.82E-06;0.280254;-0.5;-2.02E-10;0.280254;;;5;2.0183E-10;4.8151E-06
4.9;4.55E-06;0.430371;-0.500001;-1.54E-10;0.430371;;;4.9;1.541E-10;4.5511E-06
4.8;4.45E-06;0.580131;-0.499999;-1.29E-10;0.580131;;;4.8;1.2885E-10;4.44887E-06
4.7;4.33E-06;0.729943;-0.499999;-1.11E-10;0.729943;;;4.7;1.109E-10;4.3256E-06
4.6;3.92E-06;0.879707;-0.499999;-1.02E-10;0.879707;;;4.6;1.0168E-10;3.91662E-06
4.5;3.47E-06;1.029503;-0.5;-9.73E-11;1.029503;;;4.5;9.732E-11;3.46583E-06
4.4;3.44E-06;1.179213;-0.500001;-8.93E-11;1.179213;;;4.4;8.927E-11;3.43671E-06
4.3;3.37E-06;1.366169;-0.5;-8.44E-11;1.366169;;;4.3;8.438E-11;3.37317E-06
4.2;3.06E-06;1.515937;-0.499999;-7.96E-11;1.515937;;;4.2;7.963E-11;3.06139E-06
4.1;2.93E-06;1.665852;-0.5;-7.61E-11;1.665852;;;4.1;7.614E-11;2.92702E-06
4;2.61E-06;1.831271;-0.500001;-7.40E-11;1.831271;;;4;7.398E-11;2.60726E-06
3.9;2.38E-06;1.981128;-0.500001;-7.26E-11;1.981128;;;3.9;7.264E-11;2.37912E-06
3.8;2.22E-06;2.130851;-0.499999;-7.05E-11;2.130851;;;3.8;7.051E-11;2.21605E-06
3.7;2.01E-06;2.280632;-0.5;-6.75E-11;2.280632;;;3.7;6.746E-11;2.00734E-06
3.6;1.80E-06;2.431235;-0.500001;-6.74E-11;2.431235;;;3.6;6.737E-11;1.80188E-06
3.5;1.64E-06;2.580982;-0.499999;-6.64E-11;2.580982;;;3.5;6.639E-11;1.63576E-06
3.4;1.47E-06;2.730855;-0.5;-6.68E-11;2.730855;;;3.4;6.684E-11;1.46802E-06
3.3;1.30E-06;2.880661;-0.5;-6.73E-11;2.880661;;;3.3;6.725E-11;1.30301E-06
3.2;1.17E-06;3.030418;-0.499999;-6.93E-11;3.030418;;;3.2;6.926E-11;1.16606E-06
3.1;1.04E-06;3.180182;-0.500001;-7.27E-11;3.180182;;;3.1;7.269E-11;1.04171E-06
3;9.44E-07;3.364195;-0.500001;-7.63E-11;3.364195;;;3;7.629E-11;9.4407E-07
2.9;8.25E-07;3.516867;-0.500001;-8.21E-11;3.516867;;;2.9;8.212E-11;8.25396E-07
2.8;7.32E-07;3.666604;-0.5;-9.14E-11;3.666604;;;2.8;9.143E-11;7.31585E-07
2.7;6.33E-07;3.837444;-0.5;-1.04E-10;3.837444;;;2.7;1.0362E-10;6.32896E-07
2.6;5.36E-07;3.987275;-0.5;-1.22E-10;3.987275;;;2.6;1.2238E-10;5.35873E-07
2.5;4.77E-07;4.136972;-0.499999;-1.50E-10;4.136972;;;2.5;1.4991E-10;4.76985E-07
2.4;4.22E-07;4.28678;-0.5;-1.86E-10;4.28678;;;2.4;1.8557E-10;4.21624E-07
2.3;3.59E-07;4.437395;-0.5;-2.38E-10;4.437395;;;2.3;2.3832E-10;3.58539E-07
2.2;3.03E-07;4.587222;-0.500001;-3.12E-10;4.587222;;;2.2;3.1249E-10;3.03245E-07
2.1;2.56E-07;4.737041;-0.500001;-4.35E-10;4.737041;;;2.1;4.3539E-10;2.55696E-07
2;2.13E-07;4.886812;-0.499999;-6.05E-10;4.886812;;;2;6.0497E-10;2.13093E-07
1.9;1.78E-07;5.036573;-0.499999;-8.34E-10;5.036573;;;1.9;8.3378E-10;1.78163E-07
1.8;1.48E-07;5.186341;-0.499999;-1.13E-09;5.186341;;;1.8;1.12539E-09;1.48041E-07
1.7;1.25E-07;5.370482;-0.5;-1.50E-09;5.370482;;;1.7;1.5021E-09;1.25345E-07
1.6;1.02E-07;5.520273;-0.500001;-2.03E-09;5.520273;;;1.6;2.03321E-09;1.02196E-07
1.5;8.38E-08;5.687408;-0.500001;-2.78E-09;5.687408;;;1.5;2.78165E-09;8.38457E-08
1.39999;6.62E-08;5.874493;-0.5;-3.86E-09;5.874493;;;1.39999;3.85831E-09;6.62E-08
1.30001;5.10E-08;6.024231;-0.500001;-5.58E-09;6.024231;;;1.30001;5.58496E-09;5.0967E-08
1.2;3.91E-08;6.146555;-0.500001;-9.02E-09;6.146555;;;1.2;9.01594E-09;3.9141E-08
1.1;2.89E-08;6.290434;-0.500001;-1.75E-08;6.290434;;;1.1;1.7458E-08;2.89263E-08
1.00001;2.28E-08;6.413976;-0.500001;-3.94E-08;6.413976;;;1.00001;3.93876E-08;2.27966E-08
0.9;2.04E-08;6.537493;-0.500001;-8.52E-08;6.537493;;;0.9;8.52402E-08;2.04265E-08
0.8;1.87E-08;6.666888;-0.5;-1.57E-07;6.666888;;;0.8;1.56911E-07;1.87219E-08
0.70001;1.49E-08;6.790404;-0.5;-2.49E-07;6.790404;;;0.70001;2.48904E-07;1.49204E-08
0.6;1.05E-08;6.913901;-0.5;-3.54E-07;6.913901;;;0.6;3.54266E-07;1.05208E-08
0.49999;6.33E-09;7.052451;-0.5;-4.65E-07;7.052451;;;0.49999;4.65292E-07;6.3281E-09
0.40001;3.32E-09;7.202392;-0.5;-5.75E-07;7.202392;;;0.40001;5.75446E-07;3.31738E-09
0.29999;1.59E-09;7.382691;-0.5;-6.80E-07;7.382691;;;0.29999;6.80128E-07;1.58672E-09
0.19999;7.78E-10;7.532589;-0.5;-7.80E-07;7.532589;;;0.19999;7.79998E-07;7.7795E-10
0.1;2.09E-10;7.682467;-0.5;-8.75E-07;7.682467;;;0.1;8.75404E-07;2.0929E-10
-1.00E-05;-1.12E-10;7.856374;-0.5;-9.67E-07;7.856374;;;-1.00E-05;9.67456E-07;1.122E-10
-0.10001;-3.67E-10;8.009639;-0.5;-1.06E-06;8.009639;;;-0.10001;1.0563E-06;3.6695E-10
-0.2;-1.18E-09;8.159461;-0.5;-1.14E-06;8.159461;;;-0.2;1.1414E-06;1.1805E-09
-0.30001;-2.87E-09;8.309372;-0.5;-1.22E-06;8.309372;;;-0.30001;1.22196E-06;2.86846E-09
-0.40001;-4.40E-09;8.479574;-0.5;-1.30E-06;8.479574;;;-0.40001;1.29821E-06;4.39891E-09
-0.5;-7.14E-09;8.629487;-0.5;-1.37E-06;8.629487;;;-0.5;1.37081E-06;7.14301E-09
-0.6;-1.04E-08;8.773452;-0.5;-1.44E-06;8.773452;;;-0.6;1.44004E-06;1.04031E-08
-0.7;-1.35E-08;8.917375;-0.5;-1.51E-06;8.917375;;;-0.7;1.50627E-06;1.35189E-08
-0.8;-1.68E-08;9.061273;-0.5;-1.57E-06;9.061273;;;-0.8;1.56927E-06;1.67561E-08
-0.9;-2.08E-08;9.205215;-0.5;-1.63E-06;9.205215;;;-0.9;1.62983E-06;2.08175E-08
-1;-2.49E-08;9.381445;-0.5;-1.69E-06;9.381445;;;-1;1.68763E-06;2.48552E-08
-1.1;-2.98E-08;9.525326;-0.5;-1.74E-06;9.525326;;;-1.1;1.74326E-06;2.98062E-08
-1.2;-3.67E-08;9.669249;-0.5;-1.80E-06;9.669249;;;-1.2;1.79665E-06;3.67282E-08
-1.29999;-4.15E-08;9.813152;-0.5;-1.85E-06;9.813152;;;-1.29999;1.84766E-06;4.15416E-08
-1.4;-4.92E-08;9.976535;-0.5;-1.90E-06;9.976535;;;-1.4;1.89717E-06;4.92437E-08
-1.5;-5.76E-08;10.122909;-0.5;-1.94E-06;10.122909;;;-1.5;1.94482E-06;5.76084E-08
-1.59999;-6.67E-08;10.269328;-0.5;-1.99E-06;10.269328;;;-1.59999;1.99028E-06;6.67015E-08
-1.70001;-7.65E-08;10.415709;-0.5;-2.03E-06;10.415709;;;-1.70001;2.03451E-06;7.65157E-08
