#scan;iMeasureCycle=1;iMux=0;time=0.14;N=210;LocalTime=20/12/2023 12:53:56;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;7.76E-06;0.277166;0;-1.25E-09;0.277166;;;0;1.24948E-09
5;9.51E-06;0.424788;-0.5;-1.33E-09;0.424788;;;-0.5;1.33287E-09
5;6.88E-06;0.549794;-1;-1.47E-09;0.549794;;;-1;1.47223E-09
5;7.43E-06;0.672165;-1.5;-1.56E-09;0.672165;;;-1.5;1.55537E-09
4.99999;6.70E-06;0.794532;-2;-1.61E-09;0.794532;;;-2;1.60583E-09
5;7.71E-06;0.926398;-2.5;-1.62E-09;0.926398;;;-2.5;1.61672E-09
5;7.75E-06;1.048797;-3;-1.64E-09;1.048797;;;-3;1.64272E-09
5;7.00E-06;1.171144;-3.5;-1.66E-09;1.171144;;;-3.5;1.66057E-09
5;7.23E-06;1.293507;-4;-1.66E-09;1.293507;;;-4;1.65938E-09
5;6.50E-06;1.427436;-4.5;-1.64E-09;1.427436;;;-4.5;1.6362E-09
5;7.60E-06;1.549783;-5;-1.62E-09;1.549783;;;-5;1.62314E-09
5;6.45E-06;1.672153;-5.5;-1.65E-09;1.672153;;;-5.5;1.65329E-09
5;6.19E-06;1.794504;-6;-1.66E-09;1.794504;;;-6;1.65956E-09
5;6.76E-06;1.928448;-6.5;-1.61E-09;1.928448;;;-6.5;1.61385E-09
5;6.87E-06;2.050843;-7;-1.64E-09;2.050843;;;-7;1.63532E-09
5;6.24E-06;2.173199;-7.5;-1.63E-09;2.173199;;;-7.5;1.63447E-09
5;6.88E-06;2.295579;-8;-1.64E-09;2.295579;;;-8;1.64005E-09
5.00001;6.59E-06;2.429451;-8.5;-1.60E-09;2.429451;;;-8.5;1.60234E-09
5;6.34E-06;2.55187;-9;-1.62E-09;2.55187;;;-9;1.61569E-09
5;7.79E-06;2.674269;-9.5;-1.63E-09;2.674269;;;-9.5;1.62526E-09
4.99999;5.22E-06;2.796641;-10;-1.63E-09;2.796641;;;-10;1.63238E-09
5;5.09E-06;2.930499;-10;-1.05E-09;2.930499;;;-10;1.05445E-09
5;5.01E-06;3.052911;-9.50001;-3.30E-10;3.052911;;;-9.50001;3.2961E-10
5;4.91E-06;3.17528;-9.00001;-6.46E-11;3.17528;;;-9.00001;6.457E-11
5;5.12E-06;3.297666;-8.50001;-3.71E-12;3.297666;;;-8.50001;3.71E-12
5;4.92E-06;3.431465;-8.00001;-2.31E-12;3.431465;;;-8.00001;2.31E-12
5;4.87E-06;3.553829;-7.50001;-1.90E-13;3.553829;;;-7.50001;1.9E-13
5;3.94E-06;3.676231;-7.00001;2.11E-12;3.676231;;;-7.00001;2.11E-12
5;3.82E-06;3.798617;-6.50001;4.68E-12;3.798617;;;-6.50001;4.68E-12
5;3.25E-06;3.932461;-6.00001;7.58E-12;3.932461;;;-6.00001;7.58E-12
4.99999;3.81E-06;4.054867;-5.50001;1.77E-11;4.054867;;;-5.50001;1.768E-11
5;2.88E-06;4.177231;-5.00001;9.18E-11;4.177231;;;-5.00001;9.177E-11
5;4.18E-06;4.299612;-4.50001;1.48E-10;4.299612;;;-4.50001;1.4787E-10
5;4.84E-06;4.433439;-4.00001;8.62E-10;4.433439;;;-4.00001;8.6182E-10
5.00001;6.65E-06;4.555844;-3.50001;2.03E-09;4.555844;;;-3.50001;2.02956E-09
5;3.21E-06;4.705623;-3;1.30E-09;4.705623;;;-3;1.2968E-09
5;2.93E-06;4.84139;-2.50001;1.28E-09;4.84139;;;-2.50001;1.27886E-09
5;3.70E-06;4.963798;-2.00001;1.43E-09;4.963798;;;-2.00001;1.43385E-09
5;3.75E-06;5.086164;-1.50001;1.46E-09;5.086164;;;-1.50001;1.46017E-09
