File Name: 10_Sample4_device1_trfSat_dark_hor.dat;;;;;;;
File Data: 17/11/2023;9:56:54;;;;;;
Start V: 0;;;;;;;
Step V: 0;;;;;;;
Stop V: 0;;;;;;;
Range V: 200;;;;;;;
Delay(ms): 0;;;;;;;
Auorange: yes;;;;;;;
Sweep type: log;;;;;;;
Instrument Meter: SM2614;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;|IDrain|, |IGate| (A);|IGate| (A)
2.75E+04;1.00E+00;-2.97E-11;-2.30E+01;7.05E-11;;2.9725E-11;7.0466E-11
2.80E+04;1.00E+00;-2.96E-11;-2.25E+01;7.06E-11;;2.9578E-11;7.0599E-11
2.85E+04;1.00E+00;-2.96E-11;-2.20E+01;7.08E-11;;2.9621E-11;7.0821E-11
2.90E+04;1.00E+00;-2.96E-11;-2.15E+01;7.10E-11;;2.9564E-11;7.1025E-11
2.95E+04;1.00E+00;-2.96E-11;-2.10E+01;7.12E-11;;2.9609E-11;7.1247E-11
3.00E+04;1.00E+00;-2.33E-11;-2.05E+01;6.94E-11;;2.3298E-11;6.9366E-11
3.05E+04;1.00E+00;-3.11E-11;-2.00E+01;9.74E-11;;3.1055E-11;9.7362E-11
3.10E+04;1.00E+00;-3.77E-11;-1.95E+01;9.65E-11;;3.7733E-11;9.654E-11
3.15E+04;1.00E+00;-2.97E-11;-1.90E+01;7.19E-11;;2.9679E-11;7.1905E-11
3.20E+04;1.00E+00;-2.96E-11;-1.85E+01;7.21E-11;;2.9578E-11;7.2098E-11
3.25E+04;1.00E+00;-2.96E-11;-1.80E+01;7.20E-11;;2.955E-11;7.1998E-11
3.30E+04;1.00E+00;-2.95E-11;-1.75E+01;7.24E-11;;2.9528E-11;7.241E-11
3.35E+04;1.00E+00;-2.97E-11;-1.70E+01;7.24E-11;;2.9671E-11;7.2409E-11
3.40E+04;1.00E+00;-2.96E-11;-1.65E+01;7.25E-11;;2.9573E-11;7.2498E-11
3.45E+04;1.00E+00;-2.96E-11;-1.60E+01;7.25E-11;;2.9632E-11;7.2489E-11
3.50E+04;1.00E+00;-2.96E-11;-1.55E+01;7.27E-11;;2.9564E-11;7.265E-11
3.55E+04;1.00E+00;-2.96E-11;-1.50E+01;7.29E-11;;2.9577E-11;7.2907E-11
3.60E+04;1.00E+00;-2.96E-11;-1.45E+01;7.29E-11;;2.9634E-11;7.2898E-11
3.65E+04;1.00E+00;-2.97E-11;-1.40E+01;7.30E-11;;2.965E-11;7.2987E-11
3.70E+04;1.00E+00;-2.97E-11;-1.35E+01;7.31E-11;;2.9666E-11;7.3112E-11
3.75E+04;1.00E+00;-2.96E-11;-1.30E+01;7.31E-11;;2.9612E-11;7.3146E-11
3.80E+04;1.00E+00;-2.96E-11;-1.25E+01;7.34E-11;;2.9594E-11;7.3352E-11
3.85E+04;1.00E+00;-2.97E-11;-1.20E+01;7.35E-11;;2.9747E-11;7.347E-11
3.90E+04;1.00E+00;-2.97E-11;-1.15E+01;7.34E-11;;2.97E-11;7.3438E-11
3.95E+04;1.00E+00;-2.96E-11;-1.10E+01;7.36E-11;;2.9619E-11;7.3638E-11
4.00E+04;1.00E+00;-2.97E-11;-1.05E+01;7.37E-11;;2.9689E-11;7.3721E-11
4.05E+04;1.00E+00;-2.96E-11;-1.00E+01;7.38E-11;;2.9647E-11;7.3795E-11
4.10E+04;1.00E+00;-2.98E-11;-9.50E+00;7.39E-11;;2.975E-11;7.3861E-11
4.15E+04;1.00E+00;-2.96E-11;-9.00E+00;7.37E-11;;2.9627E-11;7.3711E-11
4.20E+04;1.00E+00;-2.96E-11;-8.50E+00;7.39E-11;;2.9602E-11;7.3947E-11
4.25E+04;1.00E+00;-2.97E-11;-8.00E+00;7.40E-11;;2.9671E-11;7.4023E-11
4.30E+04;1.00E+00;-2.97E-11;-7.50E+00;7.40E-11;;2.9705E-11;7.4E-11
4.35E+04;1.00E+00;-2.96E-11;-7.00E+00;7.42E-11;;2.9633E-11;7.4205E-11
4.40E+04;1.00E+00;-2.96E-11;-6.50E+00;7.41E-11;;2.962E-11;7.4146E-11
4.45E+04;1.00E+00;-2.95E-11;-6.00E+00;7.41E-11;;2.9527E-11;7.4116E-11
4.50E+04;1.00E+00;-2.96E-11;-5.50E+00;7.41E-11;;2.9634E-11;7.412E-11
4.55E+04;1.00E+00;-2.00E-11;-5.00E+00;6.14E-11;;2.002E-11;6.1426E-11
4.60E+04;1.00E+00;-4.80E-11;-4.50E+00;2.54E-10;;4.8E-11;2.5407E-10
4.65E+04;1.00E+00;-2.96E-11;-4.00E+00;7.47E-11;;2.9645E-11;7.466E-11
4.70E+04;1.00E+00;-2.96E-11;-3.50E+00;7.48E-11;;2.9572E-11;7.4796E-11
4.75E+04;1.00E+00;-2.97E-11;-3.00E+00;7.47E-11;;2.9662E-11;7.4741E-11
4.80E+04;1.00E+00;-2.99E-11;-2.50E+00;7.52E-11;;2.9879E-11;7.5196E-11
4.85E+04;1.00E+00;-2.97E-11;-2.00E+00;7.48E-11;;2.9672E-11;7.4813E-11
4.90E+04;1.00E+00;-2.97E-11;-1.50E+00;7.51E-11;;2.972E-11;7.5108E-11
4.95E+04;1.00E+00;-2.96E-11;-1.00E+00;7.49E-11;;2.9571E-11;7.4893E-11
5.00E+04;1.00E+00;-2.97E-11;-5.00E-01;7.49E-11;;2.9659E-11;7.4939E-11
5.05E+04;1.00E+00;-2.97E-11;0.00E+00;7.50E-11;;2.965E-11;7.504E-11
5.10E+04;1.00E+00;-2.97E-11;5.00E-01;7.52E-11;;2.9695E-11;7.5166E-11
5.15E+04;1.00E+00;-2.98E-11;1.00E+00;7.51E-11;;2.9768E-11;7.509E-11
5.20E+04;1.00E+00;-2.97E-11;1.50E+00;7.51E-11;;2.965E-11;7.5101E-11
5.25E+04;1.00E+00;-2.97E-11;2.00E+00;7.52E-11;;2.9678E-11;7.5186E-11
5.30E+04;1.00E+00;-2.99E-11;2.50E+00;7.57E-11;;2.9947E-11;7.5735E-11
5.35E+04;1.00E+00;-2.98E-11;3.00E+00;7.54E-11;;2.979E-11;7.5411E-11
5.40E+04;1.00E+00;-2.98E-11;3.50E+00;7.53E-11;;2.978E-11;7.5281E-11
5.45E+04;1.00E+00;-2.97E-11;4.00E+00;7.52E-11;;2.974E-11;7.5244E-11
5.50E+04;1.00E+00;-2.97E-11;4.50E+00;7.53E-11;;2.9716E-11;7.5331E-11
5.55E+04;1.00E+00;-2.97E-11;5.00E+00;7.54E-11;;2.973E-11;7.543E-11
5.60E+04;1.00E+00;-2.97E-11;5.50E+00;7.54E-11;;2.9707E-11;7.5405E-11
5.65E+04;1.00E+00;-2.98E-11;6.00E+00;7.55E-11;;2.978E-11;7.5461E-11
5.70E+04;1.00E+00;-2.97E-11;6.50E+00;7.55E-11;;2.9736E-11;7.5504E-11
5.75E+04;1.00E+00;-2.97E-11;7.00E+00;7.54E-11;;2.9718E-11;7.5405E-11
5.80E+04;1.00E+00;-2.98E-11;7.50E+00;7.57E-11;;2.978E-11;7.5699E-11
5.85E+04;1.00E+00;-2.99E-11;8.00E+00;7.55E-11;;2.9881E-11;7.5512E-11
5.90E+04;1.00E+00;-2.98E-11;8.50E+00;7.56E-11;;2.9796E-11;7.5625E-11
5.95E+04;1.00E+00;-2.98E-11;9.00E+00;7.57E-11;;2.9839E-11;7.565E-11
6.00E+04;1.00E+00;-2.99E-11;9.50E+00;7.57E-11;;2.9868E-11;7.5691E-11
6.05E+04;1.00E+00;-2.23E-11;1.00E+01;7.05E-11;;2.234E-11;7.0517E-11
6.10E+04;1.00E+00;-4.80E-11;1.05E+01;2.46E-10;;4.8022E-11;2.4589E-10
6.15E+04;1.00E+00;-3.00E-11;1.10E+01;7.59E-11;;2.9986E-11;7.5922E-11
6.20E+04;1.00E+00;-2.99E-11;1.15E+01;7.60E-11;;2.9858E-11;7.5979E-11
6.25E+04;1.00E+00;-2.99E-11;1.20E+01;7.59E-11;;2.986E-11;7.5934E-11
6.30E+04;1.00E+00;-2.98E-11;1.25E+01;7.59E-11;;2.9831E-11;7.5871E-11
6.35E+04;1.00E+00;-2.99E-11;1.30E+01;7.60E-11;;2.9883E-11;7.5958E-11
6.40E+04;1.00E+00;-2.99E-11;1.35E+01;7.60E-11;;2.9864E-11;7.6017E-11
6.45E+04;1.00E+00;-2.99E-11;1.40E+01;7.61E-11;;2.9866E-11;7.6114E-11
6.50E+04;1.00E+00;-2.99E-11;1.45E+01;7.62E-11;;2.9857E-11;7.6219E-11
6.55E+04;1.00E+00;-3.01E-11;1.50E+01;7.68E-11;;3.0062E-11;7.6764E-11
6.60E+04;1.00E+00;-2.98E-11;1.55E+01;7.61E-11;;2.9812E-11;7.611E-11
6.65E+04;1.00E+00;-2.98E-11;1.60E+01;7.63E-11;;2.9753E-11;7.6295E-11
6.70E+04;1.00E+00;-2.98E-11;1.65E+01;7.64E-11;;2.9846E-11;7.6363E-11
6.75E+04;1.00E+00;-2.99E-11;1.70E+01;7.65E-11;;2.99E-11;7.645E-11
6.80E+04;1.00E+00;-2.98E-11;1.75E+01;7.65E-11;;2.9841E-11;7.6535E-11
6.85E+04;1.00E+00;-2.99E-11;1.80E+01;7.66E-11;;2.9927E-11;7.6569E-11
