#scan;iMeasureCycle=1;iMux=0;time=0.125;N=142;LocalTime=21/12/2023 11:21:59;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;9.20E-09;0.279187;-0.500001;-4.87E-09;0.279187;;;19.99999;4.86878E-09;9.2047E-09
19.5;7.25E-09;0.444324;-0.5;-3.97E-09;0.444324;;;19.5;3.96792E-09;7.24659E-09
18.99999;6.15E-09;0.620382;-0.5;-3.43E-09;0.620382;;;18.99999;3.43067E-09;6.15081E-09
18.49999;5.47E-09;0.79655;-0.5;-3.08E-09;0.79655;;;18.49999;3.07641E-09;5.46599E-09
17.99999;4.98E-09;0.982808;-0.500001;-2.81E-09;0.982808;;;17.99999;2.81475E-09;4.97503E-09
17.49999;4.63E-09;1.158887;-0.500001;-2.63E-09;1.158887;;;17.49999;2.62501E-09;4.63271E-09
16.99999;4.33E-09;1.367504;-0.5;-2.45E-09;1.367504;;;16.99999;2.45475E-09;4.33364E-09
16.5;4.12E-09;1.543764;-0.500001;-2.34E-09;1.543764;;;16.5;2.33882E-09;4.12413E-09
15.99999;3.96E-09;1.719931;-0.5;-2.24E-09;1.719931;;;15.99999;2.24253E-09;3.95952E-09
15.49999;3.82E-09;1.897355;-0.500001;-2.16E-09;1.897355;;;15.49999;2.16271E-09;3.82331E-09
14.99999;3.70E-09;2.073423;-0.499999;-2.09E-09;2.073423;;;14.99999;2.08833E-09;3.69531E-09
14.5;3.59E-09;2.249513;-0.499999;-2.03E-09;2.249513;;;14.5;2.02863E-09;3.5918E-09
13.99999;3.50E-09;2.42575;-0.5;-1.97E-09;2.42575;;;13.99999;1.97461E-09;3.49574E-09
13.5;3.41E-09;2.601792;-0.5;-1.93E-09;2.601792;;;13.5;1.92589E-09;3.41069E-09
13;3.32E-09;2.777833;-0.5;-1.88E-09;2.777833;;;13;1.88058E-09;3.32271E-09
12.5;3.25E-09;2.956288;-0.500001;-1.85E-09;2.956288;;;12.5;1.84578E-09;3.24936E-09
11.99999;3.17E-09;3.132361;-0.5;-1.81E-09;3.132361;;;11.99999;1.81215E-09;3.16846E-09
11.49999;3.09E-09;3.308312;-0.500001;-1.78E-09;3.308312;;;11.49999;1.78084E-09;3.08521E-09
10.99999;3.00E-09;3.490718;-0.5;-1.76E-09;3.490718;;;10.99999;1.7553E-09;2.99701E-09
10.49999;2.89E-09;3.666685;-0.5;-1.73E-09;3.666685;;;10.49999;1.72907E-09;2.88706E-09
10;2.77E-09;3.875055;-0.500001;-1.72E-09;3.875055;;;10;1.72025E-09;2.7659E-09
