#scan;iMeasureCycle=1;iMux=0;time=0.15;N=492;LocalTime=21/12/2023 11:14:39;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;7.48E-09;0.310086;-1.00E-05;-4.17E-09;0.310086;;;-1.00E-05;4.16625E-09
9.99999;6.20E-09;0.486629;-0.50001;-3.62E-09;0.486629;;;-0.50001;3.61949E-09
9.99999;5.43E-09;0.662714;-1;-3.27E-09;0.662714;;;-1;3.26683E-09
10;4.86E-09;0.859996;-1.5;-2.99E-09;0.859996;;;-1.5;2.98586E-09
9.99999;4.50E-09;1.036181;-2.00001;-2.82E-09;1.036181;;;-2.00001;2.81639E-09
10;4.24E-09;1.212161;-2.50001;-2.69E-09;1.212161;;;-2.50001;2.68831E-09
10;3.97E-09;1.42515;-3;-2.55E-09;1.42515;;;-3;2.54946E-09
9.99999;3.80E-09;1.60125;-3.50001;-2.47E-09;1.60125;;;-3.50001;2.46859E-09
9.99999;3.66E-09;1.777261;-4.00001;-2.40E-09;1.777261;;;-4.00001;2.3961E-09
9.99999;3.54E-09;1.953319;-4.50001;-2.34E-09;1.953319;;;-4.50001;2.34133E-09
10;3.43E-09;2.129393;-5;-2.29E-09;2.129393;;;-5;2.29227E-09
9.99999;3.35E-09;2.305607;-5.50001;-2.25E-09;2.305607;;;-5.50001;2.24707E-09
9.99999;3.26E-09;2.483606;-6.00001;-2.21E-09;2.483606;;;-6.00001;2.20874E-09
9.99999;3.20E-09;2.659625;-6.50001;-2.17E-09;2.659625;;;-6.50001;2.1716E-09
9.99999;3.13E-09;2.835712;-7;-2.14E-09;2.835712;;;-7;2.13791E-09
10;3.07E-09;3.020564;-7.5;-2.11E-09;3.020564;;;-7.5;2.10933E-09
10;3.03E-09;3.196517;-8;-2.09E-09;3.196517;;;-8;2.08721E-09
9.99999;2.97E-09;3.406199;-8.50001;-2.06E-09;3.406199;;;-8.50001;2.06072E-09
9.99999;2.92E-09;3.582276;-9;-2.03E-09;3.582276;;;-9;2.03352E-09
9.99999;2.89E-09;3.758388;-9.50001;-2.02E-09;3.758388;;;-9.50001;2.018E-09
9.99999;2.85E-09;3.935703;-10;-2.00E-09;3.935703;;;-10;1.99542E-09
10;2.82E-09;4.111875;-10.5;-1.98E-09;4.111875;;;-10.5;1.98046E-09
9.99999;2.78E-09;4.288177;-11.00001;-1.96E-09;4.288177;;;-11.00001;1.96363E-09
10;2.76E-09;4.464347;-11.5;-1.95E-09;4.464347;;;-11.5;1.95312E-09
10;2.73E-09;4.640561;-12;-1.93E-09;4.640561;;;-12;1.92877E-09
9.99999;2.70E-09;4.816712;-12.5;-1.92E-09;4.816712;;;-12.5;1.92061E-09
10;2.67E-09;4.992886;-13.00001;-1.90E-09;4.992886;;;-13.00001;1.9047E-09
10;2.65E-09;5.168998;-13.5;-1.89E-09;5.168998;;;-13.5;1.89352E-09
10;2.64E-09;5.345041;-14.00001;-1.88E-09;5.345041;;;-14.00001;1.88267E-09
9.99999;2.61E-09;5.528599;-14.5;-1.87E-09;5.528599;;;-14.5;1.87234E-09
9.99999;2.59E-09;5.704603;-15.00001;-1.86E-09;5.704603;;;-15.00001;1.86178E-09
10;2.57E-09;5.913957;-15.50001;-1.84E-09;5.913957;;;-15.50001;1.84492E-09
10;2.54E-09;6.089988;-16;-1.84E-09;6.089988;;;-16;1.83775E-09
10;2.53E-09;6.266233;-16.50001;-1.83E-09;6.266233;;;-16.50001;1.83293E-09
9.99999;2.51E-09;6.443754;-17.00001;-1.83E-09;6.443754;;;-17.00001;1.82663E-09
9.99999;2.49E-09;6.619837;-17.50001;-1.82E-09;6.619837;;;-17.50001;1.82163E-09
10;2.48E-09;6.795819;-18;-1.81E-09;6.795819;;;-18;1.81068E-09
9.99999;2.46E-09;6.972081;-18.5;-1.81E-09;6.972081;;;-18.5;1.80572E-09
9.99999;2.44E-09;7.148153;-19.00001;-1.80E-09;7.148153;;;-19.00001;1.80129E-09
10;2.43E-09;7.324282;-19.50001;-1.79E-09;7.324282;;;-19.50001;1.79343E-09
10;2.41E-09;7.500416;-20;-1.79E-09;7.500416;;;-20;1.78656E-09
10;2.41E-09;7.621623;-20;-1.78E-09;7.621623;;;-20;1.78331E-09
10;2.39E-09;7.797614;-19.5;-1.77E-09;7.797614;;;-19.5;1.77067E-09
10;2.38E-09;7.973758;-19.00001;-1.77E-09;7.973758;;;-19.00001;1.76536E-09
9.99999;2.36E-09;8.149798;-18.5;-1.75E-09;8.149798;;;-18.5;1.74993E-09
9.99999;2.35E-09;8.3259;-18.00001;-1.74E-09;8.3259;;;-18.00001;1.74291E-09
9.99999;2.34E-09;8.504219;-17.50001;-1.74E-09;8.504219;;;-17.50001;1.73593E-09
9.99999;2.32E-09;8.680306;-17.00001;-1.72E-09;8.680306;;;-17.00001;1.72426E-09
9.99999;2.32E-09;8.856302;-16.50001;-1.73E-09;8.856302;;;-16.50001;1.72669E-09
10;2.30E-09;9.038326;-16;-1.72E-09;9.038326;;;-16;1.71784E-09
9.99999;2.29E-09;9.214296;-15.5;-1.71E-09;9.214296;;;-15.5;1.70711E-09
10;2.27E-09;9.419626;-15;-1.70E-09;9.419626;;;-15;1.70208E-09
10;2.27E-09;9.595637;-14.5;-1.69E-09;9.595637;;;-14.5;1.69436E-09
10;2.25E-09;9.771989;-14.00001;-1.69E-09;9.771989;;;-14.00001;1.68744E-09
10;2.24E-09;9.95349;-13.50001;-1.68E-09;9.95349;;;-13.50001;1.67673E-09
10;2.23E-09;10.129582;-13.00001;-1.67E-09;10.129582;;;-13.00001;1.67462E-09
10;2.22E-09;10.30566;-12.50001;-1.67E-09;10.30566;;;-12.50001;1.66828E-09
10;2.21E-09;10.481752;-12.00001;-1.67E-09;10.481752;;;-12.00001;1.67342E-09
10;2.20E-09;10.657794;-11.5;-1.67E-09;10.657794;;;-11.5;1.66514E-09
10;2.20E-09;10.833842;-11;-1.66E-09;10.833842;;;-11;1.66408E-09
9.99999;2.18E-09;11.010221;-10.50001;-1.65E-09;11.010221;;;-10.50001;1.65281E-09
10;2.17E-09;11.186292;-10.00001;-1.65E-09;11.186292;;;-10.00001;1.65136E-09
10;2.16E-09;11.362301;-9.5;-1.64E-09;11.362301;;;-9.5;1.64042E-09
10;2.15E-09;11.545257;-9.00001;-1.63E-09;11.545257;;;-9.00001;1.63353E-09
10;2.15E-09;11.721266;-8.50001;-1.63E-09;11.721266;;;-8.50001;1.63203E-09
9.99999;2.13E-09;11.926491;-8;-1.62E-09;11.926491;;;-8;1.6209E-09
10;2.13E-09;12.102485;-7.5;-1.62E-09;12.102485;;;-7.5;1.61656E-09
10;2.12E-09;12.278824;-7;-1.61E-09;12.278824;;;-7;1.60618E-09
9.99999;2.11E-09;12.456559;-6.50001;-1.60E-09;12.456559;;;-6.50001;1.59778E-09
10;2.10E-09;12.63264;-6.00001;-1.59E-09;12.63264;;;-6.00001;1.58956E-09
10;2.09E-09;12.808785;-5.5;-1.58E-09;12.808785;;;-5.5;1.57769E-09
10;2.08E-09;12.984839;-5;-1.56E-09;12.984839;;;-5;1.56488E-09
10;2.07E-09;13.160985;-4.5;-1.55E-09;13.160985;;;-4.5;1.54653E-09
10;2.06E-09;13.33719;-4;-1.53E-09;13.33719;;;-4;1.52909E-09
10;2.05E-09;13.515228;-3.5;-1.51E-09;13.515228;;;-3.5;1.51094E-09
10;2.04E-09;13.691257;-3.00001;-1.49E-09;13.691257;;;-3.00001;1.48625E-09
9.99999;2.03E-09;13.867318;-2.5;-1.45E-09;13.867318;;;-2.5;1.45169E-09
9.99999;2.02E-09;14.052141;-2.00001;-1.40E-09;14.052141;;;-2.00001;1.40313E-09
10;2.00E-09;14.228106;-1.5;-1.34E-09;14.228106;;;-1.5;1.3436E-09
9.99999;1.98E-09;14.433594;-1;-1.27E-09;14.433594;;;-1;1.27081E-09
9.99999;1.95E-09;14.609618;-0.50001;-1.18E-09;14.609618;;;-0.50001;1.17887E-09
9.99999;1.90E-09;14.7857;-1.00E-05;-1.05E-09;14.7857;;;-1.00E-05;1.054E-09
4.99999;-7.30E-09;14.961729;0;3.03E-09;14.961729;;;0;3.03393E-09
4.99999;9.73E-10;15.134377;-0.50001;-6.58E-08;15.134377;;;-0.50001;6.57512E-08
5;2.21E-09;15.290079;-1;-1.27E-07;15.290079;;;-1;1.27282E-07
4.99999;2.53E-09;15.445847;-1.5;-1.80E-07;15.445847;;;-1.5;1.79818E-07
5;2.65E-09;15.595713;-2;-2.24E-07;15.595713;;;-2;2.24062E-07
4.99999;2.67E-09;15.745558;-2.5;-2.62E-07;15.745558;;;-2.5;2.61543E-07
4.99999;2.51E-09;15.932098;-3;-2.93E-07;15.932098;;;-3;2.92807E-07
5;2.52E-09;16.081947;-3.5;-3.19E-07;16.081947;;;-3.5;3.19056E-07
4.99999;2.48E-09;16.231772;-4;-3.41E-07;16.231772;;;-4;3.40697E-07
5;2.33E-09;16.418907;-4.5;-3.58E-07;16.418907;;;-4.5;3.58196E-07
5;2.32E-09;16.568803;-5;-3.73E-07;16.568803;;;-5;3.73295E-07
5;2.27E-09;16.71857;-5.5;-3.86E-07;16.71857;;;-5.5;3.85732E-07
4.99999;2.22E-09;16.868411;-6;-3.96E-07;16.868411;;;-6;3.9635E-07
5;2.16E-09;17.033895;-6.5;-4.05E-07;17.033895;;;-6.5;4.05074E-07
5;2.13E-09;17.183649;-7;-4.13E-07;17.183649;;;-7;4.12595E-07
5;2.09E-09;17.333574;-7.5;-4.19E-07;17.333574;;;-7.5;4.18945E-07
4.99999;2.07E-09;17.489268;-8;-4.24E-07;17.489268;;;-8;4.24377E-07
4.99999;2.05E-09;17.63925;-8.5;-4.29E-07;17.63925;;;-8.5;4.29074E-07
5;2.02E-09;17.789147;-9;-4.33E-07;17.789147;;;-9;4.33404E-07
4.99999;2.00E-09;17.944744;-9.5;-4.37E-07;17.944744;;;-9.5;4.37078E-07
5;1.99E-09;18.100462;-10;-4.40E-07;18.100462;;;-10;4.40096E-07
5;1.98E-09;18.256137;-10.5;-4.43E-07;18.256137;;;-10.5;4.43117E-07
4.99999;1.95E-09;18.44088;-11;-4.46E-07;18.44088;;;-11;4.45584E-07
5;1.95E-09;18.596535;-11.5;-4.48E-07;18.596535;;;-11.5;4.48283E-07
4.99999;1.94E-09;18.746366;-12;-4.51E-07;18.746366;;;-12;4.50713E-07
5;1.91E-09;18.925173;-12.5;-4.53E-07;18.925173;;;-12.5;4.52927E-07
4.99999;1.91E-09;19.074987;-13;-4.55E-07;19.074987;;;-13;4.54945E-07
5;1.90E-09;19.224805;-13.5;-4.57E-07;19.224805;;;-13.5;4.56816E-07
5;1.90E-09;19.374738;-14;-4.59E-07;19.374738;;;-14;4.58846E-07
5;1.89E-09;19.546149;-14.5;-4.60E-07;19.546149;;;-14.5;4.59878E-07
4.99999;1.88E-09;19.696006;-15;-4.62E-07;19.696006;;;-15;4.6193E-07
4.99999;1.87E-09;19.845853;-15.5;-4.64E-07;19.845853;;;-15.5;4.63524E-07
5;1.86E-09;19.995659;-16;-4.65E-07;19.995659;;;-16;4.65179E-07
5;1.86E-09;20.145482;-16.5;-4.67E-07;20.145482;;;-16.5;4.66768E-07
5;1.85E-09;20.295327;-17;-4.68E-07;20.295327;;;-17;4.67997E-07
5;1.84E-09;20.455567;-17.5;-4.69E-07;20.455567;;;-17.5;4.69327E-07
5;1.84E-09;20.605435;-18;-4.71E-07;20.605435;;;-18;4.70672E-07
5;1.83E-09;20.761163;-18.5;-4.72E-07;20.761163;;;-18.5;4.7208E-07
4.99999;1.81E-09;20.941385;-19;-4.73E-07;20.941385;;;-19;4.73345E-07
5;1.82E-09;21.091158;-19.5;-4.75E-07;21.091158;;;-19.5;4.74622E-07
5;1.81E-09;21.240895;-20;-4.76E-07;21.240895;;;-20;4.75908E-07
5;1.78E-09;21.363302;-20;-4.76E-07;21.363302;;;-20;4.76123E-07
5;1.76E-09;21.513109;-19.5;-4.75E-07;21.513109;;;-19.5;4.74776E-07
4.99999;1.75E-09;21.662998;-19;-4.73E-07;21.662998;;;-19;4.73437E-07
5;1.74E-09;21.812833;-18.5;-4.72E-07;21.812833;;;-18.5;4.71968E-07
5;1.74E-09;21.962641;-18;-4.71E-07;21.962641;;;-18;4.70596E-07
4.99999;1.73E-09;22.112443;-17.5;-4.69E-07;22.112443;;;-17.5;4.6916E-07
5;1.73E-09;22.262292;-17;-4.68E-07;22.262292;;;-17;4.67736E-07
5;1.73E-09;22.444408;-16.5;-4.66E-07;22.444408;;;-16.5;4.66278E-07
4.99999;1.72E-09;22.594374;-16;-4.65E-07;22.594374;;;-16;4.64636E-07
5;1.71E-09;22.744187;-15.5;-4.63E-07;22.744187;;;-15.5;4.63024E-07
5;1.70E-09;22.894259;-15;-4.61E-07;22.894259;;;-15;4.61305E-07
5;1.71E-09;23.049035;-14.5;-4.60E-07;23.049035;;;-14.5;4.59647E-07
5;1.70E-09;23.198858;-14;-4.58E-07;23.198858;;;-14;4.57896E-07
4.99999;1.69E-09;23.348754;-13.5;-4.56E-07;23.348754;;;-13.5;4.55726E-07
5;1.69E-09;23.498573;-13;-4.54E-07;23.498573;;;-13;4.53837E-07
5;1.69E-09;23.649047;-12.5;-4.51E-07;23.649047;;;-12.5;4.51261E-07
4.99999;1.68E-09;23.798944;-12;-4.49E-07;23.798944;;;-12;4.49094E-07
4.99999;1.68E-09;23.959599;-11.5;-4.47E-07;23.959599;;;-11.5;4.46792E-07
