#scan;iMeasureCycle=1;iMux=0;time=0.143;N=492;LocalTime=21/12/2023 15:02:04;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;4.59E-09;0.303046;-1.00E-05;-3.00E-09;0.303046;;;-1.00E-05;2.99564E-09
10;4.54E-09;0.473488;-0.5;-4.41E-08;0.473488;;;-0.5;4.41461E-08
9.99999;4.55E-09;0.629559;-1;-9.54E-08;0.629559;;;-1;9.5447E-08
10;4.55E-09;0.779381;-1.5;-1.52E-07;0.779381;;;-1.5;1.52276E-07
10;4.57E-09;0.929196;-2;-2.11E-07;0.929196;;;-2;2.11307E-07
9.99999;4.59E-09;1.085131;-2.5;-2.70E-07;1.085131;;;-2.5;2.70351E-07
10;4.61E-09;1.234945;-3;-3.28E-07;1.234945;;;-3;3.28077E-07
9.99999;4.64E-09;1.390081;-3.5;-3.84E-07;1.390081;;;-3.5;3.83902E-07
9.99999;4.69E-09;1.539984;-4;-4.37E-07;1.539984;;;-4;4.36935E-07
10;4.79E-09;1.689805;-4.5;-4.87E-07;1.689805;;;-4.5;4.87217E-07
10;4.74E-09;1.869537;-5;-5.36E-07;1.869537;;;-5;5.35811E-07
10;4.88E-09;2.025504;-5.5;-5.80E-07;2.025504;;;-5.5;5.80383E-07
10;4.96E-09;2.181154;-6;-6.21E-07;2.181154;;;-6;6.21422E-07
10;4.89E-09;2.369396;-6.5;-6.62E-07;2.369396;;;-6.5;6.61932E-07
10;5.08E-09;2.525255;-7;-6.98E-07;2.525255;;;-7;6.97743E-07
9.99999;5.17E-09;2.680914;-7.5;-7.31E-07;2.680914;;;-7.5;7.31146E-07
9.99999;5.03E-09;2.873235;-8;-7.64E-07;2.873235;;;-8;7.64435E-07
9.99999;5.26E-09;3.029159;-8.5;-7.93E-07;3.029159;;;-8.5;7.93069E-07
9.99999;5.34E-09;3.184888;-9;-8.20E-07;3.184888;;;-9;8.19655E-07
9.99999;5.17E-09;3.372752;-9.5;-8.46E-07;3.372752;;;-9.5;8.46405E-07
9.99999;5.34E-09;3.528491;-10;-8.70E-07;3.528491;;;-10;8.70172E-07
10;5.41E-09;3.681619;-10.5;-8.93E-07;3.681619;;;-10.5;8.9253E-07
9.99999;5.45E-09;3.831462;-11;-9.13E-07;3.831462;;;-11;9.131E-07
9.99999;5.43E-09;3.988768;-11.5;-9.33E-07;3.988768;;;-11.5;9.3273E-07
10;5.40E-09;4.138652;-12;-9.51E-07;4.138652;;;-12;9.5143E-07
9.99999;5.37E-09;4.28848;-12.5;-9.69E-07;4.28848;;;-12.5;9.6867E-07
9.99999;5.29E-09;4.438309;-13;-9.86E-07;4.438309;;;-13;9.8586E-07
10;5.23E-09;4.588749;-13.5;-1.00E-06;4.588749;;;-13.5;1.00267E-06
9.99999;5.18E-09;4.738598;-14;-1.02E-06;4.738598;;;-14;1.01878E-06
9.99999;5.09E-09;4.898372;-14.5;-1.03E-06;4.898372;;;-14.5;1.03447E-06
9.99999;5.04E-09;5.04822;-15;-1.05E-06;5.04822;;;-15;1.04918E-06
9.99999;4.99E-09;5.198058;-15.5;-1.06E-06;5.198058;;;-15.5;1.06344E-06
9.99999;4.91E-09;5.372489;-16;-1.08E-06;5.372489;;;-16;1.07884E-06
9.99999;4.88E-09;5.522411;-16.5;-1.09E-06;5.522411;;;-16.5;1.0919E-06
9.99999;4.83E-09;5.672324;-17;-1.10E-06;5.672324;;;-17;1.10498E-06
9.99999;4.79E-09;5.822162;-17.5;-1.12E-06;5.822162;;;-17.5;1.11791E-06
9.99999;4.74E-09;5.993782;-18;-1.13E-06;5.993782;;;-18;1.13097E-06
10;4.73E-09;6.143577;-18.5;-1.14E-06;6.143577;;;-18.5;1.14333E-06
10;4.70E-09;6.293401;-19;-1.15E-06;6.293401;;;-19;1.1547E-06
9.99999;4.67E-09;6.443201;-19.5;-1.17E-06;6.443201;;;-19.5;1.16663E-06
9.99999;4.64E-09;6.593679;-20;-1.18E-06;6.593679;;;-20;1.17932E-06
9.99999;4.61E-09;6.71604;-20;-1.19E-06;6.71604;;;-20;1.18512E-06
