#scan;iMeasureCycle=1;iMux=0;time=0.128;N=142;LocalTime=21/12/2023 15:05:08;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
19.99999;1.14E-08;0.276183;-10;-8.98E-09;0.276183;;;19.99999;8.98E-09;1.14E-08;9.47E-05;;;8.07E-09
19.5;7.37E-09;0.441212;-10;-7.54E-09;0.441212;;;19.5;7.54E-09;7.37E-09;8.69E-05;;;
19;5.43E-09;0.617278;-10;-7.68E-09;0.617278;;;19;7.68E-09;5.43E-09;8.76E-05;;;IDS_max
18.5;4.51E-09;0.793309;-10.00001;-8.88E-09;0.793309;;;18.5;8.88E-09;4.51E-09;9.42E-05;;;6.17E-05
18;4.08E-09;0.974085;-10;-1.10E-08;0.974085;;;18;1.10E-08;4.08E-09;0.000104789;;;
17.5;3.61E-09;1.123849;-9.99999;-1.39E-08;1.123849;;;17.5;1.39E-08;3.61E-09;0.000117947;;;ON/OFF
16.99999;3.63E-09;1.273597;-9.99999;-1.81E-08;1.273597;;;16.99999;1.81E-08;3.63E-09;0.000134535;;;7.65E+03
16.5;3.94E-09;1.425413;-10;-2.40E-08;1.425413;;;16.5;2.40E-08;3.94E-09;0.000154868;;;
15.99999;4.22E-09;1.575262;-10;-3.19E-08;1.575262;;;15.99999;3.19E-08;4.22E-09;0.000178604;;;
15.5;4.39E-09;1.725085;-10;-4.24E-08;1.725085;;;15.5;4.24E-08;4.39E-09;0.000206005;;;
15;4.46E-09;1.87493;-10;-5.68E-08;1.87493;;;15;5.68E-08;4.46E-09;0.000238267;;;
14.49999;4.45E-09;2.024813;-10;-7.71E-08;2.024813;;;14.49999;7.71E-08;4.45E-09;0.000277638;;;
14;4.37E-09;2.180504;-10;-1.07E-07;2.180504;;;14;1.07E-07;4.37E-09;0.000326659;;;
13.49999;4.36E-09;2.365638;-10;-1.50E-07;2.365638;;;13.49999;1.50E-07;4.36E-09;0.000386903;;;
13;4.11E-09;2.515493;-10;-2.13E-07;2.515493;;;13;2.13E-07;4.11E-09;0.000461085;;;
12.5;3.91E-09;2.665364;-10;-3.01E-07;2.665364;;;12.5;3.01E-07;3.91E-09;0.000548915;;;
12;3.83E-09;2.839452;-10;-4.24E-07;2.839452;;;12;4.24E-07;3.83E-09;0.00065125;;;
11.5;3.59E-09;2.989416;-10;-5.92E-07;2.989416;;;11.5;5.92E-07;3.59E-09;0.000769132;;;
10.99999;3.55E-09;3.139303;-10;-8.12E-07;3.139303;;;10.99999;8.12E-07;3.55E-09;0.000901328;;;
10.49999;3.59E-09;3.292404;-10;-1.10E-06;3.292404;;;10.49999;1.10E-06;3.59E-09;0.001047368;;;
9.99999;3.64E-09;3.4612;-10;-1.46E-06;3.4612;;;9.99999;1.46E-06;3.64E-09;0.001207133;;;
9.49999;3.67E-09;3.61094;-10;-1.90E-06;3.61094;;;9.49999;1.90E-06;3.67E-09;0.001379076;;;
8.99999;3.77E-09;3.760786;-10;-2.44E-06;3.760786;;;8.99999;2.44E-06;3.77E-09;0.00156108;;;
8.49999;3.84E-09;3.910605;-10;-3.06E-06;3.910605;;;8.49999;3.06E-06;3.84E-09;0.001750577;;;
7.99999;3.91E-09;4.061103;-10;-3.79E-06;4.061103;;;7.99999;3.79E-06;3.91E-09;0.001947447;;;
7.5;3.87E-09;4.210947;-10;-4.62E-06;4.210947;;;7.5;4.62E-06;3.87E-09;0.002150316;;;
6.99999;3.91E-09;4.371074;-10;-5.56E-06;4.371074;;;6.99999;5.56E-06;3.91E-09;0.002357062;;;
6.49999;3.85E-09;4.520942;-10;-6.60E-06;4.520942;;;6.49999;6.60E-06;3.85E-09;0.002569597;;;
6;3.78E-09;4.670807;-10;-7.76E-06;4.670807;;;6;7.76E-06;3.78E-09;0.002785593;;;
5.5;3.73E-09;4.844953;-10;-9.01E-06;4.844953;;;5.5;9.01E-06;3.73E-09;0.003001713;;;
5;3.63E-09;4.994914;-10;-1.04E-05;4.994914;;;5;1.04E-05;3.63E-09;0.003220734;;;
4.49999;3.56E-09;5.148027;-10;-1.18E-05;5.148027;;;4.49999;1.18E-05;3.56E-09;0.003440044;;;
3.99999;3.41E-09;5.297784;-10;-1.34E-05;5.297784;;;3.99999;1.34E-05;3.41E-09;0.003658538;;;
3.49999;3.32E-09;5.466128;-10;-1.50E-05;5.466128;;;3.49999;0.000015012;3.32E-09;0.003874532;;;
