#scan;iMeasureCycle=1;iMux=0;time=0.133;N=492;LocalTime=21/12/2023 11:56:21;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;9.99E-10;11.528567;-9;-9.67E-10;11.528567;;;-9;9.6695E-10
9.99999;9.97E-10;11.704673;-8.5;-9.65E-10;11.704673;;;-8.5;9.6494E-10
10;9.95E-10;11.909378;-8.00001;-9.63E-10;11.909378;;;-8.00001;9.6316E-10
10;9.90E-10;12.085515;-7.5;-9.60E-10;12.085515;;;-7.5;9.5967E-10
10;9.88E-10;12.261843;-7;-9.59E-10;12.261843;;;-7;9.5856E-10
9.99999;9.88E-10;12.443702;-6.5;-9.59E-10;12.443702;;;-6.5;9.5858E-10
10;9.84E-10;12.61998;-6;-9.55E-10;12.61998;;;-6;9.5462E-10
9.99999;9.87E-10;12.79612;-5.5;-9.55E-10;12.79612;;;-5.5;9.5511E-10
10;9.83E-10;12.972343;-5;-9.52E-10;12.972343;;;-5;9.5202E-10
9.99999;9.77E-10;13.148465;-4.50001;-9.48E-10;13.148465;;;-4.50001;9.478E-10
9.99999;9.73E-10;13.324527;-4;-9.45E-10;13.324527;;;-4;9.4496E-10
10;9.68E-10;13.501304;-3.5;-9.38E-10;13.501304;;;-3.5;9.3826E-10
10;9.64E-10;13.677439;-3.00001;-9.33E-10;13.677439;;;-3.00001;9.3332E-10
9.99999;9.59E-10;13.853489;-2.5;-9.28E-10;13.853489;;;-2.5;9.2829E-10
10;9.48E-10;14.035817;-2.00001;-9.19E-10;14.035817;;;-2.00001;9.1908E-10
10;9.35E-10;14.211912;-1.50001;-9.05E-10;14.211912;;;-1.50001;9.0514E-10
10;9.23E-10;14.416671;-1.00001;-8.93E-10;14.416671;;;-1.00001;8.9347E-10
9.99999;8.87E-10;14.592973;-0.50001;-8.58E-10;14.592973;;;-0.50001;8.5818E-10
9.99999;8.37E-10;14.768905;0;-8.07E-10;14.768905;;;0;8.0722E-10
4.99998;-5.84E-09;14.944726;0;2.70E-09;14.944726;;;0;2.69772E-09
4.99999;9.05E-10;15.106036;-0.50001;-6.49E-08;15.106036;;;-0.50001;6.4918E-08
4.99999;1.40E-09;15.261773;-1;-1.21E-07;15.261773;;;-1;1.20774E-07
4.99999;1.48E-09;15.428166;-1.5;-1.68E-07;15.428166;;;-1.5;1.67653E-07
5;1.67E-09;15.578129;-2;-2.07E-07;15.578129;;;-2;2.06566E-07
4.99999;1.69E-09;15.727969;-2.5;-2.39E-07;15.727969;;;-2.5;2.38619E-07
5;1.51E-09;15.910652;-3;-2.64E-07;15.910652;;;-3;2.64406E-07
4.99999;1.54E-09;16.060514;-3.5;-2.86E-07;16.060514;;;-3.5;2.85748E-07
4.99999;1.47E-09;16.210452;-4;-3.03E-07;16.210452;;;-4;3.03448E-07
5;1.40E-09;16.360296;-4.5;-3.18E-07;16.360296;;;-4.5;3.18187E-07
4.99999;1.33E-09;16.510691;-5;-3.30E-07;16.510691;;;-5;3.30219E-07
5;1.27E-09;16.660524;-5.5;-3.41E-07;16.660524;;;-5.5;3.40892E-07
5;1.21E-09;16.816616;-6;-3.50E-07;16.816616;;;-6;3.49735E-07
