#scan;iMeasureCycle=1;iMux=0;time=0.129;N=142;LocalTime=21/12/2023 12:01:56;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
-6.5;-5.01E-09;9.168518;-0.5;-2.98E-06;9.168518;;;-6.5;2.98326E-06;5.0109E-09
-7;-5.54E-09;9.318529;-0.5;-2.99E-06;9.318529;;;-7;2.9939E-06;5.53812E-09
-7.50001;-6.05E-09;9.49047;-0.5;-3.00E-06;9.49047;;;-7.50001;3.00013E-06;6.04883E-09
-8;-6.60E-09;9.640389;-0.5;-3.00E-06;9.640389;;;-8;3.00446E-06;6.59611E-09
-8.50001;-7.16E-09;9.790278;-0.5;-3.01E-06;9.790278;;;-8.50001;3.00505E-06;7.15661E-09
-9.00001;-7.76E-09;9.940121;-0.5;-3.00E-06;9.940121;;;-9.00001;3.00422E-06;7.75904E-09
-9.5;-8.31E-09;10.090485;-0.5;-3.00E-06;10.090485;;;-9.5;3.00048E-06;8.30753E-09
-10;-8.97E-09;10.234515;-0.5;-2.99E-06;10.234515;;;-10;2.99403E-06;8.9712E-09
-10.5;-9.55E-09;10.394346;-0.5;-2.99E-06;10.394346;;;-10.5;2.98568E-06;9.5484E-09
-11;-1.02E-08;10.538306;-0.5;-2.98E-06;10.538306;;;-11;2.97719E-06;1.02203E-08
-11.5;-1.08E-08;10.682157;-0.5;-2.97E-06;10.682157;;;-11.5;2.9658E-06;1.08461E-08
-12;-1.15E-08;10.826031;-0.5;-2.95E-06;10.826031;;;-12;2.95354E-06;1.1509E-08
-12.5;-1.22E-08;10.98844;-0.5;-2.94E-06;10.98844;;;-12.5;2.93926E-06;1.21576E-08
-13;-1.29E-08;11.132285;-0.5;-2.92E-06;11.132285;;;-13;2.92401E-06;1.28578E-08
-13.5;-1.36E-08;11.276157;-0.5;-2.91E-06;11.276157;;;-13.5;2.90717E-06;1.35526E-08
-14;-1.43E-08;11.42002;-0.5;-2.89E-06;11.42002;;;-14;2.88961E-06;1.42579E-08
-14.5;-1.50E-08;11.563878;-0.5;-2.87E-06;11.563878;;;-14.5;2.87074E-06;1.49739E-08
-15;-1.57E-08;11.707724;-0.5;-2.85E-06;11.707724;;;-15;2.85158E-06;1.57039E-08
-15;-1.55E-08;11.831365;-0.5;-2.85E-06;11.831365;;;-15;2.8498E-06;1.55052E-08
-14.5;-1.44E-08;11.990953;-0.5;-2.87E-06;11.990953;;;-14.5;2.86508E-06;1.43872E-08
-14;-1.34E-08;12.134877;-0.5;-2.88E-06;12.134877;;;-14;2.8795E-06;1.3428E-08
-13.5;-1.25E-08;12.278762;-0.5;-2.89E-06;12.278762;;;-13.5;2.89265E-06;1.25389E-08
-13;-1.17E-08;12.422696;-0.5;-2.91E-06;12.422696;;;-13;2.90507E-06;1.17073E-08
-12.5;-1.09E-08;12.566582;-0.5;-2.92E-06;12.566582;;;-12.5;2.91686E-06;1.08822E-08
-12;-1.01E-08;12.710407;-0.5;-2.93E-06;12.710407;;;-12;2.9271E-06;1.01197E-08
-11.5;-9.41E-09;12.879058;-0.5;-2.94E-06;12.879058;;;-11.5;2.93503E-06;9.4084E-09
-11;-8.69E-09;13.029049;-0.5;-2.94E-06;13.029049;;;-11;2.94186E-06;8.69154E-09
-10.5;-7.99E-09;13.178859;-0.5;-2.95E-06;13.178859;;;-10.5;2.94747E-06;7.98556E-09
-10;-7.31E-09;13.32879;-0.5;-2.95E-06;13.32879;;;-10;2.95019E-06;7.31146E-09
-9.50001;-6.68E-09;13.500708;-0.5;-2.95E-06;13.500708;;;-9.50001;2.95167E-06;6.67811E-09
-9.00001;-6.06E-09;13.650532;-0.5;-2.95E-06;13.650532;;;-9.00001;2.95091E-06;6.05685E-09
-8.50001;-5.48E-09;13.800383;-0.5;-2.95E-06;13.800383;;;-8.50001;2.94723E-06;5.47725E-09
-8.00001;-4.90E-09;13.950247;-0.5;-2.94E-06;13.950247;;;-8.00001;2.94009E-06;4.89598E-09
-7.50001;-4.36E-09;14.100754;-0.5;-2.93E-06;14.100754;;;-7.50001;2.93106E-06;4.35529E-09
-7.00001;-3.85E-09;14.250697;-0.5;-2.92E-06;14.250697;;;-7.00001;2.91877E-06;3.85119E-09
-6.5;-3.37E-09;14.41075;-0.5;-2.90E-06;14.41075;;;-6.5;2.9024E-06;3.37017E-09
-6;-2.87E-09;14.560608;-0.5;-2.88E-06;14.560608;;;-6;2.88182E-06;2.87429E-09
-5.5;-2.43E-09;14.710399;-0.5;-2.86E-06;14.710399;;;-5.5;2.85663E-06;2.43401E-09
-5.00001;-2.05E-09;14.884897;-0.5;-2.83E-06;14.884897;;;-5.00001;2.8267E-06;2.05417E-09
-4.5;-1.60E-09;15.034997;-0.5;-2.79E-06;15.034997;;;-4.5;2.79072E-06;1.60474E-09
-4;-1.21E-09;15.184786;-0.5;-2.75E-06;15.184786;;;-4;2.74845E-06;1.21417E-09
-3.5;-8.57E-10;15.334647;-0.5;-2.70E-06;15.334647;;;-3.5;2.69925E-06;8.5659E-10
-3.00001;-5.22E-10;15.50593;-0.5;-2.64E-06;15.50593;;;-3.00001;2.64017E-06;5.2198E-10
-2.5;-2.12E-10;15.655764;-0.5;-2.57E-06;15.655764;;;-2.5;2.57068E-06;2.1183E-10
-2;8.06E-11;15.805623;-0.5;-2.49E-06;15.805623;;;-2;2.48681E-06;8.064E-11
-1.50001;3.35E-10;15.955469;-0.5;-2.39E-06;15.955469;;;-1.50001;2.38805E-06;3.3506E-10
-1.00001;5.69E-10;16.105972;-0.5;-2.27E-06;16.105972;;;-1.00001;2.2682E-06;5.6914E-10
-0.5;7.59E-10;16.255908;-0.5;-2.12E-06;16.255908;;;-0.5;2.11781E-06;7.5927E-10
0;9.29E-10;16.416214;-0.5;-1.92E-06;16.416214;;;0;1.9229E-06;9.2907E-10
0.5;1.09E-09;16.566171;-0.500001;-1.65E-06;16.566171;;;0.5;1.65112E-06;1.08761E-09
1;1.21E-09;16.716006;-0.5;-1.29E-06;16.716006;;;1;1.29447E-06;1.20925E-09
1.49999;1.26E-09;16.890803;-0.5;-9.45E-07;16.890803;;;1.49999;9.4473E-07;1.26465E-09
1.99999;1.37E-09;17.043416;-0.5;-6.65E-07;17.043416;;;1.99999;6.64946E-07;1.37455E-09
2.49999;1.43E-09;17.199127;-0.5;-4.56E-07;17.199127;;;2.49999;4.55899E-07;1.42821E-09
3.00001;1.48E-09;17.349084;-0.5;-3.03E-07;17.349084;;;3.00001;3.02818E-07;1.48149E-09
3.5;1.56E-09;17.511723;-0.5;-1.96E-07;17.511723;;;3.5;1.96136E-07;1.55522E-09
4;1.68E-09;17.661585;-0.5;-1.24E-07;17.661585;;;4;1.2403E-07;1.68201E-09
4.5;1.78E-09;17.828688;-0.499999;-7.69E-08;17.828688;;;4.5;7.69433E-08;1.78441E-09
4.99999;2.06E-09;18.001149;-0.5;-4.66E-08;18.001149;;;4.99999;4.65671E-08;2.05512E-09
5.5;2.50E-09;18.17133;-0.500001;-2.73E-08;18.17133;;;5.5;2.73143E-08;2.5018E-09
5.99999;2.91E-09;18.341535;-0.500001;-1.56E-08;18.341535;;;5.99999;1.56148E-08;2.90907E-09
