#scan;iMeasureCycle=1;iMux=0;time=0.135;N=142;LocalTime=21/12/2023 11:59:53;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
-3.50001;2.70E-10;8.197381;-10;-3.31E-05;8.197381;;;-3.50001;3.31E-05;2.70E-10;0.005752643;;;
-4.00001;4.21E-10;8.373343;-10;-3.62E-05;8.373343;;;-4.00001;3.62E-05;4.21E-10;0.006013876;;;
-4.5;3.83E-10;8.523179;-10;-3.92E-05;8.523179;;;-4.5;3.92E-05;3.83E-10;0.00626479;;;
-5.00001;4.21E-10;8.673009;-10;-4.23E-05;8.673009;;;-5.00001;4.23E-05;4.21E-10;0.006503653;;;
-5.50001;4.80E-10;8.822881;-10;-4.53E-05;8.822881;;;-5.50001;4.53E-05;4.80E-10;0.006729941;;;
-6.00001;5.28E-10;8.994697;-10;-4.82E-05;8.994697;;;-6.00001;4.82E-05;5.28E-10;0.006943652;;;
-6.50001;5.38E-10;9.144548;-10;-5.11E-05;9.144548;;;-6.50001;5.11E-05;5.38E-10;0.007144977;;;
-7;4.70E-10;9.294517;-10;-5.38E-05;9.294517;;;-7;5.38E-05;4.70E-10;0.007332264;;;
-7.5;3.82E-10;9.444376;-10;-5.63E-05;9.444376;;;-7.5;5.63E-05;3.82E-10;0.007503473;;;
-8;2.60E-10;9.594733;-10;-5.86E-05;9.594733;;;-8;5.86E-05;2.60E-10;0.007657121;;;
-8.5;1.32E-10;9.744577;-10;-6.07E-05;9.744577;;;-8.5;6.07E-05;1.32E-10;0.007791765;;;
-9;-4.29E-11;9.904506;-10;-6.25E-05;9.904506;;;-9;6.25E-05;4.29E-11;0.007907066;;;
-9.50001;-2.61E-10;10.054323;-10;-6.41E-05;10.054323;;;-9.50001;0.000064109;2.61E-10;0.00800681;;;
-10;-5.03E-10;10.204224;-10;-6.55E-05;10.204224;;;-10;6.55E-05;5.03E-10;0.008092422;;;
-10.50001;-7.05E-10;10.378536;-10;-6.67E-05;10.378536;;;-10.50001;6.67E-05;7.05E-10;0.008166541;;;
-11.00001;-1.01E-09;10.528471;-10;-6.77E-05;10.528471;;;-11.00001;6.77E-05;1.01E-09;0.008230522;;;
-11.5;-1.30E-09;10.678306;-10;-6.87E-05;10.678306;;;-11.5;6.87E-05;1.30E-09;0.00828603;;;
-12.00001;-1.66E-09;10.828298;-10;-6.95E-05;10.828298;;;-12.00001;6.95E-05;1.66E-09;0.008334795;;;
-12.50001;-1.97E-09;10.999928;-10;-7.02E-05;10.999928;;;-12.50001;7.02E-05;1.97E-09;0.008376551;;;
-13;-2.36E-09;11.149763;-10;-7.08E-05;11.149763;;;-13;7.08E-05;2.36E-09;0.008412402;;;
-13.50001;-2.73E-09;11.299607;-10;-7.13E-05;11.299607;;;-13.50001;7.13E-05;2.73E-09;0.008444176;;;
-14;-3.17E-09;11.449527;-10;-7.17E-05;11.449527;;;-14;7.17E-05;3.17E-09;0.008470325;;;
-14.5;-3.61E-09;11.600031;-10;-7.21E-05;11.600031;;;-14.5;7.21E-05;3.61E-09;0.008492638;;;
-15.00001;-4.07E-09;11.749898;-10;-7.24E-05;11.749898;;;-15.00001;7.24E-05;4.07E-09;0.008511416;;;
-15.00001;-3.89E-09;11.882373;-10;-7.24E-05;11.882373;;;-15.00001;7.24E-05;3.89E-09;0.008506979;;;
-14.50001;-3.16E-09;12.032323;-10;-7.19E-05;12.032323;;;-14.50001;7.19E-05;3.16E-09;0.008476963;;;
-14;-2.64E-09;12.182193;-10;-7.13E-05;12.182193;;;-14;7.13E-05;2.64E-09;0.008445105;;;
-13.50001;-2.15E-09;12.332127;-10;-7.07E-05;12.332127;;;-13.50001;7.07E-05;2.15E-09;0.008409304;;;
-13;-1.70E-09;12.503768;-10;-7.00E-05;12.503768;;;-13;7.00E-05;1.70E-09;0.008369337;;;
-12.5;-1.31E-09;12.653591;-10;-6.93E-05;12.653591;;;-12.5;6.93E-05;1.31E-09;0.008324056;;;
-12;-9.28E-10;12.803583;-10;-6.84E-05;12.803583;;;-12;0.000068441;9.28E-10;0.008272908;;;
-11.5;-5.56E-10;12.953421;-10;-6.75E-05;12.953421;;;-11.5;6.75E-05;5.56E-10;0.008215114;;;
-11.00001;-2.34E-10;13.103834;-10;-6.64E-05;13.103834;;;-11.00001;6.64E-05;2.34E-10;0.008150945;;;
-10.5;6.20E-11;13.253803;-10;-6.52E-05;13.253803;;;-10.5;0.000065247;6.20E-11;0.008077562;;;
-10.00001;2.63E-10;13.414056;-10;-6.39E-05;13.414056;;;-10.00001;6.39E-05;2.63E-10;0.007993735;;;
