#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 13:55:27;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;Idrain^1/2
-30;-4.46E-10;71.69784;1;2.42E-12;71.69784;;1.55563E-06
-30.5;-4.49E-10;71.87412;0.999999;1.74E-12;71.87412;;1.31909E-06
-31;-4.48E-10;72.08382;0.999999;-5.00E-14;72.08382;;0
-31.5001;-4.63E-10;72.260301;0.999999;3.08E-12;72.260301;;1.75499E-06
-32.0001;-4.73E-10;72.436582;0.999999;3.47E-12;72.436582;;1.86279E-06
-32.5;-4.72E-10;72.613117;0.999999;4.80E-13;72.613117;;6.9282E-07
-33;-4.80E-10;72.78954;0.999999;9.10E-13;72.78954;;9.53939E-07
-33.5;-4.83E-10;72.965925;0.999999;7.10E-13;72.965925;;8.42615E-07
-34.0001;-4.97E-10;73.142326;1;4.39E-12;73.142326;;2.09523E-06
-34.5001;-4.96E-10;73.318712;0.999999;1.13E-12;73.318712;;1.06301E-06
-35.0001;-5.13E-10;73.495087;0.999999;6.27E-12;73.495087;;2.504E-06
-35.5;-5.32E-10;73.673991;1;2.66E-11;73.673991;;5.15752E-06
-36.0001;-5.76E-10;73.850453;1;6.28E-11;73.850453;;7.92465E-06
-36.5001;-5.99E-10;74.047429;1;7.95E-11;74.047429;;8.91628E-06
-37;-6.06E-10;74.223949;0.999999;7.72E-11;74.223949;;8.78635E-06
-37.5;-6.16E-10;74.400316;1;8.57E-11;74.400316;;9.25743E-06
-38.0001;-6.34E-10;74.611466;0.999999;9.43E-11;74.611466;;9.71082E-06
-38.5;-6.31E-10;74.787773;1;8.16E-11;74.787773;;9.03327E-06
-39.0001;-6.25E-10;74.964268;1;6.54E-11;74.964268;;8.08703E-06
-39.5001;-6.34E-10;75.140709;0.999999;7.20E-11;75.140709;;8.48528E-06
-40.0001;-6.74E-10;75.317082;1;1.11E-10;75.317082;;1.05357E-05
-40.5001;-7.15E-10;75.493531;1;1.38E-10;75.493531;;1.17473E-05
-41.0001;-7.22E-10;75.672522;1;1.34E-10;75.672522;;1.15758E-05
-41.5001;-7.40E-10;75.848993;0.999999;1.48E-10;75.848993;;1.21655E-05
-42;-7.59E-10;76.025509;0.999999;1.67E-10;76.025509;;1.29228E-05
-42.5;-7.70E-10;76.209295;0.999999;1.75E-10;76.209295;;1.32288E-05
-43;-7.84E-10;76.385818;0.999999;1.82E-10;76.385818;;1.34907E-05
-43.5001;-8.18E-10;76.592064;0.999999;2.15E-10;76.592064;;1.46629E-05
-44;-8.28E-10;76.768713;0.999999;2.16E-10;76.768713;;1.46969E-05
-44.5001;-8.72E-10;76.945295;1.000001;2.53E-10;76.945295;;1.5906E-05
-45;-8.78E-10;77.126625;0.999999;2.60E-10;77.126625;;1.61245E-05
-45.5001;-8.73E-10;77.303182;0.999999;2.45E-10;77.303182;;1.56525E-05
-46.0001;-8.66E-10;77.479661;0.999999;2.33E-10;77.479661;;1.52643E-05
-46.5;-7.91E-10;77.657742;0.999999;1.55E-10;77.657742;;1.24499E-05
-47;-8.39E-10;77.834179;1;2.00E-10;77.834179;;1.41421E-05
-47.5001;-8.63E-10;78.01067;0.999999;2.18E-10;78.01067;;1.47648E-05
-48.0001;-8.86E-10;78.188908;0.999999;2.38E-10;78.188908;;1.54272E-05
-48.5001;-8.95E-10;78.36537;0.999999;2.43E-10;78.36537;;1.55885E-05
-49.0001;-8.97E-10;78.56087;1;2.39E-10;78.56087;;1.54596E-05
-49.5;-9.31E-10;78.737376;1;2.68E-10;78.737376;;1.63707E-05
-50;-8.93E-10;78.914098;0.999999;2.21E-10;78.914098;;1.48661E-05
-50.5001;-8.99E-10;79.125505;1;2.31E-10;79.125505;;1.51987E-05
-51;-9.26E-10;79.302085;0.999999;2.50E-10;79.302085;;1.58114E-05
-51.5001;-9.84E-10;79.478632;1;3.04E-10;79.478632;;1.74356E-05
-52.0001;-1.02E-09;79.655296;0.999999;3.35E-10;79.655296;;1.8303E-05
-52.5;-1.04E-09;79.8319;1;3.56E-10;79.8319;;1.8868E-05
-53;-1.02E-09;80.008482;1;3.33E-10;80.008482;;1.82483E-05
-53.5001;-1.04E-09;80.185986;0.999999;3.35E-10;80.185986;;1.8303E-05
-54;-1.05E-09;80.362613;1;3.50E-10;80.362613;;1.87083E-05
-54.5001;-1.07E-09;80.539267;1;3.67E-10;80.539267;;1.91572E-05
-55.0001;-1.04E-09;80.722837;1;3.38E-10;80.722837;;1.83848E-05
-55.5;-1.06E-09;80.899543;0.999999;3.49E-10;80.899543;;1.86815E-05
-56.0001;-1.09E-09;81.109811;0.999999;3.76E-10;81.109811;;1.93907E-05
-56.5;-1.12E-09;81.286477;1;4.08E-10;81.286477;;2.0199E-05
-57.0001;-1.22E-09;81.463101;0.999999;4.98E-10;81.463101;;2.23159E-05
-57.5;-1.22E-09;81.639788;1;4.95E-10;81.639788;;2.22486E-05
-58.0001;-1.22E-09;81.816403;0.999999;4.95E-10;81.816403;;2.22486E-05
-58.5001;-1.28E-09;81.993079;1;5.46E-10;81.993079;;2.33666E-05
-59;-1.30E-09;82.171102;0.999999;5.49E-10;82.171102;;2.34307E-05
-59.5001;-1.46E-09;82.347852;0.999999;7.19E-10;82.347852;;2.68142E-05
-60;-1.44E-09;82.524405;1;6.92E-10;82.524405;;2.63059E-05
