#scan;iMeasureCycle=1;iMux=0;time=0.136;N=210;LocalTime=20/12/2023 14:39:36;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;3.35E-09;0.29603;-1.00E-05;-2.72E-09;0.29603;;;-1.00E-05;2.72491E-09
4.99999;3.03E-09;0.472427;-0.50001;-2.54E-09;0.472427;;;-0.50001;2.53576E-09
4.99999;2.86E-09;0.648536;-1;-2.41E-09;0.648536;;;-1;2.41383E-09
5;2.71E-09;0.84426;-1.50001;-2.31E-09;0.84426;;;-1.50001;2.3065E-09
5;2.61E-09;1.020324;-2.00001;-2.23E-09;1.020324;;;-2.00001;2.23104E-09
5;2.53E-09;1.196366;-2.5;-2.16E-09;1.196366;;;-2.5;2.16311E-09
5;2.45E-09;1.40936;-3;-2.09E-09;1.40936;;;-3;2.0926E-09
4.99999;2.39E-09;1.585497;-3.50001;-2.04E-09;1.585497;;;-3.50001;2.04318E-09
4.99999;2.33E-09;1.761556;-4.00001;-1.99E-09;1.761556;;;-4.00001;1.9946E-09
5;2.27E-09;1.937657;-4.5;-1.95E-09;1.937657;;;-4.5;1.94811E-09
5;2.23E-09;2.113794;-5;-1.91E-09;2.113794;;;-5;1.91085E-09
5;2.18E-09;2.289783;-5.50001;-1.87E-09;2.289783;;;-5.50001;1.86993E-09
5;2.14E-09;2.465891;-6.00001;-1.84E-09;2.465891;;;-6.00001;1.83521E-09
4.99999;2.11E-09;2.642164;-6.50001;-1.80E-09;2.642164;;;-6.50001;1.80266E-09
4.99999;2.07E-09;2.818143;-7;-1.77E-09;2.818143;;;-7;1.77056E-09
4.99999;2.03E-09;3.006729;-7.50001;-1.74E-09;3.006729;;;-7.50001;1.73785E-09
4.99999;2.00E-09;3.182693;-8.00001;-1.71E-09;3.182693;;;-8.00001;1.70826E-09
5;1.95E-09;3.385896;-8.50001;-1.67E-09;3.385896;;;-8.50001;1.67376E-09
4.99999;1.92E-09;3.562032;-9;-1.65E-09;3.562032;;;-9;1.64886E-09
4.99999;1.89E-09;3.738006;-9.5;-1.62E-09;3.738006;;;-9.5;1.62391E-09
4.99999;1.87E-09;3.915562;-10.00001;-1.60E-09;3.915562;;;-10.00001;1.60089E-09
4.99999;1.84E-09;4.036784;-10.00001;-1.58E-09;4.036784;;;-10.00001;1.57959E-09
4.99999;1.82E-09;4.212792;-9.5;-1.55E-09;4.212792;;;-9.5;1.55342E-09
4.99999;1.78E-09;4.411892;-9;-1.52E-09;4.411892;;;-9;1.52354E-09
5;1.76E-09;4.587944;-8.50001;-1.50E-09;4.587944;;;-8.50001;1.50327E-09
4.99999;1.74E-09;4.764033;-8;-1.48E-09;4.764033;;;-8;1.48293E-09
5;1.72E-09;4.940141;-7.5;-1.46E-09;4.940141;;;-7.5;1.46135E-09
4.99999;1.70E-09;5.116333;-7;-1.44E-09;5.116333;;;-7;1.44355E-09
5;1.68E-09;5.292345;-6.50001;-1.42E-09;5.292345;;;-6.50001;1.42098E-09
5;1.65E-09;5.470027;-6;-1.40E-09;5.470027;;;-6;1.40153E-09
5;1.63E-09;5.646205;-5.5;-1.38E-09;5.646205;;;-5.5;1.38355E-09
4.99999;1.61E-09;5.822203;-5;-1.37E-09;5.822203;;;-5;1.36762E-09
4.99999;1.58E-09;6.013709;-4.5;-1.35E-09;6.013709;;;-4.5;1.34654E-09
5;1.57E-09;6.189812;-4.00001;-1.33E-09;6.189812;;;-4.00001;1.33121E-09
5;1.55E-09;6.39398;-3.5;-1.31E-09;6.39398;;;-3.5;1.31332E-09
4.99999;1.53E-09;6.570089;-3.00001;-1.30E-09;6.570089;;;-3.00001;1.29534E-09
4.99999;1.51E-09;6.746164;-2.50001;-1.28E-09;6.746164;;;-2.50001;1.28124E-09
