#scan;iMeasureCycle=1;iMux=0;time=0.135;N=202;LocalTime=20/12/2023 14:42:03;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
4.99999;3.56E-09;0.295125;-10;-2.95E-09;0.295125;;;4.99999;2.95E-09;3.56E-09;5.43E-05;;;2.28E-09
4.89999;3.25E-09;0.471491;-10;-2.75E-09;0.471491;;;4.89999;2.75E-09;3.25E-09;5.24E-05;;;
4.79999;3.06E-09;0.647536;-10;-2.61E-09;0.647536;;;4.79999;2.61E-09;3.06E-09;5.11E-05;;;IDS_max
4.7;2.91E-09;0.842268;-10;-2.50E-09;0.842268;;;4.7;2.50E-09;2.91E-09;5.00E-05;;;2.75E-05
4.59999;2.80E-09;1.018426;-10.00001;-2.42E-09;1.018426;;;4.59999;2.42E-09;2.80E-09;4.92E-05;;;
4.5;2.70E-09;1.194474;-10;-2.35E-09;1.194474;;;4.5;2.35E-09;2.70E-09;4.85E-05;;;ON/OFF
4.4;2.63E-09;1.375977;-10;-2.29E-09;1.375977;;;4.4;2.29E-09;2.63E-09;4.79E-05;;;1.21E+04
4.29999;2.56E-09;1.552099;-10;-2.24E-09;1.552099;;;4.29999;2.24E-09;2.56E-09;4.73E-05;;;
4.19999;2.49E-09;1.728114;-10;-2.20E-09;1.728114;;;4.19999;2.20E-09;2.49E-09;4.69E-05;;;
4.09999;2.44E-09;1.908706;-10;-2.16E-09;1.908706;;;4.09999;2.16E-09;2.44E-09;4.65E-05;;;
3.99999;2.38E-09;2.084863;-10.00001;-2.13E-09;2.084863;;;3.99999;2.13E-09;2.38E-09;4.62E-05;;;
3.9;2.33E-09;2.260862;-10;-2.11E-09;2.260862;;;3.9;2.11E-09;2.33E-09;4.60E-05;;;
3.79999;2.28E-09;2.437192;-10;-2.10E-09;2.437192;;;3.79999;2.10E-09;2.28E-09;4.58E-05;;;
3.7;2.24E-09;2.613281;-10;-2.09E-09;2.613281;;;3.7;2.09E-09;2.24E-09;4.57E-05;;;
3.59999;2.20E-09;2.789332;-10;-2.08E-09;2.789332;;;3.59999;2.08E-09;2.20E-09;4.56E-05;;;
3.49999;2.16E-09;2.965822;-10.00001;-2.09E-09;2.965822;;;3.49999;2.09E-09;2.16E-09;4.57E-05;;;
3.39999;2.12E-09;3.141955;-10.00001;-2.09E-09;3.141955;;;3.39999;2.09E-09;2.12E-09;4.57E-05;;;
3.3;2.08E-09;3.318013;-10;-2.11E-09;3.318013;;;3.3;2.11E-09;2.08E-09;4.59E-05;;;
3.19999;2.05E-09;3.50498;-10.00001;-2.14E-09;3.50498;;;3.19999;2.14E-09;2.05E-09;4.63E-05;;;
3.09999;2.02E-09;3.680945;-10;-2.18E-09;3.680945;;;3.09999;2.18E-09;2.02E-09;4.67E-05;;;
3.00001;1.97E-09;3.886079;-10;-2.24E-09;3.886079;;;3.00001;2.24E-09;1.97E-09;4.73E-05;;;
2.9;1.95E-09;4.062214;-10.00001;-2.31E-09;4.062214;;;2.9;2.31E-09;1.95E-09;4.80E-05;;;
2.8;1.92E-09;4.238191;-10;-2.41E-09;4.238191;;;2.8;2.41E-09;1.92E-09;4.91E-05;;;
2.69999;1.89E-09;4.415551;-10.00001;-2.51E-09;4.415551;;;2.69999;2.51E-09;1.89E-09;5.01E-05;;;
2.59999;1.86E-09;4.591581;-10;-2.65E-09;4.591581;;;2.59999;2.65E-09;1.86E-09;5.15E-05;;;
2.5;1.83E-09;4.767667;-10;-2.81E-09;4.767667;;;2.5;2.81E-09;1.83E-09;5.30E-05;;;
2.40001;1.80E-09;4.943782;-10;-3.00E-09;4.943782;;;2.40001;3.00E-09;1.80E-09;5.48E-05;;;
2.29999;1.78E-09;5.119928;-10;-3.25E-09;5.119928;;;2.29999;3.25E-09;1.78E-09;5.70E-05;;;
2.2;1.75E-09;5.295993;-10;-3.57E-09;5.295993;;;2.2;3.57E-09;1.75E-09;5.97E-05;;;
2.09999;1.73E-09;5.472375;-10.00001;-3.96E-09;5.472375;;;2.09999;3.96E-09;1.73E-09;6.29E-05;;;
2;1.70E-09;5.620944;-10.00001;-4.47E-09;5.620944;;;2;4.47E-09;1.70E-09;6.68E-05;;;
1.89999;1.67E-09;5.797069;-10;-5.12E-09;5.797069;;;1.89999;5.12E-09;1.67E-09;7.16E-05;;;
1.79999;1.64E-09;5.973177;-10.00001;-6.00E-09;5.973177;;;1.79999;6.00E-09;1.64E-09;7.75E-05;;;
1.7;1.60E-09;6.149233;-10;-7.21E-09;6.149233;;;1.7;7.21E-09;1.60E-09;8.49E-05;;;
1.6;1.56E-09;6.297804;-10;-8.99E-09;6.297804;;;1.6;8.99E-09;1.56E-09;9.48E-05;;;
1.5;1.52E-09;6.469052;-10.00001;-1.17E-08;6.469052;;;1.5;1.17E-08;1.52E-09;0.000108064;;;
1.4;1.45E-09;6.618937;-10.00001;-1.58E-08;6.618937;;;1.4;1.58E-08;1.45E-09;0.000125846;;;
1.3;1.38E-09;6.768758;-10.00001;-2.22E-08;6.768758;;;1.3;2.22E-08;1.38E-09;0.000149147;;;
1.19999;1.30E-09;6.918629;-10.00001;-3.21E-08;6.918629;;;1.19999;3.21E-08;1.30E-09;0.000179137;;;
1.09999;1.24E-09;7.068568;-10.00001;-4.73E-08;7.068568;;;1.09999;4.73E-08;1.24E-09;0.000217464;;;
1;1.21E-09;7.21839;-10.00001;-7.09E-08;7.21839;;;1;7.09E-08;1.21E-09;0.000266249;;;
0.9;1.22E-09;7.40258;-10;-1.08E-07;7.40258;;;0.9;1.08E-07;1.22E-09;0.00032849;;;
0.8;1.13E-09;7.552434;-10;-1.66E-07;7.552434;;;0.8;1.66E-07;1.13E-09;0.000407243;;;
0.7;1.06E-09;7.702223;-10;-2.55E-07;7.702223;;;0.7;2.55E-07;1.06E-09;0.000504603;;;
0.6;1.13E-09;7.879278;-10;-3.83E-07;7.879278;;;0.6;3.83E-07;1.13E-09;0.0006187;;;
0.49999;1.15E-09;8.029242;-10;-5.51E-07;8.029242;;;0.49999;5.51E-07;1.15E-09;0.000742065;;;
0.39999;1.19E-09;8.179131;-10;-7.48E-07;8.179131;;;0.39999;7.48E-07;1.19E-09;0.000864628;;;
0.29999;1.15E-09;8.329017;-10;-9.65E-07;8.329017;;;0.29999;9.65E-07;1.15E-09;0.000982283;;;
0.2;1.09E-09;8.495005;-10;-1.20E-06;8.495005;;;0.2;1.20E-06;1.09E-09;0.001095568;;;
0.09999;1.03E-09;8.644867;-10;-1.45E-06;8.644867;;;0.09999;1.45E-06;1.03E-09;0.00120574;;;
-1.00E-05;9.57E-10;8.794637;-10;-1.72E-06;8.794637;;;-1.00E-05;1.72E-06;9.57E-10;0.001313347;;;
-0.1;8.86E-10;8.944622;-10;-2.01E-06;8.944622;;;-0.1;2.01E-06;8.86E-10;0.001418785;;;
-0.20001;8.11E-10;9.09464;-10;-2.32E-06;9.09464;;;-0.20001;2.32E-06;8.11E-10;0.001522606;;;
-0.3;7.31E-10;9.244485;-10;-2.64E-06;9.244485;;;-0.3;2.64E-06;7.31E-10;0.001625029;;;
-0.4;6.57E-10;9.402055;-10;-2.98E-06;9.402055;;;-0.4;2.98E-06;6.57E-10;0.001726048;;;
-0.50001;5.65E-10;9.551933;-10;-3.33E-06;9.551933;;;-0.50001;3.33E-06;5.65E-10;0.001825689;;;
-0.60001;4.80E-10;9.701781;-10;-3.70E-06;9.701781;;;-0.60001;3.70E-06;4.80E-10;0.001923902;;;
-0.7;4.00E-10;9.876617;-10;-4.08E-06;9.876617;;;-0.7;4.08E-06;4.00E-10;0.0020207;;;
-0.8;3.14E-10;10.026594;-10;-4.48E-06;10.026594;;;-0.8;4.48E-06;3.14E-10;0.002116136;;;
-0.9;2.21E-10;10.176447;-10;-4.89E-06;10.176447;;;-0.9;4.89E-06;2.21E-10;0.002210339;;;
-1.00001;1.26E-10;10.326246;-10;-5.30E-06;10.326246;;;-1.00001;5.30E-06;1.26E-10;0.002302879;;;
-1.10001;4.27E-11;10.49647;-10;-5.73E-06;10.49647;;;-1.10001;5.73E-06;4.27E-11;0.002394327;;;
-1.20001;-5.55E-11;10.64628;-10;-6.17E-06;10.64628;;;-1.20001;6.17E-06;5.55E-11;0.002484365;;;
-1.3;-1.56E-10;10.796195;-10;-6.62E-06;10.796195;;;-1.3;6.62E-06;1.56E-10;0.002573249;;;
-1.40001;-2.46E-10;10.946147;-10;-7.08E-06;10.946147;;;-1.40001;7.08E-06;2.46E-10;0.00266112;;;
-1.50001;-3.47E-10;11.096135;-10;-7.55E-06;11.096135;;;-1.50001;7.55E-06;3.47E-10;0.00274769;;;
-1.6;-4.53E-10;11.24596;-10;-8.03E-06;11.24596;;;-1.6;8.03E-06;4.53E-10;0.002833164;;;
-1.70001;-5.47E-10;11.406208;-10;-8.51E-06;11.406208;;;-1.70001;8.51E-06;5.47E-10;0.002917597;;;
-1.80001;-6.44E-10;11.556123;-10;-9.01E-06;11.556123;;;-1.80001;9.01E-06;6.44E-10;0.00300091;;;
-1.9;-7.48E-10;11.705876;-10;-9.51E-06;11.705876;;;-1.9;9.51E-06;7.48E-10;0.003083414;;;
-2.00001;-8.37E-10;11.880349;-10;-1.00E-05;11.880349;;;-2.00001;1.00E-05;8.37E-10;0.00316463;;;
-2.1;-9.40E-10;12.033607;-10;-1.05E-05;12.033607;;;-2.1;1.05E-05;9.40E-10;0.003245705;;;
