Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.2318e-05	3.5509e-11	-10.0	-2.5	-5.665265798611102e-07
1.0	1.2319e-05	4.7911e-10	-10.0	-2.5	-5.653021527777758e-07
1.5	1.2321e-05	5.0332e-10	-10.0	-2.5	-5.63189561631943e-07
2.0	1.2322e-05	5.0754e-10	-10.0	-2.5	-5.620767187499991e-07
2.5	1.2325e-05	5.0467e-10	-10.0	-2.5	-5.589636241319426e-07
3.0	1.2327e-05	4.9927e-10	-10.0	-2.5	-5.568502777777749e-07
3.5	1.233e-05	4.9139e-10	-10.0	-2.5	-5.537366796874986e-07
4.0	1.233e-05	4.8172e-10	-10.0	-2.5	-5.536228298611087e-07
4.5	1.2332e-05	4.7373e-10	-10.0	-2.5	-5.515087282986096e-07
5.0	1.2332e-05	4.6598e-10	-10.0	-2.5	-5.513943749999983e-07
5.5	1.2333e-05	4.5766e-10	-10.0	-2.5	-5.502797699652765e-07
6.0	1.2333e-05	4.5001e-10	-10.0	-2.5	-5.501649131944435e-07
6.5	1.2337e-05	4.4336e-10	-10.0	-2.5	-5.460498046874987e-07
7.0	1.2341e-05	4.3673e-10	-10.0	-2.5	-5.41934444444444e-07
7.5	1.2344e-05	4.3066e-10	-10.0	-2.5	-5.388188324652764e-07
8.0	1.2344e-05	4.2459e-10	-10.0	-2.5	-5.387029687499988e-07
8.5	1.2346e-05	4.1861e-10	-10.0	-2.5	-5.365868532986102e-07
9.0	1.2349e-05	4.143e-10	-10.0	-2.5	-5.334704861111095e-07
9.5	1.235e-05	4.0972e-10	-10.0	-2.5	-5.323538671874982e-07
10.0	1.2354e-05	4.0508e-10	-10.0	-2.5	-5.282369965277755e-07
10.5	1.2357e-05	4.0153e-10	-10.0	-2.5	-5.251198741319433e-07
11.0	1.2356e-05	3.9767e-10	-10.0	-2.5	-5.260024999999982e-07
11.5	1.2358e-05	3.9491e-10	-10.0	-2.5	-5.238848741319433e-07
12.0	1.2362e-05	3.9151e-10	-10.0	-2.5	-5.197669965277776e-07
12.5	1.2364e-05	3.8897e-10	-10.0	-2.5	-5.176488671874978e-07
13.0	1.2365e-05	3.8607e-10	-10.0	-2.5	-5.165304861111103e-07
13.5	1.2367e-05	3.8325e-10	-10.0	-2.5	-5.14411853298609e-07
14.0	1.237e-05	3.8075e-10	-10.0	-2.5	-5.11292968749999e-07
14.5	1.2371e-05	3.7972e-10	-10.0	-2.5	-5.101738324652766e-07
15.0	1.2372e-05	3.7761e-10	-10.0	-2.5	-5.090544444444444e-07
15.5	1.2375e-05	3.7539e-10	-10.0	-2.5	-5.059348046874995e-07
16.0	1.2376e-05	3.728e-10	-10.0	-2.5	-5.04814913194444e-07
16.5	1.2379e-05	3.7126e-10	-10.0	-2.5	-5.016947699652777e-07
17.0	1.2381e-05	3.6904e-10	-10.0	-2.5	-4.995743749999985e-07
17.5	1.2383e-05	3.6867e-10	-10.0	-2.5	-4.974537282986094e-07
18.0	1.2383e-05	3.6745e-10	-10.0	-2.5	-4.973328298611096e-07
18.5	1.2385e-05	3.6622e-10	-10.0	-2.5	-4.95211679687499e-07
19.0	1.2385e-05	3.6644e-10	-10.0	-2.5	-4.950902777777778e-07
19.5	1.2387e-05	3.6513e-10	-10.0	-2.5	-4.929686241319439e-07
20.0	1.2389e-05	3.6376e-10	-10.0	-2.5	-4.908467187500001e-07
20.5	1.239e-05	3.6314e-10	-10.0	-2.5	-4.897245616319435e-07
21.0	1.2393e-05	3.6268e-10	-10.0	-2.5	-4.86602152777776e-07
21.5	1.2395e-05	3.6179e-10	-10.0	-2.5	-4.844794921874974e-07
22.0	1.2396e-05	3.6094e-10	-10.0	-2.5	-4.833565798611111e-07
22.5	1.2398e-05	3.5905e-10	-10.0	-2.5	-4.812334157986093e-07
23.0	1.2402e-05	3.5915e-10	-10.0	-2.5	-4.771099999999999e-07
23.5	1.2406e-05	3.5807e-10	-10.0	-2.5	-4.7298633246527725e-07
24.0	1.2409e-05	3.5782e-10	-10.0	-2.5	-4.6986241319444347e-07
24.5	1.241e-05	3.5651e-10	-10.0	-2.5	-4.687382421874991e-07
25.0	1.2411e-05	3.5659e-10	-10.0	-2.5	-4.676138194444431e-07
25.5	1.2412e-05	3.5572e-10	-10.0	-2.5	-4.6648914496527547e-07
26.0	1.2413e-05	3.5442e-10	-10.0	-2.5	-4.6536421874999964e-07
26.5	1.2417e-05	3.5532e-10	-10.0	-2.5	-4.612390407986107e-07
27.0	1.2416e-05	3.5406e-10	-10.0	-2.5	-4.6211361111111095e-07
27.5	1.2417e-05	3.5382e-10	-10.0	-2.5	-4.609879296874986e-07
28.0	1.2421e-05	3.5219e-10	-10.0	-2.5	-4.568619965277765e-07
28.5	1.2423e-05	3.5193e-10	-10.0	-2.5	-4.547358116319438e-07
29.0	1.2424e-05	3.5036e-10	-10.0	-2.5	-4.536093749999983e-07
29.5	1.2427e-05	3.5153e-10	-10.0	-2.5	-4.504826866319436e-07
30.0	1.2429e-05	3.5065e-10	-10.0	-2.5	-4.4835574652777606e-07
30.5	1.243e-05	3.5012e-10	-10.0	-2.5	-4.472285546874991e-07
31.0	1.2431e-05	3.4946e-10	-10.0	-2.5	-4.4610111111111056e-07
31.5	1.2433e-05	3.5022e-10	-10.0	-2.5	-4.439734157986099e-07
32.0	1.2433e-05	3.4942e-10	-10.0	-2.5	-4.438454687500003e-07
32.5	1.2437e-05	3.4841e-10	-10.0	-2.5	-4.397172699652771e-07
33.0	1.2437e-05	3.4817e-10	-10.0	-2.5	-4.395888194444443e-07
33.5	1.2436e-05	3.4845e-10	-10.0	-2.5	-4.404601171875004e-07
34.0	1.2439e-05	3.4737e-10	-10.0	-2.5	-4.3733116319444287e-07
34.5	1.2441e-05	3.476e-10	-10.0	-2.5	-4.352019574652759e-07
35.0	1.2443e-05	3.4797e-10	-10.0	-2.5	-4.3307249999999906e-07
35.5	1.2447e-05	3.4835e-10	-10.0	-2.5	-4.289427907986096e-07
36.0	1.2451e-05	3.4717e-10	-10.0	-2.5	-4.248128298611102e-07
36.5	1.2451e-05	3.4641e-10	-10.0	-2.5	-4.246826171874995e-07
37.0	1.2452e-05	3.4636e-10	-10.0	-2.5	-4.235521527777767e-07
37.5	1.2454e-05	3.4663e-10	-10.0	-2.5	-4.214214366319435e-07
38.0	1.2454e-05	3.457e-10	-10.0	-2.5	-4.2129046874999964e-07
38.5	1.2458e-05	3.4558e-10	-10.0	-2.5	-4.171592491319439e-07
39.0	1.2459e-05	3.4552e-10	-10.0	-2.5	-4.1602777777777634e-07
39.5	1.2461e-05	3.4455e-10	-10.0	-2.5	-4.1389605468749837e-07
40.0	1.2462e-05	3.4586e-10	-10.0	-2.5	-4.127640798611093e-07
40.5	1.2462e-05	3.4486e-10	-10.0	-2.5	-4.126318532986091e-07
41.0	1.2462e-05	3.4347e-10	-10.0	-2.5	-4.1249937499999897e-07
41.5	1.2465e-05	3.4389e-10	-10.0	-2.5	-4.0936664496527744e-07
42.0	1.2467e-05	3.4395e-10	-10.0	-2.5	-4.072336631944448e-07
42.5	1.2468e-05	3.4358e-10	-10.0	-2.5	-4.0610042968749936e-07
43.0	1.2471e-05	3.4238e-10	-10.0	-2.5	-4.02966944444443e-07
43.5	1.2471e-05	3.4391e-10	-10.0	-2.5	-4.028332074652765e-07
44.0	1.2475e-05	3.4316e-10	-10.0	-2.5	-3.9869921874999814e-07
44.5	1.2478e-05	3.4347e-10	-10.0	-2.5	-3.9556497829861033e-07
45.0	1.2476e-05	3.4327e-10	-10.0	-2.5	-3.9743048611111e-07
45.5	1.248e-05	3.4266e-10	-10.0	-2.5	-3.932957421874985e-07
46.0	1.2482e-05	3.435e-10	-10.0	-2.5	-3.9116074652777635e-07
46.5	1.2483e-05	3.4188e-10	-10.0	-2.5	-3.900254991319431e-07
47.0	1.2486e-05	3.4263e-10	-10.0	-2.5	-3.8688999999999893e-07
47.5	1.2487e-05	3.4222e-10	-10.0	-2.5	-3.8575424913194415e-07
48.0	1.2488e-05	3.4146e-10	-10.0	-2.5	-3.8461824652777776e-07
48.5	1.249e-05	3.421e-10	-10.0	-2.5	-3.8248199218749757e-07
49.0	1.2491e-05	3.4128e-10	-10.0	-2.5	-3.8134548611111134e-07
49.5	1.2492e-05	3.4158e-10	-10.0	-2.5	-3.802087282986101e-07
50.0	1.2495e-05	3.4079e-10	-10.0	-2.5	-3.7707171874999967e-07
50.5	1.2495e-05	3.4239e-10	-10.0	-2.5	-3.769344574652774e-07
51.0	1.2496e-05	3.4086e-10	-10.0	-2.5	-3.7579694444444305e-07
51.5	1.2499e-05	3.4102e-10	-10.0	-2.5	-3.7265917968749947e-07
52.0	1.2499e-05	3.4086e-10	-10.0	-2.5	-3.725211631944441e-07
52.5	1.2502e-05	3.4076e-10	-10.0	-2.5	-3.6938289496527727e-07
53.0	1.2503e-05	3.4023e-10	-10.0	-2.5	-3.6824437499999816e-07
53.5	1.2502e-05	3.4101e-10	-10.0	-2.5	-3.691056032986101e-07
54.0	1.2502e-05	3.4058e-10	-10.0	-2.5	-3.6896657986111e-07
54.5	1.2503e-05	3.4104e-10	-10.0	-2.5	-3.678273046874994e-07
55.0	1.2504e-05	3.4076e-10	-10.0	-2.5	-3.6668777777777725e-07
55.5	1.2507e-05	3.411e-10	-10.0	-2.5	-3.6354799913194247e-07
56.0	1.2512e-05	3.3961e-10	-10.0	-2.5	-3.5840796874999847e-07
56.5	1.2512e-05	3.4021e-10	-10.0	-2.5	-3.5826768663194366e-07
57.0	1.2514e-05	3.4005e-10	-10.0	-2.5	-3.5612715277777624e-07
57.5	1.2516e-05	3.4011e-10	-10.0	-2.5	-3.539863671874989e-07
58.0	1.2515e-05	3.3922e-10	-10.0	-2.5	-3.5484532986110976e-07
58.5	1.2518e-05	3.4009e-10	-10.0	-2.5	-3.517040407986104e-07
59.0	1.2521e-05	3.3993e-10	-10.0	-2.5	-3.485624999999994e-07
59.5	1.252e-05	3.3962e-10	-10.0	-2.5	-3.4942070746527714e-07
60.0	1.2523e-05	3.3987e-10	-10.0	-2.5	-3.4627866319444295e-07
60.5	1.2527e-05	3.3943e-10	-10.0	-2.5	-3.4213636718749833e-07
61.0	1.2527e-05	3.3892e-10	-10.0	-2.5	-3.419938194444424e-07
61.5	1.2525e-05	3.3886e-10	-10.0	-2.5	-3.4385101996527757e-07
62.0	1.2526e-05	3.3859e-10	-10.0	-2.5	-3.427079687499996e-07
62.5	1.2526e-05	3.3916e-10	-10.0	-2.5	-3.4256466579861056e-07
63.0	1.2528e-05	3.3889e-10	-10.0	-2.5	-3.404211111111106e-07
63.5	1.253e-05	3.3892e-10	-10.0	-2.5	-3.38277304687499e-07
64.0	1.2531e-05	3.3827e-10	-10.0	-2.5	-3.371332465277763e-07
64.5	1.2534e-05	3.3806e-10	-10.0	-2.5	-3.339889366319427e-07
65.0	1.2535e-05	3.4028e-10	-10.0	-2.5	-3.3284437500000016e-07
65.5	1.2538e-05	3.3935e-10	-10.0	-2.5	-3.29699561631945e-07
66.0	1.254e-05	3.3901e-10	-10.0	-2.5	-3.2755449652777707e-07
66.5	1.2539e-05	3.3913e-10	-10.0	-2.5	-3.28409179687499e-07
67.0	1.2542e-05	3.3999e-10	-10.0	-2.5	-3.252636111111107e-07
67.5	1.2542e-05	3.3804e-10	-10.0	-2.5	-3.2511779079861063e-07
68.0	1.2544e-05	3.3931e-10	-10.0	-2.5	-3.2297171874999794e-07
68.5	1.2545e-05	3.4041e-10	-10.0	-2.5	-3.218253949652775e-07
69.0	1.2547e-05	3.3888e-10	-10.0	-2.5	-3.196788194444433e-07
69.5	1.2547e-05	3.3884e-10	-10.0	-2.5	-3.1953199218749845e-07
70.0	1.2545e-05	3.3895e-10	-10.0	-2.5	-3.213849131944447e-07
70.5	1.2549e-05	3.3936e-10	-10.0	-2.5	-3.17237582465278e-07
71.0	1.2552e-05	3.3935e-10	-10.0	-2.5	-3.1409000000000024e-07
71.5	1.2553e-05	3.392e-10	-10.0	-2.5	-3.1294216579861015e-07
72.0	1.2554e-05	3.3959e-10	-10.0	-2.5	-3.1179407986111015e-07
72.5	1.2554e-05	3.3797e-10	-10.0	-2.5	-3.1164574218749903e-07
73.0	1.2556e-05	3.3818e-10	-10.0	-2.5	-3.09497152777777e-07
73.5	1.2559e-05	3.3893e-10	-10.0	-2.5	-3.0634831163194455e-07
74.0	1.2559e-05	3.389e-10	-10.0	-2.5	-3.061992187500003e-07
74.5	1.2562e-05	3.3878e-10	-10.0	-2.5	-3.030498741319446e-07
75.0	1.2562e-05	3.3917e-10	-10.0	-2.5	-3.0290027777777714e-07
75.5	1.2562e-05	3.3831e-10	-10.0	-2.5	-3.0275042968749975e-07
76.0	1.2563e-05	3.3831e-10	-10.0	-2.5	-3.0160032986111024e-07
76.5	1.2567e-05	3.3784e-10	-10.0	-2.5	-2.974499782986093e-07
77.0	1.2569e-05	3.3886e-10	-10.0	-2.5	-2.952993749999995e-07
77.5	1.257e-05	3.3864e-10	-10.0	-2.5	-2.9414851996527684e-07
78.0	1.257e-05	3.3971e-10	-10.0	-2.5	-2.939974131944431e-07
78.5	1.2571e-05	3.3943e-10	-10.0	-2.5	-2.928460546874989e-07
79.0	1.2572e-05	3.386e-10	-10.0	-2.5	-2.916944444444448e-07
79.5	1.2577e-05	3.3931e-10	-10.0	-2.5	-2.865425824652771e-07
80.0	1.258e-05	3.3756e-10	-10.0	-2.5	-2.833904687499988e-07
80.5	1.2581e-05	3.377e-10	-10.0	-2.5	-2.822381032986099e-07
81.0	1.2582e-05	3.3894e-10	-10.0	-2.5	-2.8108548611110936e-07
81.5	1.258e-05	3.3865e-10	-10.0	-2.5	-2.829326171874987e-07
82.0	1.2579e-05	3.3776e-10	-10.0	-2.5	-2.8377949652777764e-07
82.5	1.2581e-05	3.3875e-10	-10.0	-2.5	-2.8162612413194347e-07
83.0	1.2584e-05	3.3894e-10	-10.0	-2.5	-2.784724999999989e-07
83.5	1.2584e-05	3.3874e-10	-10.0	-2.5	-2.783186241319442e-07
84.0	1.2585e-05	3.3776e-10	-10.0	-2.5	-2.7716449652777567e-07
84.5	1.2587e-05	3.3693e-10	-10.0	-2.5	-2.7501011718749845e-07
85.0	1.2589e-05	3.3793e-10	-10.0	-2.5	-2.728554861111113e-07
85.5	1.259e-05	3.3726e-10	-10.0	-2.5	-2.7170060329861135e-07
86.0	1.2592e-05	3.379e-10	-10.0	-2.5	-2.695454687499993e-07
86.5	1.2592e-05	3.38e-10	-10.0	-2.5	-2.693900824652766e-07
87.0	1.2594e-05	3.3801e-10	-10.0	-2.5	-2.67234444444443e-07
87.5	1.2596e-05	3.3858e-10	-10.0	-2.5	-2.650785546874995e-07
88.0	1.2597e-05	3.3802e-10	-10.0	-2.5	-2.639224131944432e-07
88.5	1.26e-05	3.3783e-10	-10.0	-2.5	-2.6076601996527767e-07
89.0	1.2599e-05	3.381e-10	-10.0	-2.5	-2.6160937499999913e-07
