#scan;iMeasureCycle=1;iMux=0;time=0.134;N=210;LocalTime=20/12/2023 12:36:57;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;5.08E-10;0.294136;-1.00E-05;-2.09E-10;0.294136;;;-1.00E-05;2.0875E-10
4.99999;3.71E-10;0.470689;-0.50001;-1.47E-10;0.470689;;;-0.50001;1.4687E-10
4.99999;3.03E-10;0.646958;-1.00001;-1.16E-10;0.646958;;;-1.00001;1.161E-10
4.99999;2.62E-10;0.842346;-1.50001;-9.65E-11;0.842346;;;-1.50001;9.654E-11
4.99999;2.38E-10;1.018512;-2.00001;-8.71E-11;1.018512;;;-2.00001;8.705E-11
5;2.22E-10;1.194547;-2.5;-7.89E-11;1.194547;;;-2.5;7.89E-11
4.99999;2.06E-10;1.407575;-3.00001;-7.07E-11;1.407575;;;-3.00001;7.074E-11
5;1.95E-10;1.583608;-3.50001;-6.69E-11;1.583608;;;-3.50001;6.694E-11
5;1.93E-10;1.759636;-4;-6.45E-11;1.759636;;;-4;6.449E-11
5;1.86E-10;1.935788;-4.5;-6.11E-11;1.935788;;;-4.5;6.112E-11
5;1.85E-10;2.111979;-5.00001;-6.01E-11;2.111979;;;-5.00001;6.013E-11
4.99999;1.83E-10;2.288111;-5.50001;-6.02E-11;2.288111;;;-5.50001;6.019E-11
4.99999;1.80E-10;2.464513;-6.00001;-5.82E-11;2.464513;;;-6.00001;5.818E-11
5;1.73E-10;2.640618;-6.5;-5.62E-11;2.640618;;;-6.5;5.621E-11
5;1.74E-10;2.816677;-7.00001;-5.70E-11;2.816677;;;-7.00001;5.7E-11
5;1.72E-10;3.003977;-7.5;-5.46E-11;3.003977;;;-7.5;5.46E-11
4.99999;1.71E-10;3.179975;-8;-5.44E-11;3.179975;;;-8;5.438E-11
4.99999;1.71E-10;3.388658;-8.50001;-5.44E-11;3.388658;;;-8.50001;5.442E-11
5;1.67E-10;3.564717;-9;-5.34E-11;3.564717;;;-9;5.343E-11
5;1.67E-10;3.740732;-9.5;-5.47E-11;3.740732;;;-9.5;5.474E-11
4.99999;1.62E-10;3.91831;-10;-5.15E-11;3.91831;;;-10;5.153E-11
4.99999;1.63E-10;4.039515;-10;-5.02E-11;4.039515;;;-10;5.015E-11
4.99999;1.61E-10;4.215512;-9.5;-4.76E-11;4.215512;;;-9.5;4.755E-11
4.99999;1.57E-10;4.432678;-9.00001;-4.48E-11;4.432678;;;-9.00001;4.475E-11
5;1.57E-10;4.608745;-8.50001;-4.36E-11;4.608745;;;-8.50001;4.362E-11
4.99999;1.58E-10;4.784844;-8.00001;-4.32E-11;4.784844;;;-8.00001;4.321E-11
5;1.60E-10;4.963371;-7.50001;-4.25E-11;4.963371;;;-7.50001;4.246E-11
5;1.57E-10;5.13946;-7;-4.15E-11;5.13946;;;-7;4.154E-11
5;1.57E-10;5.315517;-6.5;-4.17E-11;5.315517;;;-6.5;4.172E-11
4.99999;1.57E-10;5.510884;-6;-4.09E-11;5.510884;;;-6;4.087E-11
5;1.58E-10;5.686959;-5.50001;-4.04E-11;5.686959;;;-5.50001;4.042E-11
5;1.53E-10;5.891798;-5;-3.93E-11;5.891798;;;-5;3.932E-11
4.99999;1.57E-10;6.067833;-4.50001;-3.99E-11;6.067833;;;-4.50001;3.993E-11
5;1.55E-10;6.243925;-4.00001;-3.91E-11;6.243925;;;-4.00001;3.908E-11
5;1.54E-10;6.421298;-3.5;-3.78E-11;6.421298;;;-3.5;3.78E-11
5;1.51E-10;6.597428;-3;-3.56E-11;6.597428;;;-3;3.558E-11
5;1.50E-10;6.773563;-2.5;-3.57E-11;6.773563;;;-2.5;3.568E-11
5;1.53E-10;6.949845;-2;-3.61E-11;6.949845;;;-2;3.606E-11
5;1.52E-10;7.126034;-1.50001;-3.64E-11;7.126034;;;-1.50001;3.639E-11
4.99999;1.53E-10;7.302089;-1;-3.54E-11;7.302089;;;-1;3.542E-11
5;1.52E-10;7.478213;-0.5;-3.50E-11;7.478213;;;-0.5;3.495E-11
4.99999;1.50E-10;7.654197;-1.00E-05;-3.38E-11;7.654197;;;-1.00E-05;3.383E-11
2.5;1.39E-10;7.83019;0;-3.47E-11;7.83019;;;0;3.466E-11
2.49999;1.43E-10;8.017933;-0.5;-7.96E-11;8.017933;;;-0.5;7.962E-11
2.49999;1.48E-10;8.193923;-1.00001;-9.42E-11;8.193923;;;-1.00001;9.419E-11
2.5;1.48E-10;8.40277;-1.5;-9.76E-11;8.40277;;;-1.5;9.76E-11
2.49999;1.47E-10;8.578852;-2.00001;-9.99E-11;8.578852;;;-2.00001;9.99E-11
2.49999;1.49E-10;8.755019;-2.5;-1.03E-10;8.755019;;;-2.5;1.0299E-10
2.49999;1.49E-10;8.931161;-3;-1.03E-10;8.931161;;;-3;1.0337E-10
2.5;1.50E-10;9.107346;-3.50001;-1.05E-10;9.107346;;;-3.50001;1.0528E-10
2.5;1.49E-10;9.283327;-4;-1.05E-10;9.283327;;;-4;1.0496E-10
2.5;1.50E-10;9.459425;-4.50001;-1.06E-10;9.459425;;;-4.50001;1.0619E-10
2.5;1.50E-10;9.635482;-5;-1.06E-10;9.635482;;;-5;1.0572E-10
2.49999;1.51E-10;9.811546;-5.5;-1.08E-10;9.811546;;;-5.5;1.0755E-10
2.49999;1.49E-10;9.989782;-6;-1.07E-10;9.989782;;;-6;1.0743E-10
2.49999;1.49E-10;10.165876;-6.50001;-1.08E-10;10.165876;;;-6.50001;1.0765E-10
2.49999;1.49E-10;10.342014;-7;-1.08E-10;10.342014;;;-7;1.0844E-10
2.5;1.46E-10;10.524914;-7.50001;-1.08E-10;10.524914;;;-7.50001;1.0793E-10
2.49999;1.48E-10;10.70093;-8;-1.08E-10;10.70093;;;-8;1.0835E-10
2.49999;1.49E-10;10.905612;-8.50001;-1.10E-10;10.905612;;;-8.50001;1.0969E-10
2.5;1.50E-10;11.081861;-9;-1.10E-10;11.081861;;;-9;1.1011E-10
2.5;1.47E-10;11.257879;-9.5;-1.10E-10;11.257879;;;-9.5;1.1049E-10
2.5;1.44E-10;11.439724;-10.00001;-1.09E-10;11.439724;;;-10.00001;1.0925E-10
2.5;1.48E-10;11.560946;-10.00001;-1.10E-10;11.560946;;;-10.00001;1.0955E-10
2.49999;1.46E-10;11.737026;-9.5;-1.05E-10;11.737026;;;-9.5;1.0543E-10
2.49999;1.45E-10;11.936303;-9.00001;-1.04E-10;11.936303;;;-9.00001;1.0383E-10
2.49999;1.45E-10;12.11236;-8.50001;-1.03E-10;12.11236;;;-8.50001;1.0291E-10
2.49999;1.46E-10;12.288479;-8;-1.03E-10;12.288479;;;-8;1.0259E-10
2.49999;1.45E-10;12.464608;-7.5;-1.01E-10;12.464608;;;-7.5;1.0098E-10
2.49999;1.44E-10;12.640755;-7;-1.00E-10;12.640755;;;-7;9.995E-11
2.49999;1.47E-10;12.816853;-6.50001;-1.01E-10;12.816853;;;-6.50001;1.0072E-10
2.5;1.46E-10;12.995065;-6;-9.95E-11;12.995065;;;-6;9.948E-11
2.5;1.46E-10;13.171234;-5.5;-9.90E-11;13.171234;;;-5.5;9.903E-11
2.49999;1.45E-10;13.347363;-5.00001;-9.82E-11;13.347363;;;-5.00001;9.815E-11
2.5;1.46E-10;13.533161;-4.50001;-9.88E-11;13.533161;;;-4.50001;9.875E-11
2.49999;1.44E-10;13.709201;-4.00001;-9.58E-11;13.709201;;;-4.00001;9.577E-11
2.5;1.47E-10;13.918644;-3.5;-9.78E-11;13.918644;;;-3.5;9.783E-11
2.5;1.44E-10;14.094681;-3;-9.53E-11;14.094681;;;-3;9.529E-11
2.5;1.46E-10;14.27065;-2.50001;-9.56E-11;14.27065;;;-2.50001;9.56E-11
2.49999;1.41E-10;14.44802;-2.00001;-9.10E-11;14.44802;;;-2.00001;9.096E-11
2.5;1.43E-10;14.624075;-1.50001;-9.02E-11;14.624075;;;-1.50001;9.016E-11
2.5;1.41E-10;14.800119;-1.00001;-8.52E-11;14.800119;;;-1.00001;8.52E-11
2.49999;1.44E-10;14.976267;-0.50001;-7.51E-11;14.976267;;;-0.50001;7.51E-11
2.49999;1.43E-10;15.152332;0;-3.17E-11;15.152332;;;0;3.165E-11
-4.00E-07;-1.91E-10;15.328251;-1.00E-05;1.43E-09;15.328251;;;-1.00E-05;1.42617E-09
0;8.21E-11;15.486252;-0.5;-7.48E-07;15.486252;;;-0.5;7.48114E-07
1.00E-07;1.83E-10;15.639387;-1;-1.01E-06;15.639387;;;-1;1.01021E-06
-1.00E-07;1.14E-10;15.789226;-1.5;-1.07E-06;15.789226;;;-1.5;1.06937E-06
-2.00E-07;8.02E-11;15.93898;-2;-1.10E-06;15.93898;;;-2;1.09504E-06
2.00E-07;6.21E-11;16.088762;-2.5;-1.11E-06;16.088762;;;-2.5;1.11056E-06
-1.00E-07;5.05E-11;16.238541;-3;-1.12E-06;16.238541;;;-3;1.12188E-06
2.00E-07;4.26E-11;16.421152;-3.5;-1.13E-06;16.421152;;;-3.5;1.13118E-06
1.00E-07;3.90E-11;16.570968;-4;-1.14E-06;16.570968;;;-4;1.1389E-06
0;3.68E-11;16.720833;-4.5;-1.15E-06;16.720833;;;-4.5;1.14599E-06
0;3.36E-11;16.900251;-5;-1.15E-06;16.900251;;;-5;1.15247E-06
-1.00E-07;3.36E-11;17.050132;-5.5;-1.16E-06;17.050132;;;-5.5;1.15842E-06
2.00E-07;3.35E-11;17.200015;-6;-1.16E-06;17.200015;;;-6;1.16407E-06
0;3.13E-11;17.349868;-6.5;-1.17E-06;17.349868;;;-6.5;1.16918E-06
1.00E-07;2.85E-11;17.51766;-7;-1.17E-06;17.51766;;;-7;1.1745E-06
0;2.89E-11;17.667469;-7.5;-1.18E-06;17.667469;;;-7.5;1.17935E-06
-1.00E-07;2.82E-11;17.817357;-8;-1.18E-06;17.817357;;;-8;1.18396E-06
0;2.97E-11;17.96718;-8.5;-1.19E-06;17.96718;;;-8.5;1.18857E-06
-1.00E-07;2.67E-11;18.117651;-9;-1.19E-06;18.117651;;;-9;1.19278E-06
0;2.87E-11;18.267439;-9.5;-1.20E-06;18.267439;;;-9.5;1.19712E-06
2.00E-07;2.68E-11;18.43169;-10;-1.20E-06;18.43169;;;-10;1.2011E-06
0;2.71E-11;18.554149;-10;-1.20E-06;18.554149;;;-10;1.20103E-06
1.00E-07;2.39E-11;18.703932;-9.5;-1.20E-06;18.703932;;;-9.5;1.19679E-06
-1.00E-07;2.25E-11;18.853885;-9;-1.19E-06;18.853885;;;-9;1.19238E-06
-2.00E-07;2.28E-11;19.021422;-8.5;-1.19E-06;19.021422;;;-8.5;1.1882E-06
-1.00E-07;2.31E-11;19.171348;-8;-1.18E-06;19.171348;;;-8;1.1834E-06
-2.00E-07;2.44E-11;19.321183;-7.5;-1.18E-06;19.321183;;;-7.5;1.17863E-06
4.00E-07;2.42E-11;19.470934;-7;-1.17E-06;19.470934;;;-7;1.17374E-06
-1.00E-07;2.28E-11;19.62137;-6.5;-1.17E-06;19.62137;;;-6.5;1.1687E-06
-2.00E-07;2.16E-11;19.771187;-6;-1.16E-06;19.771187;;;-6;1.16311E-06
-1.00E-07;2.39E-11;19.931248;-5.5;-1.16E-06;19.931248;;;-5.5;1.15708E-06
-1.00E-07;2.48E-11;20.081138;-5;-1.15E-06;20.081138;;;-5;1.15063E-06
1.00E-07;2.23E-11;20.23087;-4.5;-1.14E-06;20.23087;;;-4.5;1.14405E-06
-3.00E-07;2.34E-11;20.409343;-4;-1.14E-06;20.409343;;;-4;1.13659E-06
2.00E-07;2.39E-11;20.559162;-3.5;-1.13E-06;20.559162;;;-3.5;1.1283E-06
1.00E-07;2.17E-11;20.708947;-3;-1.12E-06;20.708947;;;-3;1.11851E-06
1.00E-07;2.35E-11;20.858802;-2.5;-1.11E-06;20.858802;;;-2.5;1.10667E-06
-1.00E-07;2.30E-11;21.026451;-2;-1.09E-06;21.026451;;;-2;1.09037E-06
0;2.07E-11;21.176265;-1.5;-1.06E-06;21.176265;;;-1.5;1.06415E-06
2.00E-07;1.21E-11;21.326113;-1;-1.00E-06;21.326113;;;-1;1.00442E-06
6.00E-07;-1.93E-10;21.478787;-0.5;-7.43E-07;21.478787;;;-0.5;7.43492E-07
1.00E-07;-9.63E-11;21.641556;-1.00E-05;1.45E-09;21.641556;;;-1.00E-05;1.44557E-09
