File Name: 12_Sample14_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;13:29:38;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);;Time_500uA (s);IDrain_dark (A);;Time_500uA (s);IDrain_raw (A);Fit (A);dI (A)
4.95E+04;1.00E+00;5.72E-07;5.00E+01;1.42E-10;;;;49.50;5.72E-07;;349;1.3822E-09;;316;4.1083E-09;1.90E-09;2.20997E-09
6.45E+04;1.00E+00;4.18E-07;5.00E+01;1.43E-10;;;;64.50;4.18E-07;;364;1.2494E-09;;316.5;4.0088E-09;1.89E-09;2.1191E-09
6.50E+04;1.00E+00;4.15E-07;5.00E+01;1.41E-10;;;;65.00;4.15E-07;;364.5;1.2395E-09;;317;3.8216E-09;1.88E-09;1.94048E-09
6.55E+04;1.00E+00;4.08E-07;5.00E+01;1.42E-10;;;;65.50;4.08E-07;;365;1.2368E-09;;317.5;3.779E-09;1.87E-09;1.90641E-09
6.60E+04;1.00E+00;4.04E-07;5.00E+01;1.42E-10;;;;66.00;4.04E-07;;365.5;1.223E-09;;318;3.7568E-09;1.86E-09;1.89271E-09
6.65E+04;1.00E+00;3.99E-07;5.00E+01;1.42E-10;;;;66.50;3.99E-07;;366;1.2443E-09;;318.5;3.7689E-09;1.86E-09;1.91326E-09
6.70E+04;1.00E+00;3.95E-07;5.00E+01;1.42E-10;;;;67.00;3.95E-07;;366.5;1.2391E-09;;319;3.6652E-09;1.85E-09;1.81797E-09
6.75E+04;1.00E+00;3.90E-07;5.00E+01;1.42E-10;;;;67.50;3.90E-07;;367;1.2453E-09;;319.5;3.6405E-09;1.84E-09;1.80163E-09
6.80E+04;1.00E+00;3.84E-07;5.00E+01;1.42E-10;;;;68.00;3.84E-07;;367.5;1.2413E-09;;320;2.5088E-09;1.83E-09;6.7825E-10
6.85E+04;1.00E+00;3.79E-07;5.00E+01;1.41E-10;;;;68.50;3.79E-07;;368;1.2337E-09;;320.5;2.2288E-09;1.82E-09;4.0653E-10
8.45E+04;1.00E+00;2.54E-07;5.00E+01;1.42E-10;;;;84.50;2.54E-07;;384;1.1538E-09;;321;2.1359E-09;1.81E-09;3.2186E-10
