File Name: 12_Sample14_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;13:29:38;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);;Time_500uA (s);IDrain_dark (A);;Time_500uA (s);IDrain_raw (A);Fit (A);dI (A)
1.34E+05;1.00E+00;5.95E-08;5.00E+01;1.41E-10;;;;134.00;5.95E-08;;;;;370.5;2.2259E-09;1.21E-09;1.01265E-09
1.35E+05;1.00E+00;5.87E-08;5.00E+01;1.40E-10;;;;134.50;5.87E-08;;;;;371;2.192E-09;1.21E-09;9.8265E-10
1.35E+05;1.00E+00;5.76E-08;5.00E+01;1.40E-10;;;;135.00;5.76E-08;;;;;371.5;2.1475E-09;1.21E-09;9.4201E-10
1.36E+05;1.00E+00;5.69E-08;5.00E+01;1.40E-10;;;;135.50;5.69E-08;;;;;372;2.1034E-09;1.20E-09;9.0173E-10
1.36E+05;1.00E+00;5.63E-08;5.00E+01;1.40E-10;;;;136.00;5.63E-08;;;;;372.5;2.0523E-09;1.20E-09;8.544E-10
1.37E+05;1.00E+00;5.55E-08;5.00E+01;1.41E-10;;;;136.50;5.55E-08;;;;;373;2.1055E-09;1.19E-09;9.1133E-10
1.37E+05;1.00E+00;5.47E-08;5.00E+01;1.40E-10;;;;137.00;5.47E-08;;;;;373.5;2.1163E-09;1.19E-09;9.2582E-10
1.38E+05;1.00E+00;5.34E-08;5.00E+01;1.40E-10;;;;137.50;5.34E-08;;;;;374;2.0875E-09;1.19E-09;9.0066E-10
1.38E+05;1.00E+00;5.25E-08;5.00E+01;1.40E-10;;;;138.00;5.25E-08;;;;;374.5;2.1364E-09;1.18E-09;9.5316E-10
1.39E+05;1.00E+00;5.22E-08;5.00E+01;1.41E-10;;;;138.50;5.22E-08;;;;;375;2.0898E-09;1.18E-09;9.1012E-10
1.39E+05;1.00E+00;5.12E-08;5.00E+01;1.42E-10;;;;139.00;5.12E-08;;;;;375.5;2.199E-09;1.18E-09;1.02283E-09
1.40E+05;1.00E+00;5.04E-08;5.00E+01;1.41E-10;;;;139.50;5.04E-08;;;;;376;2.1415E-09;1.17E-09;9.688E-10
1.40E+05;1.00E+00;4.96E-08;5.00E+01;1.40E-10;;;;140.00;4.96E-08;;;;;376.5;2.1422E-09;1.17E-09;9.7293E-10
1.41E+05;1.00E+00;4.88E-08;5.00E+01;1.39E-10;;;;140.50;4.88E-08;;;;;377;2.1552E-09;1.17E-09;9.8931E-10
1.41E+05;1.00E+00;4.81E-08;5.00E+01;1.40E-10;;;;141.00;4.81E-08;;;;;377.5;2.1161E-09;1.16E-09;9.5355E-10
1.42E+05;1.00E+00;4.77E-08;5.00E+01;1.40E-10;;;;141.50;4.77E-08;;;;;378;2.1028E-09;1.16E-09;9.4355E-10
1.42E+05;1.00E+00;4.69E-08;5.00E+01;1.41E-10;;;;142.00;4.69E-08;;;;;378.5;2.0832E-09;1.16E-09;9.2721E-10
1.43E+05;1.00E+00;4.62E-08;5.00E+01;1.40E-10;;;;142.50;4.62E-08;;;;;379;2.0357E-09;1.15E-09;8.8292E-10
1.43E+05;1.00E+00;4.54E-08;5.00E+01;1.40E-10;;;;143.00;4.54E-08;;;;;379.5;2.0785E-09;1.15E-09;9.2888E-10
1.44E+05;1.00E+00;4.51E-08;5.00E+01;1.40E-10;;;;143.50;4.51E-08;;;;;380;1.528E-09;1.15E-09;3.8151E-10
1.44E+05;1.00E+00;4.43E-08;5.00E+01;1.40E-10;;;;144.00;4.43E-08;;;;;380.5;1.3683E-09;1.14E-09;2.2489E-10
1.45E+05;1.00E+00;4.40E-08;5.00E+01;1.40E-10;;;;144.50;4.40E-08;;;;;381;1.3049E-09;1.14E-09;1.6453E-10
1.45E+05;1.00E+00;4.32E-08;5.00E+01;1.40E-10;;;;145.00;4.32E-08;;;;;381.5;1.259E-09;1.14E-09;1.2162E-10
1.46E+05;1.00E+00;4.25E-08;5.00E+01;1.41E-10;;;;145.50;4.25E-08;;;;;382;1.2235E-09;1.13E-09;8.907E-11
1.46E+05;1.00E+00;4.16E-08;5.00E+01;1.43E-10;;;;146.00;4.16E-08;;;;;382.5;1.2017E-09;1.13E-09;7.018E-11
1.47E+05;1.00E+00;4.12E-08;5.00E+01;1.41E-10;;;;146.50;4.12E-08;;;;;383;1.175E-09;1.13E-09;4.634E-11
1.47E+05;1.00E+00;4.07E-08;5.00E+01;1.41E-10;;;;147.00;4.07E-08;;;;;383.5;1.1633E-09;1.13E-09;3.746E-11
1.48E+05;1.00E+00;4.02E-08;5.00E+01;1.41E-10;;;;147.50;4.02E-08;;;;;384;1.1538E-09;1.12E-09;3.074E-11
1.48E+05;1.00E+00;3.97E-08;5.00E+01;1.41E-10;;;;148.00;3.97E-08;;;;;384.5;1.1689E-09;1.12E-09;4.857E-11
1.49E+05;1.00E+00;3.90E-08;5.00E+01;1.41E-10;;;;148.50;3.90E-08;;;;;385;1.1587E-09;1.12E-09;4.107E-11
1.49E+05;1.00E+00;3.84E-08;5.00E+01;1.42E-10;;;;149.00;3.84E-08;;;;;385.5;1.1622E-09;1.11E-09;4.721E-11
1.50E+05;1.00E+00;3.79E-08;5.00E+01;1.41E-10;;;;149.50;3.79E-08;;;;;386;1.139E-09;1.11E-09;2.662E-11
1.50E+05;1.00E+00;3.73E-08;5.00E+01;1.41E-10;;;;150.00;3.73E-08;;;;;386.5;1.135E-09;1.11E-09;2.518E-11
1.51E+05;1.00E+00;3.70E-08;5.00E+01;1.41E-10;;;;150.50;3.70E-08;;;;;387;1.1399E-09;1.11E-09;3.26E-11
1.51E+05;1.00E+00;3.65E-08;5.00E+01;1.43E-10;;;;151.00;3.65E-08;;;;;387.5;1.134E-09;1.10E-09;2.917E-11
1.52E+05;1.00E+00;3.57E-08;5.00E+01;1.41E-10;;;;151.50;3.57E-08;;;;;388;1.1313E-09;1.10E-09;2.89E-11
1.52E+05;1.00E+00;3.52E-08;5.00E+01;1.42E-10;;;;152.00;3.52E-08;;;;;388.5;1.1285E-09;1.10E-09;2.849E-11
1.53E+05;1.00E+00;3.50E-08;5.00E+01;1.41E-10;;;;152.50;3.50E-08;;;;;389;1.1272E-09;1.10E-09;2.953E-11
1.53E+05;1.00E+00;3.45E-08;5.00E+01;1.41E-10;;;;153.00;3.45E-08;;;;;389.5;1.1372E-09;1.10E-09;4.183E-11
1.54E+05;1.00E+00;3.42E-08;5.00E+01;1.41E-10;;;;153.50;3.42E-08;;;;;390;1.1154E-09;1.09E-09;2.229E-11
1.54E+05;1.00E+00;3.37E-08;5.00E+01;1.42E-10;;;;154.00;3.37E-08;;;;;390.5;1.1233E-09;1.09E-09;3.241E-11
1.55E+05;1.00E+00;3.31E-08;5.00E+01;1.41E-10;;;;154.50;3.31E-08;;;;;391;1.1262E-09;1.09E-09;3.748E-11
1.55E+05;1.00E+00;3.29E-08;5.00E+01;1.41E-10;;;;155.00;3.29E-08;;;;;391.5;1.1241E-09;1.09E-09;3.751E-11
1.56E+05;1.00E+00;3.23E-08;5.00E+01;1.40E-10;;;;155.50;3.23E-08;;;;;392;1.1037E-09;1.08E-09;1.919E-11
1.56E+05;1.00E+00;3.17E-08;5.00E+01;1.42E-10;;;;156.00;3.17E-08;;;;;392.5;1.091E-09;1.08E-09;8.53E-12
1.57E+05;1.00E+00;3.11E-08;5.00E+01;1.42E-10;;;;156.50;3.11E-08;;;;;393;1.1061E-09;1.08E-09;2.563E-11
1.57E+05;1.00E+00;3.07E-08;5.00E+01;1.41E-10;;;;157.00;3.07E-08;;;;;393.5;1.0979E-09;1.08E-09;1.939E-11
1.58E+05;1.00E+00;3.03E-08;5.00E+01;1.41E-10;;;;157.50;3.03E-08;;;;;394;1.1123E-09;1.08E-09;3.57E-11
1.58E+05;1.00E+00;2.99E-08;5.00E+01;1.40E-10;;;;158.00;2.99E-08;;;;;394.5;1.0923E-09;1.07E-09;1.756E-11
1.59E+05;1.00E+00;2.94E-08;5.00E+01;1.42E-10;;;;158.50;2.94E-08;;;;;395;1.0722E-09;1.07E-09;-7.1E-13
1.59E+05;1.00E+00;2.91E-08;5.00E+01;1.40E-10;;;;159.00;2.91E-08;;;;;395.5;1.0675E-09;1.07E-09;-3.63E-12
1.60E+05;1.00E+00;2.87E-08;5.00E+01;1.42E-10;;;;159.50;2.87E-08;;;;;396;1.062E-09;1.07E-09;-7.39E-12
1.60E+05;1.00E+00;2.84E-08;5.00E+01;1.42E-10;;;;160.00;2.84E-08;;;;;396.5;1.0573E-09;1.07E-09;-1.04E-11
1.61E+05;1.00E+00;2.83E-08;5.00E+01;1.40E-10;;;;160.50;2.83E-08;;;;;397;1.0406E-09;1.07E-09;-2.544E-11
1.61E+05;1.00E+00;2.79E-08;5.00E+01;1.40E-10;;;;161.00;2.79E-08;;;;;397.5;1.0191E-09;1.06E-09;-4.534E-11
1.62E+05;1.00E+00;2.74E-08;5.00E+01;1.40E-10;;;;161.50;2.74E-08;;;;;398;1.0115E-09;1.06E-09;-5.137E-11
1.62E+05;1.00E+00;2.73E-08;5.00E+01;1.41E-10;;;;162.00;2.73E-08;;;;;398.5;1.0064E-09;1.06E-09;-5.495E-11
1.63E+05;1.00E+00;2.70E-08;5.00E+01;1.39E-10;;;;162.50;2.70E-08;;;;;399;9.8521E-10;1.06E-09;-7.466E-11
1.63E+05;1.00E+00;2.65E-08;5.00E+01;1.40E-10;;;;163.00;2.65E-08;;;;;399.5;9.8847E-10;1.06E-09;-6.997E-11
1.64E+05;1.00E+00;2.60E-08;5.00E+01;1.39E-10;;;;163.50;2.60E-08;;;;;400;9.9544E-10;1.06E-09;-6.16E-11
1.64E+05;1.00E+00;2.56E-08;5.00E+01;1.39E-10;;;;164.00;2.56E-08;;;;;;;;
1.65E+05;1.00E+00;2.52E-08;5.00E+01;1.40E-10;;;;164.50;2.52E-08;;;;;;;;
1.65E+05;1.00E+00;2.49E-08;5.00E+01;1.40E-10;;;;165.00;2.49E-08;;;;;;;;
1.66E+05;1.00E+00;2.44E-08;5.00E+01;1.39E-10;;;;165.50;2.44E-08;;;;;;;;
1.66E+05;1.00E+00;2.40E-08;5.00E+01;1.40E-10;;;;166.00;2.40E-08;;;;;;;;
1.67E+05;1.00E+00;2.38E-08;5.00E+01;1.40E-10;;;;166.50;2.38E-08;;;;;;;;
1.67E+05;1.00E+00;2.36E-08;5.00E+01;1.41E-10;;;;167.00;2.36E-08;;;;;;;;
1.68E+05;1.00E+00;2.32E-08;5.00E+01;1.42E-10;;;;167.50;2.32E-08;;;;;;;;
1.68E+05;1.00E+00;2.30E-08;5.00E+01;1.41E-10;;;;168.00;2.30E-08;;;;;;;;
1.69E+05;1.00E+00;2.28E-08;5.00E+01;1.40E-10;;;;168.50;2.28E-08;;;;;;;;
1.69E+05;1.00E+00;2.25E-08;5.00E+01;1.40E-10;;;;169.00;2.25E-08;;;;;;;;
1.70E+05;1.00E+00;2.24E-08;5.00E+01;1.40E-10;;;;169.50;2.24E-08;;;;;;;;
1.70E+05;1.00E+00;2.19E-08;5.00E+01;1.41E-10;;;;170.00;2.19E-08;;;;;;;;
1.71E+05;1.00E+00;2.15E-08;5.00E+01;1.40E-10;;;;170.50;2.15E-08;;;;;;;;
1.71E+05;1.00E+00;2.11E-08;5.00E+01;1.41E-10;;;;171.00;2.11E-08;;;;;;;;
1.72E+05;1.00E+00;2.09E-08;5.00E+01;1.40E-10;;;;171.50;2.09E-08;;;;;;;;
1.72E+05;1.00E+00;2.06E-08;5.00E+01;1.40E-10;;;;172.00;2.06E-08;;;;;;;;
1.73E+05;1.00E+00;2.04E-08;5.00E+01;1.40E-10;;;;172.50;2.04E-08;;;;;;;;
1.73E+05;1.00E+00;2.00E-08;5.00E+01;1.42E-10;;;;173.00;2.00E-08;;;;;;;;
1.74E+05;1.00E+00;1.98E-08;5.00E+01;1.40E-10;;;;173.50;1.98E-08;;;;;;;;
1.74E+05;1.00E+00;1.96E-08;5.00E+01;1.39E-10;;;;174.00;1.96E-08;;;;;;;;
1.75E+05;1.00E+00;1.93E-08;5.00E+01;1.41E-10;;;;174.50;1.93E-08;;;;;;;;
1.75E+05;1.00E+00;1.90E-08;5.00E+01;1.40E-10;;;;175.00;1.90E-08;;;;;;;;
1.76E+05;1.00E+00;1.88E-08;5.00E+01;1.40E-10;;;;175.50;1.88E-08;;;;;;;;
1.76E+05;1.00E+00;1.85E-08;5.00E+01;1.41E-10;;;;176.00;1.85E-08;;;;;;;;
1.77E+05;1.00E+00;1.83E-08;5.00E+01;1.42E-10;;;;176.50;1.83E-08;;;;;;;;
1.77E+05;1.00E+00;1.82E-08;5.00E+01;1.41E-10;;;;177.00;1.82E-08;;;;;;;;
1.78E+05;1.00E+00;1.80E-08;5.00E+01;1.39E-10;;;;177.50;1.80E-08;;;;;;;;
1.78E+05;1.00E+00;1.78E-08;5.00E+01;1.40E-10;;;;178.00;1.78E-08;;;;;;;;
1.79E+05;1.00E+00;1.74E-08;5.00E+01;1.41E-10;;;;178.50;1.74E-08;;;;;;;;
1.79E+05;1.00E+00;1.71E-08;5.00E+01;1.41E-10;;;;179.00;1.71E-08;;;;;;;;
1.80E+05;1.00E+00;1.68E-08;5.00E+01;1.40E-10;;;;179.50;1.68E-08;;;;;;;;
1.80E+05;1.00E+00;1.67E-08;5.00E+01;1.41E-10;;;;180.00;1.67E-08;;;;;;;;
1.81E+05;1.00E+00;1.67E-08;5.00E+01;1.41E-10;;;;180.50;1.67E-08;;;;;;;;
1.81E+05;1.00E+00;1.64E-08;5.00E+01;1.42E-10;;;;181.00;1.64E-08;;;;;;;;
1.82E+05;1.00E+00;1.60E-08;5.00E+01;1.40E-10;;;;181.50;1.60E-08;;;;;;;;
1.82E+05;1.00E+00;1.57E-08;5.00E+01;1.41E-10;;;;182.00;1.57E-08;;;;;;;;
1.83E+05;1.00E+00;1.56E-08;5.00E+01;1.41E-10;;;;182.50;1.56E-08;;;;;;;;
1.83E+05;1.00E+00;1.54E-08;5.00E+01;1.39E-10;;;;183.00;1.54E-08;;;;;;;;
1.84E+05;1.00E+00;1.53E-08;5.00E+01;1.40E-10;;;;183.50;1.53E-08;;;;;;;;
1.84E+05;1.00E+00;1.50E-08;5.00E+01;1.40E-10;;;;184.00;1.50E-08;;;;;;;;
1.85E+05;1.00E+00;1.50E-08;5.00E+01;1.40E-10;;;;184.50;1.50E-08;;;;;;;;
1.85E+05;1.00E+00;1.48E-08;5.00E+01;1.40E-10;;;;185.00;1.48E-08;;;;;;;;
1.86E+05;1.00E+00;1.47E-08;5.00E+01;1.41E-10;;;;185.50;1.47E-08;;;;;;;;
1.86E+05;1.00E+00;1.45E-08;5.00E+01;1.41E-10;;;;186.00;1.45E-08;;;;;;;;
1.87E+05;1.00E+00;1.43E-08;5.00E+01;1.41E-10;;;;186.50;1.43E-08;;;;;;;;
1.87E+05;1.00E+00;1.42E-08;5.00E+01;1.41E-10;;;;187.00;1.42E-08;;;;;;;;
1.88E+05;1.00E+00;1.40E-08;5.00E+01;1.41E-10;;;;187.50;1.40E-08;;;;;;;;
1.88E+05;1.00E+00;1.38E-08;5.00E+01;1.40E-10;;;;188.00;1.38E-08;;;;;;;;
1.89E+05;1.00E+00;1.36E-08;5.00E+01;1.42E-10;;;;188.50;1.36E-08;;;;;;;;
1.89E+05;1.00E+00;1.34E-08;5.00E+01;1.42E-10;;;;189.00;1.34E-08;;;;;;;;
1.90E+05;1.00E+00;1.34E-08;5.00E+01;1.40E-10;;;;189.50;1.34E-08;;;;;;;;
1.90E+05;1.00E+00;1.31E-08;5.00E+01;1.41E-10;;;;190.00;1.31E-08;;;;;;;;
1.91E+05;1.00E+00;1.29E-08;5.00E+01;1.40E-10;;;;190.50;1.29E-08;;;;;;;;
1.91E+05;1.00E+00;1.29E-08;5.00E+01;1.41E-10;;;;191.00;1.29E-08;;;;;;;;
1.92E+05;1.00E+00;1.27E-08;5.00E+01;1.42E-10;;;;191.50;1.27E-08;;;;;;;;
1.92E+05;1.00E+00;1.26E-08;5.00E+01;1.40E-10;;;;192.00;1.26E-08;;;;;;;;
1.93E+05;1.00E+00;1.25E-08;5.00E+01;1.40E-10;;;;192.50;1.25E-08;;;;;;;;
1.93E+05;1.00E+00;1.22E-08;5.00E+01;1.41E-10;;;;193.00;1.22E-08;;;;;;;;
1.94E+05;1.00E+00;1.21E-08;5.00E+01;1.41E-10;;;;193.50;1.21E-08;;;;;;;;
1.94E+05;1.00E+00;1.19E-08;5.00E+01;1.40E-10;;;;194.00;1.19E-08;;;;;;;;
1.95E+05;1.00E+00;1.17E-08;5.00E+01;1.40E-10;;;;194.50;1.17E-08;;;;;;;;
1.95E+05;1.00E+00;1.17E-08;5.00E+01;1.40E-10;;;;195.00;1.17E-08;;;;;;;;
1.96E+05;1.00E+00;1.15E-08;5.00E+01;1.41E-10;;;;195.50;1.15E-08;;;;;;;;
1.96E+05;1.00E+00;1.13E-08;5.00E+01;1.40E-10;;;;196.00;1.13E-08;;;;;;;;
1.97E+05;1.00E+00;1.11E-08;5.00E+01;1.42E-10;;;;196.50;1.11E-08;;;;;;;;
1.97E+05;1.00E+00;1.10E-08;5.00E+01;1.42E-10;;;;197.00;1.10E-08;;;;;;;;
1.98E+05;1.00E+00;1.09E-08;5.00E+01;1.42E-10;;;;197.50;1.09E-08;;;;;;;;
1.98E+05;1.00E+00;1.07E-08;5.00E+01;1.41E-10;;;;198.00;1.07E-08;;;;;;;;
1.99E+05;1.00E+00;1.07E-08;5.00E+01;1.43E-10;;;;198.50;1.07E-08;;;;;;;;
1.99E+05;1.00E+00;1.06E-08;5.00E+01;1.41E-10;;;;199.00;1.06E-08;;;;;;;;
2.00E+05;1.00E+00;1.05E-08;5.00E+01;1.40E-10;;;;199.50;1.05E-08;;;;;;;;
2.00E+05;1.00E+00;1.04E-08;5.00E+01;1.41E-10;;;;200.00;1.04E-08;;;;;;;;
2.01E+05;1.00E+00;1.03E-08;5.00E+01;1.42E-10;;;;200.50;1.03E-08;;;;;;;;
2.01E+05;1.00E+00;1.02E-08;5.00E+01;1.42E-10;;;;201.00;1.02E-08;;;;;;;;
2.02E+05;1.00E+00;9.86E-09;5.00E+01;1.40E-10;;;;201.50;9.86E-09;;;;;;;;
2.02E+05;1.00E+00;9.79E-09;5.00E+01;1.41E-10;;;;202.00;9.79E-09;;;;;;;;
2.03E+05;1.00E+00;9.66E-09;5.00E+01;1.41E-10;;;;202.50;9.66E-09;;;;;;;;
2.03E+05;1.00E+00;9.54E-09;5.00E+01;1.40E-10;;;;203.00;9.54E-09;;;;;;;;
2.04E+05;1.00E+00;9.39E-09;5.00E+01;1.40E-10;;;;203.50;9.39E-09;;;;;;;;
2.04E+05;1.00E+00;9.25E-09;5.00E+01;1.39E-10;;;;204.00;9.25E-09;;;;;;;;
2.05E+05;1.00E+00;9.17E-09;5.00E+01;1.42E-10;;;;204.50;9.17E-09;;;;;;;;
2.05E+05;1.00E+00;9.13E-09;5.00E+01;1.41E-10;;;;205.00;9.13E-09;;;;;;;;
2.06E+05;1.00E+00;9.12E-09;5.00E+01;1.40E-10;;;;205.50;9.12E-09;;;;;;;;
2.06E+05;1.00E+00;9.04E-09;5.00E+01;1.40E-10;;;;206.00;9.04E-09;;;;;;;;
2.07E+05;1.00E+00;8.97E-09;5.00E+01;1.40E-10;;;;206.50;8.97E-09;;;;;;;;
2.07E+05;1.00E+00;8.92E-09;5.00E+01;1.41E-10;;;;207.00;8.92E-09;;;;;;;;
2.08E+05;1.00E+00;8.67E-09;5.00E+01;1.40E-10;;;;207.50;8.67E-09;;;;;;;;
2.08E+05;1.00E+00;8.66E-09;5.00E+01;1.40E-10;;;;208.00;8.66E-09;;;;;;;;
2.09E+05;1.00E+00;8.55E-09;5.00E+01;1.42E-10;;;;208.50;8.55E-09;;;;;;;;
2.09E+05;1.00E+00;8.37E-09;5.00E+01;1.41E-10;;;;209.00;8.37E-09;;;;;;;;
2.10E+05;1.00E+00;8.33E-09;5.00E+01;1.41E-10;;;;209.50;8.33E-09;;;;;;;;
2.10E+05;1.00E+00;8.22E-09;5.00E+01;1.42E-10;;;;210.00;8.22E-09;;;;;;;;
2.11E+05;1.00E+00;8.15E-09;5.00E+01;1.40E-10;;;;210.50;8.15E-09;;;;;;;;
2.11E+05;1.00E+00;8.08E-09;5.00E+01;1.41E-10;;;;211.00;8.08E-09;;;;;;;;
2.12E+05;1.00E+00;7.99E-09;5.00E+01;1.40E-10;;;;211.50;7.99E-09;;;;;;;;
2.12E+05;1.00E+00;7.93E-09;5.00E+01;1.42E-10;;;;212.00;7.93E-09;;;;;;;;
2.13E+05;1.00E+00;7.83E-09;5.00E+01;1.42E-10;;;;212.50;7.83E-09;;;;;;;;
2.13E+05;1.00E+00;7.68E-09;5.00E+01;1.41E-10;;;;213.00;7.68E-09;;;;;;;;
2.14E+05;1.00E+00;7.66E-09;5.00E+01;1.41E-10;;;;213.50;7.66E-09;;;;;;;;
2.14E+05;1.00E+00;7.63E-09;5.00E+01;1.41E-10;;;;214.00;7.63E-09;;;;;;;;
2.15E+05;1.00E+00;7.49E-09;5.00E+01;1.40E-10;;;;214.50;7.49E-09;;;;;;;;
2.15E+05;1.00E+00;7.42E-09;5.00E+01;1.40E-10;;;;215.00;7.42E-09;;;;;;;;
2.16E+05;1.00E+00;7.30E-09;5.00E+01;1.41E-10;;;;215.50;7.30E-09;;;;;;;;
2.16E+05;1.00E+00;7.32E-09;5.00E+01;1.40E-10;;;;216.00;7.32E-09;;;;;;;;
2.17E+05;1.00E+00;7.38E-09;5.00E+01;1.41E-10;;;;216.50;7.38E-09;;;;;;;;
2.17E+05;1.00E+00;7.39E-09;5.00E+01;1.40E-10;;;;217.00;7.39E-09;;;;;;;;
2.18E+05;1.00E+00;7.31E-09;5.00E+01;1.39E-10;;;;217.50;7.31E-09;;;;;;;;
2.18E+05;1.00E+00;7.20E-09;5.00E+01;1.40E-10;;;;218.00;7.20E-09;;;;;;;;
2.19E+05;1.00E+00;7.07E-09;5.00E+01;1.41E-10;;;;218.50;7.07E-09;;;;;;;;
2.19E+05;1.00E+00;6.98E-09;5.00E+01;1.41E-10;;;;219.00;6.98E-09;;;;;;;;
2.20E+05;1.00E+00;6.90E-09;5.00E+01;1.41E-10;;;;219.50;6.90E-09;;;;;;;;
2.20E+05;1.00E+00;6.85E-09;5.00E+01;1.40E-10;;;;220.00;6.85E-09;;;;;;;;
2.21E+05;1.00E+00;6.77E-09;5.00E+01;1.41E-10;;;;220.50;6.77E-09;;;;;;;;
2.21E+05;1.00E+00;6.67E-09;5.00E+01;1.42E-10;;;;221.00;6.67E-09;;;;;;;;
2.22E+05;1.00E+00;6.63E-09;5.00E+01;1.43E-10;;;;221.50;6.63E-09;;;;;;;;
2.22E+05;1.00E+00;6.60E-09;5.00E+01;1.42E-10;;;;222.00;6.60E-09;;;;;;;;
2.23E+05;1.00E+00;6.42E-09;5.00E+01;1.42E-10;;;;222.50;6.42E-09;;;;;;;;
2.23E+05;1.00E+00;6.36E-09;5.00E+01;1.41E-10;;;;223.00;6.36E-09;;;;;;;;
2.24E+05;1.00E+00;6.28E-09;5.00E+01;1.42E-10;;;;223.50;6.28E-09;;;;;;;;
2.24E+05;1.00E+00;6.24E-09;5.00E+01;1.41E-10;;;;224.00;6.24E-09;;;;;;;;
2.25E+05;1.00E+00;6.19E-09;5.00E+01;1.41E-10;;;;224.50;6.19E-09;;;;;;;;
2.25E+05;1.00E+00;6.20E-09;5.00E+01;1.41E-10;;;;225.00;6.20E-09;;;;;;;;
2.26E+05;1.00E+00;6.17E-09;5.00E+01;1.41E-10;;;;225.50;6.17E-09;;;;;;;;
2.26E+05;1.00E+00;6.11E-09;5.00E+01;1.41E-10;;;;226.00;6.11E-09;;;;;;;;
2.27E+05;1.00E+00;6.08E-09;5.00E+01;1.42E-10;;;;226.50;6.08E-09;;;;;;;;
2.27E+05;1.00E+00;6.02E-09;5.00E+01;1.41E-10;;;;227.00;6.02E-09;;;;;;;;
2.28E+05;1.00E+00;5.89E-09;5.00E+01;1.42E-10;;;;227.50;5.89E-09;;;;;;;;
2.28E+05;1.00E+00;5.80E-09;5.00E+01;1.42E-10;;;;228.00;5.80E-09;;;;;;;;
2.29E+05;1.00E+00;5.76E-09;5.00E+01;1.42E-10;;;;228.50;5.76E-09;;;;;;;;
2.29E+05;1.00E+00;5.74E-09;5.00E+01;1.41E-10;;;;229.00;5.74E-09;;;;;;;;
2.30E+05;1.00E+00;5.67E-09;5.00E+01;1.41E-10;;;;229.50;5.67E-09;;;;;;;;
2.30E+05;1.00E+00;5.59E-09;5.00E+01;1.41E-10;;;;230.00;5.59E-09;;;;;;;;
2.31E+05;1.00E+00;5.62E-09;5.00E+01;1.41E-10;;;;230.50;5.62E-09;;;;;;;;
2.31E+05;1.00E+00;5.56E-09;5.00E+01;1.40E-10;;;;231.00;5.56E-09;;;;;;;;
2.32E+05;1.00E+00;5.53E-09;5.00E+01;1.40E-10;;;;231.50;5.53E-09;;;;;;;;
2.32E+05;1.00E+00;5.51E-09;5.00E+01;1.40E-10;;;;232.00;5.51E-09;;;;;;;;
2.33E+05;1.00E+00;5.50E-09;5.00E+01;1.41E-10;;;;232.50;5.50E-09;;;;;;;;
2.33E+05;1.00E+00;5.45E-09;5.00E+01;1.40E-10;;;;233.00;5.45E-09;;;;;;;;
2.34E+05;1.00E+00;5.35E-09;5.00E+01;1.42E-10;;;;233.50;5.35E-09;;;;;;;;
2.34E+05;1.00E+00;5.35E-09;5.00E+01;1.41E-10;;;;234.00;5.35E-09;;;;;;;;
2.35E+05;1.00E+00;5.34E-09;5.00E+01;1.40E-10;;;;234.50;5.34E-09;;;;;;;;
2.35E+05;1.00E+00;5.18E-09;5.00E+01;1.42E-10;;;;235.00;5.18E-09;;;;;;;;
2.36E+05;1.00E+00;5.11E-09;5.00E+01;1.41E-10;;;;235.50;5.11E-09;;;;;;;;
2.36E+05;1.00E+00;5.09E-09;5.00E+01;1.42E-10;;;;236.00;5.09E-09;;;;;;;;
2.37E+05;1.00E+00;5.01E-09;5.00E+01;1.40E-10;;;;236.50;5.01E-09;;;;;;;;
2.37E+05;1.00E+00;4.99E-09;5.00E+01;1.42E-10;;;;237.00;4.99E-09;;;;;;;;
2.38E+05;1.00E+00;4.93E-09;5.00E+01;1.41E-10;;;;237.50;4.93E-09;;;;;;;;
2.38E+05;1.00E+00;4.90E-09;5.00E+01;1.42E-10;;;;238.00;4.90E-09;;;;;;;;
2.39E+05;1.00E+00;4.82E-09;5.00E+01;1.42E-10;;;;238.50;4.82E-09;;;;;;;;
2.39E+05;1.00E+00;4.80E-09;5.00E+01;1.42E-10;;;;239.00;4.80E-09;;;;;;;;
2.40E+05;1.00E+00;4.78E-09;5.00E+01;1.42E-10;;;;239.50;4.78E-09;;;;;;;;
2.40E+05;1.00E+00;4.73E-09;5.00E+01;1.41E-10;;;;240.00;4.73E-09;;;;;;;;
2.41E+05;1.00E+00;4.62E-09;5.00E+01;1.41E-10;;;;240.50;4.62E-09;;;;;;;;
2.41E+05;1.00E+00;4.66E-09;5.00E+01;1.41E-10;;;;241.00;4.66E-09;;;;;;;;
2.42E+05;1.00E+00;4.58E-09;5.00E+01;1.41E-10;;;;241.50;4.58E-09;;;;;;;;
