#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=27/10/2023 15:39:57;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;;;
-60.0001;-2.33E-09;0.29685;0.1999998;1.62E-11;0.29685;;;;;1.62E-11;2.33E-09
-59.5001;-2.03E-09;0.473865;0.1999999;1.40E-11;0.473865;;;;;1.4E-11;2.03E-09
-59.0001;-1.81E-09;0.650496;0.1999999;1.52E-11;0.650496;;;;;1.52E-11;1.81E-09
-58.5001;-1.64E-09;0.844748;0.2000001;8.83E-12;0.844748;;;;;8.83E-12;1.64E-09
-58.0001;-1.53E-09;1.021408;0.2;5.85E-12;1.021408;;;;;5.85E-12;1.53E-09
-57.5;-1.44E-09;1.197868;0.1999999;6.57E-12;1.197868;;;;;6.57E-12;1.44E-09
-57.0001;-1.34E-09;1.408511;0.1999999;1.03E-11;1.408511;;;;;1.03E-11;1.34E-09
-56.5;-1.26E-09;1.585042;0.2000002;6.36E-12;1.585042;;;;;6.36E-12;1.26E-09
-56;-1.19E-09;1.761746;0.2000001;1.85E-12;1.761746;;;;;1.85E-12;1.19E-09
-55.5;-1.15E-09;1.938362;0.2000001;2.88E-12;1.938362;;;;;2.88E-12;1.15E-09
-55;-1.10E-09;2.115013;0.2;5.73E-12;2.115013;;;;;5.73E-12;1.1E-09
-54.5001;-1.05E-09;2.291493;0.2000001;4.24E-12;2.291493;;;;;4.24E-12;1.05E-09
-54;-9.97E-10;2.469051;0.2000001;2.11E-12;2.469051;;;;;2.11E-12;9.97E-10
-53.5001;-9.69E-10;2.645849;0.2;3.02E-12;2.645849;;;;;3.02E-12;9.69E-10
-53;-9.40E-10;2.822466;0.1999997;2.11E-12;2.822466;;;;;2.11E-12;9.4E-10
-52.5001;-9.03E-10;3.007929;0.1999998;5.27E-12;3.007929;;;;;5.27E-12;9.03E-10
-52;-8.64E-10;3.184443;0.2000002;4.87E-12;3.184443;;;;;4.87E-12;8.64E-10
-51.5;-8.32E-10;3.39344;0.2000001;3.14E-12;3.39344;;;;;3.14E-12;8.32E-10
-51.0001;-8.07E-10;3.569929;0.2;1.73E-12;3.569929;;;;;1.73E-12;8.07E-10
-50.5001;-7.86E-10;3.746485;0.1999999;9.10E-13;3.746485;;;;;9.1E-13;7.86E-10
-50.0001;-7.60E-10;3.923763;0.1999998;2.67E-12;3.923763;;;;;2.67E-12;7.6E-10
-49.5;-7.31E-10;4.100315;0.2;1.20E-12;4.100315;;;;;1.2E-12;7.31E-10
-49.0001;-7.08E-10;4.276758;0.2000001;3.51E-12;4.276758;;;;;3.51E-12;7.08E-10
-48.5;-6.94E-10;4.455408;0.1999998;5.20E-13;4.455408;;;;;5.2E-13;6.94E-10
-48;-6.69E-10;4.63203;0.1999999;-5.70E-13;4.63203;;;;;5.7E-13;6.69E-10
-47.5;-6.46E-10;4.808588;0.2000003;2.60E-12;4.808588;;;;;2.6E-12;6.46E-10
-47.0001;-6.31E-10;4.987012;0.2;1.83E-12;4.987012;;;;;1.83E-12;6.31E-10
-46.5001;-6.11E-10;5.163661;0.1999997;-2.37E-12;5.163661;;;;;2.37E-12;6.11E-10
-46;-5.98E-10;5.357569;0.1999998;2.37E-12;5.357569;;;;;2.37E-12;5.98E-10
-45.5;-5.78E-10;5.534183;0.2000001;1.91E-12;5.534183;;;;;1.91E-12;5.78E-10
-45;-5.54E-10;5.71059;0.1999999;9.00E-14;5.71059;;;;;9E-14;5.54E-10
-44.5;-5.46E-10;5.925825;0.2000003;1.77E-12;5.925825;;;;;1.77E-12;5.46E-10
-44.0001;-5.37E-10;6.102434;0.2000001;3.96E-12;6.102434;;;;;3.96E-12;5.37E-10
-43.5001;-5.09E-10;6.278855;0.2;-2.55E-12;6.278855;;;;;2.55E-12;5.09E-10
-43;-4.99E-10;6.455634;0.1999998;-1.11E-12;6.455634;;;;;1.11E-12;4.99E-10
-42.5;-4.90E-10;6.63221;0.1999998;1.95E-12;6.63221;;;;;1.95E-12;4.9E-10
-42;-4.68E-10;6.808766;0.1999999;1.76E-12;6.808766;;;;;1.76E-12;4.68E-10
-41.5001;-4.53E-10;6.987737;0.2000001;-2.45E-12;6.987737;;;;;2.45E-12;4.53E-10
-41.0001;-4.39E-10;7.164294;0.1999998;-3.30E-12;7.164294;;;;;3.3E-12;4.39E-10
-40.5;-4.32E-10;7.365293;0.2;-6.20E-13;7.365293;;;;;6.2E-13;4.32E-10
-40.0001;-4.14E-10;7.541808;0.2000002;-1.80E-13;7.541808;;;;;1.8E-13;4.14E-10
-39.5001;-4.00E-10;7.718259;0.1999999;6.20E-13;7.718259;;;;;6.2E-13;4E-10
