File Name: 31_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;14:46:10;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;9.82E-10;-5.00E+01;-9.17E-08;;;-5.00E+01;9.8191E-10;9.167E-08
1.00E+03;1.00E+00;6.27E-10;-4.90E+01;-2.33E-08;;;-4.90E+01;6.2741E-10;2.3285E-08
1.50E+03;1.00E+00;5.70E-10;-4.80E+01;-3.46E-08;;;-4.80E+01;5.6973E-10;3.464E-08
2.00E+03;1.00E+00;2.40E-10;-4.70E+01;-2.15E-08;;;-4.70E+01;2.4015E-10;2.1495E-08
2.50E+03;1.00E+00;2.29E-10;-4.60E+01;-1.46E-07;;;-4.60E+01;2.2861E-10;1.4578E-07
3.00E+03;1.00E+00;3.73E-10;-4.50E+01;-2.75E-07;;;-4.50E+01;3.7346E-10;2.7515E-07
4.00E+03;1.00E+00;6.22E-10;-4.40E+01;-7.64E-08;;;-4.40E+01;6.2239E-10;7.6387E-08
4.50E+03;1.00E+00;5.51E-10;-4.30E+01;-3.26E-08;;;-4.30E+01;5.5107E-10;3.2607E-08
5.00E+03;1.00E+00;2.35E-10;-4.20E+01;-1.87E-08;;;-4.20E+01;2.3517E-10;1.872E-08
5.50E+03;1.00E+00;3.40E-10;-4.10E+01;-1.46E-08;;;-4.10E+01;3.3973E-10;1.4613E-08
6.00E+03;1.00E+00;1.03E-10;-4.00E+01;-2.38E-08;;;-4.00E+01;1.0345E-10;2.3793E-08
6.50E+03;1.00E+00;1.26E-10;-3.90E+01;-3.46E-08;;;-3.90E+01;1.2567E-10;3.4616E-08
7.00E+03;1.00E+00;3.80E-10;-3.80E+01;-4.03E-08;;;-3.80E+01;3.8042E-10;4.0311E-08
7.50E+03;1.00E+00;2.83E-10;-3.70E+01;-2.07E-08;;;-3.70E+01;2.8316E-10;2.0667E-08
8.00E+03;1.00E+00;2.04E-10;-3.60E+01;-1.94E-08;;;-3.60E+01;2.0367E-10;1.9418E-08
8.50E+03;1.00E+00;1.02E-10;-3.50E+01;-1.83E-08;;;-3.50E+01;1.0164E-10;1.8344E-08
9.00E+03;1.00E+00;2.52E-10;-3.40E+01;-2.32E-08;;;-3.40E+01;2.5233E-10;2.3238E-08
9.50E+03;1.00E+00;5.77E-10;-3.30E+01;-5.03E-08;;;-3.30E+01;5.7695E-10;5.0294E-08
1.00E+04;1.00E+00;1.66E-10;-3.20E+01;-2.01E-08;;;-3.20E+01;1.6598E-10;2.013E-08
1.05E+04;1.00E+00;-1.53E-10;-3.10E+01;-1.60E-08;;;-3.10E+01;1.5283E-10;1.6033E-08
1.10E+04;1.00E+00;-2.63E-10;-3.00E+01;-4.91E-08;;;-3.00E+01;2.6254E-10;4.911E-08
1.15E+04;1.00E+00;9.52E-11;-2.90E+01;-6.24E-08;;;-2.90E+01;9.5167E-11;6.2365E-08
1.25E+04;1.00E+00;-5.83E-10;-2.80E+01;-8.66E-09;;;-2.80E+01;5.834E-10;8.6608E-09
1.30E+04;1.00E+00;1.91E-10;-2.70E+01;-3.20E-08;;;-2.70E+01;1.9114E-10;3.2044E-08
1.35E+04;1.00E+00;-4.94E-10;-2.60E+01;-4.27E-09;;;-2.60E+01;4.941E-10;4.2725E-09
1.40E+04;1.00E+00;-5.22E-11;-2.50E+01;-2.07E-09;;;-2.50E+01;5.2202E-11;2.0701E-09
1.45E+04;1.00E+00;1.72E-11;-2.40E+01;-5.87E-09;;;-2.40E+01;1.7229E-11;5.8693E-09
1.50E+04;1.00E+00;-3.72E-12;-2.30E+01;-1.98E-09;;;-2.30E+01;3.7241E-12;1.9833E-09
1.55E+04;1.00E+00;-1.94E-11;-2.20E+01;-1.71E-09;;;-2.20E+01;1.938E-11;1.7135E-09
1.60E+04;1.00E+00;-3.55E-11;-2.10E+01;-9.50E-10;;;-2.10E+01;3.5456E-11;9.4985E-10
1.65E+04;1.00E+00;-3.96E-11;-2.00E+01;-7.08E-10;;;-2.00E+01;3.9583E-11;7.0777E-10
1.70E+04;1.00E+00;-4.15E-11;-1.90E+01;-6.54E-10;;;-1.90E+01;4.1478E-11;6.5402E-10
1.75E+04;1.00E+00;-4.40E-11;-1.80E+01;-4.92E-10;;;-1.80E+01;4.4026E-11;4.9181E-10
1.80E+04;1.00E+00;-4.97E-11;-1.70E+01;-3.83E-10;;;-1.70E+01;4.9747E-11;3.8339E-10
1.85E+04;1.00E+00;-5.63E-11;-1.60E+01;-2.77E-10;;;-1.60E+01;5.6332E-11;2.774E-10
1.90E+04;1.00E+00;-6.47E-11;-1.50E+01;-1.96E-10;;;-1.50E+01;6.4654E-11;1.9597E-10
1.95E+04;1.00E+00;-8.08E-11;-1.40E+01;-1.16E-10;;;-1.40E+01;8.0791E-11;1.1582E-10
2.00E+04;1.00E+00;-1.05E-10;-1.30E+01;-3.79E-11;;;-1.30E+01;1.0484E-10;3.7852E-11
2.05E+04;1.00E+00;-1.43E-10;-1.20E+01;1.38E-11;;;-1.20E+01;1.4348E-10;1.3759E-11
2.10E+04;1.00E+00;-1.97E-10;-1.10E+01;1.45E-10;;;-1.10E+01;1.9682E-10;1.4516E-10
2.15E+04;1.00E+00;-2.61E-10;-1.00E+01;2.74E-10;;;-1.00E+01;2.6122E-10;2.7366E-10
2.20E+04;1.00E+00;-3.11E-10;-9.00E+00;3.38E-10;;;-9.00E+00;3.107E-10;3.3789E-10
2.25E+04;1.00E+00;-3.73E-10;-8.00E+00;4.76E-10;;;-8.00E+00;3.7348E-10;4.7576E-10
2.30E+04;1.00E+00;-3.93E-10;-7.00E+00;5.71E-10;;;-7.00E+00;3.9303E-10;5.7054E-10
2.35E+04;1.00E+00;-3.74E-10;-6.00E+00;6.15E-10;;;-6.00E+00;3.74E-10;6.1477E-10
2.40E+04;1.00E+00;-3.20E-10;-5.00E+00;6.28E-10;;;-5.00E+00;3.2007E-10;6.2755E-10
2.45E+04;1.00E+00;-2.96E-10;-4.00E+00;6.25E-10;;;-4.00E+00;2.9597E-10;6.2545E-10
2.50E+04;1.00E+00;-1.45E-10;-3.00E+00;5.13E-10;;;-3.00E+00;1.4507E-10;5.1268E-10
2.55E+04;1.00E+00;-5.47E-11;-2.00E+00;5.07E-10;;;-2.00E+00;5.4654E-11;5.0661E-10
2.60E+04;1.00E+00;8.91E-11;-1.00E+00;4.88E-10;;;-1.00E+00;8.9091E-11;4.8757E-10
2.65E+04;1.00E+00;3.32E-10;0.00E+00;4.75E-10;;;0.00E+00;3.3195E-10;4.7528E-10
2.70E+04;1.00E+00;6.28E-10;1.00E+00;4.68E-10;;;1.00E+00;6.2776E-10;4.6802E-10
2.75E+04;1.00E+00;9.82E-10;2.00E+00;4.73E-10;;;2.00E+00;9.8179E-10;4.7305E-10
2.80E+04;1.00E+00;1.50E-09;3.00E+00;5.07E-10;;;3.00E+00;1.4962E-09;5.0674E-10
2.85E+04;1.00E+00;2.17E-09;4.00E+00;6.01E-10;;;4.00E+00;2.1731E-09;6.0125E-10
2.90E+04;1.00E+00;3.11E-09;5.00E+00;6.97E-10;;;5.00E+00;3.107E-09;6.9668E-10
2.95E+04;1.00E+00;4.34E-09;6.00E+00;7.90E-10;;;6.00E+00;4.3372E-09;7.9012E-10
3.00E+04;1.00E+00;5.76E-09;7.00E+00;8.38E-10;;;7.00E+00;5.7556E-09;8.3776E-10
3.05E+04;1.00E+00;7.68E-09;8.00E+00;1.01E-09;;;8.00E+00;7.6804E-09;1.0133E-09
3.10E+04;1.00E+00;1.00E-08;9.00E+00;9.20E-10;;;9.00E+00;1.0034E-08;9.204E-10
3.15E+04;1.00E+00;1.27E-08;1.00E+01;5.20E-10;;;1.00E+01;1.2652E-08;5.1984E-10
3.20E+04;1.00E+00;1.58E-08;1.10E+01;4.21E-10;;;1.10E+01;1.5752E-08;4.2103E-10
3.25E+04;1.00E+00;1.98E-08;1.20E+01;3.36E-10;;;1.20E+01;1.975E-08;3.3625E-10
3.30E+04;1.00E+00;2.41E-08;1.30E+01;2.70E-10;;;1.30E+01;2.4124E-08;2.7026E-10
3.35E+04;1.00E+00;2.92E-08;1.40E+01;2.24E-10;;;1.40E+01;2.9238E-08;2.2372E-10
3.40E+04;1.00E+00;3.45E-08;1.50E+01;1.99E-10;;;1.50E+01;3.4501E-08;1.9889E-10
3.45E+04;1.00E+00;4.05E-08;1.60E+01;1.88E-10;;;1.60E+01;4.0475E-08;1.8823E-10
3.50E+04;1.00E+00;4.77E-08;1.70E+01;1.82E-10;;;1.70E+01;4.7715E-08;1.8191E-10
3.55E+04;1.00E+00;5.61E-08;1.80E+01;1.78E-10;;;1.80E+01;5.6129E-08;1.7823E-10
3.60E+04;1.00E+00;6.49E-08;1.90E+01;1.77E-10;;;1.90E+01;6.4934E-08;1.7652E-10
3.65E+04;1.00E+00;7.51E-08;2.00E+01;1.75E-10;;;2.00E+01;7.5135E-08;1.7549E-10
3.70E+04;1.00E+00;8.59E-08;2.10E+01;1.76E-10;;;2.10E+01;8.5873E-08;1.7642E-10
3.75E+04;1.00E+00;9.84E-08;2.20E+01;1.73E-10;;;2.20E+01;9.8403E-08;1.7326E-10
3.80E+04;1.00E+00;1.13E-07;2.30E+01;1.73E-10;;;2.30E+01;1.1335E-07;1.7261E-10
3.85E+04;1.00E+00;1.29E-07;2.40E+01;1.88E-10;;;2.40E+01;1.2891E-07;1.8753E-10
3.90E+04;1.00E+00;1.46E-07;2.50E+01;1.74E-10;;;2.50E+01;1.4612E-07;1.7426E-10
3.95E+04;1.00E+00;1.64E-07;2.60E+01;1.75E-10;;;2.60E+01;1.6448E-07;1.7457E-10
4.00E+04;1.00E+00;1.85E-07;2.70E+01;1.73E-10;;;2.70E+01;1.8539E-07;1.7261E-10
4.05E+04;1.00E+00;2.06E-07;2.80E+01;1.75E-10;;;2.80E+01;2.0631E-07;1.7545E-10
4.10E+04;1.00E+00;2.31E-07;2.90E+01;1.75E-10;;;2.90E+01;2.3089E-07;1.753E-10
4.15E+04;1.00E+00;2.57E-07;3.00E+01;1.74E-10;;;3.00E+01;2.5657E-07;1.7384E-10
4.20E+04;1.00E+00;2.84E-07;3.10E+01;1.74E-10;;;3.10E+01;2.8405E-07;1.7372E-10
4.25E+04;1.00E+00;3.12E-07;3.20E+01;1.75E-10;;;3.20E+01;3.1244E-07;1.7466E-10
4.30E+04;1.00E+00;3.44E-07;3.30E+01;1.74E-10;;;3.30E+01;3.4446E-07;1.7363E-10
4.35E+04;1.00E+00;3.78E-07;3.40E+01;1.74E-10;;;3.40E+01;3.7814E-07;1.7447E-10
4.40E+04;1.00E+00;4.17E-07;3.50E+01;1.74E-10;;;3.50E+01;4.1671E-07;1.7368E-10
4.45E+04;1.00E+00;4.55E-07;3.60E+01;1.74E-10;;;3.60E+01;4.5502E-07;1.7417E-10
4.50E+04;1.00E+00;4.95E-07;3.70E+01;1.74E-10;;;3.70E+01;4.9547E-07;1.7442E-10
4.55E+04;1.00E+00;5.40E-07;3.80E+01;1.63E-10;;;3.80E+01;5.3986E-07;1.6302E-10
4.60E+04;1.00E+00;5.88E-07;3.90E+01;8.49E-10;;;3.90E+01;5.8772E-07;8.4913E-10
4.65E+04;1.00E+00;6.35E-07;4.00E+01;1.79E-10;;;4.00E+01;6.3462E-07;1.7921E-10
4.70E+04;1.00E+00;6.91E-07;4.10E+01;1.78E-10;;;4.10E+01;6.9082E-07;1.7842E-10
4.75E+04;1.00E+00;7.43E-07;4.20E+01;1.78E-10;;;4.20E+01;7.4315E-07;1.7816E-10
4.80E+04;1.00E+00;8.00E-07;4.30E+01;1.79E-10;;;4.30E+01;7.997E-07;1.7905E-10
4.85E+04;1.00E+00;8.64E-07;4.40E+01;1.81E-10;;;4.40E+01;8.6382E-07;1.811E-10
4.90E+04;1.00E+00;9.28E-07;4.50E+01;1.81E-10;;;4.50E+01;9.2774E-07;1.8057E-10
4.95E+04;1.00E+00;9.95E-07;4.60E+01;1.84E-10;;;4.60E+01;9.9509E-07;1.841E-10
5.00E+04;1.00E+00;1.07E-06;4.70E+01;2.19E-10;;;4.70E+01;1.0661E-06;2.1898E-10
5.05E+04;1.00E+00;1.15E-06;4.80E+01;2.00E-10;;;4.80E+01;1.1474E-06;1.9968E-10
5.10E+04;1.00E+00;1.22E-06;4.90E+01;1.87E-10;;;4.90E+01;1.2169E-06;1.8717E-10
5.15E+04;1.00E+00;1.30E-06;5.00E+01;1.88E-10;;;5.00E+01;1.3019E-06;1.876E-10
5.20E+04;1.00E+00;1.39E-06;5.10E+01;1.91E-10;;;5.10E+01;1.3941E-06;1.9071E-10
5.25E+04;1.00E+00;1.28E-06;5.00E+01;-5.36E-11;;;5.00E+01;0.000001283;5.3605E-11
5.30E+04;1.00E+00;1.18E-06;4.90E+01;-7.46E-11;;;4.90E+01;0.000001177;7.4627E-11
5.35E+04;1.00E+00;1.08E-06;4.80E+01;-9.85E-11;;;4.80E+01;1.0797E-06;9.8474E-11
5.40E+04;1.00E+00;9.93E-07;4.70E+01;-1.10E-10;;;4.70E+01;9.926E-07;1.0979E-10
5.45E+04;1.00E+00;9.11E-07;4.60E+01;-1.37E-10;;;4.60E+01;9.1059E-07;1.3662E-10
5.50E+04;1.00E+00;8.28E-07;4.50E+01;-1.24E-10;;;4.50E+01;8.2818E-07;1.2381E-10
5.55E+04;1.00E+00;7.53E-07;4.40E+01;-1.29E-10;;;4.40E+01;7.5265E-07;1.288E-10
5.60E+04;1.00E+00;6.90E-07;4.30E+01;-1.34E-10;;;4.30E+01;6.8978E-07;1.3378E-10
5.65E+04;1.00E+00;6.22E-07;4.20E+01;-1.39E-10;;;4.20E+01;6.2248E-07;1.3864E-10
5.70E+04;1.00E+00;5.61E-07;4.10E+01;-1.45E-10;;;4.10E+01;5.6089E-07;1.4514E-10
5.75E+04;1.00E+00;5.01E-07;4.00E+01;-1.50E-10;;;4.00E+01;5.0105E-07;1.4968E-10
5.80E+04;1.00E+00;4.48E-07;3.90E+01;-1.56E-10;;;3.90E+01;4.4761E-07;1.5582E-10
5.85E+04;1.00E+00;4.00E-07;3.80E+01;-1.63E-10;;;3.80E+01;3.996E-07;1.6314E-10
5.90E+04;1.00E+00;3.54E-07;3.70E+01;-1.67E-10;;;3.70E+01;3.5379E-07;1.6748E-10
5.95E+04;1.00E+00;3.12E-07;3.60E+01;-1.75E-10;;;3.60E+01;0.000000312;1.7492E-10
6.00E+04;1.00E+00;2.73E-07;3.50E+01;-1.78E-10;;;3.50E+01;2.7306E-07;1.7793E-10
6.05E+04;1.00E+00;2.37E-07;3.40E+01;-1.67E-10;;;3.40E+01;2.3671E-07;1.6675E-10
6.10E+04;1.00E+00;2.02E-07;3.30E+01;-1.21E-09;;;3.30E+01;2.0174E-07;1.2104E-09
6.15E+04;1.00E+00;1.70E-07;3.20E+01;-1.84E-10;;;3.20E+01;1.6994E-07;1.8388E-10
6.20E+04;1.00E+00;1.40E-07;3.10E+01;-1.85E-10;;;3.10E+01;1.3968E-07;1.8453E-10
6.25E+04;1.00E+00;1.12E-07;3.00E+01;-1.87E-10;;;3.00E+01;1.1222E-07;1.8707E-10
6.30E+04;1.00E+00;8.79E-08;2.90E+01;-1.90E-10;;;2.90E+01;8.7856E-08;1.9036E-10
6.35E+04;1.00E+00;6.63E-08;2.80E+01;-4.64E-10;;;2.80E+01;6.6288E-08;4.6354E-10
6.40E+04;1.00E+00;4.82E-08;2.70E+01;-1.98E-10;;;2.70E+01;4.8213E-08;1.984E-10
6.45E+04;1.00E+00;3.38E-08;2.60E+01;-2.06E-10;;;2.60E+01;3.3822E-08;2.0571E-10
6.50E+04;1.00E+00;2.30E-08;2.50E+01;-2.60E-10;;;2.50E+01;2.3027E-08;2.6006E-10
6.55E+04;1.00E+00;1.53E-08;2.40E+01;-3.70E-10;;;2.40E+01;1.5318E-08;3.7025E-10
6.60E+04;1.00E+00;9.99E-09;2.30E+01;-3.39E-10;;;2.30E+01;9.9892E-09;3.3936E-10
6.65E+04;1.00E+00;6.32E-09;2.20E+01;-2.79E-10;;;2.20E+01;6.3206E-09;2.7906E-10
6.70E+04;1.00E+00;3.80E-09;2.10E+01;-2.55E-10;;;2.10E+01;3.7998E-09;2.5492E-10
6.75E+04;1.00E+00;2.28E-09;2.00E+01;-2.37E-10;;;2.00E+01;2.2792E-09;2.3707E-10
6.80E+04;1.00E+00;1.27E-09;1.90E+01;-2.28E-10;;;1.90E+01;1.2697E-09;2.2837E-10
6.85E+04;1.00E+00;6.33E-10;1.80E+01;-2.24E-10;;;1.80E+01;6.3269E-10;2.2445E-10
6.90E+04;1.00E+00;2.82E-10;1.70E+01;-2.29E-10;;;1.70E+01;2.8227E-10;2.2931E-10
6.95E+04;1.00E+00;1.36E-10;1.60E+01;-2.33E-10;;;1.60E+01;1.3581E-10;2.3267E-10
7.00E+04;1.00E+00;9.36E-11;1.50E+01;-2.38E-10;;;1.50E+01;9.3597E-11;2.378E-10
7.05E+04;1.00E+00;8.78E-11;1.40E+01;-2.49E-10;;;1.40E+01;8.7802E-11;2.4887E-10
7.10E+04;1.00E+00;8.65E-11;1.30E+01;-2.66E-10;;;1.30E+01;8.6549E-11;2.6635E-10
7.15E+04;1.00E+00;9.56E-11;1.20E+01;-2.92E-10;;;1.20E+01;9.5649E-11;2.9186E-10
7.20E+04;1.00E+00;1.08E-10;1.10E+01;-3.26E-10;;;1.10E+01;1.0752E-10;3.2627E-10
7.25E+04;1.00E+00;1.24E-10;1.00E+01;-3.57E-10;;;1.00E+01;1.2395E-10;3.5728E-10
7.30E+04;1.00E+00;1.48E-10;9.00E+00;-3.82E-10;;;9.00E+00;1.4805E-10;3.8223E-10
7.35E+04;1.00E+00;1.70E-10;8.00E+00;-3.90E-10;;;8.00E+00;1.6969E-10;3.904E-10
7.40E+04;1.00E+00;1.87E-10;7.00E+00;-3.92E-10;;;7.00E+00;1.8747E-10;3.9203E-10
7.45E+04;1.00E+00;1.83E-10;6.00E+00;-3.88E-10;;;6.00E+00;1.8321E-10;3.878E-10
7.50E+04;1.00E+00;1.86E-10;5.00E+00;-3.83E-10;;;5.00E+00;1.8589E-10;3.8339E-10
7.55E+04;1.00E+00;1.75E-10;4.00E+00;-3.73E-10;;;4.00E+00;1.7488E-10;3.7273E-10
7.60E+04;1.00E+00;1.90E-10;3.00E+00;-4.39E-10;;;3.00E+00;1.9039E-10;4.3869E-10
7.65E+04;1.00E+00;2.11E-10;2.00E+00;-4.54E-10;;;2.00E+00;2.1087E-10;4.5374E-10
7.70E+04;1.00E+00;2.06E-10;1.00E+00;-3.94E-10;;;1.00E+00;2.0591E-10;3.9425E-10
7.75E+04;1.00E+00;2.01E-10;0.00E+00;-3.87E-10;;;0.00E+00;2.0134E-10;3.872E-10
7.80E+04;1.00E+00;2.09E-10;-1.00E+00;-3.90E-10;;;-1.00E+00;2.0936E-10;3.9026E-10
7.85E+04;1.00E+00;2.03E-10;-2.00E+00;-3.88E-10;;;-2.00E+00;2.0274E-10;3.8787E-10
7.90E+04;1.00E+00;2.09E-10;-3.00E+00;-3.86E-10;;;-3.00E+00;2.088E-10;3.8608E-10
7.95E+04;1.00E+00;2.10E-10;-4.00E+00;-3.91E-10;;;-4.00E+00;2.0986E-10;3.9077E-10
8.00E+04;1.00E+00;2.15E-10;-5.00E+00;-3.83E-10;;;-5.00E+00;2.1486E-10;3.8341E-10
8.05E+04;1.00E+00;2.16E-10;-6.00E+00;-3.85E-10;;;-6.00E+00;2.1599E-10;3.8546E-10
8.10E+04;1.00E+00;2.13E-10;-7.00E+00;-3.75E-10;;;-7.00E+00;2.1281E-10;3.7527E-10
8.15E+04;1.00E+00;2.15E-10;-8.00E+00;-3.72E-10;;;-8.00E+00;2.1529E-10;3.7221E-10
8.20E+04;1.00E+00;2.22E-10;-9.00E+00;-3.68E-10;;;-9.00E+00;2.2186E-10;3.6775E-10
8.25E+04;1.00E+00;2.26E-10;-1.00E+01;-3.65E-10;;;-1.00E+01;2.2601E-10;3.6503E-10
8.30E+04;1.00E+00;2.21E-10;-1.10E+01;-3.55E-10;;;-1.10E+01;2.2064E-10;3.5545E-10
8.35E+04;1.00E+00;2.21E-10;-1.20E+01;-3.55E-10;;;-1.20E+01;2.2113E-10;3.552E-10
8.40E+04;1.00E+00;2.19E-10;-1.30E+01;-3.45E-10;;;-1.30E+01;2.1926E-10;3.4539E-10
8.45E+04;1.00E+00;2.22E-10;-1.40E+01;-3.48E-10;;;-1.40E+01;2.2155E-10;3.4755E-10
