File Name: 25_Sample12_device3_trfSat_dark.dat;;;;;;;;;;
File Data: 15/12/2023;13:35:11;;;;;;;;;
Start V: 0;;;;;;;;;;
Step V: 0;;;;;;;;;;
Stop V: 0;;;;;;;;;;
Range V: 200;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;
Auorange: yes;;;;;;;;;;
Sweep type: log;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;VGate (V);|IDrain| (A);|IGate| (A)
0.00E+00;1.00E+00;9.62E-10;-5.00E+01;-1.48E-08;;;;-5.00E+01;9.6248E-10;1.4839E-08
1.00E+03;1.00E+00;-3.70E-11;-4.90E+01;-3.97E-08;;;;-4.90E+01;3.6993E-11;3.9735E-08
1.50E+03;1.00E+00;8.20E-10;-4.80E+01;-1.94E-07;;;;-4.80E+01;8.2002E-10;1.9369E-07
2.50E+03;1.00E+00;1.45E-09;-4.70E+01;-2.71E-07;;;;-4.70E+01;1.4464E-09;2.7109E-07
3.00E+03;1.00E+00;8.54E-10;-4.60E+01;-7.04E-08;;;;-4.60E+01;8.5369E-10;7.0417E-08
4.00E+03;1.00E+00;8.57E-10;-4.50E+01;-1.50E-07;;;;-4.50E+01;8.5652E-10;1.4985E-07
5.00E+03;1.00E+00;1.92E-10;-4.40E+01;-6.89E-08;;;;-4.40E+01;1.9189E-10;6.8918E-08
5.50E+03;1.00E+00;9.90E-11;-4.30E+01;-1.07E-07;;;;-4.30E+01;9.8952E-11;1.0672E-07
6.50E+03;1.00E+00;8.92E-10;-4.20E+01;-3.99E-07;;;;-4.20E+01;8.9246E-10;3.9899E-07
7.00E+03;1.00E+00;6.71E-10;-4.10E+01;-1.08E-07;;;;-4.10E+01;6.714E-10;1.0802E-07
8.00E+03;1.00E+00;9.80E-11;-4.00E+01;-1.34E-07;;;;-4.00E+01;9.7992E-11;1.3368E-07
8.50E+03;1.00E+00;5.62E-10;-3.90E+01;-4.13E-07;;;;-3.90E+01;5.6165E-10;4.1347E-07
9.50E+03;1.00E+00;4.65E-10;-3.80E+01;-4.50E-07;;;;-3.80E+01;4.6452E-10;4.4974E-07
1.00E+04;1.00E+00;1.09E-10;-3.70E+01;-4.46E-07;;;;-3.70E+01;1.0864E-10;4.4591E-07
1.05E+04;1.00E+00;8.23E-10;-3.60E+01;-2.92E-07;;;;-3.60E+01;8.2335E-10;2.9167E-07
1.10E+04;1.00E+00;1.55E-10;-3.50E+01;-3.66E-07;;;;-3.50E+01;1.5461E-10;3.6647E-07
1.15E+04;1.00E+00;9.08E-12;-3.40E+01;-2.53E-07;;;;-3.40E+01;9.0766E-12;2.5265E-07
1.20E+04;1.00E+00;-9.77E-11;-3.30E+01;-3.40E-07;;;;-3.30E+01;9.7696E-11;3.3994E-07
1.25E+04;1.00E+00;-4.64E-10;-3.20E+01;-4.68E-07;;;;-3.20E+01;4.6447E-10;4.6824E-07
1.30E+04;1.00E+00;1.44E-10;-3.10E+01;-3.79E-07;;;;-3.10E+01;1.4389E-10;3.7904E-07
1.35E+04;1.00E+00;3.01E-10;-3.00E+01;-1.55E-07;;;;-3.00E+01;3.0115E-10;1.5514E-07
1.40E+04;1.00E+00;-2.17E-10;-2.90E+01;-9.75E-08;;;;-2.90E+01;2.1664E-10;9.7541E-08
1.45E+04;1.00E+00;-2.80E-11;-2.80E+01;-1.53E-07;;;;-2.80E+01;2.8E-11;1.5298E-07
1.55E+04;1.00E+00;8.67E-10;-2.70E+01;-4.49E-07;;;;-2.70E+01;8.6654E-10;4.4915E-07
1.60E+04;1.00E+00;-7.19E-11;-2.60E+01;-1.71E-07;;;;-2.60E+01;7.1889E-11;1.711E-07
1.65E+04;1.00E+00;5.74E-11;-2.50E+01;-1.51E-07;;;;-2.50E+01;5.7379E-11;1.5086E-07
1.70E+04;1.00E+00;1.22E-10;-2.40E+01;-1.23E-07;;;;-2.40E+01;1.2178E-10;1.2294E-07
1.75E+04;1.00E+00;9.43E-11;-2.30E+01;-1.02E-07;;;;-2.30E+01;9.4314E-11;1.0154E-07
1.80E+04;1.00E+00;-4.25E-11;-2.20E+01;-1.10E-07;;;;-2.20E+01;4.2499E-11;1.0992E-07
1.90E+04;1.00E+00;2.57E-10;-2.10E+01;-9.26E-08;;;;-2.10E+01;2.5684E-10;9.2564E-08
1.95E+04;1.00E+00;7.71E-11;-2.00E+01;-5.49E-08;;;;-2.00E+01;7.7097E-11;5.4928E-08
2.00E+04;1.00E+00;1.34E-11;-1.90E+01;-4.85E-08;;;;-1.90E+01;1.3438E-11;4.8466E-08
2.05E+04;1.00E+00;-2.50E-11;-1.80E+01;-3.81E-08;;;;-1.80E+01;2.5001E-11;3.8075E-08
2.10E+04;1.00E+00;9.14E-12;-1.70E+01;-3.48E-08;;;;-1.70E+01;9.1362E-12;3.4844E-08
2.15E+04;1.00E+00;-1.99E-11;-1.60E+01;-2.87E-08;;;;-1.60E+01;1.9864E-11;2.865E-08
2.20E+04;1.00E+00;-3.28E-11;-1.50E+01;-2.42E-08;;;;-1.50E+01;3.2848E-11;2.4239E-08
2.25E+04;1.00E+00;-9.62E-11;-1.40E+01;-2.15E-08;;;;-1.40E+01;9.6241E-11;2.1522E-08
2.30E+04;1.00E+00;2.29E-10;-1.30E+01;-5.66E-08;;;;-1.30E+01;2.292E-10;5.6592E-08
2.35E+04;1.00E+00;-1.08E-10;-1.20E+01;-1.24E-08;;;;-1.20E+01;1.084E-10;1.2359E-08
2.40E+04;1.00E+00;-1.95E-10;-1.10E+01;-9.29E-09;;;;-1.10E+01;1.9518E-10;9.2876E-09
2.45E+04;1.00E+00;-2.34E-10;-1.00E+01;-6.89E-09;;;;-1.00E+01;2.3445E-10;6.8927E-09
2.50E+04;1.00E+00;-2.68E-10;-9.00E+00;-5.02E-09;;;;-9.00E+00;2.6799E-10;5.0243E-09
2.55E+04;1.00E+00;-2.85E-10;-8.00E+00;-3.15E-09;;;;-8.00E+00;2.8528E-10;3.1454E-09
2.60E+04;1.00E+00;-2.46E-10;-7.00E+00;-1.86E-09;;;;-7.00E+00;2.4573E-10;1.8616E-09
2.65E+04;1.00E+00;-1.89E-10;-6.00E+00;-8.51E-10;;;;-6.00E+00;1.8924E-10;8.5084E-10
2.70E+04;1.00E+00;-9.29E-11;-5.00E+00;-1.21E-10;;;;-5.00E+00;9.289E-11;1.2056E-10
2.75E+04;1.00E+00;8.46E-11;-4.00E+00;2.26E-10;;;;-4.00E+00;8.4589E-11;2.2574E-10
2.80E+04;1.00E+00;3.62E-10;-3.00E+00;4.39E-10;;;;-3.00E+00;3.6181E-10;4.3898E-10
2.85E+04;1.00E+00;7.21E-10;-2.00E+00;5.01E-10;;;;-2.00E+00;7.2057E-10;5.0125E-10
2.90E+04;1.00E+00;1.21E-09;-1.00E+00;4.99E-10;;;;-1.00E+00;1.212E-09;4.9858E-10
2.95E+04;1.00E+00;1.93E-09;0.00E+00;4.85E-10;;;;0.00E+00;1.9263E-09;4.8476E-10
3.00E+04;1.00E+00;2.59E-09;1.00E+00;4.59E-10;;;;1.00E+00;2.5882E-09;4.5858E-10
3.05E+04;1.00E+00;3.45E-09;2.00E+00;4.12E-10;;;;2.00E+00;3.4546E-09;4.1182E-10
3.10E+04;1.00E+00;4.87E-09;3.00E+00;9.75E-10;;;;3.00E+00;4.8729E-09;9.752E-10
3.15E+04;1.00E+00;6.24E-09;4.00E+00;3.74E-10;;;;4.00E+00;6.2363E-09;3.7364E-10
3.20E+04;1.00E+00;8.02E-09;5.00E+00;3.70E-10;;;;5.00E+00;8.0237E-09;3.7039E-10
3.25E+04;1.00E+00;1.00E-08;6.00E+00;5.00E-10;;;;6.00E+00;1.0045E-08;4.9969E-10
3.30E+04;1.00E+00;1.22E-08;7.00E+00;6.82E-10;;;;7.00E+00;1.2212E-08;6.8218E-10
3.35E+04;1.00E+00;1.51E-08;8.00E+00;6.28E-10;;;;8.00E+00;1.5145E-08;6.2766E-10
3.40E+04;1.00E+00;1.87E-08;9.00E+00;4.21E-10;;;;9.00E+00;1.8654E-08;4.2078E-10
3.45E+04;1.00E+00;2.25E-08;1.00E+01;3.11E-10;;;;1.00E+01;2.2514E-08;3.1076E-10
3.50E+04;1.00E+00;2.50E-08;1.10E+01;2.45E-10;;;;1.10E+01;2.4979E-08;2.4483E-10
3.55E+04;1.00E+00;2.98E-08;1.20E+01;2.04E-10;;;;1.20E+01;2.9785E-08;2.0375E-10
3.60E+04;1.00E+00;3.51E-08;1.30E+01;1.90E-10;;;;1.30E+01;3.5108E-08;1.8962E-10
3.65E+04;1.00E+00;3.99E-08;1.40E+01;1.82E-10;;;;1.40E+01;3.9869E-08;1.8242E-10
3.70E+04;1.00E+00;4.66E-08;1.50E+01;1.80E-10;;;;1.50E+01;4.656E-08;1.7959E-10
3.75E+04;1.00E+00;5.27E-08;1.60E+01;1.79E-10;;;;1.60E+01;5.2696E-08;1.7861E-10
3.80E+04;1.00E+00;6.08E-08;1.70E+01;1.77E-10;;;;1.70E+01;6.0751E-08;1.7721E-10
3.85E+04;1.00E+00;7.01E-08;1.80E+01;1.76E-10;;;;1.80E+01;7.0132E-08;1.7608E-10
3.90E+04;1.00E+00;7.93E-08;1.90E+01;1.75E-10;;;;1.90E+01;7.9312E-08;1.7515E-10
3.95E+04;1.00E+00;9.05E-08;2.00E+01;1.75E-10;;;;2.00E+01;9.0507E-08;1.7533E-10
4.00E+04;1.00E+00;1.01E-07;2.10E+01;1.77E-10;;;;2.10E+01;1.0136E-07;1.7674E-10
4.10E+04;1.00E+00;1.14E-07;2.20E+01;1.12E-10;;;;2.20E+01;1.1412E-07;1.1185E-10
4.15E+04;1.00E+00;1.30E-07;2.30E+01;1.58E-10;;;;2.30E+01;1.2953E-07;1.5755E-10
4.20E+04;1.00E+00;1.48E-07;2.40E+01;1.65E-10;;;;2.40E+01;1.4797E-07;1.6518E-10
4.25E+04;1.00E+00;1.70E-07;2.50E+01;1.71E-10;;;;2.50E+01;1.6969E-07;1.7123E-10
4.30E+04;1.00E+00;1.88E-07;2.60E+01;1.75E-10;;;;2.60E+01;1.8843E-07;1.7538E-10
4.35E+04;1.00E+00;2.11E-07;2.70E+01;1.77E-10;;;;2.70E+01;2.1121E-07;1.7693E-10
4.40E+04;1.00E+00;2.31E-07;2.80E+01;1.77E-10;;;;2.80E+01;2.3113E-07;1.7739E-10
4.45E+04;1.00E+00;2.60E-07;2.90E+01;1.81E-10;;;;2.90E+01;2.6004E-07;1.8075E-10
4.50E+04;1.00E+00;2.87E-07;3.00E+01;1.80E-10;;;;3.00E+01;2.8745E-07;1.8026E-10
4.55E+04;1.00E+00;3.19E-07;3.10E+01;1.82E-10;;;;3.10E+01;3.1919E-07;1.8232E-10
4.60E+04;1.00E+00;3.54E-07;3.20E+01;9.11E-10;;;;3.20E+01;3.5428E-07;9.1115E-10
4.65E+04;1.00E+00;3.93E-07;3.30E+01;1.87E-10;;;;3.30E+01;3.9253E-07;1.8663E-10
4.70E+04;1.00E+00;4.28E-07;3.40E+01;1.87E-10;;;;3.40E+01;4.2795E-07;1.871E-10
