File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
2.70E+04;1.00E+00;-3.64E-10;-4.00E+00;5.58E-10;;;-4.00E+00;3.6359E-10;5.5751E-10
2.75E+04;1.00E+00;-3.27E-10;-3.00E+00;6.54E-10;;;-3.00E+00;3.2722E-10;6.5369E-10
2.80E+04;1.00E+00;-2.22E-10;-2.00E+00;5.68E-10;;;-2.00E+00;2.2186E-10;5.6849E-10
2.85E+04;1.00E+00;-1.78E-10;-1.00E+00;6.21E-10;;;-1.00E+00;1.7771E-10;6.2143E-10
2.90E+04;1.00E+00;-3.80E-11;0.00E+00;5.88E-10;;;0.00E+00;3.8013E-11;5.8849E-10
2.95E+04;1.00E+00;1.28E-10;1.00E+00;5.82E-10;;;1.00E+00;1.2771E-10;5.8232E-10
3.00E+04;1.00E+00;4.05E-10;2.00E+00;5.71E-10;;;2.00E+00;4.0459E-10;5.7054E-10
3.05E+04;1.00E+00;7.43E-10;3.00E+00;5.32E-10;;;3.00E+00;7.4257E-10;5.3154E-10
3.10E+04;1.00E+00;1.19E-09;4.00E+00;8.70E-10;;;4.00E+00;1.1884E-09;8.6982E-10
3.15E+04;1.00E+00;1.73E-09;5.00E+00;5.02E-10;;;5.00E+00;1.7306E-09;5.0194E-10
3.20E+04;1.00E+00;2.48E-09;6.00E+00;4.69E-10;;;6.00E+00;2.4779E-09;4.6858E-10
3.25E+04;1.00E+00;3.39E-09;7.00E+00;4.50E-10;;;7.00E+00;3.3882E-09;4.4991E-10
3.30E+04;1.00E+00;4.60E-09;8.00E+00;4.14E-10;;;8.00E+00;4.5993E-09;4.1448E-10
3.35E+04;1.00E+00;6.09E-09;9.00E+00;3.57E-10;;;9.00E+00;6.0908E-09;3.5742E-10
3.40E+04;1.00E+00;7.83E-09;1.00E+01;2.86E-10;;;1.00E+01;7.8323E-09;2.8604E-10
3.45E+04;1.00E+00;1.01E-08;1.10E+01;2.31E-10;;;1.10E+01;1.0068E-08;2.3112E-10
3.50E+04;1.00E+00;1.28E-08;1.20E+01;1.86E-10;;;1.20E+01;1.278E-08;1.8555E-10
3.55E+04;1.00E+00;1.61E-08;1.30E+01;1.67E-10;;;1.30E+01;1.6093E-08;1.6701E-10
3.60E+04;1.00E+00;1.98E-08;1.40E+01;1.72E-10;;;1.40E+01;1.9849E-08;1.7223E-10
3.65E+04;1.00E+00;2.42E-08;1.50E+01;2.76E-10;;;1.50E+01;2.4155E-08;2.7601E-10
3.70E+04;1.00E+00;2.90E-08;1.60E+01;4.65E-10;;;1.60E+01;2.8995E-08;4.6456E-10
3.75E+04;1.00E+00;3.44E-08;1.70E+01;5.25E-10;;;1.70E+01;3.4376E-08;5.2494E-10
