File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
2.75E+04;1.00E+00;1.77E-09;-4.00E+00;4.80E-10;;;-4.00E+00;1.7691E-09;4.7965E-10
2.80E+04;1.00E+00;2.36E-09;-3.00E+00;5.07E-10;;;-3.00E+00;2.3577E-09;5.0698E-10
2.85E+04;1.00E+00;3.07E-09;-2.00E+00;6.61E-10;;;-2.00E+00;3.0727E-09;6.6131E-10
2.90E+04;1.00E+00;4.10E-09;-1.00E+00;8.36E-10;;;-1.00E+00;4.0984E-09;8.3575E-10
2.95E+04;1.00E+00;5.10E-09;0.00E+00;9.30E-10;;;0.00E+00;5.0977E-09;9.3003E-10
3.00E+04;1.00E+00;6.30E-09;1.00E+00;8.07E-10;;;1.00E+00;6.2959E-09;8.0715E-10
3.05E+04;1.00E+00;7.91E-09;2.00E+00;9.67E-10;;;2.00E+00;7.9123E-09;9.67E-10
3.10E+04;1.00E+00;9.79E-09;3.00E+00;8.84E-10;;;3.00E+00;9.7929E-09;8.8365E-10
3.15E+04;1.00E+00;1.19E-08;4.00E+00;4.25E-10;;;4.00E+00;1.19E-08;4.2536E-10
3.20E+04;1.00E+00;1.32E-08;5.00E+00;3.13E-10;;;5.00E+00;1.3189E-08;3.1329E-10
3.25E+04;1.00E+00;1.56E-08;6.00E+00;2.44E-10;;;6.00E+00;1.5572E-08;2.4437E-10
3.30E+04;1.00E+00;1.91E-08;7.00E+00;2.11E-10;;;7.00E+00;1.9059E-08;2.1084E-10
3.35E+04;1.00E+00;2.15E-08;8.00E+00;1.97E-10;;;8.00E+00;2.149E-08;1.9685E-10
3.40E+04;1.00E+00;2.49E-08;9.00E+00;1.87E-10;;;9.00E+00;2.4906E-08;1.8692E-10
3.45E+04;1.00E+00;2.85E-08;1.00E+01;1.85E-10;;;1.00E+01;2.8463E-08;1.8455E-10
3.50E+04;1.00E+00;3.35E-08;1.10E+01;1.81E-10;;;1.10E+01;3.3543E-08;1.8127E-10
3.55E+04;1.00E+00;3.88E-08;1.20E+01;1.80E-10;;;1.20E+01;3.8824E-08;1.7981E-10
3.60E+04;1.00E+00;4.48E-08;1.30E+01;1.80E-10;;;1.30E+01;4.4761E-08;1.7978E-10
3.65E+04;1.00E+00;5.40E-08;1.40E+01;1.77E-10;;;1.40E+01;5.3996E-08;1.7709E-10
3.70E+04;1.00E+00;5.99E-08;1.50E+01;1.78E-10;;;1.50E+01;5.9868E-08;1.78E-10
3.75E+04;1.00E+00;6.82E-08;1.60E+01;1.78E-10;;;1.60E+01;6.8214E-08;1.7798E-10
3.80E+04;1.00E+00;7.97E-08;1.70E+01;1.76E-10;;;1.70E+01;7.9665E-08;1.7578E-10
3.85E+04;1.00E+00;8.95E-08;1.80E+01;1.77E-10;;;1.80E+01;8.9472E-08;1.7694E-10
3.90E+04;1.00E+00;9.92E-08;1.90E+01;1.77E-10;;;1.90E+01;9.9223E-08;1.7659E-10
3.95E+04;1.00E+00;1.14E-07;2.00E+01;1.49E-09;;;2.00E+01;1.1376E-07;1.4879E-09
4.00E+04;1.00E+00;1.32E-07;2.10E+01;2.01E-10;;;2.10E+01;1.3241E-07;2.0131E-10
4.05E+04;1.00E+00;1.44E-07;2.20E+01;1.84E-10;;;2.20E+01;1.437E-07;1.8445E-10
4.10E+04;1.00E+00;1.61E-07;2.30E+01;1.85E-10;;;2.30E+01;1.6094E-07;1.8477E-10
4.15E+04;1.00E+00;1.80E-07;2.40E+01;1.85E-10;;;2.40E+01;1.7964E-07;1.8532E-10
