#scan;iMeasureCycle=1;iMux=0;time=0.141;N=210;LocalTime=21/12/2023 09:48:14;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;3.58E-09;0.30112;0;-2.20E-09;0.30112;;;0;2.20103E-09
4.99999;3.09E-09;0.477764;-0.5;-2.25E-09;0.477764;;;-0.5;2.25057E-09
5;2.83E-09;0.653772;-1.00001;-2.30E-09;0.653772;;;-1.00001;2.29765E-09
5;2.65E-09;0.84928;-1.5;-2.35E-09;0.84928;;;-1.5;2.35434E-09
4.99999;2.53E-09;1.025327;-2;-2.42E-09;1.025327;;;-2;2.41705E-09
5;2.45E-09;1.201288;-2.50001;-2.48E-09;1.201288;;;-2.50001;2.47933E-09
5;2.37E-09;1.410685;-3;-2.52E-09;1.410685;;;-3;2.52252E-09
5;2.30E-09;1.586833;-3.5;-2.56E-09;1.586833;;;-3.5;2.56362E-09
4.99999;2.27E-09;1.762917;-4.00001;-2.62E-09;1.762917;;;-4.00001;2.62251E-09
4.99999;2.23E-09;1.938953;-4.5;-2.66E-09;1.938953;;;-4.5;2.66093E-09
4.99999;2.19E-09;2.114944;-5;-2.69E-09;2.114944;;;-5;2.68847E-09
5;2.15E-09;2.290969;-5.5;-2.73E-09;2.290969;;;-5.5;2.73077E-09
4.99999;2.14E-09;2.468123;-6.00001;-2.76E-09;2.468123;;;-6.00001;2.76337E-09
5;2.08E-09;2.644174;-6.50001;-2.78E-09;2.644174;;;-6.50001;2.77851E-09
5;2.07E-09;2.820142;-7.00001;-2.80E-09;2.820142;;;-7.00001;2.80083E-09
5;2.04E-09;3.010488;-7.5;-2.80E-09;3.010488;;;-7.5;2.80223E-09
5;2.02E-09;3.186456;-8.00001;-2.83E-09;3.186456;;;-8.00001;2.83009E-09
5;2.02E-09;3.391203;-8.5;-2.86E-09;3.391203;;;-8.5;2.85526E-09
4.99999;1.95E-09;3.567277;-9;-2.84E-09;3.567277;;;-9;2.8437E-09
5;1.95E-09;3.743257;-9.5;-2.87E-09;3.743257;;;-9.5;2.87258E-09
5;1.97E-09;3.920889;-10;-2.92E-09;3.920889;;;-10;2.92217E-09
5;1.90E-09;4.042156;-10;-2.89E-09;4.042156;;;-10;2.89205E-09
5;1.91E-09;4.218186;-9.5;-2.89E-09;4.218186;;;-9.5;2.88633E-09
4.99999;1.87E-09;4.417397;-9;-2.83E-09;4.417397;;;-9;2.83248E-09
5;1.86E-09;4.593573;-8.50001;-2.82E-09;4.593573;;;-8.50001;2.81566E-09
4.99999;1.82E-09;4.769651;-8;-2.77E-09;4.769651;;;-8;2.76774E-09
5;1.79E-09;4.945747;-7.50001;-2.73E-09;4.945747;;;-7.50001;2.72578E-09
5;1.81E-09;5.121857;-7;-2.70E-09;5.121857;;;-7;2.70352E-09
5;1.79E-09;5.297878;-6.50001;-2.68E-09;5.297878;;;-6.50001;2.67745E-09
5;1.78E-09;5.475876;-6.00001;-2.64E-09;5.475876;;;-6.00001;2.63911E-09
4.99999;1.75E-09;5.652001;-5.5;-2.59E-09;5.652001;;;-5.5;2.58852E-09
5;1.74E-09;5.828043;-5.00001;-2.53E-09;5.828043;;;-5.00001;2.53329E-09
4.99999;1.72E-09;6.018145;-4.5;-2.48E-09;6.018145;;;-4.5;2.4813E-09
5;1.71E-09;6.194084;-4.00001;-2.42E-09;6.194084;;;-4.00001;2.41648E-09
5;1.70E-09;6.403245;-3.50001;-2.36E-09;6.403245;;;-3.50001;2.36359E-09
5;1.68E-09;6.579424;-3;-2.26E-09;6.579424;;;-3;2.26178E-09
5;1.67E-09;6.755375;-2.50001;-2.18E-09;6.755375;;;-2.50001;2.17579E-09
4.99999;1.66E-09;6.931438;-2;-2.07E-09;6.931438;;;-2;2.06768E-09
5;1.65E-09;7.10773;-1.5;-1.93E-09;7.10773;;;-1.5;1.92977E-09
5;1.63E-09;7.283697;-1;-1.76E-09;7.283697;;;-1;1.75622E-09
5;1.62E-09;7.459909;-0.50001;-1.53E-09;7.459909;;;-0.50001;1.52799E-09
5;1.61E-09;7.635971;0;-1.24E-09;7.635971;;;0;1.23783E-09
2.5;1.05E-09;7.811882;0;-8.89E-10;7.811882;;;0;8.8901E-10
2.49999;1.45E-09;7.989856;-0.50001;-6.10E-09;7.989856;;;-0.50001;6.09587E-09
2.49999;1.49E-09;8.159918;-1.00001;-9.66E-09;8.159918;;;-1.00001;9.6637E-09
2.5;1.51E-09;8.330118;-1.5;-1.23E-08;8.330118;;;-1.5;1.22883E-08
2.49999;1.51E-09;8.51854;-2;-1.42E-08;8.51854;;;-2;1.41526E-08
2.49999;1.49E-09;8.688575;-2.5;-1.56E-08;8.688575;;;-2.5;1.55861E-08
2.49999;1.51E-09;8.889013;-3.00001;-1.68E-08;8.889013;;;-3.00001;1.67946E-08
2.49999;1.50E-09;9.059142;-3.5;-1.77E-08;9.059142;;;-3.5;1.77303E-08
2.49999;1.51E-09;9.2292;-4;-1.86E-08;9.2292;;;-4;1.86291E-08
2.49999;1.50E-09;9.428592;-4.50001;-1.93E-08;9.428592;;;-4.50001;1.92791E-08
2.49999;1.49E-09;9.598675;-5;-1.99E-08;9.598675;;;-5;1.98769E-08
2.5;1.48E-09;9.7688;-5.5;-2.05E-08;9.7688;;;-5.5;2.04591E-08
2.5;1.48E-09;9.939022;-6;-2.10E-08;9.939022;;;-6;2.09939E-08
2.5;1.49E-09;10.109377;-6.5;-2.15E-08;10.109377;;;-6.5;2.14648E-08
2.49999;1.46E-09;10.279371;-7;-2.18E-08;10.279371;;;-7;2.18268E-08
2.5;1.46E-09;10.449695;-7.5;-2.23E-08;10.449695;;;-7.5;2.22781E-08
2.49999;1.46E-09;10.619965;-8;-2.26E-08;10.619965;;;-8;2.25882E-08
2.5;1.49E-09;10.790011;-8.5;-2.29E-08;10.790011;;;-8.5;2.29467E-08
2.49999;1.45E-09;10.960028;-9;-2.32E-08;10.960028;;;-9;2.31598E-08
2.49999;1.48E-09;11.130062;-9.5;-2.35E-08;11.130062;;;-9.5;2.34534E-08
2.5;1.44E-09;11.300089;-10.00001;-2.36E-08;11.300089;;;-10.00001;2.36418E-08
2.5;1.45E-09;11.458985;-10.00001;-2.37E-08;11.458985;;;-10.00001;2.36851E-08
2.5;1.39E-09;11.613663;-9.50001;-2.33E-08;11.613663;;;-9.50001;2.33457E-08
2.49999;1.42E-09;11.763465;-9.00001;-2.31E-08;11.763465;;;-9.00001;2.30987E-08
2.5;1.39E-09;11.920133;-8.50001;-2.28E-08;11.920133;;;-8.50001;2.27928E-08
2.5;1.40E-09;12.069956;-8.00001;-2.24E-08;12.069956;;;-8.00001;2.24252E-08
2.5;1.38E-09;12.219683;-7.50001;-2.21E-08;12.219683;;;-7.50001;2.2064E-08
2.5;1.38E-09;12.394527;-7.00001;-2.17E-08;12.394527;;;-7.00001;2.16844E-08
2.49999;1.38E-09;12.544455;-6.50001;-2.13E-08;12.544455;;;-6.50001;2.1265E-08
2.49999;1.40E-09;12.69426;-6.00001;-2.07E-08;12.69426;;;-6.00001;2.07455E-08
2.5;1.34E-09;12.84402;-5.50001;-2.02E-08;12.84402;;;-5.50001;2.01558E-08
2.5;1.35E-09;13.010043;-5.00001;-1.95E-08;13.010043;;;-5.00001;1.95149E-08
2.49999;1.34E-09;13.159832;-4.50001;-1.89E-08;13.159832;;;-4.50001;1.89016E-08
2.5;1.33E-09;13.30972;-4.00001;-1.81E-08;13.30972;;;-4.00001;1.81496E-08
