File Name: 05_Sample12_device3_It_150kV_VDrain1V_VGate40V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 21/11/2023;15:10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);IDrain_without_peaks (A);IGate (A);;;Time_100uA (s);IDrain (A);;;IDrain_fit (A);;delta I (A);;;Time_200uA (s);IDrain (A);Fit (A);delta I (A);;Time_300uA (s);IDrain (A);Fit (A);delta I (A);;Time_400uA (s);IDrain_with_peaks (A);Fit (A);delta I (A);;Time_500uA (s);IDrain_with_peaks (A);Fit (A);delta I (A)
1.11E+05;1.00E+00;9.36E-08;4.00E+01;7.98E-11;;;110.5;9.36E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.11E+05;1.00E+00;9.28E-08;4.00E+01;7.94E-11;;;111;9.28E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.12E+05;1.00E+00;9.23E-08;4.00E+01;7.97E-11;;;111.5;9.23E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.12E+05;1.00E+00;9.14E-08;4.00E+01;7.96E-11;;;112;9.14E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.13E+05;1.00E+00;9.11E-08;4.00E+01;7.96E-11;;;112.5;9.11E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.13E+05;1.00E+00;9.01E-08;4.00E+01;7.95E-11;;;113;9.01E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.14E+05;1.00E+00;8.96E-08;4.00E+01;7.93E-11;;;113.5;8.96E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.14E+05;1.00E+00;8.93E-08;4.00E+01;7.96E-11;;;114;8.93E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.15E+05;1.00E+00;8.87E-08;4.00E+01;7.97E-11;;;114.5;8.87E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.15E+05;1.00E+00;8.84E-08;4.00E+01;8.02E-11;;;115;8.84E-08;8.02E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.16E+05;1.00E+00;8.72E-08;4.00E+01;7.99E-11;;;115.5;8.72E-08;7.99E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.16E+05;1.00E+00;8.73E-08;4.00E+01;7.93E-11;;;116;8.73E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.17E+05;1.00E+00;8.62E-08;4.00E+01;7.97E-11;;;116.5;8.62E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.17E+05;1.00E+00;8.58E-08;4.00E+01;8.04E-11;;;117;8.58E-08;8.04E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.18E+05;1.00E+00;8.48E-08;4.00E+01;7.97E-11;;;117.5;8.48E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.18E+05;1.00E+00;8.40E-08;4.00E+01;7.98E-11;;;118;8.40E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.19E+05;1.00E+00;8.32E-08;4.00E+01;7.98E-11;;;118.5;8.32E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.19E+05;1.00E+00;8.28E-08;4.00E+01;7.97E-11;;;119;8.28E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.20E+05;1.00E+00;8.26E-08;4.00E+01;7.99E-11;;;119.5;8.26E-08;7.99E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.20E+05;1.00E+00;8.15E-08;4.00E+01;7.96E-11;;;120;8.15E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.21E+05;1.00E+00;8.14E-08;4.00E+01;7.97E-11;;;120.5;8.14E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.21E+05;1.00E+00;8.14E-08;4.00E+01;8.00E-11;;;121;8.14E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.22E+05;1.00E+00;8.03E-08;4.00E+01;7.97E-11;;;121.5;8.03E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.22E+05;1.00E+00;7.94E-08;4.00E+01;7.94E-11;;;122;7.94E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.23E+05;1.00E+00;7.90E-08;4.00E+01;7.94E-11;;;122.5;7.90E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.23E+05;1.00E+00;7.83E-08;4.00E+01;7.94E-11;;;123;7.83E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.24E+05;1.00E+00;7.69E-08;4.00E+01;7.95E-11;;;123.5;7.69E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.24E+05;1.00E+00;7.66E-08;4.00E+01;7.98E-11;;;124;7.66E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.25E+05;1.00E+00;7.56E-08;4.00E+01;7.99E-11;;;124.5;7.56E-08;7.99E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.25E+05;1.00E+00;7.55E-08;4.00E+01;8.03E-11;;;125;7.55E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.26E+05;1.00E+00;7.45E-08;4.00E+01;8.03E-11;;;125.5;7.45E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.26E+05;1.00E+00;7.35E-08;4.00E+01;8.03E-11;;;126;7.35E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.27E+05;1.00E+00;7.36E-08;4.00E+01;8.01E-11;;;126.5;7.36E-08;8.01E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.27E+05;1.00E+00;7.26E-08;4.00E+01;8.03E-11;;;127;7.26E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.28E+05;1.00E+00;7.17E-08;4.00E+01;8.00E-11;;;127.5;7.17E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.28E+05;1.00E+00;7.18E-08;4.00E+01;7.99E-11;;;128;7.18E-08;7.99E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.29E+05;1.00E+00;7.10E-08;4.00E+01;8.06E-11;;;128.5;7.10E-08;8.06E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.29E+05;1.00E+00;7.05E-08;4.00E+01;8.07E-11;;;129;7.05E-08;8.07E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.30E+05;1.00E+00;6.98E-08;4.00E+01;8.00E-11;;;129.5;6.98E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.30E+05;1.00E+00;7.00E-08;4.00E+01;8.05E-11;;;130;7.00E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.31E+05;1.00E+00;6.92E-08;4.00E+01;8.03E-11;;;130.5;6.92E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.31E+05;1.00E+00;6.85E-08;4.00E+01;7.98E-11;;;131;6.85E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.32E+05;1.00E+00;6.76E-08;4.00E+01;7.94E-11;;;131.5;6.76E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.32E+05;1.00E+00;6.74E-08;4.00E+01;7.93E-11;;;132;6.74E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.33E+05;1.00E+00;6.69E-08;4.00E+01;7.96E-11;;;132.5;6.69E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.33E+05;1.00E+00;6.62E-08;4.00E+01;7.93E-11;;;133;6.62E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.34E+05;1.00E+00;6.68E-08;4.00E+01;7.89E-11;;;133.5;6.68E-08;7.89E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.34E+05;1.00E+00;6.57E-08;4.00E+01;7.91E-11;;;134;6.57E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.35E+05;1.00E+00;6.53E-08;4.00E+01;7.95E-11;;;134.5;6.53E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.35E+05;1.00E+00;6.44E-08;4.00E+01;7.89E-11;;;135;6.44E-08;7.89E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.36E+05;1.00E+00;6.38E-08;4.00E+01;7.86E-11;;;135.5;6.38E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.36E+05;1.00E+00;6.32E-08;4.00E+01;7.92E-11;;;136;6.32E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.37E+05;1.00E+00;6.27E-08;4.00E+01;7.88E-11;;;136.5;6.27E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.37E+05;1.00E+00;6.25E-08;4.00E+01;7.87E-11;;;137;6.25E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.38E+05;1.00E+00;6.24E-08;4.00E+01;7.87E-11;;;137.5;6.24E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.38E+05;1.00E+00;6.16E-08;4.00E+01;7.86E-11;;;138;6.16E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.39E+05;1.00E+00;6.13E-08;4.00E+01;7.83E-11;;;138.5;6.13E-08;7.83E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.39E+05;1.00E+00;6.07E-08;4.00E+01;7.98E-11;;;139;6.07E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.40E+05;1.00E+00;6.05E-08;4.00E+01;8.00E-11;;;139.5;6.05E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.40E+05;1.00E+00;5.99E-08;4.00E+01;7.98E-11;;;140;5.99E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.41E+05;1.00E+00;6.02E-08;4.00E+01;7.97E-11;;;140.5;6.02E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.41E+05;1.00E+00;5.94E-08;4.00E+01;7.96E-11;;;141;5.94E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.42E+05;1.00E+00;5.90E-08;4.00E+01;8.01E-11;;;141.5;5.90E-08;8.01E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.42E+05;1.00E+00;5.83E-08;4.00E+01;8.00E-11;;;142;5.83E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.43E+05;1.00E+00;5.81E-08;4.00E+01;8.05E-11;;;142.5;5.81E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.43E+05;1.00E+00;5.70E-08;4.00E+01;8.00E-11;;;143;5.70E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.44E+05;1.00E+00;5.67E-08;4.00E+01;7.91E-11;;;143.5;5.67E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.44E+05;1.00E+00;5.60E-08;4.00E+01;8.00E-11;;;144;5.60E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.45E+05;1.00E+00;5.53E-08;4.00E+01;7.97E-11;;;144.5;5.53E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.45E+05;1.00E+00;5.51E-08;4.00E+01;7.97E-11;;;145;5.51E-08;7.97E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.46E+05;1.00E+00;5.48E-08;4.00E+01;7.99E-11;;;145.5;5.48E-08;7.99E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.46E+05;1.00E+00;5.46E-08;4.00E+01;7.92E-11;;;146;5.46E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.47E+05;1.00E+00;5.45E-08;4.00E+01;7.90E-11;;;146.5;5.45E-08;7.9E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.47E+05;1.00E+00;5.40E-08;4.00E+01;7.86E-11;;;147;5.40E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.48E+05;1.00E+00;5.37E-08;4.00E+01;7.84E-11;;;147.5;5.37E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.48E+05;1.00E+00;5.29E-08;4.00E+01;7.84E-11;;;148;5.29E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.49E+05;1.00E+00;5.28E-08;4.00E+01;7.84E-11;;;148.5;5.28E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.49E+05;1.00E+00;5.24E-08;4.00E+01;7.84E-11;;;149;5.24E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.50E+05;1.00E+00;5.26E-08;4.00E+01;7.86E-11;;;149.5;5.26E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.50E+05;1.00E+00;5.27E-08;4.00E+01;7.83E-11;;;150;5.27E-08;7.83E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.51E+05;1.00E+00;5.17E-08;4.00E+01;7.90E-11;;;150.5;5.17E-08;7.9E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.51E+05;1.00E+00;5.12E-08;4.00E+01;7.84E-11;;;151;5.12E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.52E+05;1.00E+00;5.05E-08;4.00E+01;7.89E-11;;;151.5;5.05E-08;7.89E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.52E+05;1.00E+00;5.04E-08;4.00E+01;7.86E-11;;;152;5.04E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.53E+05;1.00E+00;4.96E-08;4.00E+01;7.83E-11;;;152.5;4.96E-08;7.83E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.53E+05;1.00E+00;4.92E-08;4.00E+01;7.88E-11;;;153;4.92E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.54E+05;1.00E+00;4.90E-08;4.00E+01;7.84E-11;;;153.5;4.90E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.54E+05;1.00E+00;4.87E-08;4.00E+01;7.88E-11;;;154;4.87E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.55E+05;1.00E+00;4.83E-08;4.00E+01;7.88E-11;;;154.5;4.83E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.55E+05;1.00E+00;4.80E-08;4.00E+01;7.88E-11;;;155;4.80E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.56E+05;1.00E+00;4.79E-08;4.00E+01;7.77E-11;;;155.5;4.79E-08;7.77E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.56E+05;1.00E+00;4.72E-08;4.00E+01;7.84E-11;;;156;4.72E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.57E+05;1.00E+00;4.64E-08;4.00E+01;7.82E-11;;;156.5;4.64E-08;7.82E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.57E+05;1.00E+00;4.59E-08;4.00E+01;7.87E-11;;;157;4.59E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.58E+05;1.00E+00;4.58E-08;4.00E+01;7.87E-11;;;157.5;4.58E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.58E+05;1.00E+00;4.56E-08;4.00E+01;7.89E-11;;;158;4.56E-08;7.89E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.59E+05;1.00E+00;4.57E-08;4.00E+01;7.85E-11;;;158.5;4.57E-08;7.85E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.59E+05;1.00E+00;4.53E-08;4.00E+01;7.85E-11;;;159;4.53E-08;7.85E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.60E+05;1.00E+00;4.46E-08;4.00E+01;7.82E-11;;;159.5;4.46E-08;7.82E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.60E+05;1.00E+00;4.49E-08;4.00E+01;7.81E-11;;;160;4.49E-08;7.81E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.61E+05;1.00E+00;4.43E-08;4.00E+01;7.85E-11;;;160.5;4.43E-08;7.85E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.61E+05;1.00E+00;4.41E-08;4.00E+01;7.82E-11;;;161;4.41E-08;7.82E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.62E+05;1.00E+00;4.33E-08;4.00E+01;7.84E-11;;;161.5;4.33E-08;7.84E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.62E+05;1.00E+00;4.31E-08;4.00E+01;7.85E-11;;;162;4.31E-08;7.85E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.63E+05;1.00E+00;4.25E-08;4.00E+01;7.87E-11;;;162.5;4.25E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.63E+05;1.00E+00;4.29E-08;4.00E+01;7.95E-11;;;163;4.29E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.64E+05;1.00E+00;4.23E-08;4.00E+01;7.91E-11;;;163.5;4.23E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.64E+05;1.00E+00;4.20E-08;4.00E+01;7.90E-11;;;164;4.20E-08;7.9E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.65E+05;1.00E+00;4.20E-08;4.00E+01;7.92E-11;;;164.5;4.20E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.65E+05;1.00E+00;4.18E-08;4.00E+01;7.89E-11;;;165;4.18E-08;7.89E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.66E+05;1.00E+00;4.12E-08;4.00E+01;7.85E-11;;;165.5;4.12E-08;7.85E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.66E+05;1.00E+00;4.12E-08;4.00E+01;7.90E-11;;;166;4.12E-08;7.9E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.67E+05;1.00E+00;4.08E-08;4.00E+01;7.95E-11;;;166.5;4.08E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.67E+05;1.00E+00;4.05E-08;4.00E+01;8.00E-11;;;167;4.05E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.68E+05;1.00E+00;4.00E-08;4.00E+01;8.00E-11;;;167.5;4.00E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.68E+05;1.00E+00;4.00E-08;4.00E+01;8.03E-11;;;168;4.00E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.69E+05;1.00E+00;3.96E-08;4.00E+01;8.05E-11;;;168.5;3.96E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.69E+05;1.00E+00;3.91E-08;4.00E+01;8.00E-11;;;169;3.91E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.70E+05;1.00E+00;3.90E-08;4.00E+01;8.04E-11;;;169.5;3.90E-08;8.04E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.70E+05;1.00E+00;3.86E-08;4.00E+01;8.05E-11;;;170;3.86E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.71E+05;1.00E+00;3.80E-08;4.00E+01;8.05E-11;;;170.5;3.80E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.71E+05;1.00E+00;3.81E-08;4.00E+01;8.01E-11;;;171;3.81E-08;8.01E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.72E+05;1.00E+00;3.72E-08;4.00E+01;8.06E-11;;;171.5;3.72E-08;8.06E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.72E+05;1.00E+00;3.70E-08;4.00E+01;8.05E-11;;;172;3.70E-08;8.05E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.73E+05;1.00E+00;3.67E-08;4.00E+01;8.06E-11;;;172.5;3.67E-08;8.06E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.73E+05;1.00E+00;3.63E-08;4.00E+01;8.07E-11;;;173;3.63E-08;8.07E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.74E+05;1.00E+00;3.65E-08;4.00E+01;8.10E-11;;;173.5;3.65E-08;8.1E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.74E+05;1.00E+00;3.60E-08;4.00E+01;8.08E-11;;;174;3.60E-08;8.08E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.75E+05;1.00E+00;3.54E-08;4.00E+01;8.16E-11;;;174.5;3.54E-08;8.16E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.75E+05;1.00E+00;3.52E-08;4.00E+01;8.06E-11;;;175;3.52E-08;8.06E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.76E+05;1.00E+00;3.50E-08;4.00E+01;8.13E-11;;;175.5;3.50E-08;8.13E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.76E+05;1.00E+00;3.47E-08;4.00E+01;8.07E-11;;;176;3.47E-08;8.07E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.77E+05;1.00E+00;3.47E-08;4.00E+01;7.98E-11;;;176.5;3.47E-08;7.98E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.77E+05;1.00E+00;3.45E-08;4.00E+01;8.03E-11;;;177;3.45E-08;8.03E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.78E+05;1.00E+00;3.45E-08;4.00E+01;7.93E-11;;;177.5;3.45E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.78E+05;1.00E+00;3.38E-08;4.00E+01;7.96E-11;;;178;3.38E-08;7.96E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.79E+05;1.00E+00;3.38E-08;4.00E+01;7.94E-11;;;178.5;3.38E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.79E+05;1.00E+00;3.37E-08;4.00E+01;7.93E-11;;;179;3.37E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.80E+05;1.00E+00;3.32E-08;4.00E+01;7.95E-11;;;179.5;3.32E-08;7.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.80E+05;1.00E+00;3.28E-08;4.00E+01;7.91E-11;;;180;3.28E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.81E+05;1.00E+00;3.27E-08;4.00E+01;7.92E-11;;;180.5;3.27E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.81E+05;1.00E+00;3.28E-08;4.00E+01;7.92E-11;;;181;3.28E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.82E+05;1.00E+00;3.23E-08;4.00E+01;7.93E-11;;;181.5;3.23E-08;7.93E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.82E+05;1.00E+00;3.17E-08;4.00E+01;8.00E-11;;;182;3.17E-08;8E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.83E+05;1.00E+00;3.19E-08;4.00E+01;7.94E-11;;;182.5;3.19E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.83E+05;1.00E+00;3.16E-08;4.00E+01;7.91E-11;;;183;3.16E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.84E+05;1.00E+00;3.03E-08;4.00E+01;7.94E-11;;;183.5;3.03E-08;7.94E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.84E+05;1.00E+00;3.04E-08;4.00E+01;7.91E-11;;;184;3.04E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.85E+05;1.00E+00;3.00E-08;4.00E+01;7.91E-11;;;184.5;3.00E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.85E+05;1.00E+00;3.01E-08;4.00E+01;7.91E-11;;;185;3.01E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.86E+05;1.00E+00;2.98E-08;4.00E+01;7.87E-11;;;185.5;2.98E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.86E+05;1.00E+00;2.93E-08;4.00E+01;7.87E-11;;;186;2.93E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.87E+05;1.00E+00;2.91E-08;4.00E+01;7.91E-11;;;186.5;2.91E-08;7.91E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.87E+05;1.00E+00;2.91E-08;4.00E+01;7.86E-11;;;187;2.91E-08;7.86E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.88E+05;1.00E+00;2.91E-08;4.00E+01;7.88E-11;;;187.5;2.91E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.88E+05;1.00E+00;2.87E-08;4.00E+01;7.88E-11;;;188;2.87E-08;7.88E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.89E+05;1.00E+00;2.86E-08;4.00E+01;7.92E-11;;;188.5;2.86E-08;7.92E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.89E+05;1.00E+00;2.83E-08;4.00E+01;7.87E-11;;;189;2.83E-08;7.87E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
