#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:19:15;;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;
-60;-6.73E-09;0.303608;1.000001;5.55E-09;0.303608;;;7.45E-05;;;5.55E-09;6.73E-09
-59.5001;-3.58E-09;0.480577;1.000001;2.59E-09;0.480577;;;5.09E-05;;;2.59E-09;3.58E-09
-59.0001;-2.81E-09;0.657193;0.999999;1.93E-09;0.657193;;;4.39E-05;;;1.93E-09;2.81E-09
-58.5;-2.34E-09;0.851207;0.999999;1.56E-09;0.851207;;;3.95E-05;;;1.56E-09;2.34E-09
-58;-2.04E-09;1.028798;0.999999;1.33E-09;1.028798;;;3.65E-05;;;1.33E-09;2.04E-09
-57.5;-1.79E-09;1.20567;0.999999;1.15E-09;1.20567;;;3.39E-05;;;1.15E-09;1.79E-09
-57;-1.59E-09;1.417075;0.999999;1.01E-09;1.417075;;;3.18E-05;;;1.01E-09;1.59E-09
-56.5001;-1.44E-09;1.593632;0.999999;8.87E-10;1.593632;;;2.98E-05;;;8.87E-10;1.44E-09
-56;-1.31E-09;1.770236;0.999999;7.90E-10;1.770236;;;2.81E-05;;;7.9E-10;1.31E-09
-55.5;-1.17E-09;1.946779;1;6.83E-10;1.946779;;;2.61E-05;;;6.83E-10;1.17E-09
-55;-1.05E-09;2.123336;0.999999;6.02E-10;2.123336;;;2.45E-05;;;6.02E-10;1.05E-09
-54.5001;-9.89E-10;2.299859;0.999999;5.54E-10;2.299859;;;2.35E-05;;;5.54E-10;9.89E-10
-54.0001;-9.00E-10;2.476437;0.999999;4.81E-10;2.476437;;;2.19E-05;;;4.81E-10;9E-10
-53.5001;-8.30E-10;2.653254;0.999999;4.19E-10;2.653254;;;2.05E-05;;;4.19E-10;8.3E-10
-53.0001;-7.45E-10;2.829792;1;3.63E-10;2.829792;;;1.91E-05;;;3.63E-10;7.45E-10
-52.5001;-6.94E-10;3.013372;0.999999;3.21E-10;3.013372;;;1.79E-05;;;3.21E-10;6.94E-10
-52;-6.13E-10;3.189857;1;2.75E-10;3.189857;;;1.66E-05;;;2.75E-10;6.13E-10
-51.5;-5.66E-10;3.395192;0.999999;2.31E-10;3.395192;;;1.52E-05;;;2.31E-10;5.66E-10
-51.0001;-5.10E-10;3.571957;0.999999;1.91E-10;3.571957;;;1.38E-05;;;1.91E-10;5.1E-10
-50.5001;-4.49E-10;3.748474;0.999999;1.58E-10;3.748474;;;1.26E-05;;;1.58E-10;4.49E-10
-50;-4.11E-10;3.929843;0.999999;1.28E-10;3.929843;;;1.13E-05;;;1.28E-10;4.11E-10
-49.5001;-3.72E-10;4.106348;1;1.06E-10;4.106348;;;1.03E-05;;;1.06E-10;3.72E-10
-49;-3.12E-10;4.282891;0.999999;7.78E-11;4.282891;;;8.82E-06;;;7.78E-11;3.12E-10
-48.5001;-2.91E-10;4.460795;1;6.70E-11;4.460795;;;8.19E-06;;;6.7E-11;2.91E-10
-48;-2.66E-10;4.637389;1;7.07E-11;4.637389;;;8.41E-06;;;7.07E-11;2.66E-10
-47.5;-2.36E-10;4.813842;1;8.90E-11;4.813842;;;9.43E-06;;;8.9E-11;2.36E-10
-47;-2.14E-10;4.992376;1;1.34E-10;4.992376;;;1.16E-05;;;1.34E-10;2.14E-10
-46.5001;-1.84E-10;5.168879;0.999999;2.03E-10;5.168879;;;1.42E-05;;;2.03E-10;1.84E-10
-46;-1.75E-10;5.36384;0.999999;3.43E-10;5.36384;;;1.85E-05;;;3.43E-10;1.75E-10
-45.5001;-1.43E-10;5.540394;0.999999;5.68E-10;5.540394;;;2.38E-05;;;5.68E-10;1.43E-10
-45.0001;-1.20E-10;5.716964;0.999999;9.72E-10;5.716964;;;3.12E-05;;;9.72E-10;1.2E-10
-44.5001;-1.28E-10;5.927573;1.000001;1.54E-09;5.927573;;;3.92E-05;;;1.54E-09;1.28E-10
-44.0001;-9.95E-11;6.104064;1;2.55E-09;6.104064;;;5.05E-05;;;2.55E-09;9.95E-11
-43.5;-7.35E-11;6.280625;1.000001;4.18E-09;6.280625;;;6.47E-05;;;4.18E-09;7.35E-11
-43.0001;-4.13E-11;6.457082;1.000001;6.33E-09;6.457082;;;7.96E-05;;;6.33E-09;4.13E-11
-42.5;-3.66E-11;6.627677;1.000001;9.35E-09;6.627677;;;9.67E-05;;;9.35E-09;3.66E-11
-42.0001;-4.27E-12;6.777899;1.000001;1.30E-08;6.777899;;;0.000114018;;;0.000000013;4.27E-12
-41.5001;2.30E-11;6.928124;1.000001;1.71E-08;6.928124;;;0.000130767;;;1.71E-08;2.3E-11
-41;6.23E-11;7.078316;1.000001;2.13E-08;7.078316;;;0.000145945;;;2.13E-08;6.23E-11
-40.5001;7.64E-11;7.228621;1.000001;2.57E-08;7.228621;;;0.000160312;;;2.57E-08;7.64E-11
-40.0001;8.36E-11;7.407916;1;3.06E-08;7.407916;;;0.000174929;;;3.06E-08;8.36E-11
-39.5001;1.17E-10;7.558241;1;3.61E-08;7.558241;;;0.00019;;;3.61E-08;1.17E-10
-39.0001;1.33E-10;7.708616;1.000002;4.27E-08;7.708616;;;0.00020664;;;4.27E-08;1.33E-10
-38.5;1.29E-10;7.887243;1;4.97E-08;7.887243;;;0.000222935;;;4.97E-08;1.29E-10
-38;1.51E-10;8.037321;1.000002;5.77E-08;8.037321;;;0.000240208;;;5.77E-08;1.51E-10
-37.5;1.70E-10;8.187318;0.999999;6.73E-08;8.187318;;;0.000259422;;;6.73E-08;1.7E-10
-37;1.85E-10;8.337442;1;7.82E-08;8.337442;;;0.000279643;;;7.82E-08;1.85E-10
-36.5;1.94E-10;8.501839;1;9.05E-08;8.501839;;;0.000300832;;;9.05E-08;1.94E-10
-36.0001;2.13E-10;8.657974;1;1.04E-07;8.657974;;;0.00032249;;;0.000000104;2.13E-10
-35.5001;2.30E-10;8.808012;1;1.20E-07;8.808012;;;0.00034641;;;0.00000012;2.3E-10
-35;2.43E-10;8.958161;1;1.37E-07;8.958161;;;0.000370135;;;0.000000137;2.43E-10
-34.5001;2.65E-10;9.10838;1;1.58E-07;9.10838;;;0.000397492;;;0.000000158;2.65E-10
-34;2.78E-10;9.258454;1;1.80E-07;9.258454;;;0.000424264;;;0.00000018;2.78E-10
-33.5001;2.89E-10;9.413785;1;2.06E-07;9.413785;;;0.000453872;;;0.000000206;2.89E-10
-33;3.05E-10;9.563936;1;2.36E-07;9.563936;;;0.000485798;;;0.000000236;3.05E-10
-32.5;3.17E-10;9.713921;1;2.68E-07;9.713921;;;0.000517687;;;0.000000268;3.17E-10
-32;3.13E-10;9.888137;1;3.04E-07;9.888137;;;0.000551362;;;0.000000304;3.13E-10
-31.5;3.33E-10;10.038196;1;3.45E-07;10.038196;;;0.000587367;;;0.000000345;3.33E-10
-31;3.47E-10;10.188212;1;3.90E-07;10.188212;;;0.0006245;;;0.00000039;3.47E-10
-30.5001;3.55E-10;10.338255;1;4.42E-07;10.338255;;;0.000664831;;;0.000000442;3.55E-10
-30.0001;3.60E-10;10.506894;1;4.95E-07;10.506894;;;0.000703562;;;0.000000495;3.6E-10
-29.5001;3.63E-10;10.657102;1;5.57E-07;10.657102;;;0.000746324;;;0.000000557;3.63E-10
-29.0001;3.72E-10;10.807113;1;6.28E-07;10.807113;;;0.000792465;;;0.000000628;3.72E-10
-28.5001;3.90E-10;10.957214;1;7.00E-07;10.957214;;;0.00083666;;;0.0000007;3.9E-10
-28;4.03E-10;11.107777;1;7.81E-07;11.107777;;;0.000883742;;;0.000000781;4.03E-10
-27.5001;4.09E-10;11.257845;1;8.74E-07;11.257845;;;0.00093488;;;0.000000874;4.09E-10
-27.0001;4.08E-10;11.417908;1;9.72E-07;11.417908;;;0.000985901;;;0.000000972;4.08E-10
-26.5001;4.15E-10;11.571334;1;1.08E-06;11.571334;;;0.00103923;;;0.00000108;4.15E-10
-26.0001;4.36E-10;11.721371;1;1.20E-06;11.721371;;;0.001095445;;;0.0000012;4.36E-10
-25.5001;4.28E-10;11.893201;1;1.32E-06;11.893201;;;0.001148913;;;0.00000132;4.28E-10
-25;4.48E-10;12.043235;1;1.46E-06;12.043235;;;0.001208305;;;0.00000146;4.48E-10
-24.5001;4.69E-10;12.193168;1;1.61E-06;12.193168;;;0.001268858;;;0.00000161;4.69E-10
-24.0001;4.74E-10;12.343187;1;1.77E-06;12.343187;;;0.001330413;;;0.00000177;4.74E-10
-23.5;4.86E-10;12.512889;1;1.93E-06;12.512889;;;0.001389244;;;0.00000193;4.86E-10
-23.0001;4.99E-10;12.662899;1;2.12E-06;12.662899;;;0.001456022;;;0.00000212;4.99E-10
-22.5;5.20E-10;12.812849;1;2.31E-06;12.812849;;;0.001519868;;;0.00000231;5.2E-10
-22;5.22E-10;12.962838;1;2.52E-06;12.962838;;;0.001587451;;;0.00000252;5.22E-10
-21.5001;5.42E-10;13.112934;1;2.75E-06;13.112934;;;0.001658312;;;0.00000275;5.42E-10
-21.0001;5.66E-10;13.262932;1;2.99E-06;13.262932;;;0.001729162;;;0.00000299;5.66E-10
-20.5001;5.79E-10;13.422966;1;3.23E-06;13.422966;;;0.00179722;;;0.00000323;5.79E-10
-20;5.94E-10;13.572996;1;3.50E-06;13.572996;;;0.001870829;;;0.0000035;5.94E-10
-19.5;6.20E-10;13.723094;1;3.79E-06;13.723094;;;0.001946792;;;0.00000379;6.2E-10
-19.0001;6.12E-10;13.89843;1;4.07E-06;13.89843;;;0.002017424;;;0.00000407;6.12E-10
-18.5001;6.22E-10;14.048329;1;4.39E-06;14.048329;;;0.002095233;;;0.00000439;6.22E-10
-18;6.44E-10;14.1981;1;4.71E-06;14.1981;;;0.002170253;;;0.00000471;6.44E-10
