#scan;iMeasureCycle=1;iMux=0;time=0.137;N=482;LocalTime=31/10/2023 16:29:15;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;;;
-60.0001;-6.29E-09;0.297664;0.0999994;4.91E-09;0.297664;;;;;4.91E-09;6.29E-09
-59.5001;-6.47E-09;0.474577;0.0999999;5.40E-09;0.474577;;;;;5.4E-09;6.47E-09
-59;-5.68E-09;0.651124;0.1000006;4.83E-09;0.651124;;;;;4.83E-09;5.68E-09
-58.5;-4.65E-09;0.845497;0.0999999;3.91E-09;0.845497;;;;;3.91E-09;4.65E-09
-58;-3.76E-09;1.022269;0.1000002;3.10E-09;1.022269;;;;;3.1E-09;3.76E-09
-57.5;-2.99E-09;1.198863;0.1000002;2.42E-09;1.198863;;;;;2.42E-09;2.99E-09
-57;-2.38E-09;1.4134;0.1000001;1.84E-09;1.4134;;;;;1.84E-09;2.38E-09
-56.5001;-2.02E-09;1.58998;0.1;1.52E-09;1.58998;;;;;1.52E-09;2.02E-09
-56.0001;-1.72E-09;1.766514;0.1000002;1.26E-09;1.766514;;;;;1.26E-09;1.72E-09
-55.5001;-1.50E-09;1.943148;0.1;1.06E-09;1.943148;;;;;1.06E-09;1.5E-09
-55.0001;-1.32E-09;2.119759;0.1000001;8.94E-10;2.119759;;;;;8.94E-10;1.32E-09
-54.5;-1.17E-09;2.296212;0.0999997;7.61E-10;2.296212;;;;;7.61E-10;1.17E-09
-54.0001;-1.03E-09;2.472954;0.1;6.49E-10;2.472954;;;;;6.49E-10;1.03E-09
-53.5;-9.09E-10;2.64946;0.1;5.54E-10;2.64946;;;;;5.54E-10;9.09E-10
-53.0001;-8.02E-10;2.825886;0.1000002;4.70E-10;2.825886;;;;;4.7E-10;8.02E-10
-52.5;-7.27E-10;3.007699;0.1000001;4.01E-10;3.007699;;;;;4.01E-10;7.27E-10
-52.0001;-6.47E-10;3.18414;0.1000002;3.40E-10;3.18414;;;;;3.4E-10;6.47E-10
-51.5;-5.61E-10;3.389571;0.1;2.70E-10;3.389571;;;;;2.7E-10;5.61E-10
-51;-5.00E-10;3.566429;0.0999999;2.24E-10;3.566429;;;;;2.24E-10;5E-10
-50.5001;-4.43E-10;3.74297;0.0999998;1.81E-10;3.74297;;;;;1.81E-10;4.43E-10
-50;-3.97E-10;3.923823;0.1000001;1.45E-10;3.923823;;;;;1.45E-10;3.97E-10
-49.5;-3.48E-10;4.100384;0.1;1.14E-10;4.100384;;;;;1.14E-10;3.48E-10
-49;-3.05E-10;4.276846;0.0999999;8.59E-11;4.276846;;;;;8.59E-11;3.05E-10
-48.5;-2.75E-10;4.455112;0.1;6.09E-11;4.455112;;;;;6.09E-11;2.75E-10
-48;9.40E-11;4.631535;0.1000002;-2.91E-10;4.631535;;;;;2.91E-10;9.4E-11
-47.5001;-1.06E-10;4.808016;0.1;-6.73E-11;4.808016;;;;;6.73E-11;1.06E-10
-47;-1.26E-10;4.986324;0.1;-3.96E-11;4.986324;;;;;3.96E-11;1.26E-10
-46.5;-1.28E-10;5.162715;0.0999998;-3.33E-11;5.162715;;;;;3.33E-11;1.28E-10
-46;-1.05E-10;5.358326;0.0999998;-2.93E-11;5.358326;;;;;2.93E-11;1.05E-10
-45.5001;-8.61E-11;5.534866;0.1000002;-2.07E-11;5.534866;;;;;2.07E-11;8.61E-11
-45;-7.73E-11;5.71134;0.0999999;-2.36E-12;5.71134;;;;;2.36E-12;7.73E-11
-44.5001;-6.23E-11;5.926262;0.0999999;2.80E-11;5.926262;;;;;2.8E-11;6.23E-11
-44;-5.24E-11;6.102654;0.1000001;8.95E-11;6.102654;;;;;8.95E-11;5.24E-11
-43.5;-2.82E-11;6.2792;0.0999998;1.77E-10;6.2792;;;;;1.77E-10;2.82E-11
-43.0001;-1.32E-11;6.455566;0.0999999;3.36E-10;6.455566;;;;;3.36E-10;1.32E-11
-42.5001;7.27E-12;6.631987;0.1;5.78E-10;6.631987;;;;;5.78E-10;7.27E-12
-42;2.18E-11;6.808496;0.1000001;9.50E-10;6.808496;;;;;9.5E-10;2.18E-11
-41.5001;2.45E-11;6.987495;0.0999999;1.54E-09;6.987495;;;;;1.54E-09;2.45E-11
-41.0001;3.88E-11;7.163979;0.1000004;2.37E-09;7.163979;;;;;2.37E-09;3.88E-11
-40.5;4.28E-11;7.36396;0.1;3.56E-09;7.36396;;;;;3.56E-09;4.28E-11
-40;6.54E-11;7.54039;0.1000007;5.33E-09;7.54039;;;;;5.33E-09;6.54E-11
-39.5;8.35E-11;7.716834;0.1000005;7.68E-09;7.716834;;;;;7.68E-09;8.35E-11
-39.0001;8.17E-11;7.92571;0.0999999;1.04E-08;7.92571;;;;;1.04E-08;8.17E-11
-38.5;1.25E-10;8.075832;0.1000008;1.42E-08;8.075832;;;;;1.42E-08;1.25E-10
-38;1.51E-10;8.225868;0.1000015;1.89E-08;8.225868;;;;;1.89E-08;1.51E-10
-37.5;1.44E-10;8.409688;0.1000002;2.39E-08;8.409688;;;;;2.39E-08;1.44E-10
-37.0001;1.72E-10;8.559801;0.100001;3.01E-08;8.559801;;;;;3.01E-08;1.72E-10
-36.5;1.99E-10;8.709982;0.1000013;3.72E-08;8.709982;;;;;3.72E-08;1.99E-10
-36;1.86E-10;8.894432;0.1000007;4.50E-08;8.894432;;;;;0.000000045;1.86E-10
-35.5;2.07E-10;9.044541;0.1000003;5.40E-08;9.044541;;;;;0.000000054;2.07E-10
