#scan;iMeasureCycle=1;iMux=0;time=0.144;N=210;LocalTime=20/12/2023 14:15:42;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
2.49999;5.64E-10;11.541356;-10;-2.65E-10;11.541356;;;-10;2.6493E-10
2.5;5.59E-10;11.717495;-9.50001;-2.59E-10;11.717495;;;-9.50001;2.5932E-10
2.5;5.53E-10;11.917666;-9.00001;-2.54E-10;11.917666;;;-9.00001;2.5383E-10
2.5;5.52E-10;12.093757;-8.49999;-2.51E-10;12.093757;;;-8.49999;2.5122E-10
2.49999;5.52E-10;12.269851;-8.00001;-2.52E-10;12.269851;;;-8.00001;2.5158E-10
2.49999;5.48E-10;12.45088;-7.50001;-2.47E-10;12.45088;;;-7.50001;2.4691E-10
2.5;5.46E-10;12.627026;-7;-2.44E-10;12.627026;;;-7;2.4416E-10
2.49999;5.44E-10;12.802997;-6.5;-2.43E-10;12.802997;;;-6.5;2.426E-10
2.49999;5.40E-10;12.979045;-6;-2.39E-10;12.979045;;;-6;2.3868E-10
2.5;5.38E-10;13.15513;-5.50001;-2.36E-10;13.15513;;;-5.50001;2.3607E-10
2.49999;5.35E-10;13.331192;-5;-2.33E-10;13.331192;;;-5;2.3326E-10
2.5;5.36E-10;13.507795;-4.5;-2.32E-10;13.507795;;;-4.5;2.3187E-10
2.49999;5.32E-10;13.683869;-4;-2.27E-10;13.683869;;;-4;2.271E-10
2.5;5.29E-10;13.859944;-3.50001;-2.24E-10;13.859944;;;-3.50001;2.2428E-10
2.5;5.25E-10;14.042997;-3;-2.19E-10;14.042997;;;-3;2.1921E-10
2.49999;5.23E-10;14.21895;-2.49999;-2.17E-10;14.21895;;;-2.49999;2.1697E-10
2.49999;5.23E-10;14.423666;-2;-2.14E-10;14.423666;;;-2;2.1388E-10
2.5;5.17E-10;14.59984;-1.50001;-2.07E-10;14.59984;;;-1.50001;2.0729E-10
2.5;5.16E-10;14.775991;-1;-2.03E-10;14.775991;;;-1;2.0314E-10
2.5;5.13E-10;14.957567;-0.50001;-1.97E-10;14.957567;;;-0.50001;1.9737E-10
2.49999;5.04E-10;15.13353;-1.00E-05;-1.88E-10;15.13353;;;-1.00E-05;1.8792E-10
-3.00E-07;-5.43E-10;15.309616;0;1.37E-09;15.309616;;;0;1.3665E-09
8.00E-07;3.48E-11;15.465393;-0.5;-5.23E-07;15.465393;;;-0.5;5.23171E-07
7.00E-07;4.38E-10;15.621059;-1;-6.72E-07;15.621059;;;-1;6.72242E-07
3.00E-07;4.10E-10;15.776775;-1.5;-7.31E-07;15.776775;;;-1.5;7.31476E-07
2.00E-07;3.05E-10;15.942509;-2;-7.63E-07;15.942509;;;-2;7.62894E-07
4.00E-07;2.49E-10;16.098228;-2.5;-7.84E-07;16.098228;;;-2.5;7.83787E-07
4.00E-07;2.17E-10;16.253871;-3;-8.00E-07;16.253871;;;-3;7.9955E-07
4.00E-07;1.90E-10;16.440669;-3.5;-8.12E-07;16.440669;;;-3.5;8.12062E-07
4.00E-07;1.78E-10;16.596399;-4;-8.23E-07;16.596399;;;-4;8.22608E-07
5.00E-07;1.70E-10;16.75194;-4.5;-8.32E-07;16.75194;;;-4.5;8.3226E-07
2.00E-07;1.60E-10;16.941956;-5;-8.41E-07;16.941956;;;-5;8.40684E-07
3.00E-07;1.58E-10;17.09768;-5.5;-8.48E-07;17.09768;;;-5.5;8.48207E-07
5.00E-07;1.54E-10;17.253338;-6;-8.55E-07;17.253338;;;-6;8.55083E-07
4.00E-07;1.49E-10;17.439062;-6.5;-8.62E-07;17.439062;;;-6.5;8.6178E-07
5.00E-07;1.47E-10;17.594777;-7;-8.68E-07;17.594777;;;-7;8.67768E-07
3.00E-07;1.44E-10;17.747905;-7.5;-8.74E-07;17.747905;;;-7.5;8.7385E-07
1.00E-07;1.39E-10;17.935033;-8;-8.79E-07;17.935033;;;-8;8.7939E-07
0;1.38E-10;18.084858;-8.5;-8.84E-07;18.084858;;;-8.5;8.8433E-07
-1.00E-07;1.38E-10;18.23465;-9;-8.89E-07;18.23465;;;-9;8.8922E-07
-3.00E-07;1.37E-10;18.413043;-9.5;-8.94E-07;18.413043;;;-9.5;8.9366E-07
1.00E-07;1.36E-10;18.563138;-10;-8.98E-07;18.563138;;;-10;8.9823E-07
-1.00E-07;1.34E-10;18.68553;-10;-8.98E-07;18.68553;;;-10;8.9809E-07
0;1.31E-10;18.835255;-9.5;-8.93E-07;18.835255;;;-9.5;8.9322E-07
-1.00E-07;1.27E-10;18.985102;-9;-8.89E-07;18.985102;;;-9;8.8899E-07
-3.00E-07;1.29E-10;19.13496;-8.5;-8.84E-07;19.13496;;;-8.5;8.8384E-07
0;1.28E-10;19.284877;-8;-8.78E-07;19.284877;;;-8;8.7845E-07
2.00E-07;1.27E-10;19.441371;-7.5;-8.72E-07;19.441371;;;-7.5;8.72481E-07
-1.00E-07;1.22E-10;19.591247;-7;-8.67E-07;19.591247;;;-7;8.66509E-07
3.00E-07;1.21E-10;19.74102;-6.5;-8.60E-07;19.74102;;;-6.5;8.60279E-07
-2.00E-07;1.22E-10;19.917949;-6;-8.53E-07;19.917949;;;-6;8.53278E-07
-1.00E-07;1.20E-10;20.067831;-5.5;-8.46E-07;20.067831;;;-5.5;8.46071E-07
0;1.21E-10;20.217553;-5;-8.38E-07;20.217553;;;-5;8.37969E-07
-3.00E-07;1.19E-10;20.367358;-4.5;-8.29E-07;20.367358;;;-4.5;8.29313E-07
4.00E-07;1.19E-10;20.533014;-4;-8.19E-07;20.533014;;;-4;8.19484E-07
0;1.13E-10;20.682858;-3.5;-8.08E-07;20.682858;;;-3.5;8.08071E-07
-1.00E-07;1.12E-10;20.832663;-3;-7.95E-07;20.832663;;;-3;7.94798E-07
2.00E-07;1.09E-10;20.98248;-2.5;-7.79E-07;20.98248;;;-2.5;7.78583E-07
-2.00E-07;9.22E-11;21.132953;-2;-7.57E-07;21.132953;;;-2;7.57032E-07
2.00E-07;4.07E-11;21.282889;-1.5;-7.25E-07;21.282889;;;-1.5;7.24531E-07
-2.00E-07;-1.43E-10;21.447303;-1;-6.64E-07;21.447303;;;-1;6.64437E-07
-7.00E-07;-4.14E-10;21.597204;-0.5;-5.16E-07;21.597204;;;-0.5;5.16376E-07
0;-4.27E-10;21.759923;-1.00E-05;1.31E-09;21.759923;;;-1.00E-05;1.30754E-09
-2.5;-6.46E-09;21.975946;-1.00E-05;5.88E-09;21.975946;;;-1.00E-05;5.88006E-09
-2.5;-5.19E-09;22.129254;-0.5;-2.20E-06;22.129254;;;-0.5;2.19745E-06
-2.50001;-4.43E-09;22.279135;-1;-4.38E-06;22.279135;;;-1;4.37885E-06
-2.5;-3.82E-09;22.455284;-1.5;-6.30E-06;22.455284;;;-1.5;6.30029E-06
-2.5;-3.28E-09;22.605223;-2;-7.87E-06;22.605223;;;-2;7.8709E-06
-2.50001;-2.85E-09;22.754983;-2.5;-9.02E-06;22.754983;;;-2.5;9.01816E-06
-2.5;-2.60E-09;22.938815;-3;-9.68E-06;22.938815;;;-3;9.6812E-06
-2.50001;-2.28E-09;23.088685;-3.5;-9.97E-06;23.088685;;;-3.5;9.9653E-06
-2.5;-2.33E-09;23.238619;-4;-1.01E-05;23.238619;;;-4;1.01042E-05
-2.50001;-2.45E-09;23.4245;-4.5;-1.02E-05;23.4245;;;-4.5;1.01875E-05
-2.50001;-2.49E-09;23.574398;-5;-1.02E-05;23.574398;;;-5;1.02497E-05
-2.50001;-2.53E-09;23.724261;-5.5;-1.03E-05;23.724261;;;-5.5;1.03024E-05
-2.5;-2.53E-09;23.874044;-6;-1.03E-05;23.874044;;;-6;1.03458E-05
-2.5;-2.54E-09;24.041724;-6.5;-1.04E-05;24.041724;;;-6.5;1.03845E-05
-2.5;-2.55E-09;24.191523;-7;-1.04E-05;24.191523;;;-7;1.04181E-05
-2.50001;-2.54E-09;24.341322;-7.5;-1.05E-05;24.341322;;;-7.5;1.04503E-05
-2.50001;-2.54E-09;24.491191;-8;-1.05E-05;24.491191;;;-8;1.04773E-05
-2.50001;-2.54E-09;24.641142;-8.5;-1.05E-05;24.641142;;;-8.5;0.000010502
-2.5;-2.54E-09;24.790933;-9;-1.05E-05;24.790933;;;-9;1.05255E-05
-2.50001;-2.53E-09;24.956155;-9.5;-1.06E-05;24.956155;;;-9.5;1.05512E-05
-2.50001;-2.54E-09;25.105971;-10;-1.06E-05;25.105971;;;-10;1.05722E-05
-2.50001;-2.53E-09;25.228317;-10;-1.06E-05;25.228317;;;-10;1.05733E-05
-2.5;-2.53E-09;25.378189;-9.5;-1.06E-05;25.378189;;;-9.5;1.05505E-05
-2.50001;-2.53E-09;25.545068;-9;-1.05E-05;25.545068;;;-9;1.05279E-05
-2.5;-2.53E-09;25.694885;-8.5;-1.05E-05;25.694885;;;-8.5;1.05045E-05
-2.50001;-2.53E-09;25.844782;-8;-1.05E-05;25.844782;;;-8;0.000010478
-2.5;-2.52E-09;25.994633;-7.5;-1.05E-05;25.994633;;;-7.5;1.04517E-05
-2.5;-2.52E-09;26.144535;-7;-1.04E-05;26.144535;;;-7;1.04224E-05
-2.5;-2.52E-09;26.294658;-6.5;-1.04E-05;26.294658;;;-6.5;1.03883E-05
-2.5;-2.52E-09;26.459444;-6;-1.03E-05;26.459444;;;-6;1.03499E-05
-2.5;-2.51E-09;26.609331;-5.5;-1.03E-05;26.609331;;;-5.5;1.03071E-05
-2.5;-2.52E-09;26.759212;-5;-1.03E-05;26.759212;;;-5;1.02574E-05
-2.5;-2.52E-09;26.930363;-4.5;-1.02E-05;26.930363;;;-4.5;1.01935E-05
-2.5;-2.56E-09;27.080326;-4;-1.01E-05;27.080326;;;-4;1.01101E-05
-2.5;-2.73E-09;27.23015;-3.5;-9.97E-06;27.23015;;;-3.5;9.9685E-06
-2.50001;-2.90E-09;27.380066;-3;-9.68E-06;27.380066;;;-3;9.6844E-06
-2.50001;-3.01E-09;27.544475;-2.5;-9.02E-06;27.544475;;;-2.5;9.0245E-06
-2.5;-3.44E-09;27.696936;-2;-7.87E-06;27.696936;;;-2;7.87015E-06
-2.50001;-3.90E-09;27.84669;-1.5;-6.30E-06;27.84669;;;-1.5;6.29903E-06
-2.50001;-4.42E-09;27.996553;-1;-4.37E-06;27.996553;;;-1;4.37437E-06
-2.50001;-4.98E-09;28.146424;-0.5;-2.19E-06;28.146424;;;-0.5;2.19289E-06
-2.50001;-5.55E-09;28.319431;0;5.35E-09;28.319431;;;0;5.34623E-09
-5;-1.46E-08;28.483556;-1.00E-05;1.04E-08;28.483556;;;-1.00E-05;1.04361E-08
-4.99999;-1.29E-08;28.631025;-0.5;-2.81E-06;28.631025;;;-0.5;2.80649E-06
-5.00001;-1.19E-08;28.774839;-1;-5.83E-06;28.774839;;;-1;5.82558E-06
-5;-1.10E-08;28.959709;-1.5;-8.77E-06;28.959709;;;-1.5;8.77206E-06
-4.99999;-1.00E-08;29.106932;-2;-1.16E-05;29.106932;;;-2;1.15582E-05
-5.00001;-9.30E-09;29.250734;-2.5;-1.41E-05;29.250734;;;-2.5;1.41263E-05
-5;-8.61E-09;29.394799;-3;-1.64E-05;29.394799;;;-3;1.64486E-05
-5;-7.98E-09;29.555836;-3.5;-1.85E-05;29.555836;;;-3.5;1.85011E-05
-5.00001;-7.43E-09;29.705649;-4;-2.03E-05;29.705649;;;-4;2.02658E-05
-5;-6.95E-09;29.855516;-4.5;-2.17E-05;29.855516;;;-4.5;2.16966E-05
-5.00001;-6.54E-09;30.005379;-5;-2.28E-05;30.005379;;;-5;2.27684E-05
-5;-6.31E-09;30.155761;-5.5;-2.35E-05;30.155761;;;-5.5;2.34506E-05
-5.00001;-6.09E-09;30.305812;-6;-2.38E-05;30.305812;;;-6;2.38234E-05
-5;-6.17E-09;30.469975;-6.5;-2.40E-05;30.469975;;;-6.5;2.40364E-05
-5;-6.25E-09;30.619913;-7;-2.42E-05;30.619913;;;-7;2.41712E-05
-5.00001;-6.31E-09;30.76974;-7.5;-2.43E-05;30.76974;;;-7.5;2.42743E-05
-5;-6.33E-09;30.940447;-8;-2.44E-05;30.940447;;;-8;2.43636E-05
-5;-6.34E-09;31.090452;-8.5;-2.44E-05;31.090452;;;-8.5;2.44318E-05
-5.00001;-6.35E-09;31.2402;-9;-2.45E-05;31.2402;;;-9;2.44887E-05
-5.00001;-6.13E-09;31.390065;-9.5;-2.45E-05;31.390065;;;-9.5;2.45442E-05
-5.00001;-6.35E-09;31.559598;-10;-2.46E-05;31.559598;;;-10;2.46003E-05
-5.00001;-6.35E-09;31.68199;-10;-2.46E-05;31.68199;;;-10;2.45953E-05
-5.00001;-6.36E-09;31.831794;-9.5;-2.45E-05;31.831794;;;-9.5;2.45447E-05
-5.00001;-6.35E-09;31.981648;-9;-2.45E-05;31.981648;;;-9;0.00002449
-5;-6.36E-09;32.131486;-8.5;-2.44E-05;32.131486;;;-8.5;2.44328E-05
-5;-6.37E-09;32.281301;-8;-2.44E-05;32.281301;;;-8;2.43582E-05
-5;-6.35E-09;32.464683;-7.5;-2.43E-05;32.464683;;;-7.5;2.42746E-05
-5;-6.36E-09;32.614602;-7;-2.42E-05;32.614602;;;-7;0.000024172
-5.00001;-6.38E-09;32.764469;-6.5;-2.40E-05;32.764469;;;-6.5;2.40366E-05
-5.00001;-6.47E-09;32.947906;-6;-2.38E-05;32.947906;;;-6;2.38234E-05
-5.00001;-6.61E-09;33.098045;-5.5;-2.35E-05;33.098045;;;-5.5;2.34609E-05
-5;-6.79E-09;33.24787;-5;-2.28E-05;33.24787;;;-5;2.27662E-05
-5;-7.23E-09;33.397763;-4.5;-2.17E-05;33.397763;;;-4.5;2.16986E-05
-5;-7.69E-09;33.564293;-4;-2.03E-05;33.564293;;;-4;2.02573E-05
-5;-8.22E-09;33.714085;-3.5;-1.85E-05;33.714085;;;-3.5;1.84967E-05
-5.00001;-8.79E-09;33.86395;-3;-1.64E-05;33.86395;;;-3;1.64366E-05
-5.00001;-9.43E-09;34.007822;-2.5;-1.41E-05;34.007822;;;-2.5;0.000014113
-5.00001;-1.01E-08;34.151689;-2;-1.15E-05;34.151689;;;-2;1.15446E-05
-5;-1.08E-08;34.29822;-1.5;-8.76E-06;34.29822;;;-1.5;8.75674E-06
-5;-1.15E-08;34.473205;-1;-5.81E-06;34.473205;;;-1;5.81099E-06
-5;-1.23E-08;34.617069;-0.5;-2.80E-06;34.617069;;;-0.5;2.79856E-06
-5;-1.31E-08;34.778138;-1.00E-05;9.29E-09;34.778138;;;-1.00E-05;9.2945E-09
