#scan;iMeasureCycle=1;iMux=0;time=0.128;N=142;LocalTime=21/12/2023 10:56:13;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
19.99999;8.02E-09;0.288168;-0.500001;-4.52E-09;0.288168;;;19.99999;4.51827E-09;8.02008E-09
19.5;6.62E-09;0.464506;-0.500001;-3.70E-09;0.464506;;;19.5;3.70479E-09;6.61564E-09
19;5.96E-09;0.640492;-0.500001;-3.32E-09;0.640492;;;19;3.3183E-09;5.95638E-09
18.49999;5.54E-09;0.835479;-0.500001;-3.08E-09;0.835479;;;18.49999;3.07908E-09;5.54276E-09
17.99999;5.31E-09;1.011696;-0.499999;-2.94E-09;1.011696;;;17.99999;2.94078E-09;5.30742E-09
17.49999;5.13E-09;1.187848;-0.499999;-2.84E-09;1.187848;;;17.49999;2.83881E-09;5.12712E-09
17;4.97E-09;1.401334;-0.500001;-2.75E-09;1.401334;;;17;2.75326E-09;4.97236E-09
16.49999;4.86E-09;1.577369;-0.5;-2.69E-09;1.577369;;;16.49999;2.69183E-09;4.86026E-09
16;4.77E-09;1.753362;-0.500001;-2.64E-09;1.753362;;;16;2.63973E-09;4.76724E-09
15.49999;4.68E-09;1.929378;-0.5;-2.59E-09;1.929378;;;15.49999;2.59394E-09;4.68392E-09
14.99999;4.61E-09;2.105452;-0.500001;-2.56E-09;2.105452;;;14.99999;2.55645E-09;4.61145E-09
14.49999;4.54E-09;2.281439;-0.5;-2.52E-09;2.281439;;;14.49999;2.51914E-09;4.54182E-09
14;4.48E-09;2.457856;-0.500001;-2.49E-09;2.457856;;;14;2.48949E-09;4.47923E-09
13.49999;4.42E-09;2.633897;-0.500001;-2.46E-09;2.633897;;;13.49999;2.45898E-09;4.42353E-09
12.99999;4.36E-09;2.810088;-0.5;-2.43E-09;2.810088;;;12.99999;2.4282E-09;4.36476E-09
12.50001;4.30E-09;2.998225;-0.500001;-2.39E-09;2.998225;;;12.50001;2.39462E-09;4.2976E-09
11.99999;4.24E-09;3.174194;-0.5;-2.37E-09;3.174194;;;11.99999;2.36633E-09;4.24226E-09
11.49999;4.18E-09;3.378027;-0.500001;-2.34E-09;3.378027;;;11.49999;2.33795E-09;4.18311E-09
10.99999;4.11E-09;3.554322;-0.500001;-2.31E-09;3.554322;;;10.99999;2.30624E-09;4.10816E-09
10.5;4.02E-09;3.730315;-0.499999;-2.27E-09;3.730315;;;10.5;2.27132E-09;4.01633E-09
9.99999;3.91E-09;3.912374;-0.500001;-2.25E-09;3.912374;;;9.99999;2.24964E-09;3.91074E-09
9.5;3.75E-09;4.088673;-0.500001;-2.24E-09;4.088673;;;9.5;2.24225E-09;3.75351E-09
9;3.48E-09;4.264689;-0.500001;-2.29E-09;4.264689;;;9;2.28786E-09;3.48008E-09
8.49999;3.12E-09;4.443137;-0.499999;-2.52E-09;4.443137;;;8.49999;2.5215E-09;3.12265E-09
8;2.69E-09;4.619263;-0.500001;-3.18E-09;4.619263;;;8;3.17623E-09;2.6853E-09
7.5;2.07E-09;4.795446;-0.5;-4.66E-09;4.795446;;;7.5;4.66036E-09;2.0735E-09
6.99999;1.38E-09;4.973405;-0.5;-7.77E-09;4.973405;;;6.99999;7.76685E-09;1.37784E-09
6.49999;9.81E-10;5.143554;-0.5;-1.38E-08;5.143554;;;6.49999;1.37572E-08;9.8131E-10
5.99999;1.06E-09;5.293419;-0.499999;-2.41E-08;5.293419;;;5.99999;2.41046E-08;1.06284E-09
5.49999;1.79E-09;5.443269;-0.5;-4.06E-08;5.443269;;;5.49999;4.05633E-08;1.78802E-09
5;2.39E-09;5.593086;-0.5;-6.46E-08;5.593086;;;5;6.46492E-08;2.39465E-09
4.5;2.74E-09;5.742845;-0.500001;-9.85E-08;5.742845;;;4.5;9.85345E-08;2.73631E-09
4;2.98E-09;5.898782;-0.5;-1.45E-07;5.898782;;;4;1.44617E-07;2.97806E-09
3.49999;2.97E-09;6.048642;-0.5;-2.07E-07;6.048642;;;3.49999;2.07447E-07;2.96574E-09
2.99999;2.85E-09;6.198412;-0.5;-2.92E-07;6.198412;;;2.99999;2.92341E-07;2.84902E-09
2.49999;2.64E-09;6.384704;-0.5;-4.03E-07;6.384704;;;2.49999;4.03426E-07;2.63672E-09
1.99999;2.22E-09;6.534609;-0.5;-5.50E-07;6.534609;;;1.99999;5.49882E-07;2.2202E-09
1.49999;1.70E-09;6.684468;-0.5;-7.40E-07;6.684468;;;1.49999;7.39868E-07;1.69582E-09
1.00001;1.03E-09;6.861454;-0.5;-9.78E-07;6.861454;;;1.00001;9.78389E-07;1.03343E-09
0.49999;1.94E-10;7.014662;-0.5;-1.25E-06;7.014662;;;0.49999;1.25384E-06;1.9376E-10
0;-8.08E-10;7.164441;-0.5;-1.49E-06;7.164441;;;0;1.49036E-06;8.079E-10
-0.5;-1.92E-09;7.314276;-0.5;-1.65E-06;7.314276;;;-0.5;1.64803E-06;1.92037E-09
-1.00001;-3.11E-09;7.483177;-0.5;-1.76E-06;7.483177;;;-1.00001;1.76151E-06;3.10864E-09
-1.50001;-4.39E-09;7.633036;-0.5;-1.85E-06;7.633036;;;-1.50001;1.84926E-06;4.38745E-09
-2;-5.72E-09;7.78288;-0.5;-1.92E-06;7.78288;;;-2;1.91967E-06;5.71657E-09
-2.5;-7.12E-09;7.932682;-0.5;-1.98E-06;7.932682;;;-2.5;1.97756E-06;7.12416E-09
-3;-8.55E-09;8.083221;-0.5;-2.03E-06;8.083221;;;-3;2.02683E-06;8.55384E-09
-3.5;-1.00E-08;8.227162;-0.5;-2.07E-06;8.227162;;;-3.5;0.000002068;1.00412E-08
-4;-1.15E-08;8.387073;-0.5;-2.10E-06;8.387073;;;-4;2.10215E-06;1.15434E-08
-4.5;-1.31E-08;8.530936;-0.5;-2.13E-06;8.530936;;;-4.5;2.13127E-06;1.31016E-08
-5.00001;-1.47E-08;8.674875;-0.5;-2.16E-06;8.674875;;;-5.00001;2.15609E-06;1.46782E-08
-5.5;-1.63E-08;8.818774;-0.5;-2.18E-06;8.818774;;;-5.5;2.17718E-06;1.62776E-08
-6;-1.79E-08;8.981111;-0.5;-2.19E-06;8.981111;;;-6;2.19412E-06;1.78547E-08
-6.5;-1.95E-08;9.124981;-0.5;-2.21E-06;9.124981;;;-6.5;2.20801E-06;1.94868E-08
-7;-2.11E-08;9.26893;-0.5;-2.22E-06;9.26893;;;-7;2.21867E-06;2.11305E-08
-7.5;-2.28E-08;9.412813;-0.5;-2.23E-06;9.412813;;;-7.5;2.22735E-06;2.27891E-08
