#scan;iMeasureCycle=1;iMux=0;time=0.142;N=252;LocalTime=21/12/2023 10:44:05;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;7.42E-09;0.302043;-1.00E-05;-4.05E-09;0.302043;;;-1.00E-05;4.04735E-09
9.99999;6.53E-09;0.478357;-1;-3.61E-09;0.478357;;;-1;3.61334E-09
9.99999;6.03E-09;0.654372;-2;-3.33E-09;0.654372;;;-2;3.33287E-09
9.99999;5.65E-09;0.85101;-3;-3.11E-09;0.85101;;;-3;3.11314E-09
9.99999;5.44E-09;1.027046;-4.00001;-2.99E-09;1.027046;;;-4.00001;2.98996E-09
9.99999;5.28E-09;1.202997;-5;-2.89E-09;1.202997;;;-5;2.89449E-09
10;5.10E-09;1.412021;-6;-2.79E-09;1.412021;;;-6;2.78977E-09
10;5.00E-09;1.588226;-7.00001;-2.73E-09;1.588226;;;-7.00001;2.73018E-09
10;4.91E-09;1.764209;-8;-2.68E-09;1.764209;;;-8;2.68179E-09
10;4.83E-09;1.940264;-9.00001;-2.64E-09;1.940264;;;-9.00001;2.63836E-09
9.99999;4.75E-09;2.116294;-10.00001;-2.60E-09;2.116294;;;-10.00001;2.59656E-09
10;4.69E-09;2.292492;-11;-2.56E-09;2.292492;;;-11;2.55945E-09
9.99999;4.63E-09;2.468534;-12;-2.53E-09;2.468534;;;-12;2.529E-09
10;4.59E-09;2.644521;-13.00001;-2.51E-09;2.644521;;;-13.00001;2.51253E-09
10;4.52E-09;2.820565;-14.00001;-2.48E-09;2.820565;;;-14.00001;2.47768E-09
10;4.47E-09;3.012694;-15;-2.45E-09;3.012694;;;-15;2.45449E-09
10;4.42E-09;3.188775;-16;-2.43E-09;3.188775;;;-16;2.4277E-09
10;4.38E-09;3.39317;-17.00001;-2.41E-09;3.39317;;;-17.00001;2.40614E-09
9.99999;4.34E-09;3.569313;-18;-2.39E-09;3.569313;;;-18;2.3859E-09
10;4.31E-09;3.745407;-19;-2.37E-09;3.745407;;;-19;2.37221E-09
10;4.27E-09;3.923044;-20;-2.36E-09;3.923044;;;-20;2.3552E-09
10;4.24E-09;4.044276;-20;-2.34E-09;4.044276;;;-20;2.33817E-09
10;4.19E-09;4.220313;-19.00001;-2.31E-09;4.220313;;;-19.00001;2.3097E-09
9.99999;4.27E-09;4.438589;-18.00001;-2.41E-09;4.438589;;;-18.00001;2.4141E-09
9.99999;4.12E-09;4.614806;-17.00001;-2.26E-09;4.614806;;;-17.00001;2.26441E-09
