#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 13:23:03;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;|IDrain| (A);|IGate| (A)
9.5;-1.20E-09;55.177688;0.0999997;2.74E-07;55.177688;;;;0.000000274;1.2E-09
9;-1.20E-09;55.327526;0.1000006;2.66E-07;55.327526;;;;0.000000266;1.2E-09
8.4999;-1.11E-09;55.499361;0.0999996;2.52E-07;55.499361;;;;0.000000252;1.11E-09
8;-1.11E-09;55.649309;0.0999995;2.40E-07;55.649309;;;;0.00000024;1.11E-09
7.5;-1.12E-09;55.799237;0.0999995;2.32E-07;55.799237;;;;0.000000232;1.12E-09
6.9999;-1.18E-09;55.94906;0.1000002;2.21E-07;55.94906;;;;0.000000221;1.18E-09
6.5;-1.13E-09;56.116889;0.1000006;2.14E-07;56.116889;;;;0.000000214;1.13E-09
6;-1.24E-09;56.266805;0.0999999;2.04E-07;56.266805;;;;0.000000204;1.24E-09
5.4999;-1.18E-09;56.416689;0.1000003;1.95E-07;56.416689;;;;0.000000195;1.18E-09
5;-1.14E-09;56.56654;0.1000004;1.88E-07;56.56654;;;;0.000000188;1.14E-09
4.5;-1.07E-09;56.718786;0.0999995;1.78E-07;56.718786;;;;0.000000178;1.07E-09
4;-1.05E-09;56.868611;0.0999992;1.71E-07;56.868611;;;;0.000000171;1.05E-09
3.5;-1.11E-09;57.032846;0.0999998;1.63E-07;57.032846;;;;0.000000163;1.11E-09
3;-1.08E-09;57.182706;0.0999999;1.55E-07;57.182706;;;;0.000000155;1.08E-09
2.5;-1.13E-09;57.332576;0.0999999;1.49E-07;57.332576;;;;0.000000149;1.13E-09
1.9999;-1.09E-09;57.525096;0.0999999;1.42E-07;57.525096;;;;0.000000142;1.09E-09
1.4999;-1.04E-09;57.674992;0.0999997;1.37E-07;57.674992;;;;0.000000137;1.04E-09
0.9999;-1.06E-09;57.824837;0.0999998;1.29E-07;57.824837;;;;0.000000129;1.06E-09
0.5;-1.07E-09;58.008101;0.0999997;1.22E-07;58.008101;;;;0.000000122;1.07E-09
-0.0001;-1.09E-09;58.157903;0.1;1.17E-07;58.157903;;;;0.000000117;1.09E-09
-0.5001;-1.17E-09;58.307847;0.0999998;1.12E-07;58.307847;;;;0.000000112;1.17E-09
-1.0001;-1.23E-09;58.457625;0.0999997;1.06E-07;58.457625;;;;0.000000106;1.23E-09
-1.5;-1.25E-09;58.623202;0.1000002;1.01E-07;58.623202;;;;0.000000101;1.25E-09
-2.0001;-1.11E-09;58.773217;0.0999997;9.52E-08;58.773217;;;;9.52E-08;1.11E-09
-2.5;-1.21E-09;58.940261;0.0999954;8.92E-08;58.940261;;;;8.92E-08;1.21E-09
-3;-1.08E-09;59.114923;0.1000045;8.51E-08;59.114923;;;;8.51E-08;1.08E-09
-3.5;-1.04E-09;59.28757;0.0999996;7.95E-08;59.28757;;;;7.95E-08;1.04E-09
-4;-1.06E-09;59.457674;0.1000019;7.49E-08;59.457674;;;;7.49E-08;1.06E-09
-4.5001;-1.11E-09;59.646035;0.0999961;6.92E-08;59.646035;;;;6.92E-08;1.11E-09
-5.0001;-1.07E-09;59.816236;0.1000054;6.63E-08;59.816236;;;;6.63E-08;1.07E-09
-5.5;-1.08E-09;59.966162;0.0999978;6.30E-08;59.966162;;;;0.000000063;1.08E-09
-6.0001;-1.09E-09;60.1473;0.1000066;5.88E-08;60.1473;;;;5.88E-08;1.09E-09
-6.5001;-1.15E-09;60.317483;0.0999992;5.45E-08;60.317483;;;;5.45E-08;1.15E-09
-7.0001;-1.07E-09;60.467305;0.0999992;5.19E-08;60.467305;;;;5.19E-08;1.07E-09
-7.5001;-1.16E-09;60.628362;0.0999996;4.80E-08;60.628362;;;;0.000000048;1.16E-09
-8;-1.16E-09;60.778288;0.1000039;4.57E-08;60.778288;;;;4.57E-08;1.16E-09
-8.5;-1.09E-09;60.928078;0.0999977;4.18E-08;60.928078;;;;4.18E-08;1.09E-09
-9;-1.12E-09;61.077929;0.1000013;3.86E-08;61.077929;;;;3.86E-08;1.12E-09
-9.5001;-1.20E-09;61.227853;0.1000002;3.71E-08;61.227853;;;;3.71E-08;1.2E-09
-10.0001;-1.19E-09;61.377652;0.1000005;3.41E-08;61.377652;;;;3.41E-08;1.19E-09
-10.5001;-1.15E-09;61.544268;0.0999991;3.21E-08;61.544268;;;;3.21E-08;1.15E-09
-11.0001;-1.06E-09;61.694149;0.099997;2.94E-08;61.694149;;;;2.94E-08;1.06E-09
-11.5;-1.06E-09;61.844065;0.1000022;2.76E-08;61.844065;;;;2.76E-08;1.06E-09
-12;-1.14E-09;62.028794;0.1000001;2.46E-08;62.028794;;;;2.46E-08;1.14E-09
-12.5;-1.09E-09;62.178747;0.0999982;2.24E-08;62.178747;;;;2.24E-08;1.09E-09
-13;-1.14E-09;62.328816;0.1000004;2.13E-08;62.328816;;;;2.13E-08;1.14E-09
-13.5001;-1.10E-09;62.478714;0.0999982;1.98E-08;62.478714;;;;1.98E-08;1.1E-09
-14.0001;-1.07E-09;62.633251;0.0999983;1.80E-08;62.633251;;;;0.000000018;1.07E-09
-14.5001;-1.04E-09;62.783285;0.1000008;1.62E-08;62.783285;;;;1.62E-08;1.04E-09
-15.0001;-1.09E-09;62.933075;0.1;1.47E-08;62.933075;;;;1.47E-08;1.09E-09
-15.5;-1.03E-09;63.083001;0.1000016;1.29E-08;63.083001;;;;1.29E-08;1.03E-09
-16;-1.06E-09;63.235119;0.1000014;1.14E-08;63.235119;;;;1.14E-08;1.06E-09
-16.5;-1.08E-09;63.385021;0.0999999;1.02E-08;63.385021;;;;1.02E-08;1.08E-09
-17;-1.01E-09;63.563891;0.1000005;8.66E-09;63.563891;;;;8.66E-09;1.01E-09
-17.5;-1.03E-09;63.740014;0.0999995;7.09E-09;63.740014;;;;7.09E-09;1.03E-09
-18.0001;-9.93E-10;63.915997;0.1000004;5.75E-09;63.915997;;;;5.75E-09;9.93E-10
-18.5;-9.58E-10;64.09229;0.1000004;4.28E-09;64.09229;;;;4.28E-09;9.58E-10
-19.0001;-9.99E-10;64.268541;0.0999993;3.12E-09;64.268541;;;;3.12E-09;9.99E-10
-19.5;-9.66E-10;64.444682;0.0999998;2.18E-09;64.444682;;;;2.18E-09;9.66E-10
-20.0001;-1.04E-09;64.62076;0.0999999;1.59E-09;64.62076;;;;1.59E-09;1.04E-09
-20.5;-9.99E-10;64.796899;0.0999997;1.15E-09;64.796899;;;;1.15E-09;9.99E-10
-21;-9.82E-10;64.972922;0.0999999;9.25E-10;64.972922;;;;9.25E-10;9.82E-10
-21.5;-9.44E-10;65.166414;0.0999999;7.66E-10;65.166414;;;;7.66E-10;9.44E-10
-22.0001;-1.00E-09;65.342727;0.0999998;7.60E-10;65.342727;;;;7.6E-10;0.000000001
-22.5;-9.76E-10;65.553352;0.1000004;6.97E-10;65.553352;;;;6.97E-10;9.76E-10
-23.0001;-9.48E-10;65.729549;0.1000001;6.51E-10;65.729549;;;;6.51E-10;9.48E-10
-23.5;-9.63E-10;65.905871;0.1000002;6.47E-10;65.905871;;;;6.47E-10;9.63E-10
-24.0001;-9.53E-10;66.0835;0.0999998;6.36E-10;66.0835;;;;6.36E-10;9.53E-10
-24.5001;-9.49E-10;66.259872;0.1000003;6.22E-10;66.259872;;;;6.22E-10;9.49E-10
-25;-9.10E-10;66.436287;0.0999999;5.72E-10;66.436287;;;;5.72E-10;9.1E-10
-25.5;-9.12E-10;66.615049;0.0999999;5.69E-10;66.615049;;;;5.69E-10;9.12E-10
-26;-9.18E-10;66.791395;0.1000002;5.70E-10;66.791395;;;;5.7E-10;9.18E-10
-26.5001;-9.06E-10;66.967591;0.0999998;5.54E-10;66.967591;;;;5.54E-10;9.06E-10
-27;-9.49E-10;67.146175;0.1000001;5.90E-10;67.146175;;;;5.9E-10;9.49E-10
-27.5;-9.48E-10;67.322527;0.0999996;5.83E-10;67.322527;;;;5.83E-10;9.48E-10
-28.0001;-9.39E-10;67.518206;0.1000006;5.78E-10;67.518206;;;;5.78E-10;9.39E-10
-28.5001;-9.74E-10;67.694609;0.1000002;6.05E-10;67.694609;;;;6.05E-10;9.74E-10
-29;-9.58E-10;67.871008;0.0999997;5.83E-10;67.871008;;;;5.83E-10;9.58E-10
-29.5;-9.37E-10;68.086548;0.1;5.67E-10;68.086548;;;;5.67E-10;9.37E-10
-30;-9.59E-10;68.263006;0.0999997;5.75E-10;68.263006;;;;5.75E-10;9.59E-10
-30.5001;-9.74E-10;68.439333;0.0999999;5.90E-10;68.439333;;;;5.9E-10;9.74E-10
-31.0001;-9.49E-10;68.615533;0.1000001;5.62E-10;68.615533;;;;5.62E-10;9.49E-10
-31.5001;-9.83E-10;68.791963;0.0999997;5.95E-10;68.791963;;;;5.95E-10;9.83E-10
-32;-9.80E-10;68.968221;0.0999999;5.92E-10;68.968221;;;;5.92E-10;9.8E-10
-32.5;-1.00E-09;69.144761;0.1000002;6.09E-10;69.144761;;;;6.09E-10;0.000000001
-33;-1.02E-09;69.321186;0.1000002;6.22E-10;69.321186;;;;6.22E-10;1.02E-09
-33.5;-1.06E-09;69.497487;0.1000003;6.50E-10;69.497487;;;;6.5E-10;1.06E-09
-34.0001;-1.03E-09;69.680225;0.0999996;6.23E-10;69.680225;;;;6.23E-10;1.03E-09
-34.5001;-1.01E-09;69.85662;0.1;5.99E-10;69.85662;;;;5.99E-10;1.01E-09
-35.0001;-9.71E-10;70.067378;0.1000001;5.65E-10;70.067378;;;;5.65E-10;9.71E-10
-35.5;-9.76E-10;70.243689;0.1000003;5.63E-10;70.243689;;;;5.63E-10;9.76E-10
-36.0001;-9.85E-10;70.420091;0.0999999;5.69E-10;70.420091;;;;5.69E-10;9.85E-10
-36.5001;-1.08E-09;70.59712;0.0999998;6.52E-10;70.59712;;;;6.52E-10;1.08E-09
-37;-1.06E-09;70.773386;0.1000005;6.28E-10;70.773386;;;;6.28E-10;1.06E-09
-37.5;-1.05E-09;70.949734;0.1;6.24E-10;70.949734;;;;6.24E-10;1.05E-09
-38;-1.04E-09;71.126081;0.0999997;6.05E-10;71.126081;;;;6.05E-10;1.04E-09
-38.5001;-1.00E-09;71.302583;0.1;5.66E-10;71.302583;;;;5.66E-10;0.000000001
-39;-1.03E-09;71.478937;0.0999999;5.93E-10;71.478937;;;;5.93E-10;1.03E-09
-39.5;-9.99E-10;71.657594;0.0999998;5.55E-10;71.657594;;;;5.55E-10;9.99E-10
-40;-1.02E-09;71.834296;0.0999999;5.82E-10;71.834296;;;;5.82E-10;1.02E-09
-40.5;-1.02E-09;72.030832;0.1000001;5.62E-10;72.030832;;;;5.62E-10;1.02E-09
-41;-1.00E-09;72.207276;0.0999999;5.50E-10;72.207276;;;;5.5E-10;0.000000001
-41.4999;-1.03E-09;72.383746;0.1000003;5.74E-10;72.383746;;;;5.74E-10;1.03E-09
-42.0001;-9.88E-10;72.599065;0.1;5.26E-10;72.599065;;;;5.26E-10;9.88E-10
-42.4999;-1.00E-09;72.775519;0.0999997;5.37E-10;72.775519;;;;5.37E-10;0.000000001
-43;-1.01E-09;72.952034;0.0999998;5.45E-10;72.952034;;;;5.45E-10;1.01E-09
-43.5001;-1.01E-09;73.128469;0.1000002;5.32E-10;73.128469;;;;5.32E-10;1.01E-09
-44;-1.03E-09;73.30513;0.1000003;5.49E-10;73.30513;;;;5.49E-10;1.03E-09
-44.5;-1.04E-09;73.481524;0.0999998;5.50E-10;73.481524;;;;5.5E-10;1.04E-09
-45;-1.05E-09;73.658216;0.0999996;5.65E-10;73.658216;;;;5.65E-10;1.05E-09
-45.5;-1.05E-09;73.834842;0.0999998;5.54E-10;73.834842;;;;5.54E-10;1.05E-09
-46.0001;-1.09E-09;74.01152;0.1;5.87E-10;74.01152;;;;5.87E-10;1.09E-09
-46.5;-1.06E-09;74.193696;0.1000001;5.64E-10;74.193696;;;;5.64E-10;1.06E-09
-47.0001;-1.06E-09;74.370266;0.0999997;5.54E-10;74.370266;;;;5.54E-10;1.06E-09
-47.5001;-1.07E-09;74.579713;0.1;5.55E-10;74.579713;;;;5.55E-10;1.07E-09
-48;-1.06E-09;74.756309;0.0999999;5.37E-10;74.756309;;;;5.37E-10;1.06E-09
-48.5001;-1.06E-09;74.932784;0.1000003;5.37E-10;74.932784;;;;5.37E-10;1.06E-09
-49.0001;-1.08E-09;75.126256;0.1;5.62E-10;75.126256;;;;5.62E-10;1.08E-09
-49.5;-1.08E-09;75.302807;0.1000002;5.45E-10;75.302807;;;;5.45E-10;1.08E-09
-50.0001;-1.07E-09;75.479282;0.0999999;5.33E-10;75.479282;;;;5.33E-10;1.07E-09
-50.5001;-1.05E-09;75.6576;0.1;5.13E-10;75.6576;;;;5.13E-10;1.05E-09
-51;-1.06E-09;75.834246;0.1000002;5.16E-10;75.834246;;;;5.16E-10;1.06E-09
-51.5;-1.07E-09;76.010732;0.1000004;5.23E-10;76.010732;;;;5.23E-10;1.07E-09
-52;-1.09E-09;76.198491;0.1000004;5.39E-10;76.198491;;;;5.39E-10;1.09E-09
-52.5;-1.10E-09;76.375069;0.1000002;5.51E-10;76.375069;;;;5.51E-10;1.1E-09
-53;-1.10E-09;76.585486;0.0999997;5.56E-10;76.585486;;;;5.56E-10;1.1E-09
-53.5001;-1.12E-09;76.762042;0.0999999;5.63E-10;76.762042;;;;5.63E-10;1.12E-09
-54;-1.11E-09;76.938538;0.0999996;5.47E-10;76.938538;;;;5.47E-10;1.11E-09
-54.5;-1.11E-09;77.116035;0.1000001;5.52E-10;77.116035;;;;5.52E-10;1.11E-09
-55;-1.08E-09;77.292579;0.1000003;5.14E-10;77.292579;;;;5.14E-10;1.08E-09
-55.5;-1.11E-09;77.469306;0.1000004;5.39E-10;77.469306;;;;5.39E-10;1.11E-09
-56;-1.11E-09;77.646973;0.0999997;5.34E-10;77.646973;;;;5.34E-10;1.11E-09
-56.5;-1.14E-09;77.823733;0.1000001;5.66E-10;77.823733;;;;5.66E-10;1.14E-09
-57;-1.10E-09;78.000259;0.0999999;5.30E-10;78.000259;;;;5.3E-10;1.1E-09
-57.5001;-1.12E-09;78.179079;0.1000003;5.38E-10;78.179079;;;;5.38E-10;1.12E-09
-58.0001;-1.08E-09;78.355779;0.0999999;5.09E-10;78.355779;;;;5.09E-10;1.08E-09
-58.5001;-1.12E-09;78.549159;0.1000002;5.46E-10;78.549159;;;;5.46E-10;1.12E-09
-59.0001;-1.09E-09;78.725889;0.1000003;5.18E-10;78.725889;;;;5.18E-10;1.09E-09
-59.5;-1.14E-09;78.902484;0.0999999;5.60E-10;78.902484;;;;5.6E-10;1.14E-09
-60.0001;-1.12E-09;79.114148;0.1;5.44E-10;79.114148;;;;5.44E-10;1.12E-09
