#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:18:32;;;;;;;;;;ON/OFF;;ON/OFF_new;2.24E+05
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;(IDrain)^1/2 (A^1/2);;;|IDrain| (A);|IGate| (A);;;6.38E+06;;IDrain_off_avg;2.17E-10
-38.5;1.50E-10;8.104568;0.999999;-2.70E-10;8.104568;;;0;;;2.70E-10;1.50E-10;;;;;;
-38.0001;1.72E-10;8.280815;1;-2.41E-10;8.280815;;;0;;;2.41E-10;1.72E-10;;;;;;
-37.5;1.76E-10;8.459274;0.999999;-1.78E-10;8.459274;;;0;;;1.78E-10;1.76E-10;;;;;;
-37;2.17E-10;8.635556;0.999999;-1.16E-10;8.635556;;;0;;;1.16E-10;2.17E-10;;;;;;
-36.5;2.34E-10;8.811904;1;-1.14E-11;8.811904;;;0;;;1.14E-11;2.34E-10;;;;;;
-36.0001;2.91E-10;8.99038;0.999999;6.39E-11;8.99038;;;7.99E-06;;;6.39E-11;2.91E-10;;;;;;
-35.5001;3.02E-10;9.166733;0.999999;2.68E-10;9.166733;;;1.64E-05;;;2.68E-10;3.02E-10;;;;;;
-35.0001;2.88E-10;9.36436;0.999999;5.37E-10;9.36436;;;2.32E-05;;;5.37E-10;2.88E-10;;;;;;
-34.5001;3.56E-10;9.540787;1;8.23E-10;9.540787;;;2.87E-05;;;8.23E-10;3.56E-10;;;;;;
-34;3.44E-10;9.717094;1;1.37E-09;9.717094;;;3.70E-05;;;1.37E-09;3.44E-10;;;;;;
-33.5001;3.06E-10;9.930159;1;1.97E-09;9.930159;;;4.44E-05;;;1.97E-09;3.06E-10;;;;;;
-33;3.50E-10;10.106522;1;2.89E-09;10.106522;;;5.38E-05;;;2.89E-09;3.50E-10;;;;;;
-32.5001;3.20E-10;10.282814;0.999999;4.16E-09;10.282814;;;6.45E-05;;;4.16E-09;3.20E-10;;;;;;
-32;2.70E-10;10.459112;1.000001;5.78E-09;10.459112;;;7.60E-05;;;5.78E-09;2.70E-10;;;;;;
-31.5;2.53E-10;10.635586;1;7.72E-09;10.635586;;;8.79E-05;;;7.72E-09;2.53E-10;;;;;;
-31;2.36E-10;10.805962;1.000001;1.04E-08;10.805962;;;0.00010198;;;1.04E-08;2.36E-10;;;;;;
-30.5001;2.58E-10;10.956065;1.000002;1.40E-08;10.956065;;;0.000118322;;;0.000000014;2.58E-10;;;;;;
-30.0001;2.94E-10;11.106193;1.000002;1.80E-08;11.106193;;;0.000134164;;;0.000000018;2.94E-10;;;;;;
-29.5001;3.01E-10;11.256219;1.000001;2.31E-08;11.256219;;;0.000151987;;;2.31E-08;3.01E-10;;;;;;
-29;2.81E-10;11.407254;1.000002;2.82E-08;11.407254;;;0.000167929;;;2.82E-08;2.81E-10;;;;;;
-28.5001;2.89E-10;11.557341;1.000003;3.44E-08;11.557341;;;0.000185472;;;3.44E-08;2.89E-10;;;;;;
-28.0001;3.13E-10;11.707337;1.000002;4.18E-08;11.707337;;;0.00020445;;;4.18E-08;3.13E-10;;;;;;
-27.5;2.73E-10;11.886039;1.000006;4.83E-08;11.886039;;;0.000219773;;;4.83E-08;2.73E-10;;;;;;
-27.0001;3.00E-10;12.036125;1.000001;5.71E-08;12.036125;;;0.000238956;;;5.71E-08;3.00E-10;;;;;;
-26.5001;3.03E-10;12.186234;1.000002;6.45E-08;12.186234;;;0.000253969;;;6.45E-08;3.03E-10;;;;;;
-26.0001;3.08E-10;12.336205;0.999992;7.42E-08;12.336205;;;0.000272397;;;7.42E-08;3.08E-10;;;;;;
-25.5001;3.13E-10;12.502251;1.000002;8.27E-08;12.502251;;;0.000287576;;;8.27E-08;3.13E-10;;;;;;
-25;3.14E-10;12.652266;0.999994;9.39E-08;12.652266;;;0.000306431;;;9.39E-08;3.14E-10;;;;;;
-24.5001;3.06E-10;12.808228;0.999999;1.03E-07;12.808228;;;0.000320936;;;0.000000103;3.06E-10;;;;;;
-24;3.08E-10;12.958243;1;1.17E-07;12.958243;;;0.000342053;;;0.000000117;3.08E-10;;;;;;
-23.5001;3.19E-10;13.108272;1;1.26E-07;13.108272;;;0.000354965;;;0.000000126;3.19E-10;;;;;;
-23;3.19E-10;13.258268;1;1.42E-07;13.258268;;;0.000376829;;;0.000000142;3.19E-10;;;;;;
-22.5001;3.02E-10;13.416758;1;1.57E-07;13.416758;;;0.000396232;;;0.000000157;3.02E-10;;;;;;
-22;3.13E-10;13.566828;1;1.69E-07;13.566828;;;0.000411096;;;0.000000169;3.13E-10;;;;;;
-21.5;3.17E-10;13.716919;1;1.81E-07;13.716919;;;0.000425441;;;0.000000181;3.17E-10;;;;;;
-21.0001;2.94E-10;13.88716;1.000001;1.95E-07;13.88716;;;0.000441588;;;0.000000195;2.94E-10;;;;;;
-20.5001;3.07E-10;14.037075;1;2.14E-07;14.037075;;;0.000462601;;;0.000000214;3.07E-10;;;;;;
-20.0001;3.25E-10;14.187038;1;2.26E-07;14.187038;;;0.000475395;;;0.000000226;3.25E-10;;;;;;
-19.5001;3.20E-10;14.336915;1;2.44E-07;14.336915;;;0.000493964;;;0.000000244;3.20E-10;;;;;;
-19.0001;3.25E-10;14.507079;0.999999;2.70E-07;14.507079;;;0.000519615;;;0.00000027;3.25E-10;;;;;;
-18.5;3.25E-10;14.65688;0.999999;2.80E-07;14.65688;;;0.00052915;;;0.00000028;3.25E-10;;;;;;
-18;3.28E-10;14.806746;1.000001;3.04E-07;14.806746;;;0.000551362;;;0.000000304;3.28E-10;;;;;;
-17.5001;3.31E-10;14.956686;1;3.17E-07;14.956686;;;0.000563028;;;0.000000317;3.31E-10;;;;;;
-17;3.36E-10;15.107029;0.999999;3.41E-07;15.107029;;;0.000583952;;;0.000000341;3.36E-10;;;;;;
-16.5;3.35E-10;15.256948;1;3.81E-07;15.256948;;;0.000617252;;;0.000000381;3.35E-10;;;;;;
-16;3.05E-10;15.420893;1;3.93E-07;15.420893;;;0.000626897;;;0.000000393;3.05E-10;;;;;;
-15.5;3.16E-10;15.570793;0.999999;4.16E-07;15.570793;;;0.000644981;;;0.000000416;3.16E-10;;;;;;
