#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 13:23:03
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60;-5.87E-09;0.298551;0.1;4.44E-09;0.298551
-59.5;-4.16E-09;0.475511;0.1000003;2.94E-09;0.475511
-59.0001;-3.28E-09;0.652243;0.1;2.19E-09;0.652243
-58.5;-2.86E-09;0.846635;0.1000004;1.87E-09;0.846635
-58.0001;-2.33E-09;1.024062;0.1000002;1.40E-09;1.024062
-57.5001;-2.01E-09;1.200711;0.1;1.13E-09;1.200711
-57;-1.72E-09;1.409171;0.1000003;8.93E-10;1.409171
-56.5001;-1.47E-09;1.585746;0.1000003;6.99E-10;1.585746
-56.0001;-1.29E-09;1.762402;0.0999996;5.51E-10;1.762402
-55.5001;-1.17E-09;1.938942;0.1000002;4.59E-10;1.938942
-55.0001;-1.03E-09;2.115557;0.1000002;3.46E-10;2.115557
-54.5001;-9.29E-10;2.29204;0.1000004;2.73E-10;2.29204
-54;-8.39E-10;2.468839;0.0999997;2.16E-10;2.468839
-53.5001;-7.80E-10;2.645498;0.0999998;1.81E-10;2.645498
-53;-7.06E-10;2.821984;0.1000001;1.27E-10;2.821984
-52.5;-6.39E-10;3.009655;0.1000001;7.70E-11;3.009655
-52.0001;-5.97E-10;3.186248;0.1000002;5.44E-11;3.186248
-51.5;-5.60E-10;3.39289;0.1;3.01E-11;3.39289
-51;-5.08E-10;3.569429;0.0999999;5.04E-12;3.569429
-50.5001;-4.86E-10;3.746076;0.1000002;-2.43E-12;3.746076
-50;-4.54E-10;3.922591;0.0999996;-1.64E-11;3.922591
-49.5001;-4.31E-10;4.099256;0.1000004;-3.14E-11;4.099256
-49;-3.94E-10;4.275842;0.0999998;-5.67E-11;4.275842
-48.5;-3.49E-10;4.453992;0.0999996;-8.38E-11;4.453992
-48.0001;-3.23E-10;4.630684;0.0999998;-1.03E-10;4.630684
-47.5001;-2.74E-10;4.807174;0.0999998;-1.42E-10;4.807174
-47.0001;-2.30E-10;4.985725;0.1000001;-1.72E-10;4.985725
-46.5;-1.79E-10;5.162337;0.0999996;-2.10E-10;5.162337
-46;-1.70E-10;5.359081;0.1;-2.16E-10;5.359081
-45.5;-1.03E-10;5.535688;0.1000002;-2.72E-10;5.535688
-45;-3.63E-11;5.712265;0.0999999;-3.22E-10;5.712265
-44.5001;-1.98E-11;5.925239;0.1000001;-3.37E-10;5.925239
-44;2.23E-11;6.101729;0.0999998;-3.66E-10;6.101729
-43.5;6.88E-11;6.278359;0.1000003;-3.98E-10;6.278359
-43;1.13E-10;6.454659;0.1000002;-4.33E-10;6.454659
-42.5;1.40E-10;6.631349;0.1;-4.53E-10;6.631349
-42.0001;1.60E-10;6.807723;0.1000002;-4.64E-10;6.807723
-41.4999;1.71E-10;6.986536;0.0999998;-4.67E-10;6.986536
-41;2.04E-10;7.16304;0.1;-4.87E-10;7.16304
-40.5;2.25E-10;7.339718;0.1;-5.02E-10;7.339718
-40;2.71E-10;7.521183;0.1000001;-5.38E-10;7.521183
-39.5001;2.83E-10;7.697519;0.1000001;-5.40E-10;7.697519
-39.0001;3.34E-10;7.905495;0.0999999;-5.83E-10;7.905495
-38.5;3.63E-10;8.081849;0.1;-6.01E-10;8.081849
-38.0001;3.93E-10;8.258182;0.0999996;-6.23E-10;8.258182
-37.5;4.18E-10;8.435745;0.1000001;-6.31E-10;8.435745
-37;4.25E-10;8.61216;0.1000003;-6.22E-10;8.61216
-36.5;4.71E-10;8.788431;0.0999999;-6.48E-10;8.788431
-36;4.68E-10;8.966468;0.0999998;-6.30E-10;8.966468
-35.5001;4.89E-10;9.14285;0.0999993;-6.30E-10;9.14285
-35.0001;5.26E-10;9.319231;0.1000001;-6.30E-10;9.319231
-34.5;5.07E-10;9.497598;0.0999995;-5.75E-10;9.497598
-34.0001;5.22E-10;9.674104;0.0999998;-5.51E-10;9.674104
-33.5;5.39E-10;9.872569;0.0999996;-5.19E-10;9.872569
-33;5.78E-10;10.049048;0.0999998;-4.87E-10;10.049048
-32.5001;6.22E-10;10.225622;0.1;-4.44E-10;10.225622
-32;5.95E-10;10.43848;0.1000001;-3.17E-10;10.43848
-31.5;6.48E-10;10.614778;0.1000002;-2.19E-10;10.614778
-31.0001;6.53E-10;10.791096;0.1000007;-3.94E-11;10.791096
-30.5001;6.59E-10;10.967285;0.0999999;1.69E-10;10.967285
-30.0001;7.01E-10;11.14375;0.1;4.00E-10;11.14375
-29.5001;7.27E-10;11.319962;0.0999997;6.85E-10;11.319962
-29;7.69E-10;11.498729;0.0999999;1.04E-09;11.498729
-28.5;7.47E-10;11.675219;0.0999997;1.52E-09;11.675219
-28.0001;7.95E-10;11.851585;0.1;1.97E-09;11.851585
-27.5001;8.34E-10;12.034386;0.1000004;2.47E-09;12.034386
-27.0001;8.20E-10;12.210829;0.1;3.18E-09;12.210829
-26.5001;8.06E-10;12.414842;0.1000006;3.78E-09;12.414842
-26;8.08E-10;12.591102;0.1000001;4.84E-09;12.591102
-25.5;8.37E-10;12.767342;0.1;5.63E-09;12.767342
-25.0001;8.82E-10;12.944621;0.0999999;6.60E-09;12.944621
-24.5001;8.92E-10;13.120783;0.0999998;7.76E-09;13.120783
-24.0001;9.05E-10;13.297302;0.0999992;8.92E-09;13.297302
-23.5001;9.67E-10;13.467638;0.0999999;1.04E-08;13.467638
-23;1.01E-09;13.617746;0.1000008;1.17E-08;13.617746
-22.5001;1.13E-09;13.767825;0.099999;1.29E-08;13.767825
-22;1.12E-09;13.925262;0.0999988;1.46E-08;13.925262
-21.5001;1.12E-09;14.075302;0.099999;1.66E-08;14.075302
-21.0001;1.17E-09;14.225135;0.0999998;1.82E-08;14.225135
-20.5001;1.14E-09;14.399793;0.0999998;2.03E-08;14.399793
-20.0001;1.25E-09;14.5497;0.0999991;2.27E-08;14.5497
-19.5001;1.23E-09;14.69951;0.1000007;2.42E-08;14.69951
-19;1.28E-09;14.849275;0.0999975;2.63E-08;14.849275
-18.5;1.31E-09;15.015782;0.1000038;2.90E-08;15.015782
-18.0001;1.29E-09;15.165676;0.1000022;3.24E-08;15.165676
-17.5;1.42E-09;15.315539;0.1000034;3.45E-08;15.315539
-17;1.40E-09;15.46553;0.0999971;3.76E-08;15.46553
-16.5001;1.39E-09;15.615746;0.1000023;4.03E-08;15.615746
-16.0001;1.54E-09;15.765631;0.0999995;4.25E-08;15.765631
-15.5;1.39E-09;15.929976;0.0999955;4.62E-08;15.929976
-15;1.46E-09;16.079882;0.100001;4.90E-08;16.079882
-14.5001;1.50E-09;16.229897;0.1000032;5.28E-08;16.229897
-14.0001;1.51E-09;16.404918;0.099999;5.54E-08;16.404918
-13.5;1.62E-09;16.554831;0.0999983;5.90E-08;16.554831
-13;1.75E-09;16.704668;0.1000004;6.20E-08;16.704668
-12.5001;1.85E-09;16.854419;0.1000037;6.55E-08;16.854419
-12.0001;1.91E-09;17.020626;0.1000032;6.81E-08;17.020626
-11.5001;2.06E-09;17.170481;0.0999948;7.39E-08;17.170481
-11.0001;1.98E-09;17.320417;0.1000054;7.77E-08;17.320417
-10.5001;1.99E-09;17.470248;0.0999938;8.12E-08;17.470248
-10;2.26E-09;17.620609;0.1000018;8.53E-08;17.620609
-9.5;1.99E-09;17.770451;0.1000038;9.13E-08;17.770451
-9;1.96E-09;17.934908;0.0999976;9.53E-08;17.934908
-8.5001;2.00E-09;18.084812;0.1000031;1.00E-07;18.084812
-8.0001;1.94E-09;18.240575;0.0999998;1.04E-07;18.240575
-7.5001;1.71E-09;18.428354;0.0999998;1.09E-07;18.428354
-7.0001;1.75E-09;18.5782;0.1000001;1.15E-07;18.5782
-6.5;1.70E-09;18.728295;0.1;1.22E-07;18.728295
-6.0001;1.49E-09;18.909633;0.0999997;1.26E-07;18.909633
-5.5;1.37E-09;19.059705;0.0999999;1.34E-07;19.059705
-5.0001;1.43E-09;19.20964;0.1000004;1.39E-07;19.20964
-4.5001;1.35E-09;19.359432;0.0999999;1.45E-07;19.359432
-4;1.30E-09;19.526826;0.0999999;1.51E-07;19.526826
-3.5001;1.30E-09;19.676795;0.0999996;1.59E-07;19.676795
-3.0001;1.33E-09;19.82663;0.1000001;1.66E-07;19.82663
-2.5001;1.32E-09;19.976468;0.0999998;1.73E-07;19.976468
-2;1.30E-09;20.126836;0.1000001;1.81E-07;20.126836
-1.5001;1.25E-09;20.276745;0.0999998;1.86E-07;20.276745
-1.0001;1.20E-09;20.441178;0.1;1.95E-07;20.441178
-0.5;1.17E-09;20.591108;0.1000002;2.05E-07;20.591108
0;1.14E-09;20.74102;0.0999996;2.12E-07;20.74102
0.5;9.51E-10;20.916248;0.1;2.21E-07;20.916248
0.9999;1.01E-09;21.066113;0.1000002;2.30E-07;21.066113
1.4999;1.11E-09;21.216117;0.1;2.39E-07;21.216117
2;1.26E-09;21.365941;0.0999998;2.50E-07;21.365941
2.4999;1.37E-09;21.531769;0.1000001;2.58E-07;21.531769
3;1.43E-09;21.68171;0.0999998;2.71E-07;21.68171
3.5;1.40E-09;21.831502;0.1000002;2.83E-07;21.831502
4;1.24E-09;21.981328;0.1000004;2.93E-07;21.981328
4.5;1.15E-09;22.131671;0.0999996;3.08E-07;22.131671
5;1.05E-09;22.281557;0.1000001;3.18E-07;22.281557
5.5;8.48E-10;22.445742;0.0999999;3.31E-07;22.445742
6;8.34E-10;22.595601;0.0999999;3.43E-07;22.595601
6.4999;7.97E-10;22.745483;0.1000001;3.58E-07;22.745483
7;5.54E-10;22.916991;0.1000003;3.67E-07;22.916991
7.4999;6.69E-10;23.06687;0.1000006;3.78E-07;23.06687
7.9999;5.81E-10;23.216902;0.1000005;3.96E-07;23.216902
8.5;5.18E-10;23.366731;0.1000004;4.06E-07;23.366731
9;4.60E-10;23.536665;0.100001;4.20E-07;23.536665
9.5;4.18E-10;23.686553;0.1;4.39E-07;23.686553
10;3.64E-10;23.836408;0.0999992;4.55E-07;23.836408
10.5;3.33E-10;23.986235;0.1000007;4.69E-07;23.986235
10.9999;2.94E-10;24.136571;0.0999999;4.85E-07;24.136571
11.4999;2.76E-10;24.286463;0.1000004;4.99E-07;24.286463
11.9999;2.40E-10;24.450884;0.1000002;5.17E-07;24.450884
12.4999;2.50E-10;24.600763;0.0999997;5.36E-07;24.600763
12.9999;2.50E-10;24.750692;0.1000002;5.50E-07;24.750692
13.5001;2.16E-10;24.926274;0.1000006;5.66E-07;24.926274
14;2.34E-10;25.076104;0.1000002;5.83E-07;25.076104
14.4999;2.38E-10;25.226138;0.0999997;6.06E-07;25.226138
15;2.30E-10;25.37601;0.1000001;6.22E-07;25.37601
15.5;2.47E-10;25.541585;0.0999994;6.46E-07;25.541585
16;2.47E-10;25.691516;0.1000005;6.66E-07;25.691516
16.4999;2.49E-10;25.841303;0.1000009;6.79E-07;25.841303
16.9999;2.58E-10;25.991152;0.1000004;7.03E-07;25.991152
17.4999;2.68E-10;26.141625;0.1000013;7.18E-07;26.141625
18;2.62E-10;26.291539;0.100001;7.40E-07;26.291539
