#scan;iMeasureCycle=1;iMux=0;time=0.152;N=492;LocalTime=21/12/2023 11:46:01;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
10;5.06E-08;0.313813;0;-4.91E-08;0.313813;;;0;4.91E-08
10;2.29E-08;0.457942;-0.50001;-2.19E-08;0.457942;;;-0.50001;2.19E-08
10;3.74E-09;0.64304;-0.99999;-2.83E-09;0.64304;;;-0.99999;2.83E-09
10.00008;6.15E-09;0.862753;-1.50008;-5.40E-09;0.862753;;;-1.50008;5.4E-09
10;3.53E-09;1.03891;-2;-2.93E-09;1.03891;;;-2;2.93E-09
10.00002;7.41E-09;1.269162;-2.5;-6.84E-09;1.269162;;;-2.5;6.84E-09
10.00004;3.55E-08;1.433264;-3.00005;-3.51E-08;1.433264;;;-3.00005;3.51E-08
10;4.93E-09;1.609369;-3.50001;-4.53E-09;1.609369;;;-3.50001;4.53E-09
9.99999;5.65E-09;1.803431;-3.99999;-5.30E-09;1.803431;;;-3.99999;5.3E-09
10;4.34E-09;1.979616;-4.50001;-4.01E-09;1.979616;;;-4.50001;4.01E-09
9.99999;4.01E-09;2.155813;-5;-3.70E-09;2.155813;;;-5;3.7E-09
10;1.27E-08;2.330212;-5.5;-1.25E-08;2.330212;;;-5.5;1.25E-08
9.99997;1.32E-08;2.50819;-5.99999;-1.30E-08;2.50819;;;-5.99999;0.000000013
10;2.33E-08;2.65799;-6.50001;-2.32E-08;2.65799;;;-6.50001;2.32E-08
9.99996;1.44E-08;2.819093;-6.99996;-1.42E-08;2.819093;;;-6.99996;1.42E-08
9.99999;1.52E-09;2.997763;-7.5;-1.28E-09;2.997763;;;-7.5;1.28E-09
10;1.52E-09;3.17385;-8.00001;-1.29E-09;3.17385;;;-8.00001;1.29E-09
9.99992;9.70E-09;3.398098;-8.49992;-9.50E-09;3.398098;;;-8.49992;9.5E-09
9.99998;2.86E-09;3.574191;-8.99999;-2.65E-09;3.574191;;;-8.99999;2.65E-09
10;1.67E-09;3.77913;-9.5;-1.48E-09;3.77913;;;-9.5;1.48E-09
10;3.12E-09;3.955136;-9.99999;-2.92E-09;3.955136;;;-9.99999;2.92E-09
9.99999;1.65E-09;4.131286;-10.50001;-1.45E-09;4.131286;;;-10.50001;1.45E-09
9.99999;3.25E-09;4.321521;-11;-3.08E-09;4.321521;;;-11;3.08E-09
10.00002;8.05E-09;4.523096;-11.50002;-7.88E-09;4.523096;;;-11.50002;7.88E-09
9.99999;5.04E-09;4.713475;-12;-4.88E-09;4.713475;;;-12;4.88E-09
9.99998;4.29E-09;4.909524;-12.49998;-4.13E-09;4.909524;;;-12.49998;4.13E-09
10;9.69E-08;5.11376;-13;-9.69E-08;5.11376;;;-13;9.69E-08
10;2.13E-08;5.299031;-13.5;-2.13E-08;5.299031;;;-13.5;2.13E-08
10.00003;2.25E-08;5.494515;-14.00004;-2.23E-08;5.494515;;;-14.00004;2.23E-08
9.9999;1.10E-08;5.698223;-14.49989;-1.09E-08;5.698223;;;-14.49989;1.09E-08
10.00001;1.06E-08;5.904557;-15.00002;-1.05E-08;5.904557;;;-15.00002;1.05E-08
10;2.26E-08;6.112032;-15.5;-2.27E-08;6.112032;;;-15.5;2.27E-08
9.99999;1.61E-09;6.26156;-16;-1.46E-09;6.26156;;;-16;1.46E-09
9.99999;1.50E-09;6.418653;-16.5;-1.36E-09;6.418653;;;-16.5;1.36E-09
9.99999;1.52E-09;6.539876;-17;-1.37E-09;6.539876;;;-17;1.37E-09
9.99999;1.68E-09;6.661121;-17.5;-1.54E-09;6.661121;;;-17.5;1.54E-09
9.99999;1.77E-09;6.782296;-18;-1.63E-09;6.782296;;;-18;1.63E-09
9.99999;1.72E-09;6.903492;-18.5;-1.58E-09;6.903492;;;-18.5;1.58E-09
9.99999;1.80E-09;7.024714;-19;-1.66E-09;7.024714;;;-19;1.66E-09
9.99999;1.79E-09;7.145991;-19.5;-1.65E-09;7.145991;;;-19.5;1.65E-09
9.99999;1.68E-09;7.267173;-20;-1.54E-09;7.267173;;;-20;1.54E-09
9.99999;8.31E-10;7.389021;-20;-6.93E-10;7.389021;;;-20;6.93E-10
9.99999;2.67E-10;7.510272;-19.50001;-1.26E-10;7.510272;;;-19.50001;1.26E-10
9.99999;1.46E-10;7.631467;-19.00001;-8.56E-12;7.631467;;;-19.00001;8.56E-12
9.99999;8.80E-11;7.752686;-18.50001;4.83E-11;7.752686;;;-18.50001;4.83E-11
9.99999;3.56E-11;7.881424;-18.00001;9.86E-11;7.881424;;;-18.00001;9.86E-11
9.99999;-3.49E-11;8.002718;-17.50001;1.73E-10;8.002718;;;-17.50001;1.73E-10
9.99999;-8.21E-10;8.123932;-17.00001;9.59E-10;8.123932;;;-17.00001;9.59E-10
9.99999;-7.87E-10;8.245101;-16.50001;9.31E-10;8.245101;;;-16.50001;9.31E-10
9.99999;-4.61E-10;8.383403;-16.00001;6.00E-10;8.383403;;;-16.00001;6E-10
9.99999;-2.31E-09;8.504663;-15.50001;2.45E-09;8.504663;;;-15.50001;2.45E-09
9.99999;-5.90E-10;8.653303;-15.00001;7.25E-10;8.653303;;;-15.00001;7.25E-10
9.99999;-7.63E-10;8.774631;-14.50001;9.00E-10;8.774631;;;-14.50001;9E-10
9.99999;-1.49E-10;8.895829;-14.00001;2.86E-10;8.895829;;;-14.00001;2.86E-10
9.99999;-8.46E-10;9.017061;-13.5;9.87E-10;9.017061;;;-13.5;9.87E-10
9.99999;-7.45E-10;9.138273;-13.00001;8.80E-10;9.138273;;;-13.00001;8.8E-10
9.99999;-1.02E-09;9.259448;-12.50001;1.15E-09;9.259448;;;-12.50001;1.15E-09
9.99999;-8.18E-10;9.384419;-12.00001;9.51E-10;9.384419;;;-12.00001;9.51E-10
9.99999;-4.58E-10;9.505679;-11.50001;5.92E-10;9.505679;;;-11.50001;5.92E-10
10;-1.65E-09;9.626889;-11.00002;1.79E-09;9.626889;;;-11.00002;1.79E-09
9.99999;-1.94E-09;9.748128;-10.5;2.07E-09;9.748128;;;-10.5;2.07E-09
9.99999;-4.02E-10;9.921025;-10;5.30E-10;9.921025;;;-10;5.3E-10
9.99999;-4.20E-10;10.042234;-9.50001;5.51E-10;10.042234;;;-9.50001;5.51E-10
9.99999;-4.67E-10;10.16342;-9.00001;6.00E-10;10.16342;;;-9.00001;6E-10
9.99999;-4.87E-10;10.284596;-8.5;6.19E-10;10.284596;;;-8.5;6.19E-10
9.99999;-3.23E-10;10.405792;-8.00001;4.58E-10;10.405792;;;-8.00001;4.58E-10
9.99999;-2.86E-10;10.527103;-7.50001;4.19E-10;10.527103;;;-7.50001;4.19E-10
9.99999;-5.17E-10;10.648316;-7.00001;6.51E-10;10.648316;;;-7.00001;6.51E-10
9.99999;-1.06E-09;10.769545;-6.50001;1.19E-09;10.769545;;;-6.50001;1.19E-09
9.99999;-6.23E-10;10.896448;-6.00001;7.57E-10;10.896448;;;-6.00001;7.57E-10
9.99999;-1.03E-09;11.017709;-5.5;1.16E-09;11.017709;;;-5.5;1.16E-09
9.99999;-1.01E-09;11.139012;-5.00001;1.14E-09;11.139012;;;-5.00001;1.14E-09
9.99999;-7.25E-10;11.260183;-4.50001;8.65E-10;11.260183;;;-4.50001;8.65E-10
9.99999;-1.06E-09;11.388374;-4.00001;1.19E-09;11.388374;;;-4.00001;1.19E-09
9.99999;-8.80E-10;11.509623;-3.50001;1.01E-09;11.509623;;;-3.50001;1.01E-09
9.99999;-7.79E-10;11.630825;-3.00001;9.12E-10;11.630825;;;-3.00001;9.12E-10
9.99999;-8.34E-10;11.752067;-2.50001;9.68E-10;11.752067;;;-2.50001;9.68E-10
9.99999;-9.86E-10;11.890343;-2.00001;1.12E-09;11.890343;;;-2.00001;1.12E-09
9.99999;-8.41E-10;12.011621;-1.50001;9.76E-10;12.011621;;;-1.50001;9.76E-10
9.99999;-8.96E-10;12.132842;-1.00001;1.03E-09;12.132842;;;-1.00001;1.03E-09
9.99999;-9.36E-10;12.254035;-0.50001;1.07E-09;12.254035;;;-0.50001;1.07E-09
9.99999;-8.88E-10;12.390294;-1.00E-05;1.02E-09;12.390294;;;-1.00E-05;1.02E-09
4.99999;-7.54E-09;12.56051;0;8.26E-12;12.56051;;;0;8.26E-12
5;-5.49E-10;12.697824;-0.5;-1.57E-10;12.697824;;;-0.5;1.57E-10
5;1.33E-10;12.819009;-1;-7.15E-10;12.819009;;;-1;7.15E-10
5;2.76E-10;12.940187;-1.5;-2.04E-09;12.940187;;;-1.5;2.04E-09
5;2.73E-10;13.088841;-2.00001;-3.54E-09;13.088841;;;-2.00001;3.54E-09
5;2.98E-10;13.237491;-2.50001;-5.22E-09;13.237491;;;-2.50001;5.22E-09
5;2.22E-10;13.41073;-3;-1.22E-08;13.41073;;;-3;1.22E-08
5.00001;5.32E-10;13.533104;-3.5;-1.88E-08;13.533104;;;-3.5;1.88E-08
5;6.17E-10;13.655481;-3.99999;-2.73E-08;13.655481;;;-3.99999;2.73E-08
