#scan;iMeasureCycle=1;iMux=0;time=0.151;N=142;LocalTime=21/12/2023 11:50:12;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
20;4.00E-09;0.311293;-10;-2.09E-09;0.311293;;;20;2.09E-09;4.00E-09;4.57E-05;;;7.19E-10
19.49999;2.76E-09;0.487762;-10.00001;-1.47E-09;0.487762;;;19.49999;1.47E-09;2.76E-09;3.83E-05;;;
18.99999;2.13E-09;0.66381;-10.00001;-1.15E-09;0.66381;;;18.99999;1.15E-09;2.13E-09;3.40E-05;;;IDS_max
18.49999;1.71E-09;0.859416;-10;-9.46E-10;0.859416;;;18.49999;9.46E-10;1.71E-09;3.08E-05;;;7.06E-05
18;1.47E-09;1.035471;-10;-8.30E-10;1.035471;;;18;8.30E-10;1.47E-09;2.88E-05;;;
17.49999;1.30E-09;1.211497;-10.00001;-7.48E-10;1.211497;;;17.49999;7.48E-10;1.30E-09;2.74E-05;;;ON/OFF
17;1.16E-09;1.420741;-10.00001;-6.80E-10;1.420741;;;17;6.80E-10;1.16E-09;2.61E-05;;;9.82E+04
16.5;1.07E-09;1.596848;-10.00001;-6.37E-10;1.596848;;;16.5;6.37E-10;1.07E-09;2.52E-05;;;
15.99999;9.90E-10;1.772971;-10.00001;-6.05E-10;1.772971;;;15.99999;6.05E-10;9.90E-10;2.46E-05;;;
15.49999;9.26E-10;1.949327;-10;-5.73E-10;1.949327;;;15.49999;5.73E-10;9.26E-10;2.39E-05;;;
15;8.76E-10;2.125351;-10.00001;-5.52E-10;2.125351;;;15;5.52E-10;8.76E-10;2.35E-05;;;
14.50001;8.31E-10;2.301417;-10;-5.32E-10;2.301417;;;14.50001;5.32E-10;8.31E-10;2.31E-05;;;
13.99999;7.95E-10;2.47879;-10;-5.17E-10;2.47879;;;13.99999;5.17E-10;7.95E-10;2.27E-05;;;
13.49999;7.60E-10;2.654907;-10;-5.04E-10;2.654907;;;13.49999;5.04E-10;7.60E-10;2.25E-05;;;
12.99999;7.26E-10;2.830884;-10.00001;-4.93E-10;2.830884;;;12.99999;4.93E-10;7.26E-10;2.22E-05;;;
12.49999;6.91E-10;3.022218;-10;-4.80E-10;3.022218;;;12.49999;4.80E-10;6.91E-10;2.19E-05;;;
12;6.54E-10;3.198183;-10.00001;-4.69E-10;3.198183;;;12;4.69E-10;6.54E-10;2.16E-05;;;
11.49999;6.30E-10;3.402248;-10.00001;-4.62E-10;3.402248;;;11.49999;4.62E-10;6.30E-10;2.15E-05;;;
11;5.84E-10;3.578314;-10;-4.53E-10;3.578314;;;11;4.53E-10;5.84E-10;2.13E-05;;;
10.49999;5.27E-10;3.754355;-10;-4.47E-10;3.754355;;;10.49999;4.47E-10;5.27E-10;2.11E-05;;;
10;4.51E-10;3.936252;-10.00001;-4.52E-10;3.936252;;;10;4.52E-10;4.51E-10;2.13E-05;;;
9.5;3.56E-10;4.112529;-10.00001;-5.29E-10;4.112529;;;9.5;5.29E-10;3.56E-10;2.30E-05;;;
9;2.47E-10;4.288579;-10.00001;-1.02E-09;4.288579;;;9;1.02E-09;2.47E-10;3.19E-05;;;
8.5;7.88E-11;4.464715;-10.00001;-2.88E-09;4.464715;;;8.5;2.88E-09;7.88E-11;5.36E-05;;;
7.99999;-1.88E-10;4.640892;-10.00001;-8.15E-09;4.640892;;;7.99999;8.15E-09;1.88E-10;9.03E-05;;;
7.5;-6.37E-10;4.811284;-10;-2.10E-08;4.811284;;;7.5;2.10E-08;6.37E-10;0.000144849;;;
6.99999;-1.34E-09;4.961225;-10;-4.79E-08;4.961225;;;6.99999;4.79E-08;1.34E-09;0.000218809;;;
6.5;-2.06E-09;5.111171;-10;-9.76E-08;5.111171;;;6.5;9.76E-08;2.06E-09;0.000312339;;;
6;-2.60E-09;5.266854;-10;-1.82E-07;5.266854;;;6;1.82E-07;2.60E-09;0.000426472;;;
5.5;-2.61E-09;5.416922;-10;-3.16E-07;5.416922;;;5.5;3.16E-07;2.61E-09;0.00056182;;;
5;-1.37E-09;5.566779;-10;-5.19E-07;5.566779;;;5;5.19E-07;1.37E-09;0.000720349;;;
4.5;-1.98E-10;5.716646;-10;-8.16E-07;5.716646;;;4.5;8.16E-07;1.98E-10;0.000903538;;;
4;3.02E-10;5.902721;-10;-1.23E-06;5.902721;;;4;1.23E-06;3.02E-10;0.00110918;;;
3.5;2.86E-10;6.052553;-10;-1.80E-06;6.052553;;;3.5;1.80E-06;2.86E-10;0.001341391;;;
3;3.10E-10;6.202402;-10;-2.55E-06;6.202402;;;3;2.55E-06;3.10E-10;0.001596446;;;
2.49999;3.24E-10;6.384448;-10;-3.51E-06;6.384448;;;2.49999;3.51E-06;3.24E-10;0.001874172;;;
2;2.80E-10;6.534423;-10;-4.76E-06;6.534423;;;2;4.76E-06;2.80E-10;0.002182654;;;
1.49999;2.36E-10;6.684313;-10;-6.34E-06;6.684313;;;1.49999;6.34E-06;2.36E-10;0.002517874;;;
1.00001;1.87E-10;6.834118;-10;-8.25E-06;6.834118;;;1.00001;8.25E-06;1.87E-10;0.002872034;;;
0.49999;1.45E-10;7.009499;-10;-1.05E-05;7.009499;;;0.49999;1.05E-05;1.45E-10;0.003237792;;;
0;5.68E-11;7.159194;-10;-1.29E-05;7.159194;;;0;1.29E-05;5.68E-11;0.003596762;;;
-0.5;-7.56E-11;7.309177;-10;-1.55E-05;7.309177;;;-0.5;1.55E-05;7.56E-11;0.003937271;;;
-1.00001;-2.27E-10;7.459135;-10;-1.82E-05;7.459135;;;-1.00001;1.82E-05;2.27E-10;0.004262147;;;
-1.5;-3.77E-10;7.609037;-10;-2.09E-05;7.609037;;;-1.5;2.09E-05;3.77E-10;0.004572713;;;
-2;-5.28E-10;7.758859;-10;-2.37E-05;7.758859;;;-2;2.37E-05;5.28E-10;0.004870688;;;
-2.5;-6.12E-10;7.9166;-10;-2.66E-05;7.9166;;;-2.5;2.66E-05;6.12E-10;0.005156656;;;
-3;-7.93E-10;8.066521;-10;-2.95E-05;8.066521;;;-3;0.000029503;7.93E-10;0.005431666;;;
