Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	3.6034e-05	1.1821e-10	-10.0	-2.5
1.0	3.6032e-05	1.0429e-10	-10.0	-2.5
1.5	3.6026e-05	9.5441e-11	-10.0	-2.5
2.0	3.6027e-05	9.3566e-11	-10.0	-2.5
2.5	3.6017e-05	8.978e-11	-10.0	-2.5
3.0	3.6011e-05	8.6865e-11	-10.0	-2.5
3.5	3.6005e-05	8.5722e-11	-10.0	-2.5
4.0	3.5994e-05	8.4822e-11	-10.0	-2.5
4.5	3.5992e-05	8.3082e-11	-10.0	-2.5
5.0	3.5987e-05	8.3783e-11	-10.0	-2.5
5.5	3.5975e-05	8.5158e-11	-10.0	-2.5
6.0	3.5968e-05	8.414e-11	-10.0	-2.5
6.5	3.5957e-05	8.3649e-11	-10.0	-2.5
7.0	3.5954e-05	8.572e-11	-10.0	-2.5
7.5	3.5947e-05	8.186e-11	-10.0	-2.5
8.0	3.5938e-05	8.2564e-11	-10.0	-2.5
8.5	3.5934e-05	8.5154e-11	-10.0	-2.5
9.0	3.5922e-05	8.5562e-11	-10.0	-2.5
9.5	3.5921e-05	8.4033e-11	-10.0	-2.5
10.0	3.5913e-05	8.4643e-11	-10.0	-2.5
10.5	3.5905e-05	8.1357e-11	-10.0	-2.5
11.0	3.5907e-05	8.2506e-11	-10.0	-2.5
11.5	3.5889e-05	8.5988e-11	-10.0	-2.5
12.0	3.589e-05	8.3246e-11	-10.0	-2.5
12.5	3.5877e-05	8.1874e-11	-10.0	-2.5
13.0	3.5868e-05	8.2436e-11	-10.0	-2.5
13.5	3.5863e-05	8.1017e-11	-10.0	-2.5
14.0	3.5855e-05	8.2749e-11	-10.0	-2.5
14.5	3.5851e-05	8.3619e-11	-10.0	-2.5
15.0	3.5846e-05	8.0783e-11	-10.0	-2.5
15.5	3.5839e-05	8.2593e-11	-10.0	-2.5
16.0	3.5835e-05	8.096e-11	-10.0	-2.5
16.5	3.5829e-05	8.4534e-11	-10.0	-2.5
17.0	3.5819e-05	8.281e-11	-10.0	-2.5
17.5	3.5819e-05	8.3175e-11	-10.0	-2.5
18.0	3.581e-05	7.9035e-11	-10.0	-2.5
18.5	3.5803e-05	8.3828e-11	-10.0	-2.5
19.0	3.5796e-05	8.0797e-11	-10.0	-2.5
19.5	3.5791e-05	8.2218e-11	-10.0	-2.5
20.0	3.5791e-05	8.3604e-11	-10.0	-2.5
20.5	3.5783e-05	8.2469e-11	-10.0	-2.5
21.0	3.5776e-05	8.2973e-11	-10.0	-2.5
21.5	3.5768e-05	8.1922e-11	-10.0	-2.5
22.0	3.5767e-05	8.179e-11	-10.0	-2.5
22.5	3.5756e-05	8.3184e-11	-10.0	-2.5
23.0	3.5752e-05	8.3463e-11	-10.0	-2.5
