#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
-23.5;-4.49E-10;12.189006;1;3.01E-06;12.189006;;;0.001734935
-23;-4.15E-10;12.339096;1;3.18E-06;12.339096;;;0.001783255
-22.5;-3.75E-10;12.489054;1;3.27E-06;12.489054;;;0.001808314
-22.0001;-3.43E-10;12.639838;1;3.46E-06;12.639838;;;0.001860108
-21.5001;-3.10E-10;12.789813;0.999999;3.64E-06;12.789813;;;0.001907878
-21;-3.25E-10;12.954501;1;3.83E-06;12.954501;;;0.001957039
-20.5001;-2.77E-10;13.104363;1;4.03E-06;13.104363;;;0.002007486
-20;-2.00E-10;13.254145;1;4.23E-06;13.254145;;;0.002056696
-19.5;-2.11E-10;13.430695;1;4.44E-06;13.430695;;;0.002107131
-19;-1.88E-10;13.580515;0.999999;4.65E-06;13.580515;;;0.002156386
-18.5001;-1.90E-10;13.730385;1;4.87E-06;13.730385;;;0.002206808
-18.0001;-1.75E-10;13.88022;1;5.10E-06;13.88022;;;0.002258318
-17.5;-1.69E-10;14.043814;1;5.32E-06;14.043814;;;0.002306513
-17.0001;-1.45E-10;14.193622;1;5.56E-06;14.193622;;;0.002357965
-16.5;-1.15E-10;14.343488;1;5.80E-06;14.343488;;;0.002408319
-16.0001;-1.02E-10;14.49338;1;6.03E-06;14.49338;;;0.002455606
-15.5001;-7.07E-11;14.6434;1;6.28E-06;14.6434;;;0.002505993
-15.0001;-4.22E-11;14.793247;1;6.53E-06;14.793247;;;0.002555386
-14.5001;-5.97E-11;14.955734;1;6.78E-06;14.955734;;;0.002603843
-14.0001;-2.78E-11;15.105669;1;7.04E-06;15.105669;;;0.0026533
-13.5001;-4.33E-11;15.255494;0.999999;7.30E-06;15.255494;;;0.002701851
-13.0001;-4.26E-11;15.435201;1;7.56E-06;15.435201;;;0.002749545
-12.5;-5.96E-12;15.58507;1;7.83E-06;15.58507;;;0.002798214
-12;2.40E-13;15.734994;0.999999;8.09E-06;15.734994;;;0.002844293
-11.5;2.66E-11;15.884784;1;8.37E-06;15.884784;;;0.002893095
-11.0001;2.08E-11;16.049654;1;8.65E-06;16.049654;;;0.002941088
-10.5;2.72E-11;16.199543;1;8.93E-06;16.199543;;;0.002988311
