#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
13.5001;-1.62E-10;52.479069;1;2.26E-05;52.479069;;;0.004753946
13;-1.63E-10;52.642324;1;2.23E-05;52.642324;;;0.004722288
12.4999;-1.90E-10;52.792263;1;2.19E-05;52.792263;;;0.004679744
11.9999;-1.65E-10;52.942099;1;2.16E-05;52.942099;;;0.00464758
11.5;-1.68E-10;53.091913;0.999999;2.13E-05;53.091913;;;0.004615192
10.9999;-1.59E-10;53.242036;1;2.09E-05;53.242036;;;0.004571652
10.5;-1.45E-10;53.391806;1;2.06E-05;53.391806;;;0.004538722
10;-1.48E-10;53.554779;1;2.03E-05;53.554779;;;0.004505552
9.5;-1.68E-10;53.70473;1;2.00E-05;53.70473;;;0.004472136
9;-1.65E-10;53.854689;1;1.96E-05;53.854689;;;0.004427189
8.5;-1.59E-10;54.030337;1;1.93E-05;54.030337;;;0.004393177
7.9999;-1.86E-10;54.180167;1;1.90E-05;54.180167;;;0.004358899
7.4999;-1.82E-10;54.330133;1;1.86E-05;54.330133;;;0.004312772
7;-1.72E-10;54.480003;1;1.83E-05;54.480003;;;0.00427785
6.5;-1.90E-10;54.64738;1;1.80E-05;54.64738;;;0.004242641
6;-1.80E-10;54.797384;1;1.77E-05;54.797384;;;0.004207137
5.5;-1.81E-10;54.947317;1;1.73E-05;54.947317;;;0.004159327
4.9999;-1.90E-10;55.097158;1;1.70E-05;55.097158;;;0.004123106
4.5;-1.92E-10;55.24713;1;1.67E-05;55.24713;;;0.004086563
3.9999;-1.86E-10;55.396941;1;1.64E-05;55.396941;;;0.004049691
3.5;-2.11E-10;55.559879;1;1.60E-05;55.559879;;;0.004
2.9999;-2.23E-10;55.709835;1;1.57E-05;55.709835;;;0.003962323
2.4999;-2.32E-10;55.859813;1;1.54E-05;55.859813;;;0.003924283
2;-2.10E-10;56.035645;1;1.51E-05;56.035645;;;0.003885872
1.4999;-2.06E-10;56.185524;1;1.48E-05;56.185524;;;0.003847077
0.9999;-2.11E-10;56.335445;1;1.45E-05;56.335445;;;0.003807887
0.5;-2.26E-10;56.485259;1;1.41E-05;56.485259;;;0.003754997
0;-2.32E-10;56.652312;1;1.38E-05;56.652312;;;0.003714835
-0.5;-2.23E-10;56.802334;1;1.35E-05;56.802334;;;0.003674235
-1.0001;-2.43E-10;56.952194;1;1.32E-05;56.952194;;;0.00363318
-1.5;-2.29E-10;57.102058;1;1.29E-05;57.102058;;;0.003591657
-2.0001;-2.17E-10;57.252184;1;1.26E-05;57.252184;;;0.003549648
-2.5;-2.18E-10;57.401983;1;1.23E-05;57.401983;;;0.003507136
-3.0001;-2.20E-10;57.564821;1;1.20E-05;57.564821;;;0.003464102
-3.5;-2.32E-10;57.714759;1;1.17E-05;57.714759;;;0.003420526
-4.0001;-2.43E-10;57.864646;1;1.14E-05;57.864646;;;0.003376389
-4.5;-2.44E-10;58.040427;1;1.11E-05;58.040427;;;0.003331666
-5.0001;-2.49E-10;58.190283;1;1.07E-05;58.190283;;;0.003271085
-5.5;-2.47E-10;58.340157;1;1.05E-05;58.340157;;;0.00324037
-6;-2.44E-10;58.49003;1;1.02E-05;58.49003;;;0.003193744
-6.5;-2.77E-10;58.658389;1;9.85E-06;58.658389;;;0.003138471
-7;-2.55E-10;58.808607;1;9.56E-06;58.808607;;;0.003091925
-7.5;-2.68E-10;58.958376;1;9.26E-06;58.958376;;;0.003043025
-8.0001;-2.69E-10;59.110873;1;8.99E-06;59.110873;;;0.002998333
-8.5001;-2.76E-10;59.260763;1;8.69E-06;59.260763;;;0.002947881
-9;-2.94E-10;59.410604;0.999999;8.41E-06;59.410604;;;0.0029
-9.5001;-2.78E-10;59.575064;1;8.13E-06;59.575064;;;0.002851315
-10.0001;-2.93E-10;59.724997;1;7.85E-06;59.724997;;;0.002801785
-10.5001;-3.15E-10;59.874926;1;7.57E-06;59.874926;;;0.002751363
-11;-3.10E-10;60.064044;1;7.29E-06;60.064044;;;0.0027
-11.5;-3.18E-10;60.213954;1;7.01E-06;60.213954;;;0.00264764
-12;-3.26E-10;60.363827;1;6.74E-06;60.363827;;;0.002596151
-12.5;-3.22E-10;60.54519;1;6.48E-06;60.54519;;;0.002545584
-13.0001;-3.29E-10;60.695103;1;6.21E-06;60.695103;;;0.002491987
-13.5001;-3.46E-10;60.845026;1;5.95E-06;60.845026;;;0.002439262
-14;-3.46E-10;60.994851;1;5.69E-06;60.994851;;;0.002385372
-14.5;-3.54E-10;61.163963;1;5.43E-06;61.163963;;;0.002330236
-15.0001;-3.65E-10;61.313873;1;5.19E-06;61.313873;;;0.002278157
-15.5;-3.61E-10;61.463784;1;4.94E-06;61.463784;;;0.002222611
-16.0001;-3.92E-10;61.613645;1;4.70E-06;61.613645;;;0.002167948
-16.5;-3.96E-10;61.763541;1;4.47E-06;61.763541;;;0.002114237
-17;-4.39E-10;61.913406;1;4.24E-06;61.913406;;;0.002059126
-17.5001;-4.62E-10;62.076832;1;4.01E-06;62.076832;;;0.002002498
-18;-4.61E-10;62.226767;1;3.79E-06;62.226767;;;0.001946792
-18.5;-4.64E-10;62.376537;1;3.58E-06;62.376537;;;0.001892089
-19;-4.69E-10;62.552035;1;3.37E-06;62.552035;;;0.001835756
-19.5;-4.94E-10;62.701904;1;3.16E-06;62.701904;;;0.001777639
-20;-5.14E-10;62.851754;1;2.97E-06;62.851754;;;0.001723369
-20.5;-5.59E-10;63.001521;1;2.77E-06;63.001521;;;0.001664332
-21.0001;-6.04E-10;63.169785;1;2.57E-06;63.169785;;;0.001603122
-21.5001;-7.40E-10;63.319961;1;2.39E-06;63.319961;;;0.001545962
-22;-9.37E-10;63.46992;1;2.21E-06;63.46992;;;0.001486607
-22.5001;-1.15E-09;63.619926;1;2.04E-06;63.619926;;;0.001428286
-23;-1.19E-09;63.772027;1;1.88E-06;63.772027;;;0.001371131
-23.5;-1.05E-09;63.922066;1;1.72E-06;63.922066;;;0.001311488
-24;-9.81E-10;64.098524;1;1.57E-06;64.098524;;;0.001252996
-24.5;-1.04E-09;64.248777;1;1.43E-06;64.248777;;;0.001195826
-25.0001;-9.73E-10;64.398795;1;1.30E-06;64.398795;;;0.001140175
-25.5;-9.20E-10;64.583737;1;1.18E-06;64.583737;;;0.001086278
-26;-9.81E-10;64.733791;1;1.07E-06;64.733791;;;0.001034408
-26.5001;-9.35E-10;64.883754;1;9.64E-07;64.883754;;;0.000981835
-27.0001;-9.02E-10;65.06179;1;8.70E-07;65.06179;;;0.000932738
-27.5;-9.34E-10;65.211868;1;7.81E-07;65.211868;;;0.000883742
-28;-1.05E-09;65.361866;1;6.99E-07;65.361866;;;0.000836062
-28.5;-1.05E-09;65.511928;1;6.27E-07;65.511928;;;0.000791833
-29;-1.11E-09;65.676339;1;5.61E-07;65.676339;;;0.000748999
-29.5;-1.11E-09;65.826711;1;4.99E-07;65.826711;;;0.000706399
-30;-1.11E-09;65.976832;1;4.44E-07;65.976832;;;0.000666333
-30.5;-1.24E-09;66.126864;1;3.94E-07;66.126864;;;0.000627694
-31;-1.35E-09;66.278502;1;3.48E-07;66.278502;;;0.000589915
-31.5;-1.56E-09;66.428481;1;3.08E-07;66.428481;;;0.000554977
-32.0001;-1.43E-09;66.589068;1;2.73E-07;66.589068;;;0.000522494
-32.5;-1.52E-09;66.739224;1;2.40E-07;66.739224;;;0.000489898
-33;-1.83E-09;66.889312;1;2.09E-07;66.889312;;;0.000457165
-33.5;-1.62E-09;67.063677;0.999999;1.81E-07;67.063677;;;0.000425441
-34.0001;-1.69E-09;67.213793;1;1.55E-07;67.213793;;;0.0003937
-34.5001;-1.99E-09;67.363956;1;1.30E-07;67.363956;;;0.000360555
-35;-1.99E-09;67.514012;1;1.08E-07;67.514012;;;0.000328634
-35.5;-2.10E-09;67.681474;1;8.91E-08;67.681474;;;0.000298496
-36.0001;-2.16E-09;67.849139;0.999997;7.17E-08;67.849139;;;0.000267769
-36.5001;-2.02E-09;67.999232;0.999997;5.63E-08;67.999232;;;0.000237276
-37;-2.06E-09;68.149425;0.999997;4.36E-08;68.149425;;;0.000208806
-37.5;-2.19E-09;68.299497;0.999998;3.24E-08;68.299497;;;0.00018
-38.0001;-2.32E-09;68.449506;1.000002;2.39E-08;68.449506;;;0.000154596
-38.5;-2.14E-09;68.599578;0.999996;1.67E-08;68.599578;;;0.000129228
-39.0001;-1.88E-09;68.749804;0.999997;1.19E-08;68.749804;;;0.000109087
-39.5001;-1.75E-09;68.914776;0.999999;7.83E-09;68.914776;;;8.84873E-05
-40;-1.47E-09;69.125557;1.000001;5.76E-09;69.125557;;;7.58947E-05
-40.5001;-1.38E-09;69.302097;0.999999;4.48E-09;69.302097;;;6.69328E-05
-41.0001;-1.30E-09;69.478428;1.000001;3.66E-09;69.478428;;;6.04979E-05
-41.4999;-1.30E-09;69.654914;1;3.08E-09;69.654914;;;5.54977E-05
-42;-1.39E-09;69.83169;0.999999;2.86E-09;69.83169;;;5.3479E-05
-42.5;-1.45E-09;70.007989;0.999999;2.77E-09;70.007989;;;5.26308E-05
-43.0001;-1.44E-09;70.184567;1.000001;2.58E-09;70.184567;;;5.07937E-05
-43.5;-1.32E-09;70.361028;1;2.63E-09;70.361028;;;5.12835E-05
-44;-1.23E-09;70.557877;0.999999;2.64E-09;70.557877;;;5.13809E-05
-44.5001;-1.24E-09;70.734405;0.999999;2.69E-09;70.734405;;;5.18652E-05
-45.0001;-1.20E-09;70.910864;0.999999;2.55E-09;70.910864;;;5.04975E-05
-45.5001;-1.79E-09;71.128519;0.999999;2.54E-09;71.128519;;;5.03984E-05
-46;-1.31E-09;71.304922;1;2.58E-09;71.304922;;;5.07937E-05
-46.5;-1.32E-09;71.481367;1;2.74E-09;71.481367;;;5.2345E-05
-47.0001;-1.34E-09;71.657916;1;3.20E-09;71.657916;;;5.65685E-05
-47.5001;-1.60E-09;71.834427;0.999999;2.91E-09;71.834427;;;5.39444E-05
-48.0001;-1.57E-09;72.010819;1;2.87E-09;72.010819;;;5.35724E-05
-48.5;-1.72E-09;72.188206;0.999999;2.91E-09;72.188206;;;5.39444E-05
-49;-1.79E-09;72.364701;1.000001;3.05E-09;72.364701;;;5.52268E-05
-49.5001;-1.93E-09;72.563603;0.999999;3.23E-09;72.563603;;;5.68331E-05
-50;-1.97E-09;72.740152;1.000001;3.22E-09;72.740152;;;5.6745E-05
-50.5;-1.91E-09;72.916654;1;3.02E-09;72.916654;;;5.49545E-05
-51;-1.88E-09;73.134027;0.999999;3.02E-09;73.134027;;;5.49545E-05
-51.5001;-1.87E-09;73.310611;1;2.89E-09;73.310611;;;5.37587E-05
-52;-1.86E-09;73.487117;1;2.73E-09;73.487117;;;5.22494E-05
-52.5001;-1.98E-09;73.663701;1.000001;2.67E-09;73.663701;;;5.1672E-05
-53;-2.66E-09;73.840332;1.000001;4.15E-09;73.840332;;;6.44205E-05
-53.5;-2.50E-09;74.016894;0.999997;3.99E-09;74.016894;;;6.31664E-05
-54;-2.46E-09;74.19399;0.999999;3.36E-09;74.19399;;;5.79655E-05
-54.5;-2.49E-09;74.370552;1.000001;3.79E-09;74.370552;;;6.1563E-05
-55;-2.64E-09;74.569337;1;3.74E-09;74.569337;;;6.11555E-05
-55.5;-2.60E-09;74.7459;0.999999;3.65E-09;74.7459;;;6.04152E-05
-56;-2.72E-09;74.922403;1.000001;3.28E-09;74.922403;;;5.72713E-05
-56.5001;-2.90E-09;75.135624;1;2.43E-09;75.135624;;;4.9295E-05
-57;-3.40E-09;75.312294;0.999999;2.42E-09;75.312294;;;4.91935E-05
-57.5;-3.53E-09;75.488786;1;2.49E-09;75.488786;;;4.98999E-05
-58.0001;-3.65E-09;75.665529;1;2.22E-09;75.665529;;;4.71169E-05
-58.5001;-3.76E-09;75.842159;0.999999;2.03E-09;75.842159;;;4.50555E-05
-59.0001;-3.22E-09;76.018678;1;2.01E-09;76.018678;;;4.4833E-05
-59.5;-3.08E-09;76.197696;1.000001;2.31E-09;76.197696;;;4.80625E-05
-60.0001;-3.06E-09;76.374287;1;2.22E-09;76.374287;;;4.71169E-05
