Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	2.4309e-05	1.2294e-09	-10.0	-2.5
1.0	2.4271e-05	1.1991e-09	-10.0	-2.5
1.5	2.4248e-05	1.2145e-09	-10.0	-2.5
2.0	2.4233e-05	1.2244e-09	-10.0	-2.5
2.5	2.4215e-05	1.2414e-09	-10.0	-2.5
3.0	2.4201e-05	1.2573e-09	-10.0	-2.5
3.5	2.4185e-05	1.2631e-09	-10.0	-2.5
4.0	2.4171e-05	1.2785e-09	-10.0	-2.5
4.5	2.4159e-05	1.2895e-09	-10.0	-2.5
5.0	2.4143e-05	1.3047e-09	-10.0	-2.5
5.5	2.4133e-05	1.3074e-09	-10.0	-2.5
6.0	2.4118e-05	1.3219e-09	-10.0	-2.5
6.5	2.4115e-05	1.3297e-09	-10.0	-2.5
7.0	2.41e-05	1.3386e-09	-10.0	-2.5
7.5	2.4092e-05	1.3445e-09	-10.0	-2.5
8.0	2.408e-05	1.3481e-09	-10.0	-2.5
8.5	2.4074e-05	1.354e-09	-10.0	-2.5
9.0	2.4062e-05	1.3613e-09	-10.0	-2.5
9.5	2.405e-05	1.3676e-09	-10.0	-2.5
10.0	2.4042e-05	1.3726e-09	-10.0	-2.5
10.5	2.4031e-05	1.3775e-09	-10.0	-2.5
11.0	2.4028e-05	1.385e-09	-10.0	-2.5
11.5	2.4021e-05	1.3831e-09	-10.0	-2.5
12.0	2.4015e-05	1.3927e-09	-10.0	-2.5
12.5	2.4008e-05	1.3898e-09	-10.0	-2.5
13.0	2.3999e-05	1.3923e-09	-10.0	-2.5
13.5	2.3991e-05	1.3993e-09	-10.0	-2.5
14.0	2.3985e-05	1.3986e-09	-10.0	-2.5
14.5	2.3973e-05	1.4063e-09	-10.0	-2.5
15.0	2.3968e-05	1.4058e-09	-10.0	-2.5
15.5	2.3959e-05	1.4098e-09	-10.0	-2.5
16.0	2.3954e-05	1.4145e-09	-10.0	-2.5
16.5	2.3951e-05	1.4128e-09	-10.0	-2.5
17.0	2.3943e-05	1.4175e-09	-10.0	-2.5
17.5	2.3935e-05	1.4175e-09	-10.0	-2.5
18.0	2.3932e-05	1.4203e-09	-10.0	-2.5
18.5	2.3921e-05	1.422e-09	-10.0	-2.5
19.0	2.3914e-05	1.4199e-09	-10.0	-2.5
19.5	2.3909e-05	1.4241e-09	-10.0	-2.5
20.0	2.3905e-05	1.4241e-09	-10.0	-2.5
20.5	2.3895e-05	1.4273e-09	-10.0	-2.5
