#scan;iMeasureCycle=1;iMux=0;time=0.142;N=482;LocalTime=27/10/2023 16:30:35;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;;
-60;-2.26E-09;0.302737;0.2000001;1.00E-11;0.302737;;;;1E-11;2.26E-09
-59.5001;-1.94E-09;0.47979;0.2000001;1.02E-11;0.47979;;;;1.02E-11;1.94E-09
-59.0001;-1.71E-09;0.656533;0.2000002;1.98E-12;0.656533;;;;1.98E-12;1.71E-09
-58.5001;-1.57E-09;0.850205;0.2;2.02E-12;0.850205;;;;2.02E-12;1.57E-09
-58.0001;-1.46E-09;1.026941;0.1999996;6.74E-12;1.026941;;;;6.74E-12;1.46E-09
-57.5001;-1.36E-09;1.203621;0.1999996;2.50E-12;1.203621;;;;2.5E-12;1.36E-09
-57;-1.26E-09;1.418392;0.1999998;1.86E-12;1.418392;;;;1.86E-12;1.26E-09
-56.5001;-1.20E-09;1.595137;0.2;2.75E-12;1.595137;;;;2.75E-12;1.2E-09
-56;-1.13E-09;1.771683;0.2;3.24E-12;1.771683;;;;3.24E-12;1.13E-09
-55.5001;-1.07E-09;1.948304;0.2;7.90E-13;1.948304;;;;7.9E-13;1.07E-09
-55;-1.03E-09;2.125019;0.1999998;2.31E-12;2.125019;;;;2.31E-12;1.03E-09
-54.5;-9.95E-10;2.30149;0.2000001;3.84E-12;2.30149;;;;3.84E-12;9.95E-10
-54;-9.36E-10;2.480794;0.1999999;1.77E-12;2.480794;;;;1.77E-12;9.36E-10
-53.5;-7.84E-10;2.657367;0.1999999;1.50E-13;2.657367;;;;1.5E-13;7.84E-10
-53;-8.30E-10;2.856854;0.1999999;2.71E-12;2.856854;;;;2.71E-12;8.3E-10
-52.5;-8.12E-10;3.033514;0.1999999;1.14E-12;3.033514;;;;1.14E-12;8.12E-10
-52;-7.71E-10;3.210009;0.1999997;3.10E-12;3.210009;;;;3.1E-12;7.71E-10
-51.5;-7.63E-10;3.424758;0.2;6.08E-12;3.424758;;;;6.08E-12;7.63E-10
-51;-7.33E-10;3.601451;0.1999999;1.16E-11;3.601451;;;;1.16E-11;7.33E-10
-50.5001;-7.13E-10;3.777967;0.1999999;2.13E-11;3.777967;;;;2.13E-11;7.13E-10
-50.0001;-6.80E-10;3.954492;0.1999997;2.70E-11;3.954492;;;;2.7E-11;6.8E-10
-49.5001;-6.63E-10;4.131269;0.1999996;4.80E-11;4.131269;;;;4.8E-11;6.63E-10
-49.0001;-6.23E-10;4.307708;0.2000001;6.61E-11;4.307708;;;;6.61E-11;6.23E-10
-48.5;-6.24E-10;4.486881;0.2000001;1.07E-10;4.486881;;;;1.07E-10;6.24E-10
-48.0001;-5.94E-10;4.663588;0.2;1.55E-10;4.663588;;;;1.55E-10;5.94E-10
-47.5001;-5.85E-10;4.862538;0.1999999;2.35E-10;4.862538;;;;2.35E-10;5.85E-10
-47;-5.60E-10;5.039116;0.2000002;3.51E-10;5.039116;;;;3.51E-10;5.6E-10
-46.5;-5.38E-10;5.215559;0.2000001;5.17E-10;5.215559;;;;5.17E-10;5.38E-10
-46;-5.26E-10;5.430454;0.2;7.55E-10;5.430454;;;;7.55E-10;5.26E-10
-45.5001;-4.98E-10;5.607018;0.2;1.13E-09;5.607018;;;;1.13E-09;4.98E-10
-45;-4.99E-10;5.783492;0.2000001;1.68E-09;5.783492;;;;1.68E-09;4.99E-10
-44.5001;-4.87E-10;5.959976;0.1999999;2.51E-09;5.959976;;;;2.51E-09;4.87E-10
-44.0001;-4.54E-10;6.13663;0.2;3.74E-09;6.13663;;;;3.74E-09;4.54E-10
-43.5001;-4.33E-10;6.313037;0.2000008;5.49E-09;6.313037;;;;5.49E-09;4.33E-10
-43;-4.20E-10;6.489815;0.2000001;7.99E-09;6.489815;;;;7.99E-09;4.2E-10
-42.5;-4.05E-10;6.660398;0.2000003;1.15E-08;6.660398;;;;1.15E-08;4.05E-10
-42;-3.93E-10;6.81049;0.2000003;1.64E-08;6.81049;;;;1.64E-08;3.93E-10
-41.5001;-3.74E-10;6.96071;0.1999995;2.32E-08;6.96071;;;;2.32E-08;3.74E-10
-41.0001;-3.66E-10;7.111079;0.2000009;3.21E-08;7.111079;;;;3.21E-08;3.66E-10
-40.5;-3.42E-10;7.261427;0.2000009;4.32E-08;7.261427;;;;4.32E-08;3.42E-10
-40.0001;-3.36E-10;7.413287;0.200002;5.71E-08;7.413287;;;;5.71E-08;3.36E-10
-39.5001;-3.16E-10;7.563498;0.200002;7.40E-08;7.563498;;;;0.000000074;3.16E-10
-39.0001;-3.07E-10;7.713592;0.2000029;9.42E-08;7.713592;;;;9.42E-08;3.07E-10
-38.5;-2.92E-10;7.908274;0.2;1.16E-07;7.908274;;;;0.000000116;2.92E-10
-38.0001;-2.96E-10;8.058504;0.2000001;1.43E-07;8.058504;;;;0.000000143;2.96E-10
-37.5;-2.64E-10;8.208551;0.2000001;1.73E-07;8.208551;;;;0.000000173;2.64E-10
-37.0001;-2.67E-10;8.391907;0.2000001;2.05E-07;8.391907;;;;0.000000205;2.67E-10
-36.5;-2.61E-10;8.542109;0.2;2.41E-07;8.542109;;;;0.000000241;2.61E-10
-36.0001;-2.37E-10;8.692249;0.1999999;2.78E-07;8.692249;;;;0.000000278;2.37E-10
-35.5001;-2.23E-10;8.842362;0.2000001;3.18E-07;8.842362;;;;0.000000318;2.23E-10
-35;-2.26E-10;9.003343;0.2;3.61E-07;9.003343;;;;0.000000361;2.26E-10
