#scan;iMeasureCycle=1;iMux=0;time=0.129;N=202;LocalTime=20/12/2023 15:48:24;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
4.99999;3.83E-09;0.28915;-0.500001;-1.64E-09;0.28915;;;4.99999;1.63826E-09;3.8297E-09
4.9;3.43E-09;0.438133;-0.500001;-1.46E-09;0.438133;;;4.9;1.45563E-09;3.42844E-09
4.8;3.20E-09;0.586717;-0.500001;-1.35E-09;0.586717;;;4.8;1.34534E-09;3.20234E-09
4.69999;3.04E-09;0.735278;-0.500001;-1.27E-09;0.735278;;;4.69999;1.26806E-09;3.03939E-09
4.59999;2.92E-09;0.911348;-0.5;-1.20E-09;0.911348;;;4.59999;1.19739E-09;2.91924E-09
4.5;2.81E-09;1.087427;-0.5;-1.14E-09;1.087427;;;4.5;1.13513E-09;2.81045E-09
4.4;2.71E-09;1.263493;-0.500001;-1.09E-09;1.263493;;;4.4;1.08705E-09;2.71202E-09
4.29999;2.66E-09;1.412109;-0.500001;-1.05E-09;1.412109;;;4.29999;1.05045E-09;2.6579E-09
4.19999;2.59E-09;1.588172;-0.500001;-1.01E-09;1.588172;;;4.19999;1.01156E-09;2.59004E-09
4.1;2.53E-09;1.764308;-0.5;-9.79E-10;1.764308;;;4.1;9.7885E-10;2.52561E-09
3.99999;2.48E-09;1.912958;-0.5;-9.51E-10;1.912958;;;3.99999;9.5125E-10;2.47522E-09
3.9;2.43E-09;2.089137;-0.500001;-9.24E-10;2.089137;;;3.9;9.2433E-10;2.43471E-09
3.8;2.38E-09;2.265278;-0.500001;-8.98E-10;2.265278;;;3.8;8.9801E-10;2.38408E-09
3.7;2.34E-09;2.441415;-0.5;-8.74E-10;2.441415;;;3.7;8.7392E-10;2.33764E-09
3.59999;2.31E-09;2.617512;-0.500001;-8.56E-10;2.617512;;;3.59999;8.5648E-10;2.30779E-09
3.5;2.27E-09;2.793671;-0.5;-8.40E-10;2.793671;;;3.5;8.3972E-10;2.26653E-09
3.39999;2.24E-09;2.971878;-0.5;-8.25E-10;2.971878;;;3.39999;8.2483E-10;2.23799E-09
3.3;2.20E-09;3.148002;-0.500001;-8.15E-10;3.148002;;;3.3;8.1474E-10;2.20441E-09
3.2;2.17E-09;3.296628;-0.500001;-8.09E-10;3.296628;;;3.2;8.086E-10;2.17293E-09
3.1;2.15E-09;3.475166;-0.500001;-8.05E-10;3.475166;;;3.1;8.0531E-10;2.14566E-09
2.99999;2.12E-09;3.623758;-0.500001;-8.07E-10;3.623758;;;2.99999;8.0701E-10;2.118E-09
2.9;2.08E-09;3.799887;-0.5;-8.13E-10;3.799887;;;2.9;8.1327E-10;2.08467E-09
2.8;2.06E-09;3.977605;-0.5;-8.36E-10;3.977605;;;2.8;8.3551E-10;2.05929E-09
2.69999;2.02E-09;4.126206;-0.5;-8.78E-10;4.126206;;;2.69999;8.7822E-10;2.02024E-09
2.59999;1.99E-09;4.302312;-0.5;-9.57E-10;4.302312;;;2.59999;9.5673E-10;1.99196E-09
2.49999;1.96E-09;4.479823;-0.500001;-1.09E-09;4.479823;;;2.49999;1.08583E-09;1.95935E-09
2.40001;1.92E-09;4.628459;-0.500001;-1.28E-09;4.628459;;;2.40001;1.28335E-09;1.92275E-09
2.3;1.89E-09;4.804607;-0.5;-1.58E-09;4.804607;;;2.3;1.58047E-09;1.88798E-09
2.2;1.85E-09;4.982215;-0.500001;-1.99E-09;4.982215;;;2.2;1.98808E-09;1.8479E-09
2.1;1.79E-09;5.158319;-0.500001;-2.51E-09;5.158319;;;2.1;2.51107E-09;1.79428E-09
2;1.72E-09;5.307037;-0.500001;-3.21E-09;5.307037;;;2;3.20901E-09;1.72255E-09
1.89999;1.66E-09;5.455655;-0.500001;-4.08E-09;5.455655;;;1.89999;4.08212E-09;1.65936E-09
1.79999;1.58E-09;5.604358;-0.500001;-5.21E-09;5.604358;;;1.79999;5.20528E-09;1.57991E-09
1.7;1.53E-09;5.780474;-0.5;-6.63E-09;5.780474;;;1.7;6.63492E-09;1.53185E-09
